x,y,z
462082.165588,5936430.579590,1776.499146
462559.287537,5935231.657593,1815.373413
464259.798218,5933286.469299,1936.709106
463978.418579,5932295.524170,1751.871460
461996.527893,5933567.849121,1777.101563
461238.027832,5935109.318726,1892.131836
461360.366577,5936247.070801,1674.561401
462082.165588,5936430.579590,1776.499146
