CONJPOS,DEPTH,WELL,CONIPOS,CONIDX,WELLMODEL,CONKPOS,SGAS,DATE,PRESSURE,DRAWDOWN,CONBPRES,SWAT
30,1642.58251953125,R_A2,22,1,STANDARD,1,0.0,2018-01-01,300.8662414550781,0,300.8662414550781,0.05510293319821358
30,1644.4505615234375,R_A2,22,2,STANDARD,2,0.0,2018-01-01,300.9914855957031,0,300.9914855957031,0.057184893637895584
30,1646.3184814453125,R_A2,22,3,STANDARD,3,0.0,2018-01-01,301.11676025390625,0,301.11676025390625,0.060425955802202225
30,1648.1865234375,R_A2,22,4,STANDARD,4,0.0,2018-01-01,301.24200439453125,0,301.24200439453125,0.0661899521946907
30,1650.054443359375,R_A2,22,5,STANDARD,5,0.0,2018-01-01,301.3672790527344,0,301.3672790527344,0.06967795640230179
30,1651.9224853515625,R_A2,22,6,STANDARD,6,0.0,2018-01-01,301.4925537109375,0,301.4925537109375,0.31206014752388
30,1653.79052734375,R_A2,22,7,STANDARD,7,0.0,2018-01-01,301.61785888671875,0,301.61785888671875,0.8872498869895935
30,1655.658447265625,R_A2,22,8,STANDARD,8,0.0,2018-01-01,301.7431335449219,0,301.7431335449219,0.6481541991233826
30,1657.5263671875,R_A2,22,9,STANDARD,9,0.0,2018-01-01,301.868408203125,0,301.868408203125,0.11475181579589844
30,1659.3944091796875,R_A2,22,10,STANDARD,10,0.0,2018-01-01,301.99371337890625,0,301.99371337890625,0.16760897636413574
30,1661.362060546875,R_A2,22,11,STANDARD,11,0.0,2018-01-01,302.1257019042969,0,302.1257019042969,0.07393782585859299
30,1663.429443359375,R_A2,22,12,STANDARD,12,0.0,2018-01-01,302.2643737792969,0,302.2643737792969,0.08101263642311096
30,1665.496826171875,R_A2,22,13,STANDARD,13,0.0,2018-01-01,302.4030456542969,0,302.4030456542969,0.45721209049224854
30,1667.564208984375,R_A2,22,14,STANDARD,14,0.0,2018-01-01,302.541748046875,0,302.541748046875,0.4970545768737793
30,1669.631591796875,R_A2,22,15,STANDARD,15,0.0,2018-01-01,302.680419921875,0,302.680419921875,0.6726564764976501
30,1671.698974609375,R_A2,22,16,STANDARD,16,0.0,2018-01-01,302.8191223144531,0,302.8191223144531,0.9648210406303406
30,1673.766357421875,R_A2,22,17,STANDARD,17,0.0,2018-01-01,302.95782470703125,0,302.95782470703125,0.945065438747406
30,1675.768310546875,R_A2,22,18,STANDARD,18,0.0,2018-01-01,303.0921325683594,0,303.0921325683594,0.9846930503845215
30,1676.869873046875,R_A2,22,19,STANDARD,19,0.0,2018-01-01,303.1660461425781,0,303.1660461425781,0.9779227375984192
30,1677.902099609375,R_A2,22,20,STANDARD,27,0.0,2018-01-01,303.23529052734375,0,303.23529052734375,0.6807011961936951
29,1675.4285888671875,R_A2,22,21,STANDARD,27,0.0,2018-01-01,303.0693359375,0,303.0693359375,1.0
29,1677.2305908203125,R_A2,22,22,STANDARD,28,0.0,2018-01-01,303.19024658203125,0,303.19024658203125,1.0
29,1679.032470703125,R_A2,22,23,STANDARD,29,0.0,2018-01-01,303.3111267089844,0,303.3111267089844,1.0
29,1680.834228515625,R_A2,22,24,STANDARD,30,0.0,2018-01-01,303.7525939941406,0,303.7525939941406,1.0
29,1682.63623046875,R_A2,22,25,STANDARD,31,0.0,2018-01-01,303.9233703613281,0,303.9233703613281,1.0
41,1608.2205810546875,R_A3,28,1,STANDARD,1,0.0,2018-01-01,298.562744140625,0,298.562744140625,0.36154085397720337
41,1610.1434326171875,R_A3,28,2,STANDARD,2,0.0,2018-01-01,298.69158935546875,0,298.69158935546875,0.17189864814281464
41,1612.0662841796875,R_A3,28,3,STANDARD,3,0.0,2018-01-01,298.8204650878906,0,298.8204650878906,0.11823459714651108
41,1603.861328125,R_A3,29,4,STANDARD,3,0.0,2018-01-01,298.2705993652344,0,298.2705993652344,0.16270014643669128
41,1605.9503173828125,R_A3,29,5,STANDARD,4,0.0,2018-01-01,298.41058349609375,0,298.41058349609375,0.2297527939081192
41,1608.039306640625,R_A3,29,6,STANDARD,5,0.0,2018-01-01,298.5505676269531,0,298.5505676269531,0.6481541991233826
41,1610.1282958984375,R_A3,29,7,STANDARD,6,0.0,2018-01-01,298.6905822753906,0,298.6905822753906,0.27520930767059326
41,1612.21728515625,R_A3,29,8,STANDARD,7,0.0,2018-01-01,298.83056640625,0,298.83056640625,0.1924474835395813
41,1614.30615234375,R_A3,29,9,STANDARD,8,0.0,2018-01-01,298.9705810546875,0,298.9705810546875,0.19693264365196228
41,1616.3951416015625,R_A3,29,10,STANDARD,9,0.0,2018-01-01,299.110595703125,0,299.110595703125,0.7949188947677612
41,1618.484130859375,R_A3,29,11,STANDARD,10,0.0,2018-01-01,299.2506103515625,0,299.2506103515625,0.7986263632774353
41,1620.6650390625,R_A3,29,12,STANDARD,11,0.0,2018-01-01,299.39678955078125,0,299.39678955078125,0.047334130853414536
41,1622.9378662109375,R_A3,29,13,STANDARD,12,0.0,2018-01-01,299.5491638183594,0,299.5491638183594,0.05359528958797455
41,1625.210693359375,R_A3,29,14,STANDARD,13,0.0,2018-01-01,299.7015075683594,0,299.7015075683594,0.36420533061027527
41,1629.75634765625,R_A3,29,15,STANDARD,15,0.0,2018-01-01,300.0062561035156,0,300.0062561035156,0.6354659199714661
41,1631.615478515625,R_A3,29,16,STANDARD,16,0.0,2018-01-01,300.1308898925781,0,300.1308898925781,0.7964709997177124
41,1634.080322265625,R_A3,29,17,STANDARD,27,0.0,2018-01-01,300.296142578125,0,300.296142578125,0.6481541991233826
41,1637.55859375,R_A3,29,18,STANDARD,28,0.0,2018-01-01,300.52935791015625,0,300.52935791015625,0.04726070538163185
41,1641.0369873046875,R_A3,29,19,STANDARD,29,0.0,2018-01-01,300.7626037597656,0,300.7626037597656,0.0517517551779747
41,1644.515380859375,R_A3,29,20,STANDARD,30,0.0,2018-01-01,300.9958190917969,0,300.9958190917969,1.0
41,1647.99365234375,R_A3,29,21,STANDARD,31,0.0,2018-01-01,301.2290954589844,0,301.2290954589844,0.060821566730737686
52,1630.859130859375,R_A4,30,1,STANDARD,1,0.0,2018-01-01,300.0802001953125,0,300.0802001953125,0.048357315361499786
52,1628.9691162109375,R_A4,31,2,STANDARD,1,0.0,2018-01-01,299.9534606933594,0,299.9534606933594,0.048062052577733994
52,1631.0296630859375,R_A4,31,3,STANDARD,2,0.0,2018-01-01,300.09161376953125,0,300.09161376953125,0.05115429684519768
52,1633.090087890625,R_A4,31,4,STANDARD,3,0.0,2018-01-01,300.2297668457031,0,300.2297668457031,0.05547167733311653
52,1634.695556640625,R_A4,32,5,STANDARD,3,0.0,2018-01-01,300.33740234375,0,300.33740234375,0.056335028260946274
51,1634.2637939453125,R_A4,32,6,STANDARD,3,0.0,2018-01-01,300.3084411621094,0,300.3084411621094,0.05470562353730202
51,1636.160400390625,R_A4,32,7,STANDARD,4,0.0,2018-01-01,300.43560791015625,0,300.43560791015625,0.055811215192079544
