WELLMODEL,PRESSURE,DRAWDOWN,DEPTH,DATE,CONIPOS,SGAS,WELL,CONKPOS,CONBPRES,CONIDX,SWAT,CONJPOS
STANDARD,300.7979431152344,0,1640.937744140625,2018-01-01,22,0.0,R_A2,1,300.7979431152344,1,0.05379405990242958,30
STANDARD,300.9136047363281,0,1642.662353515625,2018-01-01,22,0.0,R_A2,2,300.9136047363281,2,0.05616838112473488,30
STANDARD,301.02923583984375,0,1644.3870849609375,2018-01-01,22,0.0,R_A2,3,301.02923583984375,3,0.057741060853004456,30
STANDARD,301.1448974609375,0,1646.1116943359375,2018-01-01,22,0.0,R_A2,4,301.1448974609375,4,0.06377013027667999,30
STANDARD,301.26055908203125,0,1647.8363037109375,2018-01-01,22,0.0,R_A2,5,301.26055908203125,5,0.0647277683019638,30
STANDARD,301.376220703125,0,1649.5609130859375,2018-01-01,22,0.0,R_A2,6,301.376220703125,6,0.31562402844429016,30
STANDARD,301.49188232421875,0,1651.28564453125,2018-01-01,22,0.0,R_A2,7,301.49188232421875,7,0.8673915266990662,30
STANDARD,301.6075439453125,0,1653.01025390625,2018-01-01,22,0.0,R_A2,8,301.6075439453125,8,0.6558813452720642,30
STANDARD,301.72320556640625,0,1654.73486328125,2018-01-01,22,0.0,R_A2,9,301.72320556640625,9,0.20563744008541107,30
STANDARD,301.8388977050781,0,1656.45947265625,2018-01-01,22,0.0,R_A2,10,301.8388977050781,10,0.8836795091629028,30
STANDARD,301.96453857421875,0,1658.332763671875,2018-01-01,22,0.0,R_A2,11,301.96453857421875,11,0.06680928170681,30
STANDARD,302.10015869140625,0,1660.354736328125,2018-01-01,22,0.0,R_A2,12,302.10015869140625,12,0.06866063177585602,30
STANDARD,302.23577880859375,0,1662.3765869140625,2018-01-01,22,0.0,R_A2,13,302.23577880859375,13,0.4199848771095276,30
STANDARD,302.37139892578125,0,1664.3984375,2018-01-01,22,0.0,R_A2,14,302.37139892578125,14,0.46523651480674744,30
STANDARD,302.5070495605469,0,1666.42041015625,2018-01-01,22,0.0,R_A2,15,302.5070495605469,15,0.9050607681274414,30
STANDARD,302.6426696777344,0,1668.4422607421875,2018-01-01,22,0.0,R_A2,16,302.6426696777344,16,0.9149506092071533,30
STANDARD,302.7783203125,0,1670.464111328125,2018-01-01,22,0.0,R_A2,17,302.7783203125,17,0.8725413084030151,30
STANDARD,303.1666564941406,0,1676.2523193359375,2018-01-01,22,0.0,R_A2,18,303.1666564941406,18,0.985828697681427,29
STANDARD,303.28448486328125,0,1678.0084228515625,2018-01-01,22,0.0,R_A2,26,303.28448486328125,19,0.7624789476394653,29
STANDARD,303.4032287597656,0,1679.7783203125,2018-01-01,22,0.0,R_A2,27,303.4032287597656,20,1.0,29
STANDARD,303.52197265625,0,1681.5482177734375,2018-01-01,22,0.0,R_A2,28,303.52197265625,21,1.0,29
STANDARD,303.98797607421875,0,1683.3179931640625,2018-01-01,22,0.0,R_A2,29,303.98797607421875,22,1.0,29
STANDARD,304.15570068359375,0,1685.087890625,2018-01-01,22,0.0,R_A2,30,304.15570068359375,23,1.0,29
STANDARD,298.60986328125,0,1608.297119140625,2018-01-01,28,0.0,R_A3,1,298.60986328125,1,0.6481541991233826,41
STANDARD,298.74298095703125,0,1610.2835693359375,2018-01-01,28,0.0,R_A3,2,298.74298095703125,2,0.19279621541500092,41
STANDARD,298.8760986328125,0,1612.2698974609375,2018-01-01,28,0.0,R_A3,3,298.8760986328125,3,0.14568603038787842,41
STANDARD,298.4202880859375,0,1605.4686279296875,2018-01-01,29,0.0,R_A3,3,298.4202880859375,4,0.16713891923427582,41
STANDARD,298.5577392578125,0,1607.519775390625,2018-01-01,29,0.0,R_A3,4,298.5577392578125,5,0.1413290798664093,41
STANDARD,298.6952209472656,0,1609.5709228515625,2018-01-01,29,0.0,R_A3,5,298.6952209472656,6,0.8089355826377869,41
STANDARD,298.83270263671875,0,1611.6220703125,2018-01-01,29,0.0,R_A3,6,298.83270263671875,7,0.6481541991233826,41
STANDARD,298.97015380859375,0,1613.6732177734375,2018-01-01,29,0.0,R_A3,7,298.97015380859375,8,0.19481101632118225,41
STANDARD,299.1076354980469,0,1615.724365234375,2018-01-01,29,0.0,R_A3,8,299.1076354980469,9,0.23616547882556915,41
STANDARD,299.2451171875,0,1617.7755126953125,2018-01-01,29,0.0,R_A3,9,299.2451171875,10,0.7930448055267334,41
STANDARD,299.3825988769531,0,1619.82666015625,2018-01-01,29,0.0,R_A3,10,299.3825988769531,11,0.7978525161743164,41
