DEPTH,SGAS,DATE,SWAT,WELLMODEL,CONJPOS,DRAWDOWN,PRESSURE,CONBPRES,CONKPOS,CONIPOS,CONIDX,WELL
1641.094970703125,0.0,2018-01-01,0.05682307109236717,STANDARD,30,0,300.6733093261719,300.6733093261719,1,22,1,R_A2
1642.8890380859375,0.0,2018-01-01,0.059868622571229935,STANDARD,30,0,300.7936096191406,300.7936096191406,2,22,2,R_A2
1644.68310546875,0.0,2018-01-01,0.0626271441578865,STANDARD,30,0,300.9139099121094,300.9139099121094,3,22,3,R_A2
1646.4771728515625,0.0,2018-01-01,0.06645650416612625,STANDARD,30,0,301.0342102050781,301.0342102050781,4,22,4,R_A2
1648.2713623046875,0.0,2018-01-01,0.07079914212226868,STANDARD,30,0,301.1545104980469,301.1545104980469,5,22,5,R_A2
1650.0654296875,0.0,2018-01-01,0.23910002410411835,STANDARD,30,0,301.27484130859375,301.27484130859375,6,22,6,R_A2
1651.859619140625,0.0,2018-01-01,0.8951376676559448,STANDARD,30,0,301.3951721191406,301.3951721191406,7,22,7,R_A2
1653.6536865234375,0.0,2018-01-01,0.8685147166252136,STANDARD,30,0,301.5154724121094,301.5154724121094,8,22,8,R_A2
1655.44775390625,0.0,2018-01-01,0.894565999507904,STANDARD,30,0,301.63580322265625,301.63580322265625,9,22,9,R_A2
1657.2418212890625,0.0,2018-01-01,0.9062598943710327,STANDARD,30,0,301.7561340332031,301.7561340332031,10,22,10,R_A2
1659.1368408203125,0.0,2018-01-01,0.07765933871269226,STANDARD,30,0,301.88323974609375,301.88323974609375,11,22,11,R_A2
1661.132568359375,0.0,2018-01-01,0.08095082640647888,STANDARD,30,0,302.01708984375,302.01708984375,12,22,12,R_A2
1663.12841796875,0.0,2018-01-01,0.4631236791610718,STANDARD,30,0,302.1509704589844,302.1509704589844,13,22,13,R_A2
1665.1241455078125,0.0,2018-01-01,0.5077258348464966,STANDARD,30,0,302.28485107421875,302.28485107421875,14,22,14,R_A2
1667.1199951171875,0.0,2018-01-01,0.6800851821899414,STANDARD,30,0,302.4187316894531,302.4187316894531,15,22,15,R_A2
1669.11572265625,0.0,2018-01-01,0.9764990210533142,STANDARD,30,0,302.5526123046875,302.5526123046875,16,22,16,R_A2
1671.111572265625,0.0,2018-01-01,0.9521156549453735,STANDARD,30,0,302.6864929199219,302.6864929199219,17,22,17,R_A2
1672.9881591796875,0.0,2018-01-01,0.9803889393806458,STANDARD,30,0,302.8123779296875,302.8123779296875,18,22,18,R_A2
1674.229736328125,0.0,2018-01-01,0.9921049475669861,STANDARD,29,0,302.89569091796875,302.89569091796875,18,22,19,R_A2
1676.1676025390625,0.0,2018-01-01,0.4429566264152527,STANDARD,29,0,303.02569580078125,303.02569580078125,27,22,20,R_A2
1677.9368896484375,0.0,2018-01-01,1.0,STANDARD,29,0,303.47802734375,303.47802734375,28,22,21,R_A2
1679.7061767578125,0.0,2018-01-01,1.0,STANDARD,29,0,303.64569091796875,303.64569091796875,29,22,22,R_A2
1681.4754638671875,0.0,2018-01-01,1.0,STANDARD,29,0,303.8133544921875,303.8133544921875,30,22,23,R_A2
1683.2447509765625,0.0,2018-01-01,1.0,STANDARD,29,0,303.98101806640625,303.98101806640625,31,22,24,R_A2
1609.243408203125,0.0,2018-01-01,0.6481541991233826,STANDARD,41,0,298.53814697265625,298.53814697265625,1,28,1,R_A3
1611.3077392578125,0.0,2018-01-01,0.1953458935022354,STANDARD,41,0,298.676513671875,298.676513671875,2,28,2,R_A3
