CONIDX,CONIPOS,CONJPOS,SGAS,WELL,SWAT,DRAWDOWN,DATE,CONBPRES,WELLMODEL,DEPTH,PRESSURE,CONKPOS
1,22,30,0.0,R_A2,0.053964175283908844,0,2018-01-01,300.7750244140625,STANDARD,1640.7071533203125,300.7750244140625,1
2,22,30,0.0,R_A2,0.09426828473806381,0,2018-01-01,300.8927001953125,STANDARD,1642.4620361328125,300.8927001953125,2
3,22,30,0.0,R_A2,0.058907996863126755,0,2018-01-01,301.0103759765625,STANDARD,1644.2169189453125,301.0103759765625,3
4,22,30,0.0,R_A2,0.06401905417442322,0,2018-01-01,301.1280517578125,STANDARD,1645.9718017578125,301.1280517578125,4
5,22,30,0.0,R_A2,0.0675862580537796,0,2018-01-01,301.2457580566406,STANDARD,1647.7266845703125,301.2457580566406,5
6,22,30,0.0,R_A2,0.6481541991233826,0,2018-01-01,301.3634338378906,STANDARD,1649.481689453125,301.3634338378906,6
7,22,30,0.0,R_A2,0.8701290488243103,0,2018-01-01,301.48114013671875,STANDARD,1651.236572265625,301.48114013671875,7
8,22,30,0.0,R_A2,0.8607891201972961,0,2018-01-01,301.59881591796875,STANDARD,1652.991455078125,301.59881591796875,8
9,22,30,0.0,R_A2,0.27940884232521057,0,2018-01-01,301.7165222167969,STANDARD,1654.746337890625,301.7165222167969,9
10,22,30,0.0,R_A2,0.8835275769233704,0,2018-01-01,301.834228515625,STANDARD,1656.501220703125,301.834228515625,10
11,22,30,0.0,R_A2,0.06756730377674103,0,2018-01-01,301.96197509765625,STANDARD,1658.406005859375,301.96197509765625,11
12,22,30,0.0,R_A2,0.06897002458572388,0,2018-01-01,302.0998229980469,STANDARD,1660.4609375,302.0998229980469,12
13,22,30,0.0,R_A2,0.42646393179893494,0,2018-01-01,302.2376708984375,STANDARD,1662.515869140625,302.2376708984375,13
14,22,30,0.0,R_A2,0.46488621830940247,0,2018-01-01,302.37548828125,STANDARD,1664.57080078125,302.37548828125,14
15,22,30,0.0,R_A2,0.8941655158996582,0,2018-01-01,302.5133361816406,STANDARD,1666.625732421875,302.5133361816406,15
16,22,30,0.0,R_A2,0.9156808257102966,0,2018-01-01,302.6512145996094,STANDARD,1668.6806640625,302.6512145996094,16
17,22,30,0.0,R_A2,0.869647204875946,0,2018-01-01,302.7890625,STANDARD,1670.735595703125,302.7890625,17
18,22,29,0.0,R_A2,0.9380308985710144,0,2018-01-01,303.05328369140625,STANDARD,1674.673828125,303.05328369140625,17
19,22,29,0.0,R_A2,0.9776117205619812,0,2018-01-01,303.1756896972656,STANDARD,1676.4984130859375,303.1756896972656,18
20,22,29,0.0,R_A2,0.6481541991233826,0,2018-01-01,303.2883605957031,STANDARD,1678.1776123046875,303.2883605957031,26
21,22,29,0.0,R_A2,0.6605713963508606,0,2018-01-01,303.4060974121094,STANDARD,1679.9322509765625,303.4060974121094,27
22,22,29,0.0,R_A2,1.0,0,2018-01-01,303.8334045410156,STANDARD,1681.6868896484375,303.8334045410156,28
23,22,29,0.0,R_A2,1.0,0,2018-01-01,303.9996643066406,STANDARD,1683.44140625,303.9996643066406,29
24,22,29,0.0,R_A2,1.0,0,2018-01-01,304.1659240722656,STANDARD,1685.196044921875,304.1659240722656,30
1,28,41,0.0,R_A3,0.6481541991233826,0,2018-01-01,298.6020202636719,STANDARD,1608.2916259765625,298.6020202636719,1
2,28,41,0.0,R_A3,0.19507360458374023,0,2018-01-01,298.7344055175781,STANDARD,1610.266845703125,298.7344055175781,2
3,29,41,0.0,R_A3,0.18778540194034576,0,2018-01-01,298.1728210449219,STANDARD,1601.886962890625,298.1728210449219,2
4,29,41,0.0,R_A3,0.12917490303516388,0,2018-01-01,298.31597900390625,STANDARD,1604.023193359375,298.31597900390625,3
5,29,41,0.0,R_A3,0.1528768539428711,0,2018-01-01,298.4591369628906,STANDARD,1606.159423828125,298.4591369628906,4
6,29,41,0.0,R_A3,0.8041318655014038,0,2018-01-01,298.602294921875,STANDARD,1608.295654296875,298.602294921875,5
7,29,41,0.0,R_A3,0.21633993089199066,0,2018-01-01,298.7454528808594,STANDARD,1610.431884765625,298.7454528808594,6
8,29,41,0.0,R_A3,0.19047796726226807,0,2018-01-01,298.8886413574219,STANDARD,1612.568115234375,298.8886413574219,7
9,29,41,0.0,R_A3,0.23463071882724762,0,2018-01-01,299.03179931640625,STANDARD,1614.704345703125,299.03179931640625,8
10,29,41,0.0,R_A3,0.7956460118293762,0,2018-01-01,299.17498779296875,STANDARD,1616.840576171875,299.17498779296875,9
11,29,41,0.0,R_A3,0.7883155941963196,0,2018-01-01,299.31817626953125,STANDARD,1618.976806640625,299.31817626953125,10
12,29,41,0.0,R_A3,0.047474898397922516,0,2018-01-01,299.4661560058594,STANDARD,1621.184326171875,299.4661560058594,11
13,29,41,0.0,R_A3,0.05433518812060356,0,2018-01-01,299.618896484375,STANDARD,1623.462890625,299.618896484375,12
14,29,41,0.0,R_A3,0.3611714839935303,0,2018-01-01,299.7716369628906,STANDARD,1625.741455078125,299.7716369628906,13
15,29,41,0.0,R_A3,0.45756399631500244,0,2018-01-01,300.0771484375,STANDARD,1630.298583984375,300.0771484375,15
16,29,41,0.0,R_A3,0.792466938495636,0,2018-01-01,300.208251953125,STANDARD,1632.254150390625,300.208251953125,16
17,29,41,0.0,R_A3,0.6481541991233826,0,2018-01-01,300.3817138671875,STANDARD,1634.841064453125,300.3817138671875,26
18,29,41,0.0,R_A3,0.042781490832567215,0,2018-01-01,300.619140625,STANDARD,1638.3824462890625,300.619140625,27
19,29,41,0.0,R_A3,0.04806065931916237,0,2018-01-01,300.85662841796875,STANDARD,1641.923828125,300.85662841796875,28
20,29,41,0.0,R_A3,0.7909541726112366,0,2018-01-01,301.0940856933594,STANDARD,1645.46533203125,301.0940856933594,29
21,29,41,0.0,R_A3,0.059931930154561996,0,2018-01-01,301.3315734863281,STANDARD,1649.0067138671875,301.3315734863281,30
1,30,52,0.0,R_A4,0.0864763930439949,0,2018-01-01,300.1855773925781,STANDARD,1631.915771484375,300.1855773925781,1
2,31,52,0.0,R_A4,0.12283696234226227,0,2018-01-01,299.8590087890625,STANDARD,1627.0445556640625,299.8590087890625,1
3,31,52,0.0,R_A4,0.048886071890592575,0,2018-01-01,299.99639892578125,STANDARD,1629.093994140625,299.99639892578125,2
4,31,52,0.0,R_A4,0.05070551484823227,0,2018-01-01,300.1337890625,STANDARD,1631.1435546875,300.1337890625,3
5,31,52,0.0,R_A4,0.052233561873435974,0,2018-01-01,300.2712097167969,STANDARD,1633.1929931640625,300.2712097167969,4
6,32,52,0.0,R_A4,0.05339692905545235,0,2018-01-01,300.24700927734375,STANDARD,1632.832275390625,300.24700927734375,4
