PRESSURE,DEPTH,DATE,CONIPOS,CONKPOS,WELLMODEL,CONJPOS,CONBPRES,CONIDX,SGAS,DRAWDOWN,WELL,SWAT
300.6940612792969,1642.7076416015625,2018-01-01,22,1,STANDARD,30,300.6940612792969,1,0.0,0,R_A2,0.06058554723858833
300.82061767578125,1644.5950927734375,2018-01-01,22,2,STANDARD,30,300.82061767578125,2,0.0,0,R_A2,0.06346540153026581
300.9471740722656,1646.482421875,2018-01-01,22,3,STANDARD,30,300.9471740722656,3,0.0,0,R_A2,0.06778711825609207
301.07373046875,1648.3697509765625,2018-01-01,22,4,STANDARD,30,301.07373046875,4,0.0,0,R_A2,0.07606854289770126
301.2002868652344,1650.257080078125,2018-01-01,22,5,STANDARD,30,301.2002868652344,5,0.0,0,R_A2,0.0800299346446991
301.3268737792969,1652.1444091796875,2018-01-01,22,6,STANDARD,30,301.3268737792969,6,0.0,0,R_A2,0.12694603204727173
301.45343017578125,1654.03173828125,2018-01-01,22,7,STANDARD,30,301.45343017578125,7,0.0,0,R_A2,0.2282051146030426
301.58001708984375,1655.919189453125,2018-01-01,22,8,STANDARD,30,301.58001708984375,8,0.0,0,R_A2,0.6481541991233826
301.70660400390625,1657.8065185546875,2018-01-01,22,9,STANDARD,30,301.70660400390625,9,0.0,0,R_A2,0.6481541991233826
301.83319091796875,1659.69384765625,2018-01-01,22,10,STANDARD,30,301.83319091796875,10,0.0,0,R_A2,0.9527075290679932
301.96270751953125,1661.625,2018-01-01,22,11,STANDARD,30,301.96270751953125,11,0.0,0,R_A2,0.09469243884086609
302.0951843261719,1663.599853515625,2018-01-01,22,12,STANDARD,30,302.0951843261719,12,0.0,0,R_A2,0.09547308087348938
302.2276306152344,1665.57470703125,2018-01-01,22,13,STANDARD,30,302.2276306152344,13,0.0,0,R_A2,0.5168773531913757
302.360107421875,1667.549560546875,2018-01-01,22,14,STANDARD,30,302.360107421875,14,0.0,0,R_A2,0.610467791557312
302.4925842285156,1669.5244140625,2018-01-01,22,15,STANDARD,30,302.4925842285156,15,0.0,0,R_A2,0.8027761578559875
302.62506103515625,1671.499267578125,2018-01-01,22,16,STANDARD,30,302.62506103515625,16,0.0,0,R_A2,1.0
302.757568359375,1673.47412109375,2018-01-01,22,17,STANDARD,30,302.757568359375,17,0.0,0,R_A2,1.0
302.345703125,1667.33447265625,2018-01-01,22,17,STANDARD,29,302.345703125,18,0.0,0,R_A2,0.9781250357627869
302.4822082519531,1669.3695068359375,2018-01-01,22,18,STANDARD,29,302.4822082519531,19,0.0,0,R_A2,0.9639745354652405
302.5943908691406,1671.0418701171875,2018-01-01,22,19,STANDARD,29,302.5943908691406,20,0.0,0,R_A2,0.9964101314544678
302.7042541503906,1672.6796875,2018-01-01,22,25,STANDARD,29,302.7042541503906,21,0.0,0,R_A2,1.0
303.15887451171875,1674.5687255859375,2018-01-01,22,26,STANDARD,29,303.15887451171875,22,0.0,0,R_A2,1.0
303.337890625,1676.457763671875,2018-01-01,22,27,STANDARD,29,303.337890625,23,0.0,0,R_A2,1.0
303.5168762207031,1678.3468017578125,2018-01-01,22,28,STANDARD,29,303.5168762207031,24,0.0,0,R_A2,1.0
