DEPTH,DATE,WELLMODEL,CONBPRES,PRESSURE,CONKPOS,SWAT,CONIPOS,SGAS,CONIDX,DRAWDOWN,WELL,CONJPOS
1642.8890380859375,2018-01-01,STANDARD,300.7936096191406,300.7936096191406,2,0.05867929756641388,22,0.0,2,0,R_A2,30
1644.68310546875,2018-01-01,STANDARD,300.9139099121094,300.9139099121094,3,0.061895012855529785,22,0.0,3,0,R_A2,30
1646.4771728515625,2018-01-01,STANDARD,301.0342102050781,301.0342102050781,4,0.06773295253515244,22,0.0,4,0,R_A2,30
1648.2713623046875,2018-01-01,STANDARD,301.1545104980469,301.1545104980469,5,0.07102545350790024,22,0.0,5,0,R_A2,30
1650.0654296875,2018-01-01,STANDARD,301.27484130859375,301.27484130859375,6,0.32000941038131714,22,0.0,6,0,R_A2,30
1651.859619140625,2018-01-01,STANDARD,301.3951721191406,301.3951721191406,7,0.8964528441429138,22,0.0,7,0,R_A2,30
1653.6536865234375,2018-01-01,STANDARD,301.5154724121094,301.5154724121094,8,0.721605658531189,22,0.0,8,0,R_A2,30
1655.44775390625,2018-01-01,STANDARD,301.63580322265625,301.63580322265625,9,0.8981422781944275,22,0.0,9,0,R_A2,30
1657.2418212890625,2018-01-01,STANDARD,301.7561340332031,301.7561340332031,10,0.9288972020149231,22,0.0,10,0,R_A2,30
1659.1368408203125,2018-01-01,STANDARD,301.88323974609375,301.88323974609375,11,0.0764261856675148,22,0.0,11,0,R_A2,30
1661.132568359375,2018-01-01,STANDARD,302.01708984375,302.01708984375,12,0.07991793006658554,22,0.0,12,0,R_A2,30
1663.12841796875,2018-01-01,STANDARD,302.1509704589844,302.1509704589844,13,0.44190388917922974,22,0.0,13,0,R_A2,30
1665.1241455078125,2018-01-01,STANDARD,302.28485107421875,302.28485107421875,14,0.5030866861343384,22,0.0,14,0,R_A2,30
1667.1199951171875,2018-01-01,STANDARD,302.4187316894531,302.4187316894531,15,0.6875477433204651,22,0.0,15,0,R_A2,30
1669.11572265625,2018-01-01,STANDARD,302.5526123046875,302.5526123046875,16,0.9696621894836426,22,0.0,16,0,R_A2,30
1671.111572265625,2018-01-01,STANDARD,302.6864929199219,302.6864929199219,17,0.9681722521781921,22,0.0,17,0,R_A2,30
1672.9881591796875,2018-01-01,STANDARD,302.8123779296875,302.8123779296875,18,0.988319993019104,22,0.0,18,0,R_A2,30
1674.229736328125,2018-01-01,STANDARD,302.89569091796875,302.89569091796875,18,0.9956573843955994,22,0.0,19,0,R_A2,29
1676.1676025390625,2018-01-01,STANDARD,303.02569580078125,303.02569580078125,27,1.0,22,0.0,20,0,R_A2,29
1677.9368896484375,2018-01-01,STANDARD,303.47802734375,303.47802734375,28,1.0,22,0.0,21,0,R_A2,29
1679.7061767578125,2018-01-01,STANDARD,303.64569091796875,303.64569091796875,29,1.0,22,0.0,22,0,R_A2,29
