PRESSURE,DATE,SWAT,CONKPOS,CONIDX,DRAWDOWN,CONIPOS,WELLMODEL,WELL,CONBPRES,DEPTH,SGAS,CONJPOS
301.1799621582031,2018-01-01,0.06685270369052887,4,4,0,22,STANDARD,R_A2,301.1799621582031,1647.1290283203125,0.0,30
301.30029296875,2018-01-01,0.06964799761772156,5,5,0,22,STANDARD,R_A2,301.30029296875,1648.9237060546875,0.0,30
301.420654296875,2018-01-01,0.3102557361125946,6,6,0,22,STANDARD,R_A2,301.420654296875,1650.7183837890625,0.0,30
301.541015625,2018-01-01,0.6481541991233826,7,7,0,22,STANDARD,R_A2,301.541015625,1652.512939453125,0.0,30
301.661376953125,2018-01-01,0.6481541991233826,8,8,0,22,STANDARD,R_A2,301.661376953125,1654.3076171875,0.0,30
301.78173828125,2018-01-01,0.23354297876358032,9,9,0,22,STANDARD,R_A2,301.78173828125,1656.102294921875,0.0,30
301.9021301269531,2018-01-01,0.1822061687707901,10,10,0,22,STANDARD,R_A2,301.9021301269531,1657.89697265625,0.0,30
302.0308837890625,2018-01-01,0.0707787275314331,11,11,0,22,STANDARD,R_A2,302.0308837890625,1659.8165283203125,0.0,30
302.3051452636719,2018-01-01,0.4374687373638153,13,12,0,22,STANDARD,R_A2,302.3051452636719,1663.9056396484375,0.0,30
302.44232177734375,2018-01-01,0.4835042357444763,14,13,0,22,STANDARD,R_A2,302.44232177734375,1665.9501953125,0.0,30
302.5794677734375,2018-01-01,0.917258083820343,15,14,0,22,STANDARD,R_A2,302.5794677734375,1667.9947509765625,0.0,30
302.71661376953125,2018-01-01,0.9575900435447693,16,15,0,22,STANDARD,R_A2,302.71661376953125,1670.039306640625,0.0,30
302.8537902832031,2018-01-01,0.9178104996681213,17,16,0,22,STANDARD,R_A2,302.8537902832031,1672.0838623046875,0.0,30
302.8597106933594,2018-01-01,0.8925401568412781,17,17,0,22,STANDARD,R_A2,302.8597106933594,1672.172119140625,0.0,29
302.9909362792969,2018-01-01,0.9663009643554688,18,18,0,22,STANDARD,R_A2,302.9909362792969,1674.1280517578125,0.0,29
303.1206359863281,2018-01-01,1.0,25,19,0,22,STANDARD,R_A2,303.1206359863281,1676.06103515625,0.0,29
303.24127197265625,2018-01-01,1.0,26,20,0,22,STANDARD,R_A2,303.24127197265625,1677.8592529296875,0.0,29
303.3619079589844,2018-01-01,1.0,27,21,0,22,STANDARD,R_A2,303.3619079589844,1679.6573486328125,0.0,29
303.81146240234375,2018-01-01,1.0,28,22,0,22,STANDARD,R_A2,303.81146240234375,1681.4554443359375,0.0,29
303.98187255859375,2018-01-01,1.0,29,23,0,22,STANDARD,R_A2,303.98187255859375,1683.253662109375,0.0,29
298.6445007324219,2018-01-01,0.29021695256233215,1,1,0,28,STANDARD,R_A3,298.6445007324219,1609.3087158203125,0.0,41
298.77899169921875,2018-01-01,0.1691897213459015,2,2,0,28,STANDARD,R_A3,298.77899169921875,1611.3155517578125,0.0,41
298.3171691894531,2018-01-01,0.1870693415403366,3,3,0,29,STANDARD,R_A3,298.3171691894531,1604.4244384765625,0.0,41
298.4584045410156,2018-01-01,0.6481541991233826,4,4,0,29,STANDARD,R_A3,298.4584045410156,1606.5318603515625,0.0,41
298.5996398925781,2018-01-01,0.8061463236808777,5,5,0,29,STANDARD,R_A3,298.5996398925781,1608.6392822265625,0.0,41
298.7408752441406,2018-01-01,0.6481541991233826,6,6,0,29,STANDARD,R_A3,298.7408752441406,1610.746826171875,0.0,41
298.8821105957031,2018-01-01,0.19560666382312775,7,7,0,29,STANDARD,R_A3,298.8821105957031,1612.854248046875,0.0,41
299.02337646484375,2018-01-01,0.19993257522583008,8,8,0,29,STANDARD,R_A3,299.02337646484375,1614.961669921875,0.0,41
299.16461181640625,2018-01-01,0.8004215955734253,9,9,0,29,STANDARD,R_A3,299.16461181640625,1617.069091796875,0.0,41
299.3058776855469,2018-01-01,0.7980337142944336,10,10,0,29,STANDARD,R_A3,299.3058776855469,1619.1766357421875,0.0,41
299.45245361328125,2018-01-01,0.04760178551077843,11,11,0,29,STANDARD,R_A3,299.45245361328125,1621.363525390625,0.0,41
299.6043701171875,2018-01-01,0.05404011160135269,12,12,0,29,STANDARD,R_A3,299.6043701171875,1623.6297607421875,0.0,41
299.7563171386719,2018-01-01,0.3662043809890747,13,13,0,29,STANDARD,R_A3,299.7563171386719,1625.8961181640625,0.0,41
299.9082336425781,2018-01-01,0.13847313821315765,14,14,0,29,STANDARD,R_A3,299.9082336425781,1628.162353515625,0.0,41
300.0601806640625,2018-01-01,0.601466715335846,15,15,0,29,STANDARD,R_A3,300.0601806640625,1630.4287109375,0.0,41
300.18634033203125,2018-01-01,0.8042757511138916,16,16,0,29,STANDARD,R_A3,300.18634033203125,1632.310546875,0.0,41
300.36444091796875,2018-01-01,0.6481541991233826,25,17,0,29,STANDARD,R_A3,300.36444091796875,1634.9669189453125,0.0,41
300.60382080078125,2018-01-01,0.04558323696255684,26,18,0,29,STANDARD,R_A3,300.60382080078125,1638.537109375,0.0,41
300.84320068359375,2018-01-01,0.048952024430036545,27,19,0,29,STANDARD,R_A3,300.84320068359375,1642.1072998046875,0.0,41
301.0826110839844,2018-01-01,0.3283526301383972,28,20,0,29,STANDARD,R_A3,301.0826110839844,1645.677490234375,0.0,41
301.322021484375,2018-01-01,0.06143823638558388,29,21,0,29,STANDARD,R_A3,301.322021484375,1649.2476806640625,0.0,41
