WELLMODEL,CONIDX,PRESSURE,SGAS,CONKPOS,DRAWDOWN,DATE,WELL,DEPTH,CONJPOS,SWAT,CONBPRES,CONIPOS
STANDARD,1,300.70672607421875,0.0,1,0,2018-01-01,R_A2,1639.7587890625,30,0.05273565277457237,300.70672607421875,22
STANDARD,2,300.8229675292969,0.0,2,0,2018-01-01,R_A2,1641.4921875,30,0.0539085753262043,300.8229675292969,22
STANDARD,3,300.939208984375,0.0,3,0,2018-01-01,R_A2,1643.2255859375,30,0.056544698774814606,300.939208984375,22
STANDARD,4,301.0554504394531,0.0,4,0,2018-01-01,R_A2,1644.958984375,30,0.060548800975084305,301.0554504394531,22
STANDARD,5,301.17169189453125,0.0,5,0,2018-01-01,R_A2,1646.6925048828125,30,0.06330880522727966,301.17169189453125,22
STANDARD,6,301.2879333496094,0.0,6,0,2018-01-01,R_A2,1648.4259033203125,30,0.30222174525260925,301.2879333496094,22
STANDARD,7,301.4041748046875,0.0,7,0,2018-01-01,R_A2,1650.159423828125,30,0.8685630559921265,301.4041748046875,22
STANDARD,8,301.52044677734375,0.0,8,0,2018-01-01,R_A2,1651.892822265625,30,0.8676167130470276,301.52044677734375,22
STANDARD,9,301.6366882324219,0.0,9,0,2018-01-01,R_A2,1653.626220703125,30,0.8769086599349976,301.6366882324219,22
STANDARD,10,301.7529602050781,0.0,10,0,2018-01-01,R_A2,1655.359619140625,30,0.8826573491096497,301.7529602050781,22
STANDARD,11,301.87896728515625,0.0,11,0,2018-01-01,R_A2,1657.2384033203125,30,0.06587326526641846,301.87896728515625,22
STANDARD,12,302.01470947265625,0.0,12,0,2018-01-01,R_A2,1659.262451171875,30,0.06923700869083405,302.01470947265625,22
STANDARD,13,302.1504821777344,0.0,13,0,2018-01-01,R_A2,1661.286376953125,30,0.41769838333129883,302.1504821777344,22
STANDARD,14,302.2862548828125,0.0,14,0,2018-01-01,R_A2,1663.310302734375,30,0.46156829595565796,302.2862548828125,22
STANDARD,15,302.4220275878906,0.0,15,0,2018-01-01,R_A2,1665.334228515625,30,0.8866431713104248,302.4220275878906,22
STANDARD,16,302.55780029296875,0.0,16,0,2018-01-01,R_A2,1667.3582763671875,30,0.922545313835144,302.55780029296875,22
STANDARD,17,302.90966796875,0.0,16,0,2018-01-01,R_A2,1672.603271484375,29,0.9536266326904297,302.90966796875,22
STANDARD,18,303.0502624511719,0.0,17,0,2018-01-01,R_A2,1674.6990966796875,29,0.9390202760696411,303.0502624511719,22
STANDARD,19,303.1654968261719,0.0,18,0,2018-01-01,R_A2,1676.41650390625,29,0.9819568991661072,303.1654968261719,22
STANDARD,20,303.26824951171875,0.0,25,0,2018-01-01,R_A2,1677.947998046875,29,1.0,303.26824951171875,22
STANDARD,21,303.3839416503906,0.0,26,0,2018-01-01,R_A2,1679.672119140625,29,1.0,303.3839416503906,22
STANDARD,22,303.4996337890625,0.0,27,0,2018-01-01,R_A2,1681.3963623046875,29,1.0,303.4996337890625,22
STANDARD,23,303.96923828125,0.0,28,0,2018-01-01,R_A2,1683.1204833984375,29,1.0,303.96923828125,22
STANDARD,24,304.13262939453125,0.0,29,0,2018-01-01,R_A2,1684.8446044921875,29,1.0,304.13262939453125,22
STANDARD,1,298.0500183105469,0.0,1,0,2018-01-01,R_A3,1600.1246337890625,41,0.27886763215065,298.0500183105469,29
STANDARD,2,298.1958923339844,0.0,2,0,2018-01-01,R_A3,1602.3013916015625,41,0.11823459714651108,298.1958923339844,29
STANDARD,3,298.3417663574219,0.0,3,0,2018-01-01,R_A3,1604.4781494140625,41,0.11823459714651108,298.3417663574219,29
STANDARD,4,298.4876403808594,0.0,4,0,2018-01-01,R_A3,1606.6549072265625,41,0.257051020860672,298.4876403808594,29
STANDARD,5,298.6335144042969,0.0,5,0,2018-01-01,R_A3,1608.8316650390625,41,0.8061701655387878,298.6335144042969,29
STANDARD,6,298.7793884277344,0.0,6,0,2018-01-01,R_A3,1611.0084228515625,41,0.6481541991233826,298.7793884277344,29
STANDARD,7,298.92529296875,0.0,7,0,2018-01-01,R_A3,1613.1851806640625,41,0.1939365416765213,298.92529296875,29
STANDARD,8,299.0711975097656,0.0,8,0,2018-01-01,R_A3,1615.3619384765625,41,0.19844140112400055,299.0711975097656,29
STANDARD,9,299.21710205078125,0.0,9,0,2018-01-01,R_A3,1617.5386962890625,41,0.7971580624580383,299.21710205078125,29
STANDARD,10,299.3630065917969,0.0,10,0,2018-01-01,R_A3,1619.7154541015625,41,0.30504459142684937,299.3630065917969,29
STANDARD,11,299.512451171875,0.0,11,0,2018-01-01,R_A3,1621.9449462890625,41,0.04781017079949379,299.512451171875,29
STANDARD,12,299.6654357910156,0.0,12,0,2018-01-01,R_A3,1624.227294921875,41,0.053681302815675735,299.6654357910156,29
STANDARD,13,299.81842041015625,0.0,13,0,2018-01-01,R_A3,1626.509521484375,41,0.36539649963378906,299.81842041015625,29
STANDARD,14,300.12445068359375,0.0,15,0,2018-01-01,R_A3,1631.0740966796875,41,0.601466715335846,300.12445068359375,29
STANDARD,15,300.2567138671875,0.0,16,0,2018-01-01,R_A3,1633.0469970703125,41,0.8044302463531494,300.2567138671875,29
STANDARD,16,300.4345397949219,0.0,25,0,2018-01-01,R_A3,1635.6993408203125,41,0.7474801540374756,300.4345397949219,29
STANDARD,17,300.6734313964844,0.0,26,0,2018-01-01,R_A3,1639.2620849609375,41,0.04595929756760597,300.6734313964844,29
STANDARD,18,300.9123229980469,0.0,27,0,2018-01-01,R_A3,1642.8248291015625,41,0.04895293340086937,300.9123229980469,29
STANDARD,19,301.1512451171875,0.0,28,0,2018-01-01,R_A3,1646.387451171875,41,0.6481541991233826,301.1512451171875,29
STANDARD,20,301.3901672363281,0.0,29,0,2018-01-01,R_A3,1649.9501953125,41,0.05983009561896324,301.3901672363281,29
STANDARD,1,300.096923828125,0.0,1,0,2018-01-01,R_A4,1630.663818359375,52,0.04923680052161217,300.096923828125,30
STANDARD,2,299.830078125,0.0,1,0,2018-01-01,R_A4,1626.683349609375,52,0.04751964658498764,299.830078125,31
