CONIDX,DRAWDOWN,CONKPOS,CONBPRES,SWAT,DEPTH,CONJPOS,DATE,CONIPOS,SGAS,PRESSURE,WELL,WELLMODEL
1,0,1,300.7521057128906,0.0621548630297184,1643.8045654296875,30,2018-01-01,22,0.0,300.7521057128906,R_A2,STANDARD
2,0,2,300.87030029296875,0.06505227088928223,1645.5672607421875,30,2018-01-01,22,0.0,300.87030029296875,R_A2,STANDARD
3,0,3,300.988525390625,0.06929975748062134,1647.3299560546875,30,2018-01-01,22,0.0,300.988525390625,R_A2,STANDARD
4,0,4,301.1067199707031,0.07534011453390121,1649.0926513671875,30,2018-01-01,22,0.0,301.1067199707031,R_A2,STANDARD
5,0,5,301.22491455078125,0.08064873516559601,1650.8553466796875,30,2018-01-01,22,0.0,301.22491455078125,R_A2,STANDARD
6,0,6,301.3431396484375,0.24957992136478424,1652.617919921875,30,2018-01-01,22,0.0,301.3431396484375,R_A2,STANDARD
7,0,7,301.4613342285156,0.9277154207229614,1654.380615234375,30,2018-01-01,22,0.0,301.4613342285156,R_A2,STANDARD
8,0,8,301.5795593261719,0.9241403341293335,1656.143310546875,30,2018-01-01,22,0.0,301.5795593261719,R_A2,STANDARD
9,0,9,301.6977844238281,0.9483579397201538,1657.906005859375,30,2018-01-01,22,0.0,301.6977844238281,R_A2,STANDARD
10,0,10,301.8160095214844,0.948728084564209,1659.668701171875,30,2018-01-01,22,0.0,301.8160095214844,R_A2,STANDARD
11,0,11,301.94769287109375,0.09315991401672363,1661.6319580078125,30,2018-01-01,22,0.0,301.94769287109375,R_A2,STANDARD
12,0,12,302.09283447265625,0.09970022737979889,1663.796142578125,30,2018-01-01,22,0.0,302.09283447265625,R_A2,STANDARD
13,0,13,302.2380065917969,0.5321797728538513,1665.960205078125,30,2018-01-01,22,0.0,302.2380065917969,R_A2,STANDARD
14,0,14,302.3831787109375,0.6423891186714172,1668.124267578125,30,2018-01-01,22,0.0,302.3831787109375,R_A2,STANDARD
15,0,15,302.5283508300781,1.0,1670.288330078125,30,2018-01-01,22,0.0,302.5283508300781,R_A2,STANDARD
16,0,16,302.67352294921875,1.0,1672.452392578125,30,2018-01-01,22,0.0,302.67352294921875,R_A2,STANDARD
17,0,17,303.01470947265625,1.0,1674.616455078125,30,2018-01-01,22,0.0,303.01470947265625,R_A2,STANDARD
18,0,18,303.16619873046875,1.0,1676.215087890625,30,2018-01-01,22,0.0,303.16619873046875,R_A2,STANDARD
19,0,28,303.14129638671875,1.0,1677.610107421875,30,2018-01-01,22,0.0,303.14129638671875,R_A2,STANDARD
20,0,28,303.52093505859375,1.0,1678.389404296875,29,2018-01-01,22,0.0,303.52093505859375,R_A2,STANDARD
21,0,29,303.6929016113281,1.0,1680.2042236328125,29,2018-01-01,22,0.0,303.6929016113281,R_A2,STANDARD
22,0,30,303.8648681640625,1.0,1682.01904296875,29,2018-01-01,22,0.0,303.8648681640625,R_A2,STANDARD
23,0,31,304.036865234375,1.0,1683.8338623046875,29,2018-01-01,22,0.0,304.036865234375,R_A2,STANDARD
24,0,32,304.2088317871094,1.0,1685.648681640625,29,2018-01-01,22,0.0,304.2088317871094,R_A2,STANDARD
1,0,1,298.388916015625,0.15496203303337097,1608.5509033203125,41,2018-01-01,28,0.0,298.388916015625,R_A3,STANDARD
2,0,2,298.52215576171875,0.200128436088562,1610.538818359375,41,2018-01-01,28,0.0,298.52215576171875,R_A3,STANDARD
3,0,3,298.6553955078125,0.19898630678653717,1612.52685546875,41,2018-01-01,28,0.0,298.6553955078125,R_A3,STANDARD
4,0,4,298.7886047363281,0.32479697465896606,1614.514892578125,41,2018-01-01,28,0.0,298.7886047363281,R_A3,STANDARD
5,0,5,298.9218444824219,0.7088437676429749,1616.5029296875,41,2018-01-01,28,0.0,298.9218444824219,R_A3,STANDARD
6,0,5,298.4083557128906,0.820694088935852,1608.8409423828125,41,2018-01-01,29,0.0,298.4083557128906,R_A3,STANDARD
7,0,6,298.53961181640625,0.6481541991233826,1610.79931640625,41,2018-01-01,29,0.0,298.53961181640625,R_A3,STANDARD
8,0,7,298.67083740234375,0.20139533281326294,1612.757568359375,41,2018-01-01,29,0.0,298.67083740234375,R_A3,STANDARD
9,0,8,298.8020935058594,0.2017141878604889,1614.7159423828125,41,2018-01-01,29,0.0,298.8020935058594,R_A3,STANDARD
10,0,9,298.933349609375,0.8091732859611511,1616.6741943359375,41,2018-01-01,29,0.0,298.933349609375,R_A3,STANDARD
11,0,10,299.0646057128906,0.813720166683197,1618.632568359375,41,2018-01-01,29,0.0,299.0646057128906,R_A3,STANDARD
12,0,11,299.20855712890625,0.04946522414684296,1620.7803955078125,41,2018-01-01,29,0.0,299.20855712890625,R_A3,STANDARD
13,0,12,299.365234375,0.05723298713564873,1623.1177978515625,41,2018-01-01,29,0.0,299.365234375,R_A3,STANDARD
14,0,13,299.52191162109375,0.3796035349369049,1625.455078125,41,2018-01-01,29,0.0,299.52191162109375,R_A3,STANDARD
15,0,15,299.83526611328125,0.5097213387489319,1630.129638671875,41,2018-01-01,29,0.0,299.83526611328125,R_A3,STANDARD
16,0,16,299.94927978515625,0.8199131488800049,1631.830078125,41,2018-01-01,29,0.0,299.94927978515625,R_A3,STANDARD
17,0,28,300.1029357910156,0.12209008634090424,1634.1224365234375,41,2018-01-01,29,0.0,300.1029357910156,R_A3,STANDARD
18,0,29,300.3390197753906,0.04664388298988342,1637.6434326171875,41,2018-01-01,29,0.0,300.3390197753906,R_A3,STANDARD
19,0,30,300.5751037597656,0.05418974906206131,1641.16455078125,41,2018-01-01,29,0.0,300.5751037597656,R_A3,STANDARD
20,0,31,300.8111877441406,1.0,1644.685546875,41,2018-01-01,29,0.0,300.8111877441406,R_A3,STANDARD
21,0,32,301.04730224609375,0.07000812143087387,1648.2066650390625,41,2018-01-01,29,0.0,301.04730224609375,R_A3,STANDARD
1,0,1,299.7036437988281,0.052283383905887604,1628.166259765625,52,2018-01-01,30,0.0,299.7036437988281,R_A4,STANDARD
2,0,1,299.6788330078125,0.05193810537457466,1627.7958984375,52,2018-01-01,31,0.0,299.6788330078125,R_A4,STANDARD
3,0,2,299.8160095214844,0.05424145609140396,1629.8421630859375,52,2018-01-01,31,0.0,299.8160095214844,R_A4,STANDARD
4,0,3,299.95318603515625,0.056221842765808105,1631.8885498046875,52,2018-01-01,31,0.0,299.95318603515625,R_A4,STANDARD
5,0,3,299.9518737792969,0.0549430288374424,1631.869140625,52,2018-01-01,32,0.0,299.9518737792969,R_A4,STANDARD
6,0,4,300.0817565917969,0.05835327133536339,1633.8062744140625,52,2018-01-01,32,0.0,300.0817565917969,R_A4,STANDARD
7,0,5,300.2116394042969,0.05980577692389488,1635.7435302734375,52,2018-01-01,32,0.0,300.2116394042969,R_A4,STANDARD
8,0,5,300.1534423828125,0.13273821771144867,1634.8753662109375,51,2018-01-01,32,0.0,300.1534423828125,R_A4,STANDARD
9,0,5,300.1998596191406,0.143910750746727,1635.56787109375,51,2018-01-01,33,0.0,300.1998596191406,R_A4,STANDARD
10,0,6,300.3268127441406,0.6481541991233826,1637.4613037109375,51,2018-01-01,33,0.0,300.3268127441406,R_A4,STANDARD
11,0,6,300.40838623046875,0.6481541991233826,1638.677978515625,50,2018-01-01,33,0.0,300.40838623046875,R_A4,STANDARD
12,0,6,300.56048583984375,0.6965981721878052,1640.9466552734375,50,2018-01-01,34,0.0,300.56048583984375,R_A4,STANDARD
13,0,5,300.43609619140625,0.06613360345363617,1639.091552734375,50,2018-01-01,34,0.0,300.43609619140625,R_A4,STANDARD
14,0,4,300.3117370605469,0.142939493060112,1637.236572265625,50,2018-01-01,34,0.0,300.3117370605469,R_A4,STANDARD
15,0,4,300.7118835449219,0.15246078372001648,1643.20458984375,50,2018-01-01,35,0.0,300.7118835449219,R_A4,STANDARD
16,0,3,300.5909423828125,0.24501189589500427,1641.40087890625,50,2018-01-01,35,0.0,300.5909423828125,R_A4,STANDARD
17,0,3,300.5850830078125,0.11797072738409042,1641.3134765625,49,2018-01-01,35,0.0,300.5850830078125,R_A4,STANDARD
18,0,2,300.46075439453125,0.24120554327964783,1639.459228515625,49,2018-01-01,35,0.0,300.46075439453125,R_A4,STANDARD
19,0,1,300.33642578125,0.22848397493362427,1637.6048583984375,49,2018-01-01,35,0.0,300.33642578125,R_A4,STANDARD
20,0,32,301.0099182128906,0.06906943023204803,1647.6490478515625,49,2018-01-01,36,0.0,301.0099182128906,R_A4,STANDARD
21,0,31,300.5937194824219,0.18677791953086853,1641.442138671875,49,2018-01-01,36,0.0,300.5937194824219,R_A4,STANDARD
22,0,31,300.295166015625,0.15177100896835327,1636.9893798828125,48,2018-01-01,36,0.0,300.295166015625,R_A4,STANDARD
23,0,31,300.9114685058594,0.6481541991233826,1646.180908203125,48,2018-01-01,37,0.0,300.9114685058594,R_A4,STANDARD
24,0,31,301.4594421386719,0.6481541991233826,1654.35205078125,48,2018-01-01,38,0.0,301.4594421386719,R_A4,STANDARD
25,0,31,301.8670349121094,0.2146582156419754,1660.4296875,47,2018-01-01,38,0.0,301.8670349121094,R_A4,STANDARD
