WELL,CONKPOS,DATE,CONIDX,PRESSURE,CONJPOS,CONIPOS,DRAWDOWN,DEPTH,SWAT,WELLMODEL,SGAS,CONBPRES
R_A2,1,2018-01-01,1,300.6733093261719,30,22,0,1641.094970703125,0.05673010274767876,STANDARD,0.0,300.6733093261719
R_A2,2,2018-01-01,2,300.7936096191406,30,22,0,1642.8890380859375,0.05777252838015556,STANDARD,0.0,300.7936096191406
R_A2,3,2018-01-01,3,300.9139099121094,30,22,0,1644.68310546875,0.060030754655599594,STANDARD,0.0,300.9139099121094
R_A2,4,2018-01-01,4,301.0342102050781,30,22,0,1646.4771728515625,0.06766234338283539,STANDARD,0.0,301.0342102050781
R_A2,5,2018-01-01,5,301.1545104980469,30,22,0,1648.2713623046875,0.06880508363246918,STANDARD,0.0,301.1545104980469
R_A2,6,2018-01-01,6,301.27484130859375,30,22,0,1650.0654296875,0.31025803089141846,STANDARD,0.0,301.27484130859375
R_A2,7,2018-01-01,7,301.3951721191406,30,22,0,1651.859619140625,0.891412079334259,STANDARD,0.0,301.3951721191406
R_A2,8,2018-01-01,8,301.5154724121094,30,22,0,1653.6536865234375,0.8774909377098083,STANDARD,0.0,301.5154724121094
R_A2,9,2018-01-01,9,301.63580322265625,30,22,0,1655.44775390625,0.9038383364677429,STANDARD,0.0,301.63580322265625
R_A2,10,2018-01-01,10,301.7561340332031,30,22,0,1657.2418212890625,0.9149646162986755,STANDARD,0.0,301.7561340332031
R_A2,11,2018-01-01,11,301.88323974609375,30,22,0,1659.1368408203125,0.07614300400018692,STANDARD,0.0,301.88323974609375
R_A2,12,2018-01-01,12,302.01708984375,30,22,0,1661.132568359375,0.07716154307126999,STANDARD,0.0,302.01708984375
R_A2,13,2018-01-01,13,302.1509704589844,30,22,0,1663.12841796875,0.4616602957248688,STANDARD,0.0,302.1509704589844
R_A2,14,2018-01-01,14,302.28485107421875,30,22,0,1665.1241455078125,0.5056487321853638,STANDARD,0.0,302.28485107421875
R_A2,15,2018-01-01,15,302.4187316894531,30,22,0,1667.1199951171875,0.6890329718589783,STANDARD,0.0,302.4187316894531
R_A2,16,2018-01-01,16,302.5526123046875,30,22,0,1669.11572265625,0.9704177379608154,STANDARD,0.0,302.5526123046875
R_A2,17,2018-01-01,17,302.6864929199219,30,22,0,1671.111572265625,0.949622392654419,STANDARD,0.0,302.6864929199219
R_A2,18,2018-01-01,18,302.8123779296875,30,22,0,1672.9881591796875,0.9828952550888062,STANDARD,0.0,302.8123779296875
R_A2,18,2018-01-01,19,302.89569091796875,29,22,0,1674.229736328125,0.9966256022453308,STANDARD,0.0,302.89569091796875
R_A2,27,2018-01-01,20,303.02569580078125,29,22,0,1676.1676025390625,1.0,STANDARD,0.0,303.02569580078125
R_A2,28,2018-01-01,21,303.47802734375,29,22,0,1677.9368896484375,1.0,STANDARD,0.0,303.47802734375
R_A2,29,2018-01-01,22,303.64569091796875,29,22,0,1679.7061767578125,1.0,STANDARD,0.0,303.64569091796875
R_A2,30,2018-01-01,23,303.8133544921875,29,22,0,1681.4754638671875,1.0,STANDARD,0.0,303.8133544921875
R_A2,31,2018-01-01,24,303.98101806640625,29,22,0,1683.2447509765625,1.0,STANDARD,0.0,303.98101806640625
R_A3,1,2018-01-01,1,298.53814697265625,41,28,0,1609.243408203125,0.6481541991233826,STANDARD,0.0,298.53814697265625
R_A3,2,2018-01-01,2,298.676513671875,41,28,0,1611.3077392578125,0.19717952609062195,STANDARD,0.0,298.676513671875
R_A3,3,2018-01-01,3,298.8148498535156,41,28,0,1613.3720703125,0.15042813122272491,STANDARD,0.0,298.8148498535156
R_A3,4,2018-01-01,4,298.9532165527344,41,28,0,1615.4365234375,0.6481541991233826,STANDARD,0.0,298.9532165527344
R_A3,5,2018-01-01,5,299.0915832519531,41,28,0,1617.5008544921875,0.8328844904899597,STANDARD,0.0,299.0915832519531
R_A3,6,2018-01-01,6,299.2299499511719,41,28,0,1619.565185546875,0.6481541991233826,STANDARD,0.0,299.2299499511719
R_A3,6,2018-01-01,7,298.54638671875,41,29,0,1609.3663330078125,0.6481541991233826,STANDARD,0.0,298.54638671875
R_A3,7,2018-01-01,8,298.68377685546875,41,29,0,1611.4163818359375,0.19782783091068268,STANDARD,0.0,298.68377685546875
R_A3,8,2018-01-01,9,298.8211669921875,41,29,0,1613.46630859375,0.1995648592710495,STANDARD,0.0,298.8211669921875
R_A3,9,2018-01-01,10,298.95855712890625,41,29,0,1615.516357421875,0.7997170090675354,STANDARD,0.0,298.95855712890625
R_A3,10,2018-01-01,11,299.095947265625,41,29,0,1617.5662841796875,0.8015515208244324,STANDARD,0.0,299.095947265625
R_A3,11,2018-01-01,12,299.24237060546875,41,29,0,1619.750732421875,0.04906727373600006,STANDARD,0.0,299.24237060546875
R_A3,12,2018-01-01,13,299.3978271484375,41,29,0,1622.0697021484375,0.05435820296406746,STANDARD,0.0,299.3978271484375
R_A3,13,2018-01-01,14,299.5532531738281,41,29,0,1624.388671875,0.36790597438812256,STANDARD,0.0,299.5532531738281
R_A3,15,2018-01-01,15,299.8641662597656,41,29,0,1629.026611328125,0.5019171237945557,STANDARD,0.0,299.8641662597656
R_A3,16,2018-01-01,16,299.992919921875,41,29,0,1630.9468994140625,0.8088846802711487,STANDARD,0.0,299.992919921875
