CONIDX,SGAS,SWAT,PRESSURE,CONKPOS,DRAWDOWN,WELLMODEL,DEPTH,WELL,CONJPOS,CONIPOS,CONBPRES,DATE
19,0.0,1.0,307.8930969238281,27,0,STANDARD,1727.7508544921875,R_A6,42,17,307.8930969238281,2018-01-01
20,0.0,1.0,308.3623352050781,28,0,STANDARD,1729.4755859375,R_A6,42,17,308.3623352050781,2018-01-01
21,0.0,1.0,308.52581787109375,29,0,STANDARD,1731.2001953125,R_A6,42,17,308.52581787109375,2018-01-01
22,0.0,1.0,308.68927001953125,30,0,STANDARD,1732.9249267578125,R_A6,42,17,308.68927001953125,2018-01-01
23,0.0,1.0,308.5469665527344,31,0,STANDARD,1734.649658203125,R_A6,42,17,308.5469665527344,2018-01-01
1,0.0,0.05590764805674553,298.017822265625,1,0,STANDARD,1641.094970703125,R_A2,30,22,298.017822265625,2018-03-01
2,0.0,0.05798223987221718,298.1380310058594,2,0,STANDARD,1642.8890380859375,R_A2,30,22,298.1380310058594,2018-03-01
3,0.0,0.06067502498626709,298.2582702636719,3,0,STANDARD,1644.68310546875,R_A2,30,22,298.2582702636719,2018-03-01
4,0.0,0.06784745305776596,298.3785705566406,4,0,STANDARD,1646.4771728515625,R_A2,30,22,298.3785705566406,2018-03-01
5,0.0,0.07155763357877731,298.4989013671875,5,0,STANDARD,1648.2713623046875,R_A2,30,22,298.4989013671875,2018-03-01
6,0.0,0.1433393657207489,298.61932373046875,6,0,STANDARD,1650.0654296875,R_A2,30,22,298.61932373046875,2018-03-01
7,0.0,0.25991564989089966,298.73992919921875,7,0,STANDARD,1651.859619140625,R_A2,30,22,298.73992919921875,2018-03-01
8,0.0,0.6483452916145325,298.873291015625,8,0,STANDARD,1653.6536865234375,R_A2,30,22,298.873291015625,2018-03-01
9,0.0,0.6485855579376221,299.00177001953125,9,0,STANDARD,1655.44775390625,R_A2,30,22,299.00177001953125,2018-03-01
10,0.0,0.9129635095596313,299.82916259765625,10,0,STANDARD,1657.2418212890625,R_A2,30,22,299.82916259765625,2018-03-01
11,0.0,0.07878579944372177,300.5104675292969,11,0,STANDARD,1659.1368408203125,R_A2,30,22,300.5104675292969,2018-03-01
12,0.0,0.0862499475479126,300.927734375,12,0,STANDARD,1661.132568359375,R_A2,30,22,300.927734375,2018-03-01
13,0.0,0.4577856659889221,301.0203552246094,13,0,STANDARD,1663.12841796875,R_A2,30,22,301.0203552246094,2018-03-01
14,0.0,0.5199214220046997,301.1502990722656,14,0,STANDARD,1665.1241455078125,R_A2,30,22,301.1502990722656,2018-03-01
15,0.0,0.6916693449020386,301.2830810546875,15,0,STANDARD,1667.1199951171875,R_A2,30,22,301.2830810546875,2018-03-01
16,0.0,0.9726925492286682,301.4136047363281,16,0,STANDARD,1669.11572265625,R_A2,30,22,301.4136047363281,2018-03-01
17,0.0,0.9493969082832336,301.5467224121094,17,0,STANDARD,1671.111572265625,R_A2,30,22,301.5467224121094,2018-03-01
18,0.0,0.9820559620857239,301.67236328125,18,0,STANDARD,1672.9881591796875,R_A2,30,22,301.67236328125,2018-03-01
19,0.0,0.9921706914901733,301.4722900390625,18,0,STANDARD,1674.229736328125,R_A2,29,22,301.4722900390625,2018-03-01
20,0.0,0.9553096890449524,301.5614929199219,19,0,STANDARD,1675.235107421875,R_A2,29,22,301.5614929199219,2018-03-01
21,0.0,0.49593016505241394,301.63134765625,27,0,STANDARD,1676.1676025390625,R_A2,29,22,301.63134765625,2018-03-01
22,0.0,0.9994680881500244,301.8960266113281,28,0,STANDARD,1677.9368896484375,R_A2,29,22,301.8960266113281,2018-03-01
23,-3.051589189673187e-11,1.0,302.2459716796875,29,0,STANDARD,1679.7061767578125,R_A2,29,22,302.2459716796875,2018-03-01
24,-2.0511180644569582e-14,1.0,303.1645812988281,30,0,STANDARD,1681.4754638671875,R_A2,29,22,303.1645812988281,2018-03-01
25,-2.0336276387774568e-15,1.0,303.6546325683594,31,0,STANDARD,1683.2447509765625,R_A2,29,22,303.6546325683594,2018-03-01
1,2.3300821723684797e-18,1.0,270.6747741699219,1,0,STANDARD,1685.026611328125,R_A5,20,31,270.6747741699219,2018-04-28
2,-6.935056315260574e-16,1.0,270.8914794921875,2,0,STANDARD,1687.3070068359375,R_A5,20,31,270.8914794921875,2018-04-28
3,-9.18754085634519e-16,1.0,271.10784912109375,3,0,STANDARD,1689.5875244140625,R_A5,20,31,271.10784912109375,2018-04-28
4,-9.757024400190305e-16,1.0,271.3240661621094,4,0,STANDARD,1691.8680419921875,R_A5,20,31,271.3240661621094,2018-04-28
5,-9.778557036500693e-16,1.0,271.5401306152344,5,0,STANDARD,1694.1485595703125,R_A5,20,31,271.5401306152344,2018-04-28
6,-8.296244084849747e-16,1.0,271.7560119628906,6,0,STANDARD,1696.4290771484375,R_A5,20,31,271.7560119628906,2018-04-28
7,-2.864401523911415e-16,1.0,272.29815673828125,7,0,STANDARD,1698.70947265625,R_A5,20,31,272.29815673828125,2018-04-28
8,-2.1064854233750901e-13,1.0,274.2389831542969,11,0,STANDARD,1707.6488037109375,R_A5,20,31,274.2389831542969,2018-04-28
9,-1.3953886603048499e-13,1.0,274.4203186035156,12,0,STANDARD,1709.5638427734375,R_A5,20,31,274.4203186035156,2018-04-28
10,-1.1976052094464507e-10,1.0,272.86175537109375,12,0,STANDARD,1701.7845458984375,R_A5,21,31,272.86175537109375,2018-04-28
11,-7.1662593394139495e-12,1.0,273.0587463378906,13,0,STANDARD,1703.735107421875,R_A5,21,31,273.0587463378906,2018-04-28
12,-1.1596338472807943e-11,1.0,273.2437744140625,14,0,STANDARD,1705.6856689453125,R_A5,21,31,273.2437744140625,2018-04-28
13,-1.3947927014756889e-11,1.0,273.5153503417969,15,0,STANDARD,1707.63623046875,R_A5,21,31,273.5153503417969,2018-04-28
14,-3.617671917241494e-12,1.0,274.10009765625,16,0,STANDARD,1709.5867919921875,R_A5,21,31,274.10009765625,2018-04-28
15,-3.0086043790837624e-13,1.0,274.2930908203125,17,0,STANDARD,1711.537353515625,R_A5,21,31,274.2930908203125,2018-04-28
16,-2.0608817115960049e-13,1.0,274.47344970703125,18,0,STANDARD,1713.35400390625,R_A5,21,31,274.47344970703125,2018-04-28
17,0.0,1.0,274.574951171875,19,0,STANDARD,1714.3951416015625,R_A5,21,31,274.574951171875,2018-04-28
18,-1.6179788411840867e-11,1.0,274.5495910644531,27,0,STANDARD,1715.7628173828125,R_A5,21,31,274.5495910644531,2018-04-28
19,-2.0276523515772027e-11,1.0,274.75616455078125,28,0,STANDARD,1718.098388671875,R_A5,21,31,274.75616455078125,2018-04-28
20,-3.340526510789009e-19,1.0,290.9537658691406,29,0,STANDARD,1720.43408203125,R_A5,21,31,290.9537658691406,2018-04-28
21,-2.881105293321714e-20,1.0,302.3849182128906,30,0,STANDARD,1722.7696533203125,R_A5,21,31,302.3849182128906,2018-04-28
22,-1.3673559068152764e-21,1.0,306.4344482421875,31,0,STANDARD,1725.105224609375,R_A5,21,31,306.4344482421875,2018-04-28
1,0.0,0.3085586130619049,280.55023193359375,1,0,STANDARD,1609.243408203125,R_A3,41,28,280.55023193359375,2018-07-03
2,0.0,0.200408473610878,280.6883239746094,2,0,STANDARD,1611.3077392578125,R_A3,41,28,280.6883239746094,2018-07-03
3,0.0,0.2009391188621521,280.8262023925781,3,0,STANDARD,1613.3720703125,R_A3,41,28,280.8262023925781,2018-07-03
4,0.0,0.3742087483406067,280.9857482910156,4,0,STANDARD,1615.4365234375,R_A3,41,28,280.9857482910156,2018-07-03
5,0.0,0.8185241222381592,281.3445739746094,5,0,STANDARD,1617.5008544921875,R_A3,41,28,281.3445739746094,2018-07-03
6,0.0,0.2669113874435425,281.48577880859375,6,0,STANDARD,1619.565185546875,R_A3,41,28,281.48577880859375,2018-07-03
7,0.0,0.6493086218833923,280.8334655761719,6,0,STANDARD,1609.3663330078125,R_A3,41,29,280.8334655761719,2018-07-03
8,0.0,0.19481252133846283,280.9684753417969,7,0,STANDARD,1611.4163818359375,R_A3,41,29,280.9684753417969,2018-07-03
9,0.0,0.19898122549057007,281.105224609375,8,0,STANDARD,1613.46630859375,R_A3,41,29,281.105224609375,2018-07-03
10,0.0,0.7968810200691223,281.360595703125,9,0,STANDARD,1615.516357421875,R_A3,41,29,281.360595703125,2018-07-03
11,0.0,0.8003365397453308,285.50897216796875,10,0,STANDARD,1617.5662841796875,R_A3,41,29,285.50897216796875,2018-07-03
12,0.0,0.04971146583557129,286.45513916015625,11,0,STANDARD,1619.750732421875,R_A3,41,29,286.45513916015625,2018-07-03
13,0.0,0.05374154821038246,286.6100769042969,12,0,STANDARD,1622.0697021484375,R_A3,41,29,286.6100769042969,2018-07-03
14,0.0,0.3771452307701111,286.76568603515625,13,0,STANDARD,1624.388671875,R_A3,41,29,286.76568603515625,2018-07-03
15,0.0,0.501686692237854,288.0511474609375,15,0,STANDARD,1629.026611328125,R_A3,41,29,288.0511474609375,2018-07-03
16,0.0,0.8145392537117004,288.19232177734375,16,0,STANDARD,1630.9468994140625,R_A3,41,29,288.19232177734375,2018-07-03
17,0.0,0.7529584169387817,286.7816162109375,27,0,STANDARD,1633.5262451171875,R_A3,41,29,286.7816162109375,2018-07-03
18,0.0,0.0464094802737236,286.9236145019531,28,0,STANDARD,1637.1630859375,R_A3,41,29,286.9236145019531,2018-07-03
19,0.0,0.052475277334451675,287.1667175292969,29,0,STANDARD,1640.8001708984375,R_A3,41,29,287.1667175292969,2018-07-03
20,0.0,0.8055084347724915,296.05450439453125,30,0,STANDARD,1644.4371337890625,R_A3,41,29,296.05450439453125,2018-07-03
21,0.0,0.14043539762496948,287.6090087890625,31,0,STANDARD,1648.0740966796875,R_A3,41,29,287.6090087890625,2018-07-03
1,0.0,0.05161586403846741,279.7523498535156,1,0,STANDARD,1631.1873779296875,R_A4,52,30,279.7523498535156,2018-09-12
2,0.0,0.04873322322964668,279.5166320800781,1,0,STANDARD,1627.4293212890625,R_A4,52,31,279.5166320800781,2018-09-12
3,0.0,0.05217092111706734,279.654052734375,2,0,STANDARD,1629.4896240234375,R_A4,52,31,279.654052734375,2018-09-12
4,0.0,0.05334005132317543,279.79144287109375,3,0,STANDARD,1631.5498046875,R_A4,52,31,279.79144287109375,2018-09-12
5,0.0,0.05305161699652672,279.9288330078125,4,0,STANDARD,1633.610107421875,R_A4,52,31,279.9288330078125,2018-09-12
6,0.0,0.05639089643955231,279.8785095214844,4,0,STANDARD,1632.3968505859375,R_A4,52,32,279.8785095214844,2018-09-12
7,0.0,0.05739312991499901,280.0905456542969,4,0,STANDARD,1635.880615234375,R_A4,51,32,280.0905456542969,2018-09-12
8,0.0,0.05869773030281067,280.2323913574219,4,0,STANDARD,1637.321044921875,R_A4,51,33,280.2323913574219,2018-09-12
9,0.0,0.05668627843260765,280.10919189453125,3,0,STANDARD,1635.474609375,R_A4,51,33,280.10919189453125,2018-09-12
10,0.0,0.06338002532720566,280.49835205078125,4,0,STANDARD,1642.1485595703125,R_A4,50,33,280.49835205078125,2018-09-12
11,0.0,0.0631827786564827,280.4913635253906,4,0,STANDARD,1641.132080078125,R_A4,50,34,280.4913635253906,2018-09-12
12,0.0,0.09856906533241272,280.3630065917969,3,0,STANDARD,1639.20703125,R_A4,50,34,280.3630065917969,2018-09-12
13,0.0,0.09567254036664963,280.54150390625,3,0,STANDARD,1640.9061279296875,R_A4,50,35,280.54150390625,2018-09-12
14,0.0,0.16092735528945923,280.4172058105469,2,0,STANDARD,1639.0426025390625,R_A4,50,35,280.4172058105469,2018-09-12
15,0.0,0.23755912482738495,280.52728271484375,2,0,STANDARD,1641.93212890625,R_A4,49,35,280.52728271484375,2018-09-12
16,0.0,0.2397477626800537,279.4078674316406,30,0,STANDARD,1642.357421875,R_A4,49,36,279.4078674316406,2018-09-12
17,0.0,0.20897608995437622,279.11358642578125,30,0,STANDARD,1639.6068115234375,R_A4,48,36,279.11358642578125,2018-09-12
18,0.0,0.3058864176273346,279.7274169921875,30,0,STANDARD,1646.7513427734375,R_A4,48,37,279.7274169921875,2018-09-12
19,0.0,0.754363477230072,280.4219055175781,30,0,STANDARD,1653.461669921875,R_A4,48,38,280.4219055175781,2018-09-12
20,0.0,0.6913431286811829,280.5346374511719,30,0,STANDARD,1657.8184814453125,R_A4,47,38,280.5346374511719,2018-09-12
1,5.760742211809176e-18,1.0,276.0550842285156,1,0,STANDARD,1695.20263671875,R_A6,42,17,276.0550842285156,2018-11-07
2,-1.1139846450043537e-17,1.0,276.2024230957031,2,0,STANDARD,1696.7510986328125,R_A6,42,17,276.2024230957031,2018-11-07
3,-1.068776742986493e-17,1.0,276.3484191894531,3,0,STANDARD,1698.299560546875,R_A6,42,17,276.3484191894531,2018-11-07
4,-9.76054428530729e-18,1.0,276.4924011230469,4,0,STANDARD,1699.84814453125,R_A6,42,17,276.4924011230469,2018-11-07
5,-2.5559897471500806e-17,1.0,276.6346130371094,5,0,STANDARD,1701.3966064453125,R_A6,42,17,276.6346130371094,2018-11-07
6,-1.2820915153372112e-15,1.0,276.7777099609375,6,0,STANDARD,1702.9451904296875,R_A6,42,17,276.7777099609375,2018-11-07
7,-2.365892405963954e-15,1.0,276.63336181640625,7,0,STANDARD,1704.49365234375,R_A6,42,17,276.63336181640625,2018-11-07
8,-1.7164724570623187e-15,1.0,276.7805480957031,8,0,STANDARD,1706.042236328125,R_A6,42,17,276.7805480957031,2018-11-07
9,-2.131295169807308e-16,1.0,277.2651672363281,9,0,STANDARD,1707.5906982421875,R_A6,42,17,277.2651672363281,2018-11-07
10,0.0,1.0,277.260009765625,10,0,STANDARD,1709.1392822265625,R_A6,42,17,277.260009765625,2018-11-07
11,-1.4822058443347656e-14,1.0,277.5257568359375,11,0,STANDARD,1711.055419921875,R_A6,42,17,277.5257568359375,2018-11-07
12,0.0,1.0,277.75103759765625,12,0,STANDARD,1713.3392333984375,R_A6,42,17,277.75103759765625,2018-11-07
