ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,20536493,3432631,2063991,1439325,202656911,0,0,0,0,0
Valysar,CentralSouth,53262636,8698644,5713392,3984235,560980249,0,0,0,0,0
Valysar,CentralNorth,31261173,5953481,4457316,3108309,437649982,0,0,0,0,0
Valysar,NorthHorst,3483647,544019,280055,172024,33699441,25256086,3686143,2753242,640288944,97964
Valysar,CentralRamp,13216494,2258942,1555473,1084709,152727099,0,0,0,0,0
Valysar,CentralHorst,85353264,15410094,12263311,8551821,1204096395,0,0,0,0,0
Valysar,EastLowland,6329436,1414789,938170,654233,92116039,0,0,0,0,0
Therys,WestLowland,2986676,613183,313852,218865,30816173,0,0,0,0,0
Therys,CentralSouth,8005706,1937634,1277137,890611,125398069,0,0,0,0,0
Therys,CentralNorth,16508356,2906537,1737806,1211859,170629757,0,0,0,0,0
Therys,NorthHorst,4535647,677004,278555,171103,33519019,18677699,2988325,1965139,457009050,69922
Therys,CentralRamp,6587298,1474206,1120856,781629,110053346,0,0,0,0,0
Therys,CentralHorst,28636365,7306117,5636259,3930446,553406771,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,144087,25569,14972,10440,1470009,0,0,0,0,0
Volon,CentralSouth,14711192,2434766,1634140,1139567,160451106,0,0,0,0,0
Volon,CentralNorth,5027576,722954,405994,283120,39863311,0,0,0,0,0
Volon,NorthHorst,2100944,368080,242606,149021,29193183,5481968,913575,693706,161326966,24683
Volon,CentralRamp,9305500,1717895,1340750,934972,131644119,0,0,0,0,0
Volon,CentralHorst,81242908,14683100,11538840,8046611,1132962828,0,0,0,0,0
Volon,EastLowland,4643,165,0,0,0,0,0,0,0,0
