PRESSURE,CONJPOS,CONIPOS,WELLMODEL,DEPTH,CONIDX,CONBPRES,DATE,WELL,SWAT,DRAWDOWN,SGAS,CONKPOS
300.6396484375,30,22,STANDARD,1640.59326171875,1,300.6396484375,2018-01-01,R_A2,0.05630217865109444,0,0.0,1
300.7563171386719,30,22,STANDARD,1642.333251953125,2,300.7563171386719,2018-01-01,R_A2,0.05735773593187332,0,0.0,2
300.8730163574219,30,22,STANDARD,1644.0731201171875,3,300.8730163574219,2018-01-01,R_A2,0.059476207941770554,0,0.0,3
300.98968505859375,30,22,STANDARD,1645.8131103515625,4,300.98968505859375,2018-01-01,R_A2,0.06710006296634674,0,0.0,4
301.1063537597656,30,22,STANDARD,1647.5531005859375,5,301.1063537597656,2018-01-01,R_A2,0.06824462860822678,0,0.0,5
301.2230224609375,30,22,STANDARD,1649.29296875,6,301.2230224609375,2018-01-01,R_A2,0.3094255328178406,0,0.0,6
301.3397216796875,30,22,STANDARD,1651.0328369140625,7,301.3397216796875,2018-01-01,R_A2,0.8874878287315369,0,0.0,7
301.4564208984375,30,22,STANDARD,1652.7728271484375,8,301.4564208984375,2018-01-01,R_A2,0.8731887340545654,0,0.0,8
301.5730895996094,30,22,STANDARD,1654.5128173828125,9,301.5730895996094,2018-01-01,R_A2,0.8986561894416809,0,0.0,9
301.6897888183594,30,22,STANDARD,1656.2528076171875,10,301.6897888183594,2018-01-01,R_A2,0.9092893004417419,0,0.0,10
301.81976318359375,30,22,STANDARD,1658.1904296875,11,301.81976318359375,2018-01-01,R_A2,0.07415442168712616,0,0.0,11
301.9630126953125,30,22,STANDARD,1660.3260498046875,12,301.9630126953125,2018-01-01,R_A2,0.07663188874721527,0,0.0,12
302.1062316894531,30,22,STANDARD,1662.461669921875,13,302.1062316894531,2018-01-01,R_A2,0.46060287952423096,0,0.0,13
302.2494812011719,30,22,STANDARD,1664.59716796875,14,302.2494812011719,2018-01-01,R_A2,0.5200499892234802,0,0.0,14
302.3927307128906,30,22,STANDARD,1666.732666015625,15,302.3927307128906,2018-01-01,R_A2,0.9415460824966431,0,0.0,15
302.5360107421875,30,22,STANDARD,1668.8682861328125,16,302.5360107421875,2018-01-01,R_A2,0.9479061961174011,0,0.0,16
302.67926025390625,30,22,STANDARD,1671.00390625,17,302.67926025390625,2018-01-01,R_A2,0.9539554119110107,0,0.0,17
302.77923583984375,30,22,STANDARD,1672.494140625,18,302.77923583984375,2018-01-01,R_A2,0.9802753925323486,0,0.0,18
302.86297607421875,30,22,STANDARD,1673.7420654296875,19,302.86297607421875,2018-01-01,R_A2,0.3306511342525482,0,0.0,27
303.5477294921875,29,22,STANDARD,1678.67236328125,20,303.5477294921875,2018-01-01,R_A2,1.0,0,0.0,27
303.7217712402344,29,22,STANDARD,1680.509033203125,21,303.7217712402344,2018-01-01,R_A2,1.0,0,0.0,28
303.89581298828125,29,22,STANDARD,1682.345703125,22,303.89581298828125,2018-01-01,R_A2,1.0,0,0.0,29
304.0698547363281,29,22,STANDARD,1684.1822509765625,23,304.0698547363281,2018-01-01,R_A2,1.0,0,0.0,30
304.2439270019531,29,22,STANDARD,1686.0189208984375,24,304.2439270019531,2018-01-01,R_A2,1.0,0,0.0,31
298.6651611328125,41,28,STANDARD,1611.138671875,1,298.6651611328125,2018-01-01,R_A3,0.6481541991233826,0,0.0,1
298.8072814941406,41,28,STANDARD,1613.259033203125,2,298.8072814941406,2018-01-01,R_A3,0.19875910878181458,0,0.0,2
298.9493713378906,41,28,STANDARD,1615.3792724609375,3,298.9493713378906,2018-01-01,R_A3,0.152430459856987,0,0.0,3
299.09149169921875,41,28,STANDARD,1617.4996337890625,4,299.09149169921875,2018-01-01,R_A3,0.1833995133638382,0,0.0,4
298.07659912109375,41,29,STANDARD,1602.35595703125,5,298.07659912109375,2018-01-01,R_A3,0.3609884977340698,0,0.0,4
298.2223815917969,41,29,STANDARD,1604.5316162109375,6,298.2223815917969,2018-01-01,R_A3,0.814038097858429,0,0.0,5
298.3681945800781,41,29,STANDARD,1606.7071533203125,7,298.3681945800781,2018-01-01,R_A3,0.6481541991233826,0,0.0,6
