CONJPOS,CONIPOS,DEPTH,WELL,SWAT,CONKPOS,DRAWDOWN,DATE,CONBPRES,PRESSURE,WELLMODEL,SGAS,CONIDX
30,22,1641.094970703125,R_A2,0.055880606174468994,1,0,2018-01-01,300.6733093261719,300.6733093261719,STANDARD,0.0,1
30,22,1642.8890380859375,R_A2,0.05794878676533699,2,0,2018-01-01,300.7936096191406,300.7936096191406,STANDARD,0.0,2
30,22,1644.68310546875,R_A2,0.06058797240257263,3,0,2018-01-01,300.9139099121094,300.9139099121094,STANDARD,0.0,3
30,22,1646.4771728515625,R_A2,0.0678098052740097,4,0,2018-01-01,301.0342102050781,301.0342102050781,STANDARD,0.0,4
30,22,1648.2713623046875,R_A2,0.07152793556451797,5,0,2018-01-01,301.1545104980469,301.1545104980469,STANDARD,0.0,5
30,22,1650.0654296875,R_A2,0.14327770471572876,6,0,2018-01-01,301.27484130859375,301.27484130859375,STANDARD,0.0,6
30,22,1651.859619140625,R_A2,0.2598637044429779,7,0,2018-01-01,301.3951721191406,301.3951721191406,STANDARD,0.0,7
30,22,1653.6536865234375,R_A2,0.6481541991233826,8,0,2018-01-01,301.5154724121094,301.5154724121094,STANDARD,0.0,8
30,22,1655.44775390625,R_A2,0.6481541991233826,9,0,2018-01-01,301.63580322265625,301.63580322265625,STANDARD,0.0,9
30,22,1657.2418212890625,R_A2,0.9135551452636719,10,0,2018-01-01,301.7561340332031,301.7561340332031,STANDARD,0.0,10
30,22,1659.1368408203125,R_A2,0.07876349240541458,11,0,2018-01-01,301.88323974609375,301.88323974609375,STANDARD,0.0,11
30,22,1661.132568359375,R_A2,0.0862409919500351,12,0,2018-01-01,302.01708984375,302.01708984375,STANDARD,0.0,12
30,22,1663.12841796875,R_A2,0.4577699303627014,13,0,2018-01-01,302.1509704589844,302.1509704589844,STANDARD,0.0,13
30,22,1665.1241455078125,R_A2,0.519985556602478,14,0,2018-01-01,302.28485107421875,302.28485107421875,STANDARD,0.0,14
30,22,1667.1199951171875,R_A2,0.6918675303459167,15,0,2018-01-01,302.4187316894531,302.4187316894531,STANDARD,0.0,15
30,22,1669.11572265625,R_A2,0.9727101922035217,16,0,2018-01-01,302.5526123046875,302.5526123046875,STANDARD,0.0,16
30,22,1671.111572265625,R_A2,0.9494145512580872,17,0,2018-01-01,302.6864929199219,302.6864929199219,STANDARD,0.0,17
30,22,1672.9881591796875,R_A2,0.9820622205734253,18,0,2018-01-01,302.8123779296875,302.8123779296875,STANDARD,0.0,18
29,22,1674.229736328125,R_A2,0.9921741485595703,18,0,2018-01-01,302.89569091796875,302.89569091796875,STANDARD,0.0,19
29,22,1676.1676025390625,R_A2,0.4947701394557953,27,0,2018-01-01,303.02569580078125,303.02569580078125,STANDARD,0.0,20
29,22,1677.9368896484375,R_A2,1.0,28,0,2018-01-01,303.47802734375,303.47802734375,STANDARD,0.0,21
29,22,1679.7061767578125,R_A2,1.0,29,0,2018-01-01,303.64569091796875,303.64569091796875,STANDARD,0.0,22
29,22,1681.4754638671875,R_A2,1.0,30,0,2018-01-01,303.8133544921875,303.8133544921875,STANDARD,0.0,23
29,22,1683.2447509765625,R_A2,1.0,31,0,2018-01-01,303.98101806640625,303.98101806640625,STANDARD,0.0,24
41,28,1609.243408203125,R_A3,0.30849525332450867,1,0,2018-01-01,298.53814697265625,298.53814697265625,STANDARD,0.0,1
41,28,1611.3077392578125,R_A3,0.19968974590301514,2,0,2018-01-01,298.676513671875,298.676513671875,STANDARD,0.0,2
41,28,1613.3720703125,R_A3,0.19958947598934174,3,0,2018-01-01,298.8148498535156,298.8148498535156,STANDARD,0.0,3
41,28,1615.4365234375,R_A3,0.37015843391418457,4,0,2018-01-01,298.9532165527344,298.9532165527344,STANDARD,0.0,4
41,28,1617.5008544921875,R_A3,0.8261942863464355,5,0,2018-01-01,299.0915832519531,299.0915832519531,STANDARD,0.0,5
41,28,1619.565185546875,R_A3,0.2662692070007324,6,0,2018-01-01,299.2299499511719,299.2299499511719,STANDARD,0.0,6
41,29,1609.3663330078125,R_A3,0.6481541991233826,6,0,2018-01-01,298.54638671875,298.54638671875,STANDARD,0.0,7
41,29,1611.4163818359375,R_A3,0.19361057877540588,7,0,2018-01-01,298.68377685546875,298.68377685546875,STANDARD,0.0,8
41,29,1613.46630859375,R_A3,0.19695129990577698,8,0,2018-01-01,298.8211669921875,298.8211669921875,STANDARD,0.0,9
41,29,1615.516357421875,R_A3,0.7978300452232361,9,0,2018-01-01,298.95855712890625,298.95855712890625,STANDARD,0.0,10
41,29,1617.5662841796875,R_A3,0.8037355542182922,10,0,2018-01-01,299.095947265625,299.095947265625,STANDARD,0.0,11
41,29,1619.750732421875,R_A3,0.0496298223733902,11,0,2018-01-01,299.24237060546875,299.24237060546875,STANDARD,0.0,12
41,29,1622.0697021484375,R_A3,0.053643446415662766,12,0,2018-01-01,299.3978271484375,299.3978271484375,STANDARD,0.0,13
41,29,1624.388671875,R_A3,0.37673479318618774,13,0,2018-01-01,299.5532531738281,299.5532531738281,STANDARD,0.0,14
41,29,1629.026611328125,R_A3,0.5016454458236694,15,0,2018-01-01,299.8641662597656,299.8641662597656,STANDARD,0.0,15
41,29,1630.9468994140625,R_A3,0.8152031302452087,16,0,2018-01-01,299.992919921875,299.992919921875,STANDARD,0.0,16
41,29,1633.5262451171875,R_A3,0.7525281310081482,27,0,2018-01-01,300.16583251953125,300.16583251953125,STANDARD,0.0,17
41,29,1637.1630859375,R_A3,0.04628218337893486,28,0,2018-01-01,300.40966796875,300.40966796875,STANDARD,0.0,18
41,29,1640.8001708984375,R_A3,0.05226979777216911,29,0,2018-01-01,300.6535339355469,300.6535339355469,STANDARD,0.0,19
41,29,1644.4371337890625,R_A3,0.8057911992073059,30,0,2018-01-01,300.89739990234375,300.89739990234375,STANDARD,0.0,20
41,29,1648.0740966796875,R_A3,0.13994601368904114,31,0,2018-01-01,301.14129638671875,301.14129638671875,STANDARD,0.0,21
52,30,1631.1873779296875,R_A4,0.05151934176683426,1,0,2018-01-01,300.009033203125,300.009033203125,STANDARD,0.0,1
52,31,1627.4293212890625,R_A4,0.04863721504807472,1,0,2018-01-01,299.7571105957031,299.7571105957031,STANDARD,0.0,2
52,31,1629.4896240234375,R_A4,0.0520753338932991,2,0,2018-01-01,299.89520263671875,299.89520263671875,STANDARD,0.0,3
52,31,1631.5498046875,R_A4,0.05323897302150726,3,0,2018-01-01,300.0333251953125,300.0333251953125,STANDARD,0.0,4
52,31,1633.610107421875,R_A4,0.0529385581612587,4,0,2018-01-01,300.17144775390625,300.17144775390625,STANDARD,0.0,5
52,32,1632.3968505859375,R_A4,0.056289657950401306,4,0,2018-01-01,300.0901184082031,300.0901184082031,STANDARD,0.0,6
51,32,1635.880615234375,R_A4,0.057290755212306976,4,0,2018-01-01,300.3236999511719,300.3236999511719,STANDARD,0.0,7
51,33,1637.321044921875,R_A4,0.05848418176174164,4,0,2018-01-01,300.4202575683594,300.4202575683594,STANDARD,0.0,8
51,33,1635.474609375,R_A4,0.056494034826755524,3,0,2018-01-01,300.29644775390625,300.29644775390625,STANDARD,0.0,9
50,33,1642.1485595703125,R_A4,0.06261570006608963,4,0,2018-01-01,300.74395751953125,300.74395751953125,STANDARD,0.0,10
50,34,1641.132080078125,R_A4,0.06255142390727997,4,0,2018-01-01,300.67578125,300.67578125,STANDARD,0.0,11
50,34,1639.20703125,R_A4,0.09832502156496048,3,0,2018-01-01,300.5467224121094,300.5467224121094,STANDARD,0.0,12
50,35,1640.9061279296875,R_A4,0.0954970121383667,3,0,2018-01-01,300.66064453125,300.66064453125,STANDARD,0.0,13
50,35,1639.0426025390625,R_A4,0.16065853834152222,2,0,2018-01-01,300.53570556640625,300.53570556640625,STANDARD,0.0,14
49,35,1641.93212890625,R_A4,0.2374390959739685,2,0,2018-01-01,300.72943115234375,300.72943115234375,STANDARD,0.0,15
49,36,1642.357421875,R_A4,0.24230048060417175,30,0,2018-01-01,300.7579650878906,300.7579650878906,STANDARD,0.0,16
48,36,1639.6068115234375,R_A4,0.19549621641635895,30,0,2018-01-01,300.5735168457031,300.5735168457031,STANDARD,0.0,17
48,37,1646.7513427734375,R_A4,0.2985859513282776,30,0,2018-01-01,301.0526123046875,301.0526123046875,STANDARD,0.0,18
48,38,1653.461669921875,R_A4,0.6481541991233826,30,0,2018-01-01,301.5025939941406,301.5025939941406,STANDARD,0.0,19
47,38,1657.8184814453125,R_A4,0.6481541991233826,30,0,2018-01-01,301.7947998046875,301.7947998046875,STANDARD,0.0,20
20,31,1685.026611328125,R_A5,1.0,1,0,2018-01-01,303.8440856933594,303.8440856933594,STANDARD,0.0,1
20,31,1687.3070068359375,R_A5,1.0,2,0,2018-01-01,304.0601806640625,304.0601806640625,STANDARD,0.0,2
20,31,1689.5875244140625,R_A5,1.0,3,0,2018-01-01,304.27630615234375,304.27630615234375,STANDARD,0.0,3
20,31,1691.8680419921875,R_A5,1.0,4,0,2018-01-01,304.4924011230469,304.4924011230469,STANDARD,0.0,4
20,31,1694.1485595703125,R_A5,1.0,5,0,2018-01-01,304.7085266113281,304.7085266113281,STANDARD,0.0,5
20,31,1696.4290771484375,R_A5,1.0,6,0,2018-01-01,304.9246520996094,304.9246520996094,STANDARD,0.0,6
20,31,1698.70947265625,R_A5,1.0,7,0,2018-01-01,305.446533203125,305.446533203125,STANDARD,0.0,7
20,31,1707.6488037109375,R_A5,1.0,11,0,2018-01-01,305.988037109375,305.988037109375,STANDARD,0.0,8
20,31,1709.5638427734375,R_A5,1.0,12,0,2018-01-01,306.1695251464844,306.1695251464844,STANDARD,0.0,9
21,31,1701.7845458984375,R_A5,1.0,12,0,2018-01-01,305.4322814941406,305.4322814941406,STANDARD,0.0,10
21,31,1703.735107421875,R_A5,1.0,13,0,2018-01-01,305.6291198730469,305.6291198730469,STANDARD,0.0,11
21,31,1705.6856689453125,R_A5,1.0,14,0,2018-01-01,305.81396484375,305.81396484375,STANDARD,0.0,12
21,31,1707.63623046875,R_A5,1.0,15,0,2018-01-01,305.9988098144531,305.9988098144531,STANDARD,0.0,13
21,31,1709.5867919921875,R_A5,1.0,16,0,2018-01-01,306.3287048339844,306.3287048339844,STANDARD,0.0,14
21,31,1711.537353515625,R_A5,1.0,17,0,2018-01-01,306.5135498046875,306.5135498046875,STANDARD,0.0,15
21,31,1713.35400390625,R_A5,1.0,18,0,2018-01-01,306.6856994628906,306.6856994628906,STANDARD,0.0,16
21,31,1714.3951416015625,R_A5,1.0,19,0,2018-01-01,306.7843933105469,306.7843933105469,STANDARD,0.0,17
21,31,1715.7628173828125,R_A5,1.0,27,0,2018-01-01,306.75689697265625,306.75689697265625,STANDARD,0.0,18
21,31,1718.098388671875,R_A5,1.0,28,0,2018-01-01,306.978271484375,306.978271484375,STANDARD,0.0,19
21,31,1720.43408203125,R_A5,1.0,29,0,2018-01-01,307.5054016113281,307.5054016113281,STANDARD,0.0,20
21,31,1722.7696533203125,R_A5,1.0,30,0,2018-01-01,307.7267761230469,307.7267761230469,STANDARD,0.0,21
