CONIDX,CONIPOS,DATE,CONKPOS,WELL,PRESSURE,DEPTH,DRAWDOWN,CONBPRES,CONJPOS,SGAS,WELLMODEL,SWAT
1,22,2018-01-01,1,R_A2,300.9158630371094,1642.8736572265625,0,300.9158630371094,30,0.0,STANDARD,0.05473716929554939
2,22,2018-01-01,2,R_A2,301.0384826660156,1644.701904296875,0,301.0384826660156,30,0.0,STANDARD,0.05686967819929123
3,22,2018-01-01,3,R_A2,301.16107177734375,1646.5302734375,0,301.16107177734375,30,0.0,STANDARD,0.060283686965703964
4,22,2018-01-01,4,R_A2,301.28369140625,1648.3585205078125,0,301.28369140625,30,0.0,STANDARD,0.06646629422903061
5,22,2018-01-01,5,R_A2,301.40631103515625,1650.186767578125,0,301.40631103515625,30,0.0,STANDARD,0.06890467554330826
6,22,2018-01-01,6,R_A2,301.5289306640625,1652.01513671875,0,301.5289306640625,30,0.0,STANDARD,0.23170015215873718
7,22,2018-01-01,7,R_A2,301.65155029296875,1653.8433837890625,0,301.65155029296875,30,0.0,STANDARD,0.30972158908843994
8,22,2018-01-01,8,R_A2,301.774169921875,1655.671630859375,0,301.774169921875,30,0.0,STANDARD,0.6481541991233826
9,22,2018-01-01,9,R_A2,301.89678955078125,1657.5,0,301.89678955078125,30,0.0,STANDARD,0.8778417706489563
10,22,2018-01-01,10,R_A2,302.0194091796875,1659.3282470703125,0,302.0194091796875,30,0.0,STANDARD,0.8882056474685669
11,22,2018-01-01,11,R_A2,302.1464538574219,1661.22216796875,0,302.1464538574219,30,0.0,STANDARD,0.07271740585565567
12,22,2018-01-01,12,R_A2,302.27789306640625,1663.181640625,0,302.27789306640625,30,0.0,STANDARD,0.0756407082080841
13,22,2018-01-01,13,R_A2,302.4093322753906,1665.14111328125,0,302.4093322753906,30,0.0,STANDARD,0.429414838552475
14,22,2018-01-01,14,R_A2,302.540771484375,1667.1007080078125,0,302.540771484375,30,0.0,STANDARD,0.47965583205223083
15,22,2018-01-01,15,R_A2,302.6722412109375,1669.0601806640625,0,302.6722412109375,30,0.0,STANDARD,0.6505358815193176
16,22,2018-01-01,16,R_A2,302.8036804199219,1671.0196533203125,0,302.8036804199219,30,0.0,STANDARD,0.9456605911254883
17,22,2018-01-01,16,R_A2,302.7857360839844,1670.7518310546875,0,302.7857360839844,29,0.0,STANDARD,0.947265625
18,22,2018-01-01,17,R_A2,302.92864990234375,1672.882080078125,0,302.92864990234375,29,0.0,STANDARD,0.9109919667243958
19,22,2018-01-01,18,R_A2,303.0625915527344,1674.878662109375,0,303.0625915527344,29,0.0,STANDARD,0.9585105180740356
20,22,2018-01-01,19,R_A2,303.13653564453125,1675.98095703125,0,303.13653564453125,29,0.0,STANDARD,0.9669483304023743
21,22,2018-01-01,26,R_A2,303.2069091796875,1677.029541015625,0,303.2069091796875,29,0.0,STANDARD,0.6481541991233826
22,22,2018-01-01,27,R_A2,303.32470703125,1678.785400390625,0,303.32470703125,29,0.0,STANDARD,1.0
23,22,2018-01-01,28,R_A2,303.4425354003906,1680.5413818359375,0,303.4425354003906,29,0.0,STANDARD,1.0
24,22,2018-01-01,29,R_A2,303.8912353515625,1682.2972412109375,0,303.8912353515625,29,0.0,STANDARD,1.0
25,22,2018-01-01,30,R_A2,304.0576171875,1684.0531005859375,0,304.0576171875,29,0.0,STANDARD,1.0
1,28,2018-01-01,1,R_A3,298.76416015625,1610.77685546875,0,298.76416015625,41,0.0,STANDARD,0.6481541991233826
