DRAWDOWN,PRESSURE,CONKPOS,SWAT,DEPTH,SGAS,CONIDX,CONJPOS,CONBPRES,CONIPOS,WELLMODEL,DATE,WELL
0,300.75872802734375,1,0.05315535515546799,1640.39404296875,0.0,1,30,300.75872802734375,22,STANDARD,2018-01-01,R_A2
0,300.8741149902344,2,0.053919825702905655,1642.1148681640625,0.0,2,30,300.8741149902344,22,STANDARD,2018-01-01,R_A2
0,300.989501953125,3,0.055844057351350784,1643.835693359375,0.0,3,30,300.989501953125,22,STANDARD,2018-01-01,R_A2
0,301.10491943359375,4,0.06259188801050186,1645.5565185546875,0.0,4,30,301.10491943359375,22,STANDARD,2018-01-01,R_A2
0,301.2203063964844,5,0.06324104219675064,1647.27734375,0.0,5,30,301.2203063964844,22,STANDARD,2018-01-01,R_A2
0,301.335693359375,6,0.6481541991233826,1648.998046875,0.0,6,30,301.335693359375,22,STANDARD,2018-01-01,R_A2
0,301.45111083984375,7,0.8668327331542969,1650.7188720703125,0.0,7,30,301.45111083984375,22,STANDARD,2018-01-01,R_A2
0,301.5665283203125,8,0.6481541991233826,1652.439697265625,0.0,8,30,301.5665283203125,22,STANDARD,2018-01-01,R_A2
0,301.6819152832031,9,0.16336587071418762,1654.160400390625,0.0,9,30,301.6819152832031,22,STANDARD,2018-01-01,R_A2
0,301.7973327636719,10,0.17708376049995422,1655.8812255859375,0.0,10,30,301.7973327636719,22,STANDARD,2018-01-01,R_A2
0,301.92449951171875,11,0.06743395328521729,1657.77734375,0.0,11,30,301.92449951171875,22,STANDARD,2018-01-01,R_A2
0,302.0634460449219,12,0.06278291344642639,1659.8487548828125,0.0,12,30,302.0634460449219,22,STANDARD,2018-01-01,R_A2
0,302.202392578125,13,0.42656829953193665,1661.920166015625,0.0,13,30,302.202392578125,22,STANDARD,2018-01-01,R_A2
0,302.3413391113281,14,0.4628443717956543,1663.991455078125,0.0,14,30,302.3413391113281,22,STANDARD,2018-01-01,R_A2
0,302.48028564453125,15,0.8932847380638123,1666.0628662109375,0.0,15,30,302.48028564453125,22,STANDARD,2018-01-01,R_A2
0,302.6192626953125,16,0.8972412347793579,1668.13427734375,0.0,16,30,302.6192626953125,22,STANDARD,2018-01-01,R_A2
0,302.7582092285156,17,0.876663327217102,1670.2056884765625,0.0,17,30,302.7582092285156,22,STANDARD,2018-01-01,R_A2
0,303.15667724609375,17,0.9650905728340149,1676.14501953125,0.0,18,29,303.15667724609375,22,STANDARD,2018-01-01,R_A2
0,303.2672424316406,18,1.0,1677.7926025390625,0.0,19,29,303.2672424316406,22,STANDARD,2018-01-01,R_A2
0,303.36553955078125,26,0.6981144547462463,1679.2576904296875,0.0,20,29,303.36553955078125,22,STANDARD,2018-01-01,R_A2
0,303.4814147949219,27,0.8227101564407349,1680.9849853515625,0.0,21,29,303.4814147949219,22,STANDARD,2018-01-01,R_A2
0,303.9305725097656,28,1.0,1682.7122802734375,0.0,22,29,303.9305725097656,22,STANDARD,2018-01-01,R_A2
0,304.09423828125,29,1.0,1684.4395751953125,0.0,23,29,304.09423828125,22,STANDARD,2018-01-01,R_A2
0,304.2579345703125,30,1.0,1686.1668701171875,0.0,24,29,304.2579345703125,22,STANDARD,2018-01-01,R_A2
0,298.6007385253906,1,0.6481541991233826,1608.2022705078125,0.0,1,41,298.6007385253906,28,STANDARD,2018-01-01,R_A3
0,298.73699951171875,2,0.14891934394836426,1610.2357177734375,0.0,2,41,298.73699951171875,28,STANDARD,2018-01-01,R_A3
0,298.3015441894531,3,0.11823459714651108,1603.73779296875,0.0,3,41,298.3015441894531,29,STANDARD,2018-01-01,R_A3
0,298.442138671875,4,0.13789118826389313,1605.8359375,0.0,4,41,298.442138671875,29,STANDARD,2018-01-01,R_A3
0,298.582763671875,5,0.8112548589706421,1607.93408203125,0.0,5,41,298.582763671875,29,STANDARD,2018-01-01,R_A3
0,298.7233581542969,6,0.21702630817890167,1610.0321044921875,0.0,6,41,298.7233581542969,29,STANDARD,2018-01-01,R_A3
0,298.8639831542969,7,0.19431273639202118,1612.1302490234375,0.0,7,41,298.8639831542969,29,STANDARD,2018-01-01,R_A3
0,299.0046081542969,8,0.23920303583145142,1614.2283935546875,0.0,8,41,299.0046081542969,29,STANDARD,2018-01-01,R_A3
0,299.1452331542969,9,0.7933800220489502,1616.3265380859375,0.0,9,41,299.1452331542969,29,STANDARD,2018-01-01,R_A3
0,299.2858581542969,10,0.7951138615608215,1618.424560546875,0.0,10,41,299.2858581542969,29,STANDARD,2018-01-01,R_A3
0,299.4330139160156,11,0.047390565276145935,1620.6199951171875,0.0,11,41,299.4330139160156,29,STANDARD,2018-01-01,R_A3
0,299.5867004394531,12,0.05398697778582573,1622.9127197265625,0.0,12,41,299.5867004394531,29,STANDARD,2018-01-01,R_A3
0,299.74041748046875,13,0.24269898235797882,1625.2054443359375,0.0,13,41,299.74041748046875,29,STANDARD,2018-01-01,R_A3
0,299.89410400390625,14,0.054816510528326035,1627.4981689453125,0.0,14,41,299.89410400390625,29,STANDARD,2018-01-01,R_A3
0,300.0478210449219,15,0.49231886863708496,1629.790771484375,0.0,15,41,300.0478210449219,29,STANDARD,2018-01-01,R_A3
0,300.1853942871094,16,0.8031982183456421,1631.843017578125,0.0,16,41,300.1853942871094,29,STANDARD,2018-01-01,R_A3
0,300.3686218261719,26,0.15570588409900665,1634.57568359375,0.0,17,41,300.3686218261719,29,STANDARD,2018-01-01,R_A3
0,300.6104431152344,27,0.04471873119473457,1638.1826171875,0.0,18,41,300.6104431152344,29,STANDARD,2018-01-01,R_A3
0,300.852294921875,28,0.048915717750787735,1641.7894287109375,0.0,19,41,300.852294921875,29,STANDARD,2018-01-01,R_A3
0,301.0941467285156,29,0.6481541991233826,1645.396240234375,0.0,20,41,301.0941467285156,29,STANDARD,2018-01-01,R_A3
0,301.3360290527344,30,0.06178644299507141,1649.003173828125,0.0,21,41,301.3360290527344,29,STANDARD,2018-01-01,R_A3
0,300.20367431640625,1,0.04964070022106171,1632.115478515625,0.0,1,52,300.20367431640625,30,STANDARD,2018-01-01,R_A4
0,299.867919921875,1,0.047132398933172226,1627.1075439453125,0.0,2,52,299.867919921875,31,STANDARD,2018-01-01,R_A4
0,300.0058898925781,2,0.049710024148225784,1629.16552734375,0.0,3,52,300.0058898925781,31,STANDARD,2018-01-01,R_A4
0,300.14385986328125,3,0.051189202815294266,1631.2235107421875,0.0,4,52,300.14385986328125,31,STANDARD,2018-01-01,R_A4
0,300.2818298339844,4,0.05301296338438988,1633.2816162109375,0.0,5,52,300.2818298339844,31,STANDARD,2018-01-01,R_A4
0,300.24945068359375,4,0.05496569350361824,1632.79833984375,0.0,6,52,300.24945068359375,32,STANDARD,2018-01-01,R_A4
0,300.4312744140625,4,0.055276669561862946,1635.5103759765625,0.0,7,51,300.4312744140625,32,STANDARD,2018-01-01,R_A4
0,300.53973388671875,4,0.05829602852463722,1637.1279296875,0.0,8,51,300.53973388671875,33,STANDARD,2018-01-01,R_A4
0,300.7652282714844,4,0.060053501278162,1640.4912109375,0.0,9,50,300.7652282714844,33,STANDARD,2018-01-01,R_A4
0,300.713134765625,4,0.05965742841362953,1639.714111328125,0.0,10,50,300.713134765625,34,STANDARD,2018-01-01,R_A4
0,300.7696838378906,4,0.058620184659957886,1640.5574951171875,0.0,11,50,300.7696838378906,35,STANDARD,2018-01-01,R_A4
0,300.650390625,3,0.19759561121463776,1638.7784423828125,0.0,12,50,300.650390625,35,STANDARD,2018-01-01,R_A4
0,301.01422119140625,3,0.1876407265663147,1644.2039794921875,0.0,13,49,301.01422119140625,35,STANDARD,2018-01-01,R_A4
0,300.8982238769531,2,0.2308552861213684,1642.47412109375,0.0,14,49,300.8982238769531,35,STANDARD,2018-01-01,R_A4
0,300.9438781738281,29,0.21253997087478638,1643.1552734375,0.0,15,49,300.9438781738281,36,STANDARD,2018-01-01,R_A4
0,300.9415588378906,29,0.05598722770810127,1643.1207275390625,0.0,16,48,300.9415588378906,36,STANDARD,2018-01-01,R_A4
0,301.3512878417969,29,1.0,1649.2305908203125,0.0,17,48,301.3512878417969,37,STANDARD,2018-01-01,R_A4
0,301.719970703125,29,0.6481541991233826,1654.7276611328125,0.0,18,48,301.719970703125,38,STANDARD,2018-01-01,R_A4
0,301.3329772949219,28,0.05829362943768501,1648.9576416015625,0.0,19,48,301.3329772949219,38,STANDARD,2018-01-01,R_A4
0,301.93402099609375,28,0.1148114800453186,1657.919189453125,0.0,20,47,301.93402099609375,38,STANDARD,2018-01-01,R_A4
0,303.90509033203125,1,1.0,1685.6705322265625,0.0,1,20,303.90509033203125,31,STANDARD,2018-01-01,R_A5
0,304.1014099121094,2,1.0,1687.7420654296875,0.0,2,20,304.1014099121094,31,STANDARD,2018-01-01,R_A5
