SGAS,DATE,CONBPRES,PRESSURE,CONIDX,WELL,CONIPOS,DEPTH,WELLMODEL,CONJPOS,CONKPOS,DRAWDOWN,SWAT
0.0,2018-01-01,300.67108154296875,300.67108154296875,1,R_A2,22,1641.094970703125,STANDARD,30,1,0,0.05593767389655113
0.0,2018-01-01,300.7913818359375,300.7913818359375,2,R_A2,22,1642.8890380859375,STANDARD,30,2,0,0.058011069893836975
0.0,2018-01-01,300.91168212890625,300.91168212890625,3,R_A2,22,1644.68310546875,STANDARD,30,3,0,0.06065679341554642
0.0,2018-01-01,301.0320129394531,301.0320129394531,4,R_A2,22,1646.4771728515625,STANDARD,30,4,0,0.06789152324199677
0.0,2018-01-01,301.1523132324219,301.1523132324219,5,R_A2,22,1648.2713623046875,STANDARD,30,5,0,0.07161935418844223
0.0,2018-01-01,301.2726135253906,301.2726135253906,6,R_A2,22,1650.0654296875,STANDARD,30,6,0,0.14340747892856598
0.0,2018-01-01,301.3929443359375,301.3929443359375,7,R_A2,22,1651.859619140625,STANDARD,30,7,0,0.2600412964820862
0.0,2018-01-01,301.5132751464844,301.5132751464844,8,R_A2,22,1653.6536865234375,STANDARD,30,8,0,0.6481541991233826
0.0,2018-01-01,301.63360595703125,301.63360595703125,9,R_A2,22,1655.44775390625,STANDARD,30,9,0,0.6481541991233826
0.0,2018-01-01,301.7539367675781,301.7539367675781,10,R_A2,22,1657.2418212890625,STANDARD,30,10,0,0.9140340685844421
0.0,2018-01-01,301.8810119628906,301.8810119628906,11,R_A2,22,1659.1368408203125,STANDARD,30,11,0,0.07892885059118271
0.0,2018-01-01,302.014892578125,302.014892578125,12,R_A2,22,1661.132568359375,STANDARD,30,12,0,0.0864778384566307
0.0,2018-01-01,302.14874267578125,302.14874267578125,13,R_A2,22,1663.12841796875,STANDARD,30,13,0,0.45840007066726685
0.0,2018-01-01,302.2826232910156,302.2826232910156,14,R_A2,22,1665.1241455078125,STANDARD,30,14,0,0.5209764242172241
0.0,2018-01-01,302.41650390625,302.41650390625,15,R_A2,22,1667.1199951171875,STANDARD,30,15,0,0.6928402185440063
0.0,2018-01-01,302.5503845214844,302.5503845214844,16,R_A2,22,1669.11572265625,STANDARD,30,16,0,0.9733073711395264
0.0,2018-01-01,302.68426513671875,302.68426513671875,17,R_A2,22,1671.111572265625,STANDARD,30,17,0,0.9506317973136902
0.0,2018-01-01,302.8101806640625,302.8101806640625,18,R_A2,22,1672.9881591796875,STANDARD,30,18,0,0.9825805425643921
0.0,2018-01-01,302.8934631347656,302.8934631347656,19,R_A2,22,1674.229736328125,STANDARD,29,18,0,0.9925645589828491
0.0,2018-01-01,303.0234680175781,303.0234680175781,20,R_A2,22,1676.1676025390625,STANDARD,29,27,0,0.4967464506626129
0.0,2018-01-01,303.47802734375,303.47802734375,21,R_A2,22,1677.9368896484375,STANDARD,29,28,0,1.0
0.0,2018-01-01,303.64569091796875,303.64569091796875,22,R_A2,22,1679.7061767578125,STANDARD,29,29,0,1.0
0.0,2018-01-01,303.8133544921875,303.8133544921875,23,R_A2,22,1681.4754638671875,STANDARD,29,30,0,1.0
0.0,2018-01-01,303.98101806640625,303.98101806640625,24,R_A2,22,1683.2447509765625,STANDARD,29,31,0,1.0
0.0,2018-01-01,298.53594970703125,298.53594970703125,1,R_A3,28,1609.243408203125,STANDARD,41,1,0,0.30857419967651367
0.0,2018-01-01,298.6742858886719,298.6742858886719,2,R_A3,28,1611.3077392578125,STANDARD,41,2,0,0.1997637003660202
0.0,2018-01-01,298.8126525878906,298.8126525878906,3,R_A3,28,1613.3720703125,STANDARD,41,3,0,0.19966605305671692
0.0,2018-01-01,298.95098876953125,298.95098876953125,4,R_A3,28,1615.4365234375,STANDARD,41,4,0,0.3702510893344879
0.0,2018-01-01,299.08935546875,299.08935546875,5,R_A3,28,1617.5008544921875,STANDARD,41,5,0,0.8263343572616577
0.0,2018-01-01,299.22772216796875,299.22772216796875,6,R_A3,28,1619.565185546875,STANDARD,41,6,0,0.26635515689849854
0.0,2018-01-01,298.544189453125,298.544189453125,7,R_A3,29,1609.3663330078125,STANDARD,41,6,0,0.6481541991233826
0.0,2018-01-01,298.68157958984375,298.68157958984375,8,R_A3,29,1611.4163818359375,STANDARD,41,7,0,0.19368241727352142
0.0,2018-01-01,298.8189697265625,298.8189697265625,9,R_A3,29,1613.46630859375,STANDARD,41,8,0,0.19702675938606262
0.0,2018-01-01,298.95635986328125,298.95635986328125,10,R_A3,29,1615.516357421875,STANDARD,41,9,0,0.7979600429534912
0.0,2018-01-01,299.09375,299.09375,11,R_A3,29,1617.5662841796875,STANDARD,41,10,0,0.8038702011108398
0.0,2018-01-01,299.24017333984375,299.24017333984375,12,R_A3,29,1619.750732421875,STANDARD,41,11,0,0.04966146871447563
0.0,2018-01-01,299.3955993652344,299.3955993652344,13,R_A3,29,1622.0697021484375,STANDARD,41,12,0,0.05367913097143173
0.0,2018-01-01,299.5510559082031,299.5510559082031,14,R_A3,29,1624.388671875,STANDARD,41,13,0,0.37686267495155334
0.0,2018-01-01,299.8619689941406,299.8619689941406,15,R_A3,29,1629.026611328125,STANDARD,41,15,0,0.5017861723899841
0.0,2018-01-01,299.9906921386719,299.9906921386719,16,R_A3,29,1630.9468994140625,STANDARD,41,16,0,0.8153811097145081
0.0,2018-01-01,300.16363525390625,300.16363525390625,17,R_A3,29,1633.5262451171875,STANDARD,41,27,0,0.7525383234024048
0.0,2018-01-01,300.407470703125,300.407470703125,18,R_A3,29,1637.1630859375,STANDARD,41,28,0,0.04632478952407837
0.0,2018-01-01,300.6513366699219,300.6513366699219,19,R_A3,29,1640.8001708984375,STANDARD,41,29,0,0.05232292413711548
0.0,2018-01-01,300.89520263671875,300.89520263671875,20,R_A3,29,1644.4371337890625,STANDARD,41,30,0,0.8058086037635803
0.0,2018-01-01,301.1390686035156,301.1390686035156,21,R_A3,29,1648.0740966796875,STANDARD,41,31,0,0.1400221586227417
0.0,2018-01-01,300.0068359375,300.0068359375,1,R_A4,30,1631.1873779296875,STANDARD,52,1,0,0.051560308784246445
0.0,2018-01-01,299.7548828125,299.7548828125,2,R_A4,31,1627.4293212890625,STANDARD,52,1,0,0.04867294803261757
0.0,2018-01-01,299.89300537109375,299.89300537109375,3,R_A4,31,1629.4896240234375,STANDARD,52,2,0,0.05211525037884712
0.0,2018-01-01,300.0311279296875,300.0311279296875,4,R_A4,31,1631.5498046875,STANDARD,52,3,0,0.05328165367245674
0.0,2018-01-01,300.16925048828125,300.16925048828125,5,R_A4,31,1633.610107421875,STANDARD,52,4,0,0.05298298969864845
0.0,2018-01-01,300.0879211425781,300.0879211425781,6,R_A4,32,1632.3968505859375,STANDARD,52,4,0,0.056335605680942535
0.0,2018-01-01,300.32147216796875,300.32147216796875,7,R_A4,32,1635.880615234375,STANDARD,51,4,0,0.05734161287546158
0.0,2018-01-01,300.4180603027344,300.4180603027344,8,R_A4,33,1637.321044921875,STANDARD,51,4,0,0.05853784456849098
0.0,2018-01-01,300.29425048828125,300.29425048828125,9,R_A4,33,1635.474609375,STANDARD,51,3,0,0.056543588638305664
0.0,2018-01-01,300.7417297363281,300.7417297363281,10,R_A4,33,1642.1485595703125,STANDARD,50,4,0,0.06268136203289032
0.0,2018-01-01,300.673583984375,300.673583984375,11,R_A4,34,1641.132080078125,STANDARD,50,4,0,0.06261496245861053
0.0,2018-01-01,300.54449462890625,300.54449462890625,12,R_A4,34,1639.20703125,STANDARD,50,3,0,0.09840419888496399
0.0,2018-01-01,300.6584167480469,300.6584167480469,13,R_A4,35,1640.9061279296875,STANDARD,50,3,0,0.09557680785655975
0.0,2018-01-01,300.5334777832031,300.5334777832031,14,R_A4,35,1639.0426025390625,STANDARD,50,2,0,0.1607694923877716
0.0,2018-01-01,300.72723388671875,300.72723388671875,15,R_A4,35,1641.93212890625,STANDARD,49,2,0,0.23760364949703217
0.0,2018-01-01,300.7557373046875,300.7557373046875,16,R_A4,36,1642.357421875,STANDARD,49,30,0,0.24234621226787567
0.0,2018-01-01,300.5713195800781,300.5713195800781,17,R_A4,36,1639.6068115234375,STANDARD,48,30,0,0.19554510712623596
0.0,2018-01-01,301.0503845214844,301.0503845214844,18,R_A4,37,1646.7513427734375,STANDARD,48,30,0,0.29863807559013367
