SWAT,CONJPOS,DEPTH,WELLMODEL,WELL,PRESSURE,CONIPOS,SGAS,DATE,CONBPRES,DRAWDOWN,CONIDX,CONKPOS
0.06132970005273819,30,1644.68310546875,STANDARD,R_A2,300.9139099121094,22,0.0,2018-01-01,300.9139099121094,0,3,3
0.06751589477062225,30,1646.4771728515625,STANDARD,R_A2,301.0342102050781,22,0.0,2018-01-01,301.0342102050781,0,4,4
0.07101739197969437,30,1648.2713623046875,STANDARD,R_A2,301.1545104980469,22,0.0,2018-01-01,301.1545104980469,0,5,5
0.3220924139022827,30,1650.0654296875,STANDARD,R_A2,301.27484130859375,22,0.0,2018-01-01,301.27484130859375,0,6,6
0.6901668310165405,30,1651.859619140625,STANDARD,R_A2,301.3951721191406,22,0.0,2018-01-01,301.3951721191406,0,7,7
0.6481541991233826,30,1653.6536865234375,STANDARD,R_A2,301.5154724121094,22,0.0,2018-01-01,301.5154724121094,0,8,8
0.6481541991233826,30,1655.44775390625,STANDARD,R_A2,301.63580322265625,22,0.0,2018-01-01,301.63580322265625,0,9,9
0.9162277579307556,30,1657.2418212890625,STANDARD,R_A2,301.7561340332031,22,0.0,2018-01-01,301.7561340332031,0,10,10
0.07591938227415085,30,1659.1368408203125,STANDARD,R_A2,301.88323974609375,22,0.0,2018-01-01,301.88323974609375,0,11,11
0.08079689741134644,30,1661.132568359375,STANDARD,R_A2,302.01708984375,22,0.0,2018-01-01,302.01708984375,0,12,12
0.45630839467048645,30,1663.12841796875,STANDARD,R_A2,302.1509704589844,22,0.0,2018-01-01,302.1509704589844,0,13,13
0.503816545009613,30,1665.1241455078125,STANDARD,R_A2,302.28485107421875,22,0.0,2018-01-01,302.28485107421875,0,14,14
0.6866241097450256,30,1667.1199951171875,STANDARD,R_A2,302.4187316894531,22,0.0,2018-01-01,302.4187316894531,0,15,15
0.9751048684120178,30,1669.11572265625,STANDARD,R_A2,302.5526123046875,22,0.0,2018-01-01,302.5526123046875,0,16,16
0.9595911502838135,30,1671.111572265625,STANDARD,R_A2,302.6864929199219,22,0.0,2018-01-01,302.6864929199219,0,17,17
0.980763852596283,30,1672.9881591796875,STANDARD,R_A2,302.8123779296875,22,0.0,2018-01-01,302.8123779296875,0,18,18
0.999263346195221,29,1674.229736328125,STANDARD,R_A2,302.89569091796875,22,0.0,2018-01-01,302.89569091796875,0,19,18
1.0,29,1676.1676025390625,STANDARD,R_A2,303.02569580078125,22,0.0,2018-01-01,303.02569580078125,0,20,27
1.0,29,1677.9368896484375,STANDARD,R_A2,303.47802734375,22,0.0,2018-01-01,303.47802734375,0,21,28
1.0,29,1679.7061767578125,STANDARD,R_A2,303.64569091796875,22,0.0,2018-01-01,303.64569091796875,0,22,29
1.0,29,1681.4754638671875,STANDARD,R_A2,303.8133544921875,22,0.0,2018-01-01,303.8133544921875,0,23,30
1.0,29,1683.2447509765625,STANDARD,R_A2,303.98101806640625,22,0.0,2018-01-01,303.98101806640625,0,24,31
0.6481541991233826,41,1609.243408203125,STANDARD,R_A3,298.53814697265625,28,0.0,2018-01-01,298.53814697265625,0,1,1
0.22876429557800293,41,1611.3077392578125,STANDARD,R_A3,298.676513671875,28,0.0,2018-01-01,298.676513671875,0,2,2
0.19760067760944366,41,1613.3720703125,STANDARD,R_A3,298.8148498535156,28,0.0,2018-01-01,298.8148498535156,0,3,3
0.3792901039123535,41,1615.4365234375,STANDARD,R_A3,298.9532165527344,28,0.0,2018-01-01,298.9532165527344,0,4,4
0.8267315626144409,41,1617.5008544921875,STANDARD,R_A3,299.0915832519531,28,0.0,2018-01-01,299.0915832519531,0,5,5
0.22688354551792145,41,1619.565185546875,STANDARD,R_A3,299.2299499511719,28,0.0,2018-01-01,299.2299499511719,0,6,6
0.26596105098724365,41,1609.3663330078125,STANDARD,R_A3,298.54638671875,29,0.0,2018-01-01,298.54638671875,0,7,6
0.19722381234169006,41,1611.4163818359375,STANDARD,R_A3,298.68377685546875,29,0.0,2018-01-01,298.68377685546875,0,8,7
0.3807685971260071,41,1613.46630859375,STANDARD,R_A3,298.8211669921875,29,0.0,2018-01-01,298.8211669921875,0,9,8
0.8020743727684021,41,1615.516357421875,STANDARD,R_A3,298.95855712890625,29,0.0,2018-01-01,298.95855712890625,0,10,9
0.7998339533805847,41,1617.5662841796875,STANDARD,R_A3,299.095947265625,29,0.0,2018-01-01,299.095947265625,0,11,10
0.048946261405944824,41,1619.750732421875,STANDARD,R_A3,299.24237060546875,29,0.0,2018-01-01,299.24237060546875,0,12,11
0.05424661189317703,41,1622.0697021484375,STANDARD,R_A3,299.3978271484375,29,0.0,2018-01-01,299.3978271484375,0,13,12
0.3695291578769684,41,1624.388671875,STANDARD,R_A3,299.5532531738281,29,0.0,2018-01-01,299.5532531738281,0,14,13
0.36767199635505676,41,1626.707763671875,STANDARD,R_A3,299.7087097167969,29,0.0,2018-01-01,299.7087097167969,0,15,14
0.4412824809551239,41,1629.026611328125,STANDARD,R_A3,299.8641662597656,29,0.0,2018-01-01,299.8641662597656,0,16,15
0.8111897110939026,41,1630.9468994140625,STANDARD,R_A3,299.992919921875,29,0.0,2018-01-01,299.992919921875,0,17,16
0.37905046343803406,41,1633.5262451171875,STANDARD,R_A3,300.16583251953125,29,0.0,2018-01-01,300.16583251953125,0,18,27
0.04574024677276611,41,1637.1630859375,STANDARD,R_A3,300.40966796875,29,0.0,2018-01-01,300.40966796875,0,19,28
0.05056381970643997,41,1640.8001708984375,STANDARD,R_A3,300.6535339355469,29,0.0,2018-01-01,300.6535339355469,0,20,29
0.6481541991233826,41,1644.4371337890625,STANDARD,R_A3,300.89739990234375,29,0.0,2018-01-01,300.89739990234375,0,21,30
0.06256569176912308,41,1648.0740966796875,STANDARD,R_A3,301.14129638671875,29,0.0,2018-01-01,301.14129638671875,0,22,31
0.05170147493481636,52,1631.1873779296875,STANDARD,R_A4,300.009033203125,30,0.0,2018-01-01,300.009033203125,0,1,1
0.048609890043735504,52,1627.4293212890625,STANDARD,R_A4,299.7571105957031,31,0.0,2018-01-01,299.7571105957031,0,2,1
0.05221238359808922,52,1629.4896240234375,STANDARD,R_A4,299.89520263671875,31,0.0,2018-01-01,299.89520263671875,0,3,2
0.054313696920871735,52,1631.5498046875,STANDARD,R_A4,300.0333251953125,31,0.0,2018-01-01,300.0333251953125,0,4,3
0.05736476555466652,52,1633.610107421875,STANDARD,R_A4,300.17144775390625,31,0.0,2018-01-01,300.17144775390625,0,5,4
