SWAT,CONIDX,DATE,CONJPOS,PRESSURE,CONBPRES,DEPTH,SGAS,WELL,CONKPOS,CONIPOS,DRAWDOWN,WELLMODEL
0.054022882133722305,2,2018-01-01,30,300.8908996582031,300.8908996582031,1642.476318359375,0.0,R_A2,2,22,0,STANDARD
0.05844994634389877,3,2018-01-01,30,301.0087890625,301.0087890625,1644.234619140625,0.0,R_A2,3,22,0,STANDARD
0.062319692224264145,4,2018-01-01,30,301.126708984375,301.126708984375,1645.9927978515625,0.0,R_A2,4,22,0,STANDARD
0.06528820842504501,5,2018-01-01,30,301.2445983886719,301.2445983886719,1647.7509765625,0.0,R_A2,5,22,0,STANDARD
0.2924353778362274,6,2018-01-01,30,301.3625183105469,301.3625183105469,1649.5091552734375,0.0,R_A2,6,22,0,STANDARD
0.6481541991233826,7,2018-01-01,30,301.4804382324219,301.4804382324219,1651.267333984375,0.0,R_A2,7,22,0,STANDARD
0.6481541991233826,8,2018-01-01,30,301.59832763671875,301.59832763671875,1653.0255126953125,0.0,R_A2,8,22,0,STANDARD
0.6481541991233826,9,2018-01-01,30,301.71624755859375,301.71624755859375,1654.78369140625,0.0,R_A2,9,22,0,STANDARD
0.8885121941566467,10,2018-01-01,30,301.83416748046875,301.83416748046875,1656.5418701171875,0.0,R_A2,10,22,0,STANDARD
0.06676995009183884,11,2018-01-01,30,301.9612121582031,301.9612121582031,1658.4359130859375,0.0,R_A2,11,22,0,STANDARD
0.06784647703170776,12,2018-01-01,30,302.0973815917969,302.0973815917969,1660.4659423828125,0.0,R_A2,12,22,0,STANDARD
0.4274804890155792,13,2018-01-01,30,302.2335510253906,302.2335510253906,1662.4959716796875,0.0,R_A2,13,22,0,STANDARD
0.46667876839637756,14,2018-01-01,30,302.3697204589844,302.3697204589844,1664.5260009765625,0.0,R_A2,14,22,0,STANDARD
0.8991770148277283,15,2018-01-01,30,302.50592041015625,302.50592041015625,1666.5560302734375,0.0,R_A2,15,22,0,STANDARD
0.932716429233551,16,2018-01-01,30,302.64208984375,302.64208984375,1668.5860595703125,0.0,R_A2,16,22,0,STANDARD
0.9073535799980164,17,2018-01-01,29,302.71026611328125,302.71026611328125,1669.6024169921875,0.0,R_A2,16,22,0,STANDARD
0.8777881860733032,18,2018-01-01,29,302.85040283203125,302.85040283203125,1671.6912841796875,0.0,R_A2,17,22,0,STANDARD
0.9365381598472595,19,2018-01-01,29,302.9812316894531,302.9812316894531,1673.64111328125,0.0,R_A2,18,22,0,STANDARD
0.7696834802627563,20,2018-01-01,29,303.1195983886719,303.1195983886719,1675.7037353515625,0.0,R_A2,25,22,0,STANDARD
1.0,21,2018-01-01,29,303.2421569824219,303.2421569824219,1677.5302734375,0.0,R_A2,26,22,0,STANDARD
1.0,22,2018-01-01,29,303.3647155761719,303.3647155761719,1679.356689453125,0.0,R_A2,27,22,0,STANDARD
1.0,23,2018-01-01,29,303.4872741699219,303.4872741699219,1681.1832275390625,0.0,R_A2,28,22,0,STANDARD
1.0,24,2018-01-01,29,303.958740234375,303.958740234375,1683.0096435546875,0.0,R_A2,29,22,0,STANDARD
0.7664566040039062,1,2018-01-01,41,298.6513366699219,298.6513366699219,1609.06884765625,0.0,R_A3,1,28,0,STANDARD
0.18618565797805786,2,2018-01-01,41,298.0677490234375,298.0677490234375,1600.3603515625,0.0,R_A3,1,29,0,STANDARD
0.14269988238811493,3,2018-01-01,41,298.2066955566406,298.2066955566406,1602.43359375,0.0,R_A3,2,29,0,STANDARD
0.11823459714651108,4,2018-01-01,41,298.3456115722656,298.3456115722656,1604.5068359375,0.0,R_A3,3,29,0,STANDARD
0.1375439614057541,5,2018-01-01,41,298.48455810546875,298.48455810546875,1606.580078125,0.0,R_A3,4,29,0,STANDARD
0.807755708694458,6,2018-01-01,41,298.6235046386719,298.6235046386719,1608.6531982421875,0.0,R_A3,5,29,0,STANDARD
0.1822030246257782,7,2018-01-01,41,298.762451171875,298.762451171875,1610.7264404296875,0.0,R_A3,6,29,0,STANDARD
0.19419457018375397,8,2018-01-01,41,298.9013977050781,298.9013977050781,1612.7996826171875,0.0,R_A3,7,29,0,STANDARD
0.19493304193019867,9,2018-01-01,41,299.04034423828125,299.04034423828125,1614.8729248046875,0.0,R_A3,8,29,0,STANDARD
0.7961519956588745,10,2018-01-01,41,299.1792907714844,299.1792907714844,1616.946044921875,0.0,R_A3,9,29,0,STANDARD
0.7988471984863281,11,2018-01-01,41,299.3182678222656,299.3182678222656,1619.019287109375,0.0,R_A3,10,29,0,STANDARD
0.04645055532455444,12,2018-01-01,41,299.4631042480469,299.4631042480469,1621.179931640625,0.0,R_A3,11,29,0,STANDARD
0.05339401587843895,13,2018-01-01,41,299.6138000488281,299.6138000488281,1623.427978515625,0.0,R_A3,12,29,0,STANDARD
0.3676074743270874,14,2018-01-01,41,299.7644958496094,299.7644958496094,1625.676025390625,0.0,R_A3,13,29,0,STANDARD
0.19442713260650635,15,2018-01-01,41,299.9151916503906,299.9151916503906,1627.924072265625,0.0,R_A3,14,29,0,STANDARD
0.48454350233078003,16,2018-01-01,41,300.06591796875,300.06591796875,1630.172119140625,0.0,R_A3,15,29,0,STANDARD
0.8014446496963501,17,2018-01-01,41,300.1999206542969,300.1999206542969,1632.1708984375,0.0,R_A3,16,29,0,STANDARD
0.6481541991233826,18,2018-01-01,41,300.3811340332031,300.3811340332031,1634.873779296875,0.0,R_A3,25,29,0,STANDARD
0.04554671049118042,19,2018-01-01,41,300.6215515136719,300.6215515136719,1638.459716796875,0.0,R_A3,26,29,0,STANDARD
0.05021366477012634,20,2018-01-01,41,300.86199951171875,300.86199951171875,1642.045654296875,0.0,R_A3,27,29,0,STANDARD
0.23153889179229736,21,2018-01-01,41,301.10247802734375,301.10247802734375,1645.631591796875,0.0,R_A3,28,29,0,STANDARD
0.05948688089847565,22,2018-01-01,41,301.34295654296875,301.34295654296875,1649.2174072265625,0.0,R_A3,29,29,0,STANDARD
0.04861699789762497,1,2018-01-01,52,300.1296691894531,300.1296691894531,1631.123046875,0.0,R_A4,1,30,0,STANDARD
0.04860169440507889,2,2018-01-01,52,299.8353271484375,299.8353271484375,1626.732666015625,0.0,R_A4,1,31,0,STANDARD
0.0797462984919548,3,2018-01-01,52,299.9736022949219,299.9736022949219,1628.79541015625,0.0,R_A4,2,31,0,STANDARD
0.12898865342140198,4,2018-01-01,52,300.1119079589844,300.1119079589844,1630.8580322265625,0.0,R_A4,3,31,0,STANDARD
0.052413079887628555,5,2018-01-01,52,300.25018310546875,300.25018310546875,1632.9207763671875,0.0,R_A4,4,31,0,STANDARD
0.05411052331328392,6,2018-01-01,52,300.2104187011719,300.2104187011719,1632.3275146484375,0.0,R_A4,4,32,0,STANDARD
0.05625228211283684,7,2018-01-01,52,300.3356018066406,300.3356018066406,1634.194580078125,0.0,R_A4,5,32,0,STANDARD
0.06165752187371254,8,2018-01-01,51,300.55133056640625,300.55133056640625,1637.412353515625,0.0,R_A4,5,32,0,STANDARD
0.05439586192369461,9,2018-01-01,51,300.42974853515625,300.42974853515625,1635.59912109375,0.0,R_A4,4,32,0,STANDARD
0.05752187594771385,10,2018-01-01,51,300.5294494628906,300.5294494628906,1637.0860595703125,0.0,R_A4,4,33,0,STANDARD
0.05574316531419754,11,2018-01-01,51,300.4063720703125,300.4063720703125,1635.250244140625,0.0,R_A4,3,33,0,STANDARD
0.06165475398302078,12,2018-01-01,50,300.9150390625,300.9150390625,1642.83642578125,0.0,R_A4,4,33,0,STANDARD
0.06380027532577515,13,2018-01-01,50,300.8390808105469,300.8390808105469,1641.7037353515625,0.0,R_A4,4,34,0,STANDARD
0.06083453819155693,14,2018-01-01,50,300.71490478515625,300.71490478515625,1639.851806640625,0.0,R_A4,3,34,0,STANDARD
0.059675391763448715,15,2018-01-01,50,300.6691589355469,300.6691589355469,1639.169677734375,0.0,R_A4,3,35,0,STANDARD
