PRESSURE,DATE,SGAS,WELL,CONKPOS,CONIDX,SWAT,DRAWDOWN,CONBPRES,CONIPOS,CONJPOS,DEPTH,WELLMODEL
300.76275634765625,2018-01-01,0.0,R_A2,1,1,0.05369052663445473,0,300.76275634765625,22,30,1640.76318359375,STANDARD
300.88165283203125,2018-01-01,0.0,R_A2,2,2,0.05492396652698517,0,300.88165283203125,22,30,1642.5362548828125,STANDARD
301.00054931640625,2018-01-01,0.0,R_A2,3,3,0.05770622193813324,0,301.00054931640625,22,30,1644.309326171875,STANDARD
301.11944580078125,2018-01-01,0.0,R_A2,4,4,0.06294001638889313,0,301.11944580078125,22,30,1646.0823974609375,STANDARD
301.23834228515625,2018-01-01,0.0,R_A2,5,5,0.06500659137964249,0,301.23834228515625,22,30,1647.85546875,STANDARD
301.3572692871094,2018-01-01,0.0,R_A2,6,6,0.6481541991233826,0,301.3572692871094,22,30,1649.6285400390625,STANDARD
301.4761657714844,2018-01-01,0.0,R_A2,7,7,0.6632421612739563,0,301.4761657714844,22,30,1651.401611328125,STANDARD
301.5950927734375,2018-01-01,0.0,R_A2,8,8,0.6481541991233826,0,301.5950927734375,22,30,1653.1748046875,STANDARD
301.7139892578125,2018-01-01,0.0,R_A2,9,9,0.6481541991233826,0,301.7139892578125,22,30,1654.94775390625,STANDARD
301.8329162597656,2018-01-01,0.0,R_A2,10,10,0.6617156863212585,0,301.8329162597656,22,30,1656.720947265625,STANDARD
301.9595947265625,2018-01-01,0.0,R_A2,11,11,0.06923876702785492,0,301.9595947265625,22,30,1658.6094970703125,STANDARD
302.093994140625,2018-01-01,0.0,R_A2,12,12,0.06512811034917831,0,302.093994140625,22,30,1660.6134033203125,STANDARD
302.2284240722656,2018-01-01,0.0,R_A2,13,13,0.43183034658432007,0,302.2284240722656,22,30,1662.6173095703125,STANDARD
302.36285400390625,2018-01-01,0.0,R_A2,14,14,0.4643671214580536,0,302.36285400390625,22,30,1664.6212158203125,STANDARD
302.4972839355469,2018-01-01,0.0,R_A2,15,15,0.9092244505882263,0,302.4972839355469,22,30,1666.6251220703125,STANDARD
302.6317138671875,2018-01-01,0.0,R_A2,16,16,0.9195420145988464,0,302.6317138671875,22,30,1668.6290283203125,STANDARD
302.7661437988281,2018-01-01,0.0,R_A2,17,17,0.8711918592453003,0,302.7661437988281,22,30,1670.633056640625,STANDARD
302.91314697265625,2018-01-01,0.0,R_A2,17,18,0.9042608737945557,0,302.91314697265625,22,29,1672.8243408203125,STANDARD
303.0440979003906,2018-01-01,0.0,R_A2,18,19,0.9669867157936096,0,303.0440979003906,22,29,1674.7760009765625,STANDARD
303.11700439453125,2018-01-01,0.0,R_A2,19,20,0.981512188911438,0,303.11700439453125,22,29,1675.86279296875,STANDARD
303.1897277832031,2018-01-01,0.0,R_A2,26,21,0.7822713255882263,0,303.1897277832031,22,29,1676.9466552734375,STANDARD
303.3098449707031,2018-01-01,0.0,R_A2,27,22,0.8121379613876343,0,303.3098449707031,22,29,1678.737060546875,STANDARD
303.42999267578125,2018-01-01,0.0,R_A2,28,23,0.6481541991233826,0,303.42999267578125,22,29,1680.5274658203125,STANDARD
303.8931884765625,2018-01-01,0.0,R_A2,29,24,1.0,0,303.8931884765625,22,29,1682.3177490234375,STANDARD
304.0628356933594,2018-01-01,0.0,R_A2,30,25,1.0,0,304.0628356933594,22,29,1684.108154296875,STANDARD
298.6186828613281,2018-01-01,0.0,R_A3,1,1,0.6481541991233826,0,298.6186828613281,28,41,1608.779296875,STANDARD
298.7519836425781,2018-01-01,0.0,R_A3,2,2,0.1483086198568344,0,298.7519836425781,28,41,1610.7681884765625,STANDARD
298.1408996582031,2018-01-01,0.0,R_A3,2,3,0.1867114007472992,0,298.1408996582031,29,41,1601.649658203125,STANDARD
298.2854309082031,2018-01-01,0.0,R_A3,3,4,0.14325197041034698,0,298.2854309082031,29,41,1603.806640625,STANDARD
298.42999267578125,2018-01-01,0.0,R_A3,4,5,0.12416929751634598,0,298.42999267578125,29,41,1605.9635009765625,STANDARD
298.57452392578125,2018-01-01,0.0,R_A3,5,6,0.8092795014381409,0,298.57452392578125,29,41,1608.1204833984375,STANDARD
298.7190856933594,2018-01-01,0.0,R_A3,6,7,0.29468783736228943,0,298.7190856933594,29,41,1610.27734375,STANDARD
298.8636474609375,2018-01-01,0.0,R_A3,7,8,0.19445692002773285,0,298.8636474609375,29,41,1612.434326171875,STANDARD
