CONIDX,CONIPOS,DRAWDOWN,PRESSURE,CONBPRES,DEPTH,CONJPOS,SGAS,WELL,SWAT,CONKPOS,WELLMODEL,DATE
1,22,0,300.7030944824219,300.7030944824219,1639.8238525390625,30,0.0,R_A2,0.053582366555929184,1,STANDARD,2018-01-01
2,22,0,300.82037353515625,300.82037353515625,1641.572998046875,30,0.0,R_A2,0.05510186031460762,2,STANDARD,2018-01-01
3,22,0,300.9376525878906,300.9376525878906,1643.322265625,30,0.0,R_A2,0.05702098459005356,3,STANDARD,2018-01-01
4,22,0,301.0549621582031,301.0549621582031,1645.071533203125,30,0.0,R_A2,0.06276784092187881,4,STANDARD,2018-01-01
5,22,0,301.1722717285156,301.1722717285156,1646.8206787109375,30,0.0,R_A2,0.06568663567304611,5,STANDARD,2018-01-01
6,22,0,301.2895812988281,301.2895812988281,1648.5699462890625,30,0.0,R_A2,0.3056134581565857,6,STANDARD,2018-01-01
7,22,0,301.4068908691406,301.4068908691406,1650.3192138671875,30,0.0,R_A2,0.8738506436347961,7,STANDARD,2018-01-01
8,22,0,301.5242004394531,301.5242004394531,1652.068359375,30,0.0,R_A2,0.8470977544784546,8,STANDARD,2018-01-01
9,22,0,301.6415100097656,301.6415100097656,1653.817626953125,30,0.0,R_A2,0.8836204409599304,9,STANDARD,2018-01-01
10,22,0,301.75885009765625,301.75885009765625,1655.56689453125,30,0.0,R_A2,0.8865875005722046,10,STANDARD,2018-01-01
11,22,0,301.8855895996094,301.8855895996094,1657.4569091796875,30,0.0,R_A2,0.06697294861078262,11,STANDARD,2018-01-01
12,22,0,302.0218200683594,302.0218200683594,1659.4876708984375,30,0.0,R_A2,0.06612908095121384,12,STANDARD,2018-01-01
13,22,0,302.15802001953125,302.15802001953125,1661.5185546875,30,0.0,R_A2,0.42770442366600037,13,STANDARD,2018-01-01
14,22,0,302.29425048828125,302.29425048828125,1663.54931640625,30,0.0,R_A2,0.4604015350341797,14,STANDARD,2018-01-01
15,22,0,302.43048095703125,302.43048095703125,1665.580078125,30,0.0,R_A2,0.8945789933204651,15,STANDARD,2018-01-01
16,22,0,302.56671142578125,302.56671142578125,1667.6109619140625,30,0.0,R_A2,0.9120606184005737,16,STANDARD,2018-01-01
17,22,0,302.70294189453125,302.70294189453125,1669.6417236328125,30,0.0,R_A2,0.8616045117378235,17,STANDARD,2018-01-01
18,22,0,302.81976318359375,302.81976318359375,1671.3829345703125,30,0.0,R_A2,0.9363566637039185,18,STANDARD,2018-01-01
19,22,0,303.233642578125,303.233642578125,1677.5517578125,29,0.0,R_A2,0.9922482967376709,18,STANDARD,2018-01-01
20,22,0,303.33721923828125,303.33721923828125,1679.095703125,29,0.0,R_A2,0.8098531365394592,25,STANDARD,2018-01-01
21,22,0,303.4507751464844,303.4507751464844,1680.7879638671875,29,0.0,R_A2,1.0,26,STANDARD,2018-01-01
22,22,0,303.9085998535156,303.9085998535156,1682.4803466796875,29,0.0,R_A2,1.0,27,STANDARD,2018-01-01
23,22,0,304.0689697265625,304.0689697265625,1684.1727294921875,29,0.0,R_A2,1.0,28,STANDARD,2018-01-01
24,22,0,304.2293395996094,304.2293395996094,1685.8651123046875,29,0.0,R_A2,1.0,29,STANDARD,2018-01-01
1,28,0,298.671875,298.671875,1609.5234375,41,0.0,R_A3,0.22967712581157684,1,STANDARD,2018-01-01
2,28,0,298.805419921875,298.805419921875,1611.516357421875,41,0.0,R_A3,0.11823459714651108,2,STANDARD,2018-01-01
3,29,0,298.087890625,298.087890625,1600.8092041015625,41,0.0,R_A3,0.11823459714651108,2,STANDARD,2018-01-01
4,29,0,298.2316589355469,298.2316589355469,1602.954833984375,41,0.0,R_A3,0.11823459714651108,3,STANDARD,2018-01-01
5,29,0,298.3754577636719,298.3754577636719,1605.100341796875,41,0.0,R_A3,0.13896389305591583,4,STANDARD,2018-01-01
6,29,0,298.51922607421875,298.51922607421875,1607.245849609375,41,0.0,R_A3,0.3135617971420288,5,STANDARD,2018-01-01
7,29,0,298.66302490234375,298.66302490234375,1609.391357421875,41,0.0,R_A3,0.6481541991233826,6,STANDARD,2018-01-01
8,29,0,298.80682373046875,298.80682373046875,1611.5369873046875,41,0.0,R_A3,0.1941157728433609,7,STANDARD,2018-01-01
9,29,0,298.95062255859375,298.95062255859375,1613.6826171875,41,0.0,R_A3,0.19624295830726624,8,STANDARD,2018-01-01
10,29,0,299.09442138671875,299.09442138671875,1615.828125,41,0.0,R_A3,0.7900159955024719,9,STANDARD,2018-01-01
11,29,0,299.23822021484375,299.23822021484375,1617.9736328125,41,0.0,R_A3,0.792853593826294,10,STANDARD,2018-01-01
12,29,0,299.38714599609375,299.38714599609375,1620.1954345703125,41,0.0,R_A3,0.04928798973560333,11,STANDARD,2018-01-01
13,29,0,299.54119873046875,299.54119873046875,1622.4932861328125,41,0.0,R_A3,0.052831199020147324,12,STANDARD,2018-01-01
14,29,0,299.6952209472656,299.6952209472656,1624.7911376953125,41,0.0,R_A3,0.36612236499786377,13,STANDARD,2018-01-01
15,29,0,300.0033264160156,300.0033264160156,1629.386962890625,41,0.0,R_A3,0.601466715335846,15,STANDARD,2018-01-01
16,29,0,300.1348571777344,300.1348571777344,1631.3489990234375,41,0.0,R_A3,0.7999769449234009,16,STANDARD,2018-01-01
17,29,0,300.323486328125,300.323486328125,1634.16259765625,41,0.0,R_A3,0.30700352787971497,25,STANDARD,2018-01-01
18,29,0,300.5680236816406,300.5680236816406,1637.8094482421875,41,0.0,R_A3,0.04589802399277687,26,STANDARD,2018-01-01
19,29,0,300.8125305175781,300.8125305175781,1641.456298828125,41,0.0,R_A3,0.051192350685596466,27,STANDARD,2018-01-01
20,29,0,301.0570983886719,301.0570983886719,1645.1031494140625,41,0.0,R_A3,0.22790910303592682,28,STANDARD,2018-01-01
21,29,0,301.3016357421875,301.3016357421875,1648.75,41,0.0,R_A3,0.058824628591537476,29,STANDARD,2018-01-01
1,30,0,300.07568359375,300.07568359375,1630.4661865234375,52,0.0,R_A4,0.04863123968243599,1,STANDARD,2018-01-01
2,31,0,299.8314514160156,299.8314514160156,1626.8233642578125,52,0.0,R_A4,0.04616716876626015,1,STANDARD,2018-01-01
3,31,0,299.9635314941406,299.9635314941406,1628.7933349609375,52,0.0,R_A4,0.08070787787437439,2,STANDARD,2018-01-01
4,31,0,300.0955810546875,300.0955810546875,1630.76318359375,52,0.0,R_A4,0.12467163801193237,3,STANDARD,2018-01-01
5,31,0,300.2276611328125,300.2276611328125,1632.733154296875,52,0.0,R_A4,0.053033020347356796,4,STANDARD,2018-01-01
