CONJPOS,CONIDX,WELL,PRESSURE,DATE,SGAS,CONKPOS,CONBPRES,WELLMODEL,SWAT,DRAWDOWN,CONIPOS,DEPTH
30,1,R_A2,300.817138671875,2018-01-01,0.0,1,300.817138671875,STANDARD,0.057401590049266815,0,22,1643.2398681640625
30,2,R_A2,300.93609619140625,2018-01-01,0.0,2,300.93609619140625,STANDARD,0.05960860475897789,0,22,1645.01416015625
30,3,R_A2,301.0550842285156,2018-01-01,0.0,3,301.0550842285156,STANDARD,0.062308087944984436,0,22,1646.788330078125
30,4,R_A2,301.1740417480469,2018-01-01,0.0,4,301.1740417480469,STANDARD,0.06987645477056503,0,22,1648.5625
30,5,R_A2,301.29302978515625,2018-01-01,0.0,5,301.29302978515625,STANDARD,0.07394767552614212,0,22,1650.336669921875
30,6,R_A2,301.4120178222656,2018-01-01,0.0,6,301.4120178222656,STANDARD,0.18331202864646912,0,22,1652.11083984375
30,7,R_A2,301.531005859375,2018-01-01,0.0,7,301.531005859375,STANDARD,0.6481541991233826,0,22,1653.885009765625
30,8,R_A2,301.6499938964844,2018-01-01,0.0,8,301.6499938964844,STANDARD,0.6481541991233826,0,22,1655.6591796875
30,9,R_A2,301.76898193359375,2018-01-01,0.0,9,301.76898193359375,STANDARD,0.6481541991233826,0,22,1657.433349609375
30,10,R_A2,301.8879699707031,2018-01-01,0.0,10,301.8879699707031,STANDARD,0.9250714182853699,0,22,1659.2076416015625
30,11,R_A2,302.01324462890625,2018-01-01,0.0,11,302.01324462890625,STANDARD,0.0823429524898529,0,22,1661.0751953125
30,12,R_A2,302.144775390625,2018-01-01,0.0,12,302.144775390625,STANDARD,0.08639204502105713,0,22,1663.0361328125
30,13,R_A2,302.27630615234375,2018-01-01,0.0,13,302.27630615234375,STANDARD,0.473012238740921,0,22,1664.9970703125
30,14,R_A2,302.4078674316406,2018-01-01,0.0,14,302.4078674316406,STANDARD,0.540716290473938,0,22,1666.9580078125
30,15,R_A2,302.5393981933594,2018-01-01,0.0,15,302.5393981933594,STANDARD,0.7192145586013794,0,22,1668.9189453125
29,16,R_A2,302.3091125488281,2018-01-01,0.0,15,302.3091125488281,STANDARD,0.6745393872261047,0,22,1665.4862060546875
29,17,R_A2,302.4435729980469,2018-01-01,0.0,16,302.4435729980469,STANDARD,0.9498931765556335,0,22,1667.4906005859375
29,18,R_A2,302.57806396484375,2018-01-01,0.0,17,302.57806396484375,STANDARD,0.9489856362342834,0,22,1669.4951171875
29,19,R_A2,302.7125244140625,2018-01-01,0.0,18,302.7125244140625,STANDARD,0.9546643495559692,0,22,1671.4996337890625
29,20,R_A2,302.81689453125,2018-01-01,0.0,19,302.81689453125,STANDARD,1.0,0,22,1673.0555419921875
29,21,R_A2,302.9170227050781,2018-01-01,0.0,26,302.9170227050781,STANDARD,0.26122042536735535,0,22,1674.5478515625
29,22,R_A2,303.04296875,2018-01-01,0.0,27,303.04296875,STANDARD,0.8616997599601746,0,22,1676.425048828125
29,23,R_A2,303.5126647949219,2018-01-01,0.0,28,303.5126647949219,STANDARD,1.0,0,22,1678.3021240234375
29,24,R_A2,303.6905212402344,2018-01-01,0.0,29,303.6905212402344,STANDARD,1.0,0,22,1680.17919921875
29,25,R_A2,303.868408203125,2018-01-01,0.0,30,303.868408203125,STANDARD,1.0,0,22,1682.056396484375
41,1,R_A3,298.4245300292969,2018-01-01,0.0,1,298.4245300292969,STANDARD,0.30547869205474854,0,28,1607.5479736328125
41,2,R_A3,298.5572814941406,2018-01-01,0.0,2,298.5572814941406,STANDARD,0.19967150688171387,0,28,1609.5286865234375
41,3,R_A3,298.00244140625,2018-01-01,0.0,2,298.00244140625,STANDARD,0.1862233728170395,0,29,1601.2490234375
41,4,R_A3,298.1470031738281,2018-01-01,0.0,3,298.1470031738281,STANDARD,0.18260876834392548,0,29,1603.406494140625
41,5,R_A3,298.2915954589844,2018-01-01,0.0,4,298.2915954589844,STANDARD,0.6481541991233826,0,29,1605.5640869140625
41,6,R_A3,298.4361572265625,2018-01-01,0.0,5,298.4361572265625,STANDARD,0.8120959401130676,0,29,1607.7216796875
41,7,R_A3,298.58074951171875,2018-01-01,0.0,6,298.58074951171875,STANDARD,0.6481541991233826,0,29,1609.8792724609375
41,8,R_A3,298.7253723144531,2018-01-01,0.0,7,298.7253723144531,STANDARD,0.19416004419326782,0,29,1612.036865234375
41,9,R_A3,298.8699645996094,2018-01-01,0.0,8,298.8699645996094,STANDARD,0.19767585396766663,0,29,1614.1943359375
41,10,R_A3,299.0145568847656,2018-01-01,0.0,9,299.0145568847656,STANDARD,0.7990573048591614,0,29,1616.3519287109375
41,11,R_A3,299.1591796875,2018-01-01,0.0,10,299.1591796875,STANDARD,0.8052324056625366,0,29,1618.509521484375
