REAL,ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL,SENSNAME,SENSCASE,RMS_SEED,FWL,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,INTERPOLATE_WO,INTERPOLATE_GO,COHIBA_MODEL_MODE
17,UpperReek,1,281037151.51,41269463.64,30365419.3,19097747.67,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,UpperReek,2,0.0,0.0,0.0,0.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,MidReek,1,217141855.78,36045540.81,27735135.19,17443480.96,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,MidReek,2,0.0,0.0,0.0,0.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,LowerReek,1,127877366.67,24547985.36,19403558.87,12203495.94,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,LowerReek,2,0.0,0.0,0.0,0.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
35,UpperReek,1,261661547.04,41418874.51,30133644.43,18951977.31,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,UpperReek,2,0.0,0.0,0.0,0.0,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,MidReek,1,225113901.6,43179913.16,34034173.76,21405140.37,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,MidReek,2,0.0,0.0,0.0,0.0,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,LowerReek,1,132848765.2,28074860.07,23266228.69,14632847.99,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,LowerReek,2,0.0,0.0,0.0,0.0,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
22,UpperReek,1,281037151.51,41269463.64,30365419.3,19097747.67,multflt1,closed,1002,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
