REAL,FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATER_PORV,HCPV_GAS,HCPV_TOTAL,SENSNAME,SENSCASE,RMS_SEED,FWL,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,INTERPOLATE_WO,INTERPOLATE_GO,COHIBA_MODEL_MODE
17,1,18980631.0,0,18980631.0,44173632.0,0.0,3492436149.0,3492436149.0,75803378.0,30278031.0,45525347.0,0.0,30278031.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,2,0.0,0,0.0,69387916.0,0.0,0.0,0.0,71520911.0,0.0,71520911.0,0.0,0.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,3,17337943.0,0,17337943.0,48632839.0,0.0,3190181560.0,3190181560.0,77772225.0,27654508.0,50117717.0,0.0,27654508.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,4,0.0,0,0.0,71677898.0,0.0,0.0,0.0,73875172.0,0.0,73875172.0,0.0,0.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,5,12121199.0,0,12121199.0,34259495.0,0.0,2230300695.0,2230300695.0,54635907.0,19330756.0,35305151.0,0.0,19330756.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
17,6,0.0,0,0.0,53290351.0,0.0,0.0,0.0,54921599.0,0.0,54921599.0,0.0,0.0,multflt1,open,1002,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
35,1,18871621.0,0,18871621.0,48945272.0,0.0,3472378249.0,3472378249.0,80549337.0,30105771.0,50443566.0,0.0,30105771.0,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,2,0.0,0,0.0,74866011.0,0.0,0.0,0.0,77165886.0,0.0,77165886.0,0.0,0.0,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,3,21274254.0,0,21274254.0,44209849.0,0.0,3914462756.0,3914462756.0,79494588.0,33932141.0,45562447.0,0.0,33932141.0,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,4,0.0,0,0.0,68451329.0,0.0,0.0,0.0,70550343.0,0.0,70550343.0,0.0,0.0,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,5,14491081.0,0,14491081.0,40897583.0,0.0,2666358887.0,2666358887.0,65255396.0,23110565.0,42144832.0,0.0,23110565.0,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
35,6,0.0,0,0.0,50618833.0,0.0,0.0,0.0,52168255.0,0.0,52168255.0,0.0,0.0,cohiba,simulation,1000,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
22,1,18980631.0,0,18980631.0,44173632.0,0.0,3492436149.0,3492436149.0,75803378.0,30278031.0,45525347.0,0.0,30278031.0,multflt1,closed,1002,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
22,2,0.0,0,0.0,69387916.0,0.0,0.0,0.0,71520911.0,0.0,71520911.0,0.0,0.0,multflt1,closed,1002,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
22,3,17337943.0,0,17337943.0,48632839.0,0.0,3190181560.0,3190181560.0,77772225.0,27654508.0,50117717.0,0.0,27654508.0,multflt1,closed,1002,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
22,4,0.0,0,0.0,71677898.0,0.0,0.0,0.0,73875172.0,0.0,73875172.0,0.0,0.0,multflt1,closed,1002,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
22,5,12121199.0,0,12121199.0,34259495.0,0.0,2230300695.0,2230300695.0,54635907.0,19330756.0,35305151.0,0.0,19330756.0,multflt1,closed,1002,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
22,6,0.0,0,0.0,53290351.0,0.0,0.0,0.0,54921599.0,0.0,54921599.0,0.0,0.0,multflt1,closed,1002,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
21,1,24023029.0,0,24023029.0,48853930.0,0.0,4420237398.0,4420237398.0,88668756.0,38319960.0,50348796.0,0.0,38319960.0,multflt1,closed,1001,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
21,2,0.0,0,0.0,70480760.0,0.0,0.0,0.0,72647108.0,0.0,72647108.0,0.0,0.0,multflt1,closed,1001,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
21,3,21034617.0,0,21034617.0,52628569.0,0.0,3870369574.0,3870369574.0,87783417.0,33547949.0,54235468.0,0.0,33547949.0,multflt1,closed,1001,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
21,4,0.0,0,0.0,70900850.0,0.0,0.0,0.0,73075184.0,0.0,73075184.0,0.0,0.0,multflt1,closed,1001,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
21,5,13503407.0,0,13503407.0,34664433.0,0.0,2484626816.0,2484626816.0,57257868.0,21535537.0,35722331.0,0.0,21535537.0,multflt1,closed,1001,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
21,6,0.0,0,0.0,44973824.0,0.0,0.0,0.0,46350777.0,0.0,46350777.0,0.0,0.0,multflt1,closed,1001,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
20,1,20984833.0,0,20984833.0,47516856.0,0.0,3861209330.0,3861209330.0,82447798.0,33476533.0,48971265.0,0.0,33476533.0,multflt1,closed,1000,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
20,2,0.0,0,0.0,77087628.0,0.0,0.0,0.0,79456776.0,0.0,79456776.0,0.0,0.0,multflt1,closed,1000,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
20,3,20214158.0,0,20214158.0,44382734.0,0.0,3719405033.0,3719405033.0,77980089.0,32240015.0,45740074.0,0.0,32240015.0,multflt1,closed,1000,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
20,4,0.0,0,0.0,69935227.0,0.0,0.0,0.0,72079885.0,0.0,72079885.0,0.0,0.0,multflt1,closed,1000,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
20,5,13539606.0,0,13539606.0,34558586.0,0.0,2491287482.0,2491287482.0,57206585.0,21592293.0,35614292.0,0.0,21592293.0,multflt1,closed,1000,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
20,6,0.0,0,0.0,50582995.0,0.0,0.0,0.0,52131651.0,0.0,52131651.0,0.0,0.0,multflt1,closed,1000,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
5,1,22155145.0,0,22155145.0,45709051.0,0.0,4076546766.0,4076546766.0,82448142.0,35340509.0,47107633.0,0.0,35340509.0,fwl,deep,1000,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
5,2,0.0,0,0.0,77087628.0,0.0,0.0,0.0,79456776.0,0.0,79456776.0,0.0,0.0,fwl,deep,1000,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
5,3,21454626.0,0,21454626.0,42466468.0,0.0,3947651222.0,3947651222.0,77980407.0,34215743.0,43764664.0,0.0,34215743.0,fwl,deep,1000,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
5,4,0.0,0,0.0,69935227.0,0.0,0.0,0.0,72079885.0,0.0,72079885.0,0.0,0.0,fwl,deep,1000,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
5,5,14556643.0,0,14556643.0,32987304.0,0.0,2678422397.0,2678422397.0,57206793.0,23212251.0,33994541.0,0.0,23212251.0,fwl,deep,1000,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
5,6,0.0,0,0.0,50582995.0,0.0,0.0,0.0,52131651.0,0.0,52131651.0,0.0,0.0,fwl,deep,1000,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
37,1,18017031.0,0,18017031.0,48485558.0,0.0,3315133751.0,3315133751.0,78706393.0,28739665.0,49966728.0,0.0,28739665.0,cohiba,simulation,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
37,2,0.0,0,0.0,67572684.0,0.0,0.0,0.0,69649287.0,0.0,69649287.0,0.0,0.0,cohiba,simulation,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
37,3,18525340.0,0,18525340.0,56378290.0,0.0,3408662541.0,3408662541.0,87646294.0,29547254.0,58099040.0,0.0,29547254.0,cohiba,simulation,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
37,4,0.0,0,0.0,72788978.0,0.0,0.0,0.0,75020647.0,0.0,75020647.0,0.0,0.0,cohiba,simulation,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
37,5,11635511.0,0,11635511.0,32928616.0,0.0,2140933991.0,2140933991.0,52491410.0,18556858.0,33934552.0,0.0,18556858.0,cohiba,simulation,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
37,6,0.0,0,0.0,52091431.0,0.0,0.0,0.0,53685399.0,0.0,53685399.0,0.0,0.0,cohiba,simulation,1002,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
16,1,24023029.0,0,24023029.0,48853930.0,0.0,4420237398.0,4420237398.0,88668756.0,38319960.0,50348796.0,0.0,38319960.0,multflt1,open,1001,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
16,2,0.0,0,0.0,70480760.0,0.0,0.0,0.0,72647108.0,0.0,72647108.0,0.0,0.0,multflt1,open,1001,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
16,3,21034617.0,0,21034617.0,52628569.0,0.0,3870369574.0,3870369574.0,87783417.0,33547949.0,54235468.0,0.0,33547949.0,multflt1,open,1001,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
16,4,0.0,0,0.0,70900850.0,0.0,0.0,0.0,73075184.0,0.0,73075184.0,0.0,0.0,multflt1,open,1001,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
16,5,13503407.0,0,13503407.0,34664433.0,0.0,2484626816.0,2484626816.0,57257868.0,21535537.0,35722331.0,0.0,21535537.0,multflt1,open,1001,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
16,6,0.0,0,0.0,44973824.0,0.0,0.0,0.0,46350777.0,0.0,46350777.0,0.0,0.0,multflt1,open,1001,1705,1.0,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
24,1,15725059.0,0,15725059.0,42787773.0,0.0,2893410919.0,2893410919.0,69186513.0,25087392.0,44099121.0,0.0,25087392.0,multflt1,closed,1004,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
24,2,0.0,0,0.0,64173132.0,0.0,0.0,0.0,66144827.0,0.0,66144827.0,0.0,0.0,multflt1,closed,1004,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
24,3,13677743.0,0,13677743.0,48598515.0,0.0,2516704801.0,2516704801.0,71901983.0,21815929.0,50086054.0,0.0,21815929.0,multflt1,closed,1004,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
24,4,0.0,0,0.0,75651057.0,0.0,0.0,0.0,77970947.0,0.0,77970947.0,0.0,0.0,multflt1,closed,1004,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
24,5,8901580.0,0,8901580.0,32763017.0,0.0,1637890796.0,1637890796.0,47959300.0,14195747.0,33763552.0,0.0,14195747.0,multflt1,closed,1004,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
24,6,0.0,0,0.0,47794372.0,0.0,0.0,0.0,49257738.0,0.0,49257738.0,0.0,0.0,multflt1,closed,1004,1705,1e-06,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
39,1,15230427.0,0,15230427.0,38141052.0,0.0,2802398619.0,2802398619.0,63608208.0,24298166.0,39310043.0,0.0,24298166.0,cohiba,simulation,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
39,2,0.0,0,0.0,60302302.0,0.0,0.0,0.0,62154478.0,0.0,62154478.0,0.0,0.0,cohiba,simulation,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
39,3,13929645.0,0,13929645.0,54701975.0,0.0,2563054713.0,2563054713.0,78593193.0,22217627.0,56375566.0,0.0,22217627.0,cohiba,simulation,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
39,4,0.0,0,0.0,79444610.0,0.0,0.0,0.0,81879972.0,0.0,81879972.0,0.0,0.0,cohiba,simulation,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
39,5,8873574.0,0,8873574.0,31704677.0,0.0,1632737675.0,1632737675.0,46824328.0,14151868.0,32672460.0,0.0,14151868.0,cohiba,simulation,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
39,6,0.0,0,0.0,42490084.0,0.0,0.0,0.0,43789968.0,0.0,43789968.0,0.0,0.0,cohiba,simulation,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,1
34,1,15725059.0,0,15725059.0,42787773.0,0.0,2893410919.0,2893410919.0,69186513.0,25087392.0,44099121.0,0.0,25087392.0,relp_wo,pes,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
34,2,0.0,0,0.0,64173132.0,0.0,0.0,0.0,66144827.0,0.0,66144827.0,0.0,0.0,relp_wo,pes,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
34,3,13677743.0,0,13677743.0,48598515.0,0.0,2516704801.0,2516704801.0,71901983.0,21815929.0,50086054.0,0.0,21815929.0,relp_wo,pes,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
34,4,0.0,0,0.0,75651057.0,0.0,0.0,0.0,77970947.0,0.0,77970947.0,0.0,0.0,relp_wo,pes,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
34,5,8901580.0,0,8901580.0,32763017.0,0.0,1637890796.0,1637890796.0,47959300.0,14195747.0,33763552.0,0.0,14195747.0,relp_wo,pes,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
34,6,0.0,0,0.0,47794372.0,0.0,0.0,0.0,49257738.0,0.0,49257738.0,0.0,0.0,relp_wo,pes,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,-1.0,0.7,0
7,1,20130272.0,0,20130272.0,42397628.0,0.0,3703970140.0,3703970140.0,75803694.0,32109198.0,43694496.0,0.0,32109198.0,fwl,deep,1002,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
7,2,0.0,0,0.0,69387916.0,0.0,0.0,0.0,71520911.0,0.0,71520911.0,0.0,0.0,fwl,deep,1002,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
7,3,18399998.0,0,18399998.0,46992182.0,0.0,3385599559.0,3385599559.0,77772506.0,29346088.0,48426417.0,0.0,29346088.0,fwl,deep,1002,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
7,4,0.0,0,0.0,71677898.0,0.0,0.0,0.0,73875172.0,0.0,73875172.0,0.0,0.0,fwl,deep,1002,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
7,5,13174410.0,0,13174410.0,32632175.0,0.0,2424091477.0,2424091477.0,54636098.0,21008466.0,33627632.0,0.0,21008466.0,fwl,deep,1002,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
7,6,0.0,0,0.0,53290351.0,0.0,0.0,0.0,54921599.0,0.0,54921599.0,0.0,0.0,fwl,deep,1002,1710,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
12,1,15215859.0,0,15215859.0,49991671.0,0.0,2799718026.0,2799718026.0,75802511.0,24279240.0,51523271.0,0.0,24279240.0,fwl,shallow,1002,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
12,2,0.0,0,0.0,69387916.0,0.0,0.0,0.0,71520911.0,0.0,71520911.0,0.0,0.0,fwl,shallow,1002,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
12,3,13778995.0,0,13778995.0,54132722.0,0.0,2535335157.0,2535335157.0,77771466.0,21983903.0,55787563.0,0.0,21983903.0,fwl,shallow,1002,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
12,4,0.0,0,0.0,71677898.0,0.0,0.0,0.0,73875172.0,0.0,73875172.0,0.0,0.0,fwl,shallow,1002,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
12,5,9122491.0,0,9122491.0,38893972.0,0.0,1678538376.0,1678538376.0,54635417.0,14552660.0,40082757.0,0.0,14552660.0,fwl,shallow,1002,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
12,6,0.0,0,0.0,53290351.0,0.0,0.0,0.0,54921599.0,0.0,54921599.0,0.0,0.0,fwl,shallow,1002,1690,0.12,0.01,0.04,0.12,0.06,0.5,0.3,0.7,0
29,1,15725059.0,0,15725059.0,42787773.0,0.0,2893410919.0,2893410919.0,69186513.0,25087392.0,44099121.0,0.0,25087392.0,relp_wo,opt,1004,1705,0.12,0.01,0.04,0.12,0.06,0.5,1.0,0.7,0
