WELL,CONJPOS,DRAWDOWN,CONKPOS,SGAS,DEPTH,SWAT,WELLMODEL,PRESSURE,CONIPOS,DATE,CONBPRES,CONIDX
R_A2,30,0,1,0.0,1636.6219482421875,0.051221806555986404,STANDARD,300.5102233886719,22,2018-01-01,300.5102233886719,1
R_A2,30,0,2,0.0,1638.2579345703125,0.05242594704031944,STANDARD,300.61993408203125,22,2018-01-01,300.61993408203125,2
R_A2,30,0,3,0.0,1639.8939208984375,0.055738627910614014,STANDARD,300.7296142578125,22,2018-01-01,300.7296142578125,3
R_A2,30,0,4,0.0,1641.530029296875,0.05853242054581642,STANDARD,300.8393249511719,22,2018-01-01,300.8393249511719,4
R_A2,30,0,5,0.0,1643.166015625,0.060556475073099136,STANDARD,300.94903564453125,22,2018-01-01,300.94903564453125,5
R_A2,30,0,6,0.0,1644.802001953125,0.22334767878055573,STANDARD,301.0587463378906,22,2018-01-01,301.0587463378906,6
R_A2,30,0,7,0.0,1646.43798828125,0.8569536209106445,STANDARD,301.16845703125,22,2018-01-01,301.16845703125,7
R_A2,30,0,8,0.0,1648.073974609375,0.8532033562660217,STANDARD,301.2781677246094,22,2018-01-01,301.2781677246094,8
R_A2,30,0,9,0.0,1649.7100830078125,0.8548866510391235,STANDARD,301.38787841796875,22,2018-01-01,301.38787841796875,9
R_A2,30,0,10,0.0,1651.3460693359375,0.8597751259803772,STANDARD,301.4975891113281,22,2018-01-01,301.4975891113281,10
R_A2,30,0,11,0.0,1653.171875,0.061837758868932724,STANDARD,301.62005615234375,22,2018-01-01,301.62005615234375,11
R_A2,30,0,12,0.0,1655.1873779296875,0.06756098568439484,STANDARD,301.7552185058594,22,2018-01-01,301.7552185058594,12
R_A2,30,0,13,0.0,1657.202880859375,0.40795454382896423,STANDARD,301.8904113769531,22,2018-01-01,301.8904113769531,13
R_A2,30,0,14,0.0,1659.218505859375,0.4360502362251282,STANDARD,302.0256042480469,22,2018-01-01,302.0256042480469,14
R_A2,30,0,15,0.0,1661.2340087890625,0.8569203019142151,STANDARD,302.1607971191406,22,2018-01-01,302.1607971191406,15
R_A2,29,0,15,0.0,1671.8016357421875,0.9440454840660095,STANDARD,302.86968994140625,22,2018-01-01,302.86968994140625,16
R_A2,29,0,16,0.0,1673.82861328125,0.9566412568092346,STANDARD,303.0057067871094,22,2018-01-01,303.0057067871094,17
R_A2,29,0,17,0.0,1675.8555908203125,0.9478508234024048,STANDARD,303.1416931152344,22,2018-01-01,303.1416931152344,18
R_A2,29,0,18,0.0,1677.417236328125,0.9805030822753906,STANDARD,303.2464599609375,22,2018-01-01,303.2464599609375,19
R_A2,29,0,26,0.0,1678.8099365234375,1.0,STANDARD,303.33990478515625,22,2018-01-01,303.33990478515625,20
R_A2,29,0,27,0.0,1680.498779296875,1.0,STANDARD,303.4532165527344,22,2018-01-01,303.4532165527344,21
R_A2,29,0,28,0.0,1682.1876220703125,1.0,STANDARD,303.880859375,22,2018-01-01,303.880859375,22
R_A2,29,0,29,0.0,1683.87646484375,1.0,STANDARD,304.0408935546875,22,2018-01-01,304.0408935546875,23
R_A2,29,0,30,0.0,1685.5653076171875,1.0,STANDARD,304.200927734375,22,2018-01-01,304.200927734375,24
R_A3,41,0,1,0.0,1609.9237060546875,0.13802951574325562,STANDARD,298.72052001953125,28,2018-01-01,298.72052001953125,1
R_A3,41,0,2,0.0,1611.9691162109375,0.11823459714651108,STANDARD,298.85760498046875,28,2018-01-01,298.85760498046875,2
R_A3,41,0,3,0.0,1614.0145263671875,0.11962143331766129,STANDARD,298.99468994140625,28,2018-01-01,298.99468994140625,3
R_A3,41,0,4,0.0,1616.06005859375,0.2828578054904938,STANDARD,299.1318054199219,28,2018-01-01,299.1318054199219,4
R_A3,41,0,5,0.0,1618.10546875,0.8227031230926514,STANDARD,299.2688903808594,28,2018-01-01,299.2688903808594,5
R_A3,41,0,6,0.0,1620.15087890625,0.6481541991233826,STANDARD,299.406005859375,28,2018-01-01,299.406005859375,6
R_A3,41,0,6,0.0,1610.2958984375,0.6481541991233826,STANDARD,298.7454528808594,29,2018-01-01,298.7454528808594,7
R_A3,41,0,7,0.0,1612.2686767578125,0.19513653218746185,STANDARD,298.877685546875,29,2018-01-01,298.877685546875,8
R_A3,41,0,8,0.0,1614.241455078125,0.1953570544719696,STANDARD,299.0098876953125,29,2018-01-01,299.0098876953125,9
R_A3,41,0,9,0.0,1616.214111328125,0.7903646230697632,STANDARD,299.1421203613281,29,2018-01-01,299.1421203613281,10
R_A3,41,0,10,0.0,1618.1868896484375,0.7902021408081055,STANDARD,299.27435302734375,29,2018-01-01,299.27435302734375,11
R_A3,41,0,11,0.0,1620.3292236328125,0.047242190688848495,STANDARD,299.41796875,29,2018-01-01,299.41796875,12
R_A3,41,0,12,0.0,1622.641357421875,0.0524568110704422,STANDARD,299.57293701171875,29,2018-01-01,299.57293701171875,13
R_A3,41,0,13,0.0,1624.9534912109375,0.3639623820781708,STANDARD,299.7279357910156,29,2018-01-01,299.7279357910156,14
R_A3,41,0,15,0.0,1629.4644775390625,0.601466715335846,STANDARD,300.0303649902344,29,2018-01-01,300.0303649902344,15
R_A3,41,0,16,0.0,1631.0804443359375,0.8037535548210144,STANDARD,300.1387023925781,29,2018-01-01,300.1387023925781,16
R_A3,41,0,26,0.0,1633.4969482421875,1.0,STANDARD,300.30072021484375,29,2018-01-01,300.30072021484375,17
R_A3,41,0,27,0.0,1637.101318359375,0.042404647916555405,STANDARD,300.5423583984375,29,2018-01-01,300.5423583984375,18
R_A3,41,0,28,0.0,1640.70556640625,0.051694341003894806,STANDARD,300.7840576171875,29,2018-01-01,300.7840576171875,19
R_A3,41,0,29,0.0,1644.309814453125,0.6781153678894043,STANDARD,301.0257263183594,29,2018-01-01,301.0257263183594,20
R_A3,41,0,30,0.0,1647.9140625,0.08143969625234604,STANDARD,301.2674255371094,29,2018-01-01,301.2674255371094,21
R_A4,52,0,1,0.0,1631.531982421875,0.04937995225191116,STANDARD,300.1689758300781,30,2018-01-01,300.1689758300781,1
R_A4,52,0,1,0.0,1626.9378662109375,0.04718336462974548,STANDARD,299.8609619140625,31,2018-01-01,299.8609619140625,2
