Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:53
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       262030959.32         36421870.70         24257268.20         15256143.27
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  262030959.32         36421870.70         24257268.20         15256143.27
MidReek    1                       234189308.16         34038188.73         22269531.59         14005994.48
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  234189308.16         34038188.73         22269531.59         14005994.48
LowerReek  1                       117867598.99         19047489.94         14180500.26          8918553.47
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  117867598.99         19047489.94         14180500.26          8918553.47
Totals     1                       614087866.46         89507549.37         60707300.06         38180691.22
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  614087866.46         89507549.37         60707300.06         38180691.22
