Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:53
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       262071750.90         36421254.42         24206082.81         15223951.21
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  262071750.90         36421254.42         24206082.81         15223951.21
MidReek    1                       234128992.48         34053939.65         22050453.22         13868209.34
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  234128992.48         34053939.65         22050453.22         13868209.34
LowerReek  1                       117896125.02         19029417.88         14100030.72          8867943.71
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  117896125.02         19029417.88         14100030.72          8867943.71
Totals     1                       614096868.39         89504611.96         60356566.76         37960104.25
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  614096868.39         89504611.96         60356566.76         37960104.25
