WELL,PRESSURE,DEPTH,SWAT,WELLMODEL,CONBPRES,CONIPOS,DRAWDOWN,CONJPOS,DATE,CONIDX,CONKPOS,SGAS
R_A2,300.70770263671875,1641.2327880859375,0.05632564797997475,STANDARD,300.70770263671875,22,0,30,2018-01-01,1,1,0.0
R_A2,300.8304748535156,1643.0635986328125,0.05845865234732628,STANDARD,300.8304748535156,22,0,30,2018-01-01,2,2,0.0
R_A2,300.9532470703125,1644.8944091796875,0.06107049062848091,STANDARD,300.9532470703125,22,0,30,2018-01-01,3,3,0.0
R_A2,301.0760192871094,1646.7252197265625,0.20668531954288483,STANDARD,301.0760192871094,22,0,30,2018-01-01,4,4,0.0
R_A2,301.19879150390625,1648.5560302734375,0.21167296171188354,STANDARD,301.19879150390625,22,0,30,2018-01-01,5,5,0.0
R_A2,301.3215637207031,1650.386962890625,0.6481541991233826,STANDARD,301.3215637207031,22,0,30,2018-01-01,6,6,0.0
R_A2,301.4443359375,1652.2177734375,0.8924559950828552,STANDARD,301.4443359375,22,0,30,2018-01-01,7,7,0.0
R_A2,301.567138671875,1654.048583984375,0.8599345088005066,STANDARD,301.567138671875,22,0,30,2018-01-01,8,8,0.0
R_A2,301.6899108886719,1655.87939453125,0.9042207598686218,STANDARD,301.6899108886719,22,0,30,2018-01-01,9,9,0.0
R_A2,301.8127136230469,1657.710205078125,0.9053731560707092,STANDARD,301.8127136230469,22,0,30,2018-01-01,10,10,0.0
R_A2,301.94525146484375,1659.6864013671875,0.07599343359470367,STANDARD,301.94525146484375,22,0,30,2018-01-01,11,11,0.0
R_A2,302.0875549316406,1661.8079833984375,0.07597373425960541,STANDARD,302.0875549316406,22,0,30,2018-01-01,12,12,0.0
R_A2,302.2298889160156,1663.929443359375,0.45856213569641113,STANDARD,302.2298889160156,22,0,30,2018-01-01,13,13,0.0
R_A2,302.3721923828125,1666.051025390625,0.5075684189796448,STANDARD,302.3721923828125,22,0,30,2018-01-01,14,14,0.0
R_A2,302.5144958496094,1668.172607421875,0.9642797112464905,STANDARD,302.5144958496094,22,0,30,2018-01-01,15,15,0.0
R_A2,302.6568298339844,1670.294189453125,0.9691649675369263,STANDARD,302.6568298339844,22,0,30,2018-01-01,16,16,0.0
R_A2,302.7991638183594,1672.415771484375,0.9495562314987183,STANDARD,302.7991638183594,22,0,30,2018-01-01,17,17,0.0
R_A2,302.9228820800781,1674.2598876953125,0.9867601990699768,STANDARD,302.9228820800781,22,0,30,2018-01-01,18,18,0.0
R_A2,303.0389099121094,1675.989501953125,0.5563549995422363,STANDARD,303.0389099121094,22,0,30,2018-01-01,19,25,0.0
R_A2,303.15997314453125,1677.7935791015625,1.0,STANDARD,303.15997314453125,22,0,30,2018-01-01,20,26,0.0
R_A2,303.63543701171875,1679.5977783203125,1.0,STANDARD,303.63543701171875,22,0,30,2018-01-01,21,27,0.0
R_A2,303.490478515625,1678.0679931640625,1.0,STANDARD,303.490478515625,22,0,29,2018-01-01,22,27,0.0
R_A2,303.6695251464844,1679.9573974609375,1.0,STANDARD,303.6695251464844,22,0,29,2018-01-01,23,28,0.0
R_A2,303.84857177734375,1681.846923828125,1.0,STANDARD,303.84857177734375,22,0,29,2018-01-01,24,29,0.0
R_A3,298.64337158203125,1610.438232421875,0.6481541991233826,STANDARD,298.64337158203125,28,0,41,2018-01-01,1,1,0.0
R_A3,298.779052734375,1612.462646484375,0.15299148857593536,STANDARD,298.779052734375,28,0,41,2018-01-01,2,2,0.0
R_A3,298.91473388671875,1614.4871826171875,0.11941935122013092,STANDARD,298.91473388671875,28,0,41,2018-01-01,3,3,0.0
R_A3,299.0504150390625,1616.51171875,0.11823459714651108,STANDARD,299.0504150390625,28,0,41,2018-01-01,4,4,0.0
R_A3,298.3367919921875,1605.8636474609375,0.31128445267677307,STANDARD,298.3367919921875,29,0,41,2018-01-01,5,4,0.0
R_A3,298.47503662109375,1607.926513671875,0.8112289309501648,STANDARD,298.47503662109375,29,0,41,2018-01-01,6,5,0.0
R_A3,298.6133117675781,1609.989501953125,0.6481541991233826,STANDARD,298.6133117675781,29,0,41,2018-01-01,7,6,0.0
R_A3,298.7515563964844,1612.0523681640625,0.19724155962467194,STANDARD,298.7515563964844,29,0,41,2018-01-01,8,7,0.0
R_A3,298.8898010253906,1614.1153564453125,0.20100241899490356,STANDARD,298.8898010253906,29,0,41,2018-01-01,9,8,0.0
