CONJPOS,CONIDX,WELLMODEL,SWAT,CONKPOS,DEPTH,DRAWDOWN,CONBPRES,WELL,DATE,SGAS,CONIPOS,PRESSURE
30,1,STANDARD,0.05203108862042427,1,1639.9501953125,0,300.7284240722656,R_A2,2018-01-01,0.0,22,300.7284240722656
30,2,STANDARD,0.0544096902012825,2,1641.708740234375,0,300.8463439941406,R_A2,2018-01-01,0.0,22,300.8463439941406
30,3,STANDARD,0.05722173675894737,3,1643.4671630859375,0,300.9642639160156,R_A2,2018-01-01,0.0,22,300.9642639160156
30,4,STANDARD,0.061131738126277924,4,1645.2257080078125,0,301.0821838378906,R_A2,2018-01-01,0.0,22,301.0821838378906
30,5,STANDARD,0.06534012407064438,5,1646.9842529296875,0,301.2001037597656,R_A2,2018-01-01,0.0,22,301.2001037597656
30,6,STANDARD,0.2977760434150696,6,1648.7427978515625,0,301.3180236816406,R_A2,2018-01-01,0.0,22,301.3180236816406
30,7,STANDARD,0.86925208568573,7,1650.5013427734375,0,301.43597412109375,R_A2,2018-01-01,0.0,22,301.43597412109375
30,8,STANDARD,0.6481541991233826,8,1652.259765625,0,301.55389404296875,R_A2,2018-01-01,0.0,22,301.55389404296875
30,9,STANDARD,0.6481541991233826,9,1654.0181884765625,0,301.6718444824219,R_A2,2018-01-01,0.0,22,301.6718444824219
30,10,STANDARD,0.6481541991233826,10,1655.77685546875,0,301.789794921875,R_A2,2018-01-01,0.0,22,301.789794921875
30,11,STANDARD,0.06756418943405151,11,1657.67138671875,0,301.9168701171875,R_A2,2018-01-01,0.0,22,301.9168701171875
30,12,STANDARD,0.06383705139160156,12,1659.7021484375,0,302.0530700683594,R_A2,2018-01-01,0.0,22,302.0530700683594
30,13,STANDARD,0.4235028028488159,13,1661.73291015625,0,302.18927001953125,R_A2,2018-01-01,0.0,22,302.18927001953125
30,14,STANDARD,0.46516865491867065,14,1663.763671875,0,302.32550048828125,R_A2,2018-01-01,0.0,22,302.32550048828125
30,15,STANDARD,0.8925957083702087,15,1665.79443359375,0,302.46173095703125,R_A2,2018-01-01,0.0,22,302.46173095703125
30,16,STANDARD,0.9050680994987488,16,1667.8250732421875,0,302.59796142578125,R_A2,2018-01-01,0.0,22,302.59796142578125
29,17,STANDARD,0.9511312246322632,16,1672.2633056640625,0,302.89569091796875,R_A2,2018-01-01,0.0,22,302.89569091796875
29,18,STANDARD,0.924675464630127,17,1674.38720703125,0,303.0382080078125,R_A2,2018-01-01,0.0,22,303.0382080078125
29,19,STANDARD,0.9677143096923828,18,1676.244873046875,0,303.162841796875,R_A2,2018-01-01,0.0,22,303.162841796875
29,20,STANDARD,0.7309752106666565,26,1677.9246826171875,0,303.2755432128906,R_A2,2018-01-01,0.0,22,303.2755432128906
29,21,STANDARD,0.6481541991233826,27,1679.665283203125,0,303.392333984375,R_A2,2018-01-01,0.0,22,303.392333984375
29,22,STANDARD,1.0,28,1681.40576171875,0,303.5091247558594,R_A2,2018-01-01,0.0,22,303.5091247558594
29,23,STANDARD,1.0,29,1683.146240234375,0,303.9716796875,R_A2,2018-01-01,0.0,22,303.9716796875
29,24,STANDARD,1.0,30,1684.8868408203125,0,304.1366271972656,R_A2,2018-01-01,0.0,22,304.1366271972656
41,1,STANDARD,0.6481541991233826,1,1607.5140380859375,0,298.5540466308594,R_A3,2018-01-01,0.0,28,298.5540466308594
41,2,STANDARD,0.19114911556243896,2,1609.5267333984375,0,298.6889343261719,R_A3,2018-01-01,0.0,28,298.6889343261719
41,3,STANDARD,0.12269318103790283,3,1611.539306640625,0,298.8238220214844,R_A3,2018-01-01,0.0,28,298.8238220214844
41,4,STANDARD,0.10101283341646194,4,1613.552001953125,0,298.9587097167969,R_A3,2018-01-01,0.0,28,298.9587097167969
41,5,STANDARD,0.6481541991233826,4,1606.594482421875,0,298.492431640625,R_A3,2018-01-01,0.0,29,298.492431640625
41,6,STANDARD,0.808694064617157,5,1608.647216796875,0,298.6300048828125,R_A3,2018-01-01,0.0,29,298.6300048828125
