CONIDX,SWAT,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,WELL,DEPTH
1,0.057503100484609604,STANDARD,1,0.0,300.3940734863281,30,300.3940734863281,2018-01-01,22,0,R_A2,1638.34912109375
2,0.05820714682340622,STANDARD,2,0.0,300.5068054199219,30,300.5068054199219,2018-01-01,22,0,R_A2,1640.030517578125
3,0.060248736292123795,STANDARD,3,0.0,300.6195373535156,30,300.6195373535156,2018-01-01,22,0,R_A2,1641.7119140625
4,0.06908352673053741,STANDARD,4,0.0,300.7322692871094,30,300.7322692871094,2018-01-01,22,0,R_A2,1643.393310546875
5,0.07172931730747223,STANDARD,5,0.0,300.84503173828125,30,300.84503173828125,2018-01-01,22,0,R_A2,1645.07470703125
6,0.12085627764463425,STANDARD,6,0.0,300.9577941894531,30,300.9577941894531,2018-01-01,22,0,R_A2,1646.756103515625
7,0.19151373207569122,STANDARD,7,0.0,301.0705261230469,30,301.0705261230469,2018-01-01,22,0,R_A2,1648.4375
8,0.6481541991233826,STANDARD,8,0.0,301.18328857421875,30,301.18328857421875,2018-01-01,22,0,R_A2,1650.1190185546875
9,0.2520635724067688,STANDARD,9,0.0,301.2960510253906,30,301.2960510253906,2018-01-01,22,0,R_A2,1651.8004150390625
10,0.6481541991233826,STANDARD,10,0.0,301.4088134765625,30,301.4088134765625,2018-01-01,22,0,R_A2,1653.4818115234375
11,0.0774444043636322,STANDARD,11,0.0,301.5324401855469,30,301.5324401855469,2018-01-01,22,0,R_A2,1655.3253173828125
12,0.17724201083183289,STANDARD,12,0.0,301.6669616699219,30,301.6669616699219,2018-01-01,22,0,R_A2,1657.330810546875
13,0.46304747462272644,STANDARD,13,0.0,301.80145263671875,30,301.80145263671875,2018-01-01,22,0,R_A2,1659.33642578125
14,0.522743821144104,STANDARD,14,0.0,301.93597412109375,30,301.93597412109375,2018-01-01,22,0,R_A2,1661.3419189453125
15,0.9464526176452637,STANDARD,15,0.0,302.07049560546875,30,302.07049560546875,2018-01-01,22,0,R_A2,1663.3475341796875
16,0.9909285306930542,STANDARD,15,0.0,302.4402770996094,29,302.4402770996094,2018-01-01,22,0,R_A2,1668.85986328125
17,1.0,STANDARD,16,0.0,302.5816955566406,29,302.5816955566406,2018-01-01,22,0,R_A2,1670.9681396484375
18,0.9983428120613098,STANDARD,17,0.0,302.7231140136719,29,302.7231140136719,2018-01-01,22,0,R_A2,1673.076416015625
19,1.0,STANDARD,18,0.0,303.0316162109375,29,303.0316162109375,2018-01-01,22,0,R_A2,1674.794677734375
20,1.0,STANDARD,26,0.0,303.32666015625,29,303.32666015625,2018-01-01,22,0,R_A2,1676.33935546875
21,1.0,STANDARD,27,0.0,303.4935302734375,29,303.4935302734375,2018-01-01,22,0,R_A2,1678.100341796875
22,1.0,STANDARD,28,0.0,303.660400390625,29,303.660400390625,2018-01-01,22,0,R_A2,1679.861328125
23,1.0,STANDARD,29,0.0,303.8272705078125,29,303.8272705078125,2018-01-01,22,0,R_A2,1681.6221923828125
