DEPTH,CONJPOS,SGAS,WELL,CONBPRES,SWAT,DRAWDOWN,DATE,CONIDX,CONIPOS,WELLMODEL,CONKPOS,PRESSURE
1640.703125,30,0.0,R_A2,300.7700500488281,0.052949242293834686,0,2018-01-01,1,22,STANDARD,1,300.7700500488281
1642.4501953125,30,0.0,R_A2,300.88720703125,0.05434223636984825,0,2018-01-01,2,22,STANDARD,2,300.88720703125
1644.1973876953125,30,0.0,R_A2,301.0043640136719,0.05756966397166252,0,2018-01-01,3,22,STANDARD,3,301.0043640136719
1645.944580078125,30,0.0,R_A2,301.12152099609375,0.06355146318674088,0,2018-01-01,4,22,STANDARD,4,301.12152099609375
1647.6917724609375,30,0.0,R_A2,301.23870849609375,0.0661965012550354,0,2018-01-01,5,22,STANDARD,5,301.23870849609375
1649.43896484375,30,0.0,R_A2,301.3558654785156,0.31366458535194397,0,2018-01-01,6,22,STANDARD,6,301.3558654785156
1651.1861572265625,30,0.0,R_A2,301.4730529785156,0.8738419413566589,0,2018-01-01,7,22,STANDARD,7,301.4730529785156
1652.933349609375,30,0.0,R_A2,301.5902099609375,0.6481541991233826,0,2018-01-01,8,22,STANDARD,8,301.5902099609375
1654.680419921875,30,0.0,R_A2,301.7073974609375,0.12006687372922897,0,2018-01-01,9,22,STANDARD,9,301.7073974609375
1656.4276123046875,30,0.0,R_A2,301.8245849609375,0.13742059469223022,0,2018-01-01,10,22,STANDARD,10,301.8245849609375
1658.316650390625,30,0.0,R_A2,301.9512939453125,0.06708506494760513,0,2018-01-01,11,22,STANDARD,11,301.9512939453125
1660.347412109375,30,0.0,R_A2,302.0874938964844,0.07144809514284134,0,2018-01-01,12,22,STANDARD,12,302.0874938964844
1662.378173828125,30,0.0,R_A2,302.2237243652344,0.4263167679309845,0,2018-01-01,13,22,STANDARD,13,302.2237243652344
1664.408935546875,30,0.0,R_A2,302.3599548339844,0.4680042564868927,0,2018-01-01,14,22,STANDARD,14,302.3599548339844
1666.439697265625,30,0.0,R_A2,302.4961853027344,0.9003206491470337,0,2018-01-01,15,22,STANDARD,15,302.4961853027344
1668.4705810546875,30,0.0,R_A2,302.6324157714844,0.9173060655593872,0,2018-01-01,16,22,STANDARD,16,302.6324157714844
1670.5013427734375,30,0.0,R_A2,302.7686462402344,0.8777000904083252,0,2018-01-01,17,22,STANDARD,17,302.7686462402344
