CONIPOS,DATE,CONJPOS,SWAT,WELLMODEL,WELL,DEPTH,PRESSURE,CONIDX,CONKPOS,CONBPRES,DRAWDOWN,SGAS
22,2018-01-01,30,0.05659883841872215,STANDARD,R_A2,1641.094970703125,300.6733093261719,1,1,300.6733093261719,0,0.0
22,2018-01-01,30,0.057897210121154785,STANDARD,R_A2,1642.8890380859375,300.7936096191406,2,2,300.7936096191406,0,0.0
22,2018-01-01,30,0.06060889735817909,STANDARD,R_A2,1644.68310546875,300.9139099121094,3,3,300.9139099121094,0,0.0
22,2018-01-01,30,0.06530755013227463,STANDARD,R_A2,1646.4771728515625,301.0342102050781,4,4,301.0342102050781,0,0.0
22,2018-01-01,30,0.06916967034339905,STANDARD,R_A2,1648.2713623046875,301.1545104980469,5,5,301.1545104980469,0,0.0
22,2018-01-01,30,0.3080350458621979,STANDARD,R_A2,1650.0654296875,301.27484130859375,6,6,301.27484130859375,0,0.0
22,2018-01-01,30,0.8966805338859558,STANDARD,R_A2,1651.859619140625,301.3951721191406,7,7,301.3951721191406,0,0.0
22,2018-01-01,30,0.8801488876342773,STANDARD,R_A2,1653.6536865234375,301.5154724121094,8,8,301.5154724121094,0,0.0
22,2018-01-01,30,0.9076734781265259,STANDARD,R_A2,1655.44775390625,301.63580322265625,9,9,301.63580322265625,0,0.0
22,2018-01-01,30,0.9077416062355042,STANDARD,R_A2,1657.2418212890625,301.7561340332031,10,10,301.7561340332031,0,0.0
22,2018-01-01,30,0.07622610777616501,STANDARD,R_A2,1659.1368408203125,301.88323974609375,11,11,301.88323974609375,0,0.0
22,2018-01-01,30,0.08180969953536987,STANDARD,R_A2,1661.132568359375,302.01708984375,12,12,302.01708984375,0,0.0
22,2018-01-01,30,0.4750072658061981,STANDARD,R_A2,1663.12841796875,302.1509704589844,13,13,302.1509704589844,0,0.0
22,2018-01-01,30,0.512985348701477,STANDARD,R_A2,1665.1241455078125,302.28485107421875,14,14,302.28485107421875,0,0.0
22,2018-01-01,30,0.679781973361969,STANDARD,R_A2,1667.1199951171875,302.4187316894531,15,15,302.4187316894531,0,0.0
22,2018-01-01,30,0.9705216884613037,STANDARD,R_A2,1669.11572265625,302.5526123046875,16,16,302.5526123046875,0,0.0
22,2018-01-01,30,0.9569120407104492,STANDARD,R_A2,1671.111572265625,302.6864929199219,17,17,302.6864929199219,0,0.0
22,2018-01-01,30,0.9819161295890808,STANDARD,R_A2,1672.9881591796875,302.8123779296875,18,18,302.8123779296875,0,0.0
22,2018-01-01,29,0.9946486949920654,STANDARD,R_A2,1674.229736328125,302.89569091796875,19,18,302.89569091796875,0,0.0
