CONJPOS,DRAWDOWN,SGAS,WELLMODEL,CONIPOS,PRESSURE,CONIDX,SWAT,DATE,CONKPOS,WELL,DEPTH,CONBPRES
30,0,0.0,STANDARD,22,300.78076171875,1,0.053957629948854446,2018-01-01,1,R_A2,1640.907958984375,300.78076171875
30,0,0.0,STANDARD,22,300.900390625,2,0.05533222481608391,2018-01-01,2,R_A2,1642.692138671875,300.900390625
30,0,0.0,STANDARD,22,301.02001953125,3,0.0576908104121685,2018-01-01,3,R_A2,1644.476318359375,301.02001953125
30,0,0.0,STANDARD,22,301.1396789550781,4,0.06354060769081116,2018-01-01,4,R_A2,1646.260498046875,301.1396789550781
30,0,0.0,STANDARD,22,301.25933837890625,5,0.06587561219930649,2018-01-01,5,R_A2,1648.044677734375,301.25933837890625
30,0,0.0,STANDARD,22,301.37896728515625,6,0.3002404272556305,2018-01-01,6,R_A2,1649.828857421875,301.37896728515625
30,0,0.0,STANDARD,22,301.4986267089844,7,0.8766106963157654,2018-01-01,7,R_A2,1651.6129150390625,301.4986267089844
30,0,0.0,STANDARD,22,301.6182861328125,8,0.8610914945602417,2018-01-01,8,R_A2,1653.3970947265625,301.6182861328125
30,0,0.0,STANDARD,22,301.7379455566406,9,0.6481541991233826,2018-01-01,9,R_A2,1655.1812744140625,301.7379455566406
30,0,0.0,STANDARD,22,301.8576354980469,10,0.2768341302871704,2018-01-01,10,R_A2,1656.9654541015625,301.8576354980469
30,0,0.0,STANDARD,22,301.98614501953125,11,0.06988354027271271,2018-01-01,11,R_A2,1658.8817138671875,301.98614501953125
30,0,0.0,STANDARD,22,302.26092529296875,12,0.43191686272621155,2018-01-01,13,R_A2,1662.97802734375,302.26092529296875
30,0,0.0,STANDARD,22,302.3983154296875,13,0.46845272183418274,2018-01-01,14,R_A2,1665.0262451171875,302.3983154296875
30,0,0.0,STANDARD,22,302.53570556640625,14,0.9065091013908386,2018-01-01,15,R_A2,1667.074462890625,302.53570556640625
