DEPTH,CONIPOS,SWAT,CONBPRES,WELL,PRESSURE,CONKPOS,DRAWDOWN,CONJPOS,CONIDX,WELLMODEL,DATE,SGAS
1640.231689453125,22,0.05398258939385414,300.74176025390625,R_A2,300.74176025390625,1,0,30,1,STANDARD,2018-01-01,0.0
1641.97705078125,22,0.05466931685805321,300.8587951660156,R_A2,300.8587951660156,2,0,30,2,STANDARD,2018-01-01,0.0
1643.7225341796875,22,0.058169398456811905,300.975830078125,R_A2,300.975830078125,3,0,30,3,STANDARD,2018-01-01,0.0
1645.468017578125,22,0.06252633035182953,301.0928955078125,R_A2,301.0928955078125,4,0,30,4,STANDARD,2018-01-01,0.0
1647.2135009765625,22,0.06440627574920654,301.2099304199219,R_A2,301.2099304199219,5,0,30,5,STANDARD,2018-01-01,0.0
1648.958984375,22,0.6586289405822754,301.3269958496094,R_A2,301.3269958496094,6,0,30,6,STANDARD,2018-01-01,0.0
1650.7044677734375,22,0.8730041980743408,301.4440612792969,R_A2,301.4440612792969,7,0,30,7,STANDARD,2018-01-01,0.0
1652.449951171875,22,0.6481541991233826,301.5611267089844,R_A2,301.5611267089844,8,0,30,8,STANDARD,2018-01-01,0.0
1654.1953125,22,0.6481541991233826,301.6781921386719,R_A2,301.6781921386719,9,0,30,9,STANDARD,2018-01-01,0.0
1655.9407958984375,22,0.8849713206291199,301.7952575683594,R_A2,301.7952575683594,10,0,30,10,STANDARD,2018-01-01,0.0
1657.8336181640625,22,0.06626106053590775,301.9222106933594,R_A2,301.9222106933594,11,0,30,11,STANDARD,2018-01-01,0.0
1659.8736572265625,22,0.06938684731721878,302.0590515136719,R_A2,302.0590515136719,12,0,30,12,STANDARD,2018-01-01,0.0
1661.913818359375,22,0.4185822904109955,302.1958923339844,R_A2,302.1958923339844,13,0,30,13,STANDARD,2018-01-01,0.0
1663.9539794921875,22,0.473492294549942,302.3327331542969,R_A2,302.3327331542969,14,0,30,14,STANDARD,2018-01-01,0.0
1665.994140625,22,0.8997657895088196,302.4696044921875,R_A2,302.4696044921875,15,0,30,15,STANDARD,2018-01-01,0.0
1668.0341796875,22,0.9075637459754944,302.6064453125,R_A2,302.6064453125,16,0,30,16,STANDARD,2018-01-01,0.0
1670.0743408203125,22,0.8754705786705017,302.7433166503906,R_A2,302.7433166503906,17,0,30,17,STANDARD,2018-01-01,0.0
1674.058349609375,22,0.9372246861457825,303.0105895996094,R_A2,303.0105895996094,17,0,29,18,STANDARD,2018-01-01,0.0
