CONJPOS,DATE,CONIPOS,CONKPOS,CONBPRES,DRAWDOWN,SWAT,PRESSURE,SGAS,WELLMODEL,CONIDX,DEPTH,WELL
30,2018-01-01,22,5,301.1545104980469,0,0.13372820615768433,301.1545104980469,0.0,STANDARD,5,1648.2713623046875,R_A2
30,2018-01-01,22,6,301.27484130859375,0,0.30576056241989136,301.27484130859375,0.0,STANDARD,6,1650.0654296875,R_A2
30,2018-01-01,22,7,301.3951721191406,0,0.893852174282074,301.3951721191406,0.0,STANDARD,7,1651.859619140625,R_A2
30,2018-01-01,22,8,301.5154724121094,0,0.6481541991233826,301.5154724121094,0.0,STANDARD,8,1653.6536865234375,R_A2
30,2018-01-01,22,9,301.63580322265625,0,0.18723928928375244,301.63580322265625,0.0,STANDARD,9,1655.44775390625,R_A2
30,2018-01-01,22,10,301.7561340332031,0,0.9045571684837341,301.7561340332031,0.0,STANDARD,10,1657.2418212890625,R_A2
30,2018-01-01,22,11,301.88323974609375,0,0.07894028723239899,301.88323974609375,0.0,STANDARD,11,1659.1368408203125,R_A2
30,2018-01-01,22,12,302.01708984375,0,0.079011470079422,302.01708984375,0.0,STANDARD,12,1661.132568359375,R_A2
30,2018-01-01,22,13,302.1509704589844,0,0.45304223895072937,302.1509704589844,0.0,STANDARD,13,1663.12841796875,R_A2
30,2018-01-01,22,14,302.28485107421875,0,0.5042955279350281,302.28485107421875,0.0,STANDARD,14,1665.1241455078125,R_A2
30,2018-01-01,22,15,302.4187316894531,0,0.6907110214233398,302.4187316894531,0.0,STANDARD,15,1667.1199951171875,R_A2
30,2018-01-01,22,16,302.5526123046875,0,0.964935839176178,302.5526123046875,0.0,STANDARD,16,1669.11572265625,R_A2
30,2018-01-01,22,17,302.6864929199219,0,0.9508187174797058,302.6864929199219,0.0,STANDARD,17,1671.111572265625,R_A2
30,2018-01-01,22,18,302.8123779296875,0,0.983161985874176,302.8123779296875,0.0,STANDARD,18,1672.9881591796875,R_A2
29,2018-01-01,22,18,302.89569091796875,0,0.9968782663345337,302.89569091796875,0.0,STANDARD,19,1674.229736328125,R_A2
29,2018-01-01,22,27,303.02569580078125,0,1.0,303.02569580078125,0.0,STANDARD,20,1676.1676025390625,R_A2
29,2018-01-01,22,28,303.47802734375,0,1.0,303.47802734375,0.0,STANDARD,21,1677.9368896484375,R_A2
29,2018-01-01,22,29,303.64569091796875,0,1.0,303.64569091796875,0.0,STANDARD,22,1679.7061767578125,R_A2
29,2018-01-01,22,30,303.8133544921875,0,1.0,303.8133544921875,0.0,STANDARD,23,1681.4754638671875,R_A2
29,2018-01-01,22,31,303.98101806640625,0,1.0,303.98101806640625,0.0,STANDARD,24,1683.2447509765625,R_A2
41,2018-01-01,28,1,298.53814697265625,0,0.6481541991233826,298.53814697265625,0.0,STANDARD,1,1609.243408203125,R_A3
41,2018-01-01,28,2,298.676513671875,0,0.19721345603466034,298.676513671875,0.0,STANDARD,2,1611.3077392578125,R_A3
41,2018-01-01,28,3,298.8148498535156,0,0.15777362883090973,298.8148498535156,0.0,STANDARD,3,1613.3720703125,R_A3
41,2018-01-01,28,4,298.9532165527344,0,0.1718059778213501,298.9532165527344,0.0,STANDARD,4,1615.4365234375,R_A3
41,2018-01-01,28,5,299.0915832519531,0,0.6481541991233826,299.0915832519531,0.0,STANDARD,5,1617.5008544921875,R_A3
41,2018-01-01,28,6,299.2299499511719,0,0.3384052515029907,299.2299499511719,0.0,STANDARD,6,1619.565185546875,R_A3
41,2018-01-01,29,6,298.54638671875,0,0.6481541991233826,298.54638671875,0.0,STANDARD,7,1609.3663330078125,R_A3
41,2018-01-01,29,7,298.68377685546875,0,0.19685770571231842,298.68377685546875,0.0,STANDARD,8,1611.4163818359375,R_A3
41,2018-01-01,29,8,298.8211669921875,0,0.3490063548088074,298.8211669921875,0.0,STANDARD,9,1613.46630859375,R_A3
41,2018-01-01,29,9,298.95855712890625,0,0.8026683926582336,298.95855712890625,0.0,STANDARD,10,1615.516357421875,R_A3
41,2018-01-01,29,10,299.095947265625,0,0.7972224354743958,299.095947265625,0.0,STANDARD,11,1617.5662841796875,R_A3
41,2018-01-01,29,11,299.24237060546875,0,0.04908576235175133,299.24237060546875,0.0,STANDARD,12,1619.750732421875,R_A3
41,2018-01-01,29,12,299.3978271484375,0,0.054848283529281616,299.3978271484375,0.0,STANDARD,13,1622.0697021484375,R_A3
41,2018-01-01,29,13,299.5532531738281,0,0.37202560901641846,299.5532531738281,0.0,STANDARD,14,1624.388671875,R_A3
41,2018-01-01,29,15,299.8641662597656,0,0.4873570203781128,299.8641662597656,0.0,STANDARD,15,1629.026611328125,R_A3
41,2018-01-01,29,16,299.992919921875,0,0.8076774477958679,299.992919921875,0.0,STANDARD,16,1630.9468994140625,R_A3
41,2018-01-01,29,27,300.16583251953125,0,1.0,300.16583251953125,0.0,STANDARD,17,1633.5262451171875,R_A3
41,2018-01-01,29,28,300.40966796875,0,0.04337825998663902,300.40966796875,0.0,STANDARD,18,1637.1630859375,R_A3
41,2018-01-01,29,29,300.6535339355469,0,0.05151337385177612,300.6535339355469,0.0,STANDARD,19,1640.8001708984375,R_A3
41,2018-01-01,29,30,300.89739990234375,0,1.0,300.89739990234375,0.0,STANDARD,20,1644.4371337890625,R_A3
41,2018-01-01,29,31,301.14129638671875,0,0.06231296807527542,301.14129638671875,0.0,STANDARD,21,1648.0740966796875,R_A3
52,2018-01-01,30,1,300.009033203125,0,0.053005583584308624,300.009033203125,0.0,STANDARD,1,1631.1873779296875,R_A4
52,2018-01-01,31,1,299.7571105957031,0,0.04966719448566437,299.7571105957031,0.0,STANDARD,2,1627.4293212890625,R_A4
52,2018-01-01,31,2,299.89520263671875,0,0.050943583250045776,299.89520263671875,0.0,STANDARD,3,1629.4896240234375,R_A4
52,2018-01-01,31,3,300.0333251953125,0,0.05345940962433815,300.0333251953125,0.0,STANDARD,4,1631.5498046875,R_A4
52,2018-01-01,31,4,300.17144775390625,0,0.058497145771980286,300.17144775390625,0.0,STANDARD,5,1633.610107421875,R_A4
52,2018-01-01,32,4,300.0901184082031,0,0.05785714462399483,300.0901184082031,0.0,STANDARD,6,1632.3968505859375,R_A4
51,2018-01-01,32,4,300.3236999511719,0,0.058354947715997696,300.3236999511719,0.0,STANDARD,7,1635.880615234375,R_A4
