ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4844391,803536,491872,343007,48295394,0,0,0,0,0
Valysar,CentralSouth,69363386,13249558,10122453,7058893,993892184,0,0,0,0,0
Valysar,CentralNorth,38206113,6168728,4285746,2988665,420804046,0,0,0,0,0
Valysar,NorthHorst,4148658,718774,403274,247712,48526697,23677931,3349790,2209477,513831939,78616
Valysar,CentralRamp,13585983,2191837,1551791,1082141,152365505,0,0,0,0,0
Valysar,CentralHorst,86631146,13724756,10498916,7321420,1030855933,0,0,0,0,0
Valysar,EastLowland,1352996,216099,123574,86174,12133330,0,0,0,0,0
Therys,WestLowland,2135094,376454,156010,108794,15318180,0,0,0,0,0
Therys,CentralSouth,14390511,3560249,2178707,1519322,213920473,0,0,0,0,0
Therys,CentralNorth,21592291,4091710,2321838,1619134,227974090,0,0,0,0,0
Therys,NorthHorst,6080251,819245,315062,193527,37911952,17131824,2735284,1737594,404091712,61826
Therys,CentralRamp,6722009,1605150,1217852,849269,119577060,0,0,0,0,0
Therys,CentralHorst,31151308,7845544,5996911,4181947,588818086,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,227797,37756,13689,9546,1344091,0,0,0,0,0
Volon,CentralSouth,34510773,6583094,4681739,3264811,459685459,0,0,0,0,0
Volon,CentralNorth,6735058,940866,518154,361335,50875902,0,0,0,0,0
Volon,NorthHorst,4510714,827950,603161,370492,72579336,3240581,610268,528811,122979214,18816
Volon,CentralRamp,12264581,2206173,1707604,1190798,167664358,0,0,0,0,0
Volon,CentralHorst,84383670,14712953,11533157,8042648,1132404862,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
