WELL,CONIDX,DATE,DRAWDOWN,CONBPRES,WELLMODEL,CONJPOS,DEPTH,CONKPOS,SWAT,SGAS,PRESSURE,CONIPOS
R_A2,1,2018-01-01,0,300.50860595703125,STANDARD,30,1639.9912109375,1,0.05672728642821312,0.0,300.50860595703125,22
R_A2,2,2018-01-01,0,300.62249755859375,STANDARD,30,1641.6900634765625,2,0.06040404736995697,0.0,300.62249755859375,22
R_A2,3,2018-01-01,0,300.7364196777344,STANDARD,30,1643.388916015625,3,0.06429499387741089,0.0,300.7364196777344,22
R_A2,4,2018-01-01,0,300.850341796875,STANDARD,30,1645.087890625,4,0.0699014887213707,0.0,300.850341796875,22
R_A2,5,2018-01-01,0,300.9642639160156,STANDARD,30,1646.7867431640625,5,0.07414471358060837,0.0,300.9642639160156,22
R_A2,6,2018-01-01,0,301.07818603515625,STANDARD,30,1648.485595703125,6,0.27649468183517456,0.0,301.07818603515625,22
R_A2,7,2018-01-01,0,301.1921081542969,STANDARD,30,1650.1844482421875,7,0.8991771936416626,0.0,301.1921081542969,22
R_A2,8,2018-01-01,0,301.3060302734375,STANDARD,30,1651.88330078125,8,0.8964446783065796,0.0,301.3060302734375,22
R_A2,9,2018-01-01,0,301.4199523925781,STANDARD,30,1653.5821533203125,9,0.9077383279800415,0.0,301.4199523925781,22
R_A2,10,2018-01-01,0,301.5339050292969,STANDARD,30,1655.281005859375,10,0.9228089451789856,0.0,301.5339050292969,22
R_A2,11,2018-01-01,0,301.6580810546875,STANDARD,30,1657.1328125,11,0.08048301935195923,0.0,301.6580810546875,22
R_A2,12,2018-01-01,0,301.927001953125,STANDARD,30,1661.14208984375,13,0.4756004810333252,0.0,301.927001953125,22
R_A2,13,2018-01-01,0,302.06146240234375,STANDARD,30,1663.146728515625,14,0.5342631340026855,0.0,302.06146240234375,22
R_A2,14,2018-01-01,0,302.1959228515625,STANDARD,30,1665.1513671875,15,0.9597195982933044,0.0,302.1959228515625,22
R_A2,15,2018-01-01,0,302.4977722167969,STANDARD,29,1669.65087890625,15,0.9974135160446167,0.0,302.4977722167969,22
R_A2,16,2018-01-01,0,302.6404724121094,STANDARD,29,1671.7783203125,16,1.0,0.0,302.6404724121094,22
R_A2,17,2018-01-01,0,302.9473571777344,STANDARD,29,1673.90576171875,17,1.0,0.0,302.9473571777344,22
R_A2,18,2018-01-01,0,303.1063537597656,STANDARD,29,1675.583740234375,18,1.0,0.0,303.1063537597656,22
R_A2,19,2018-01-01,0,303.4080505371094,STANDARD,29,1677.1982421875,29,1.0,0.0,303.4080505371094,22
R_A2,20,2018-01-01,0,303.5732421875,STANDARD,29,1678.94140625,30,1.0,0.0,303.5732421875,22
R_A2,21,2018-01-01,0,303.7384033203125,STANDARD,29,1680.6845703125,31,1.0,0.0,303.7384033203125,22
R_A2,22,2018-01-01,0,303.9035949707031,STANDARD,29,1682.427734375,32,1.0,0.0,303.9035949707031,22
R_A2,23,2018-01-01,0,304.06878662109375,STANDARD,29,1684.1708984375,33,1.0,0.0,304.06878662109375,22
R_A3,1,2018-01-01,0,298.64105224609375,STANDARD,41,1612.131591796875,1,0.28039079904556274,0.0,298.64105224609375,28
R_A3,2,2018-01-01,0,298.7895812988281,STANDARD,41,1614.3477783203125,2,0.20558474957942963,0.0,298.7895812988281,28
R_A3,3,2018-01-01,0,298.9381103515625,STANDARD,41,1616.5640869140625,3,0.20205727219581604,0.0,298.9381103515625,28
R_A3,4,2018-01-01,0,299.086669921875,STANDARD,41,1618.7802734375,4,0.37581223249435425,0.0,299.086669921875,28
R_A3,5,2018-01-01,0,299.2351989746094,STANDARD,41,1620.9964599609375,5,0.843389093875885,0.0,299.2351989746094,28
R_A3,6,2018-01-01,0,299.3837585449219,STANDARD,41,1623.212646484375,6,0.17917759716510773,0.0,299.3837585449219,28
R_A3,7,2018-01-01,0,299.5323181152344,STANDARD,41,1625.428955078125,7,0.0837804451584816,0.0,299.5323181152344,28
R_A3,8,2018-01-01,0,298.4190979003906,STANDARD,41,1608.81982421875,7,0.14932852983474731,0.0,298.4190979003906,29
R_A3,9,2018-01-01,0,298.55938720703125,STANDARD,41,1610.9129638671875,8,0.1536266952753067,0.0,298.55938720703125,29
R_A3,10,2018-01-01,0,298.6996765136719,STANDARD,41,1613.006103515625,9,0.6481541991233826,0.0,298.6996765136719,29
R_A3,11,2018-01-01,0,298.8399658203125,STANDARD,41,1615.099365234375,10,0.8028563261032104,0.0,298.8399658203125,29
R_A3,12,2018-01-01,0,298.98797607421875,STANDARD,41,1617.30810546875,11,0.04968828707933426,0.0,298.98797607421875,29
R_A3,13,2018-01-01,0,299.1437683105469,STANDARD,41,1619.6322021484375,12,0.05407741665840149,0.0,299.1437683105469,29
R_A3,14,2018-01-01,0,299.299560546875,STANDARD,41,1621.9564208984375,13,0.3709976375102997,0.0,299.299560546875,29
R_A3,15,2018-01-01,0,299.4553527832031,STANDARD,41,1624.2806396484375,14,0.4043766260147095,0.0,299.4553527832031,29
R_A3,16,2018-01-01,0,299.61114501953125,STANDARD,41,1626.6048583984375,15,0.3548179268836975,0.0,299.61114501953125,29
R_A3,17,2018-01-01,0,299.75067138671875,STANDARD,41,1628.6861572265625,16,0.8108267188072205,0.0,299.75067138671875,29
