SGAS,WELLMODEL,CONIPOS,PRESSURE,CONKPOS,WELL,CONIDX,CONBPRES,DATE,SWAT,CONJPOS,DEPTH,DRAWDOWN
0.0,STANDARD,22,300.5350341796875,1,R_A2,1,300.5350341796875,2018-01-01,0.05985705181956291,30,1641.094970703125,0
0.0,STANDARD,22,300.65533447265625,2,R_A2,2,300.65533447265625,2018-01-01,0.06231585517525673,30,1642.8890380859375,0
0.0,STANDARD,22,300.775634765625,3,R_A2,3,300.775634765625,2018-01-01,0.06544762849807739,30,1644.68310546875,0
0.0,STANDARD,22,300.89593505859375,4,R_A2,4,300.89593505859375,2018-01-01,0.07362760603427887,30,1646.4771728515625,0
0.0,STANDARD,22,301.0162353515625,5,R_A2,5,301.0162353515625,2018-01-01,0.07809417694807053,30,1648.2713623046875,0
0.0,STANDARD,22,301.13653564453125,6,R_A2,6,301.13653564453125,2018-01-01,0.15261679887771606,30,1650.0654296875,0
0.0,STANDARD,22,301.2568664550781,7,R_A2,7,301.2568664550781,2018-01-01,0.27267512679100037,30,1651.859619140625,0
0.0,STANDARD,22,301.3771667480469,8,R_A2,8,301.3771667480469,2018-01-01,0.6481541991233826,30,1653.6536865234375,0
0.0,STANDARD,22,301.49749755859375,9,R_A2,9,301.49749755859375,2018-01-01,0.6481541991233826,30,1655.44775390625,0
0.0,STANDARD,22,301.6178283691406,10,R_A2,10,301.6178283691406,2018-01-01,0.9489361047744751,30,1657.2418212890625,0
0.0,STANDARD,22,301.74493408203125,11,R_A2,11,301.74493408203125,2018-01-01,0.0920071229338646,30,1659.1368408203125,0
0.0,STANDARD,22,301.8787841796875,12,R_A2,12,301.8787841796875,2018-01-01,0.10687341541051865,30,1661.132568359375,0
0.0,STANDARD,22,302.01263427734375,13,R_A2,13,302.01263427734375,2018-01-01,0.5107935070991516,30,1663.12841796875,0
0.0,STANDARD,22,302.1465148925781,14,R_A2,14,302.1465148925781,2018-01-01,0.6170238852500916,30,1665.1241455078125,0
0.0,STANDARD,22,302.2803955078125,15,R_A2,15,302.2803955078125,2018-01-01,0.7804908752441406,30,1667.1199951171875,0
0.0,STANDARD,22,302.4142761230469,16,R_A2,16,302.4142761230469,2018-01-01,0.9985834360122681,30,1669.11572265625,0
0.0,STANDARD,22,302.54815673828125,17,R_A2,17,302.54815673828125,2018-01-01,0.9990207552909851,30,1671.111572265625,0
0.0,STANDARD,22,302.86041259765625,18,R_A2,18,302.86041259765625,2018-01-01,1.0,30,1672.9881591796875,0
0.0,STANDARD,22,302.97808837890625,18,R_A2,19,302.97808837890625,2018-01-01,1.0,29,1674.229736328125,0
0.0,STANDARD,22,303.0046081542969,27,R_A2,20,303.0046081542969,2018-01-01,1.0,29,1676.1676025390625,0
0.0,STANDARD,22,303.47802734375,28,R_A2,21,303.47802734375,2018-01-01,1.0,29,1677.9368896484375,0
0.0,STANDARD,22,303.64569091796875,29,R_A2,22,303.64569091796875,2018-01-01,1.0,29,1679.7061767578125,0
0.0,STANDARD,22,303.8133544921875,30,R_A2,23,303.8133544921875,2018-01-01,1.0,29,1681.4754638671875,0
0.0,STANDARD,22,303.98101806640625,31,R_A2,24,303.98101806640625,2018-01-01,1.0,29,1683.2447509765625,0
0.0,STANDARD,28,298.39996337890625,1,R_A3,1,298.39996337890625,2018-01-01,0.31367287039756775,41,1609.243408203125,0
0.0,STANDARD,28,298.5382995605469,2,R_A3,2,298.5382995605469,2018-01-01,0.20455573499202728,41,1611.3077392578125,0
0.0,STANDARD,28,298.6766357421875,3,R_A3,3,298.6766357421875,2018-01-01,0.20463670790195465,41,1613.3720703125,0
0.0,STANDARD,28,298.81500244140625,4,R_A3,4,298.81500244140625,2018-01-01,0.37626057863235474,41,1615.4365234375,0
0.0,STANDARD,28,298.953369140625,5,R_A3,5,298.953369140625,2018-01-01,0.8354028463363647,41,1617.5008544921875,0
0.0,STANDARD,28,299.09173583984375,6,R_A3,6,299.09173583984375,2018-01-01,0.2719632089138031,41,1619.565185546875,0
0.0,STANDARD,29,298.408203125,6,R_A3,7,298.408203125,2018-01-01,0.6481541991233826,41,1609.3663330078125,0
0.0,STANDARD,29,298.5455627441406,7,R_A3,8,298.5455627441406,2018-01-01,0.19833719730377197,41,1611.4163818359375,0
0.0,STANDARD,29,298.6829528808594,8,R_A3,9,298.6829528808594,2018-01-01,0.20192527770996094,41,1613.46630859375,0
