CONIPOS,DEPTH,CONKPOS,SWAT,SGAS,WELLMODEL,CONIDX,DATE,WELL,CONBPRES,DRAWDOWN,PRESSURE,CONJPOS
22,1640.2845458984375,1,0.13371893763542175,0.0,STANDARD,1,2018-01-01,R_A2,300.74835205078125,0,300.74835205078125,30
22,1642.0087890625,2,0.11307598650455475,0.0,STANDARD,2,2018-01-01,R_A2,300.86395263671875,0,300.86395263671875,30
22,1643.733154296875,3,0.05850199982523918,0.0,STANDARD,3,2018-01-01,R_A2,300.9795837402344,0,300.9795837402344,30
22,1645.4573974609375,4,0.06330421566963196,0.0,STANDARD,4,2018-01-01,R_A2,301.09521484375,0,301.09521484375,30
22,1647.181640625,5,0.06470472365617752,0.0,STANDARD,5,2018-01-01,R_A2,301.2108459472656,0,301.2108459472656,30
22,1648.906005859375,6,0.29189422726631165,0.0,STANDARD,6,2018-01-01,R_A2,301.32647705078125,0,301.32647705078125,30
22,1650.63037109375,7,0.8708032965660095,0.0,STANDARD,7,2018-01-01,R_A2,301.442138671875,0,301.442138671875,30
22,1652.3546142578125,8,0.8632380366325378,0.0,STANDARD,8,2018-01-01,R_A2,301.5577697753906,0,301.5577697753906,30
22,1654.0789794921875,9,0.8700143098831177,0.0,STANDARD,9,2018-01-01,R_A2,301.6734313964844,0,301.6734313964844,30
22,1655.80322265625,10,0.8749511241912842,0.0,STANDARD,10,2018-01-01,R_A2,301.7890625,0,301.7890625,30
22,1657.6473388671875,11,0.0667831301689148,0.0,STANDARD,11,2018-01-01,R_A2,301.9127502441406,0,301.9127502441406,30
22,1659.6112060546875,12,0.06816969811916351,0.0,STANDARD,12,2018-01-01,R_A2,302.0444641113281,0,302.0444641113281,30
22,1661.5750732421875,13,0.4124816656112671,0.0,STANDARD,13,2018-01-01,R_A2,302.17620849609375,0,302.17620849609375,30
22,1663.5389404296875,14,0.45617568492889404,0.0,STANDARD,14,2018-01-01,R_A2,302.3079528808594,0,302.3079528808594,30
22,1665.5028076171875,15,0.6223305463790894,0.0,STANDARD,15,2018-01-01,R_A2,302.439697265625,0,302.439697265625,30
22,1667.466796875,16,0.9080966711044312,0.0,STANDARD,16,2018-01-01,R_A2,302.5714416503906,0,302.5714416503906,30
22,1669.4306640625,17,0.8581496477127075,0.0,STANDARD,17,2018-01-01,R_A2,302.70318603515625,0,302.70318603515625,30
22,1673.7579345703125,17,0.9244864583015442,0.0,STANDARD,18,2018-01-01,R_A2,302.99346923828125,0,302.99346923828125,29
22,1675.6611328125,18,0.9705148339271545,0.0,STANDARD,19,2018-01-01,R_A2,303.1211853027344,0,303.1211853027344,29
22,1676.7137451171875,19,0.9586896300315857,0.0,STANDARD,20,2018-01-01,R_A2,303.1918029785156,0,303.1918029785156,29
22,1677.714599609375,25,1.0,0.0,STANDARD,21,2018-01-01,R_A2,303.2589416503906,0,303.2589416503906,29
22,1679.4356689453125,26,1.0,0.0,STANDARD,22,2018-01-01,R_A2,303.3744201660156,0,303.3744201660156,29
22,1681.1568603515625,27,1.0,0.0,STANDARD,23,2018-01-01,R_A2,303.48992919921875,0,303.48992919921875,29
22,1682.8779296875,28,1.0,0.0,STANDARD,24,2018-01-01,R_A2,303.9462585449219,0,303.9462585449219,29
22,1684.59912109375,29,1.0,0.0,STANDARD,25,2018-01-01,R_A2,304.109375,0,304.109375,29
28,1610.2100830078125,1,0.6481541991233826,0.0,STANDARD,1,2018-01-01,R_A3,298.7322692871094,0,298.7322692871094,41
28,1612.23974609375,2,0.19545066356658936,0.0,STANDARD,2,2018-01-01,R_A3,298.8682861328125,0,298.8682861328125,41
28,1614.26953125,3,0.15500780940055847,0.0,STANDARD,3,2018-01-01,R_A3,299.00433349609375,0,299.00433349609375,41
29,1605.2208251953125,3,0.1886615753173828,0.0,STANDARD,4,2018-01-01,R_A3,298.39788818359375,0,298.39788818359375,41
29,1607.21923828125,4,0.15432433784008026,0.0,STANDARD,5,2018-01-01,R_A3,298.5318298339844,0,298.5318298339844,41
29,1609.2177734375,5,0.6481541991233826,0.0,STANDARD,6,2018-01-01,R_A3,298.6657409667969,0,298.6657409667969,41
29,1611.21630859375,6,0.1803019791841507,0.0,STANDARD,7,2018-01-01,R_A3,298.7996826171875,0,298.7996826171875,41
29,1613.21484375,7,0.16805794835090637,0.0,STANDARD,8,2018-01-01,R_A3,298.9336242675781,0,298.9336242675781,41
29,1615.2132568359375,8,0.19496169686317444,0.0,STANDARD,9,2018-01-01,R_A3,299.0675964355469,0,299.0675964355469,41
29,1617.2117919921875,9,0.7937360405921936,0.0,STANDARD,10,2018-01-01,R_A3,299.2015380859375,0,299.2015380859375,41
29,1619.2103271484375,10,0.7972824573516846,0.0,STANDARD,11,2018-01-01,R_A3,299.3354797363281,0,299.3354797363281,41
29,1621.2755126953125,11,0.049260497093200684,0.0,STANDARD,12,2018-01-01,R_A3,299.47393798828125,0,299.47393798828125,41
29,1623.407470703125,12,0.052035462111234665,0.0,STANDARD,13,2018-01-01,R_A3,299.6168518066406,0,299.6168518066406,41
29,1625.5394287109375,13,0.36563941836357117,0.0,STANDARD,14,2018-01-01,R_A3,299.759765625,0,299.759765625,41
29,1627.6712646484375,14,0.050831139087677,0.0,STANDARD,15,2018-01-01,R_A3,299.9026794433594,0,299.9026794433594,41
29,1629.80322265625,15,0.601466715335846,0.0,STANDARD,16,2018-01-01,R_A3,300.04559326171875,0,300.04559326171875,41
29,1631.78564453125,16,0.8019443154335022,0.0,STANDARD,17,2018-01-01,R_A3,300.1784973144531,0,300.1784973144531,41
29,1634.6190185546875,25,0.6481541991233826,0.0,STANDARD,18,2018-01-01,R_A3,300.36846923828125,0,300.36846923828125,41
29,1638.147216796875,26,0.04158810153603554,0.0,STANDARD,19,2018-01-01,R_A3,300.60504150390625,0,300.60504150390625,41
29,1641.6754150390625,27,0.046304021030664444,0.0,STANDARD,20,2018-01-01,R_A3,300.84161376953125,0,300.84161376953125,41
29,1645.20361328125,28,0.6481541991233826,0.0,STANDARD,21,2018-01-01,R_A3,301.0782165527344,0,301.0782165527344,41
29,1648.7318115234375,29,0.06050315499305725,0.0,STANDARD,22,2018-01-01,R_A3,301.3148193359375,0,301.3148193359375,41
30,1629.627685546875,1,0.048696521669626236,0.0,STANDARD,1,2018-01-01,R_A4,300.0338439941406,0,300.0338439941406,52
31,1625.80419921875,1,0.04700580984354019,0.0,STANDARD,2,2018-01-01,R_A4,299.7774963378906,0,299.7774963378906,52
31,1627.7974853515625,2,0.048866089433431625,0.0,STANDARD,3,2018-01-01,R_A4,299.9111328125,0,299.9111328125,52
31,1629.790771484375,3,0.04986216872930527,0.0,STANDARD,4,2018-01-01,R_A4,300.0447692871094,0,300.0447692871094,52
31,1631.783935546875,4,0.05168594792485237,0.0,STANDARD,5,2018-01-01,R_A4,300.17840576171875,0,300.17840576171875,52
31,1633.7772216796875,5,0.05094369500875473,0.0,STANDARD,6,2018-01-01,R_A4,300.3120422363281,0,300.3120422363281,52
32,1633.8763427734375,5,0.05360161140561104,0.0,STANDARD,7,2018-01-01,R_A4,300.31866455078125,0,300.31866455078125,52
32,1633.976806640625,5,0.05401001498103142,0.0,STANDARD,8,2018-01-01,R_A4,300.3254089355469,0,300.3254089355469,51
33,1637.2252197265625,5,0.05849826708436012,0.0,STANDARD,9,2018-01-01,R_A4,300.543212890625,0,300.543212890625,51
33,1640.9327392578125,5,0.05950377881526947,0.0,STANDARD,10,2018-01-01,R_A4,300.79180908203125,0,300.79180908203125,50
34,1641.778564453125,5,0.060250915586948395,0.0,STANDARD,11,2018-01-01,R_A4,300.8485412597656,0,300.8485412597656,50
34,1639.975341796875,4,0.06032935157418251,0.0,STANDARD,12,2018-01-01,R_A4,300.7276306152344,0,300.7276306152344,50
34,1638.1722412109375,3,0.13477973639965057,0.0,STANDARD,13,2018-01-01,R_A4,300.6067199707031,0,300.6067199707031,50
35,1640.265380859375,3,0.13348473608493805,0.0,STANDARD,14,2018-01-01,R_A4,300.7470703125,0,300.7470703125,50
35,1644.29541015625,3,0.23057614266872406,0.0,STANDARD,15,2018-01-01,R_A4,301.0173034667969,0,301.0173034667969,49
35,1642.515380859375,2,0.23157402873039246,0.0,STANDARD,16,2018-01-01,R_A4,300.8979187011719,0,300.8979187011719,49
36,1646.35986328125,28,0.08186104893684387,0.0,STANDARD,17,2018-01-01,R_A4,301.1557312011719,0,301.1557312011719,49
36,1640.4066162109375,27,0.05450104922056198,0.0,STANDARD,18,2018-01-01,R_A4,300.75653076171875,0,300.75653076171875,49
36,1641.189453125,27,0.0985913798213005,0.0,STANDARD,19,2018-01-01,R_A4,300.80902099609375,0,300.80902099609375,48
37,1648.88720703125,27,0.716654360294342,0.0,STANDARD,20,2018-01-01,R_A4,301.3252258300781,0,301.3252258300781,48
38,1655.062255859375,27,0.6481541991233826,0.0,STANDARD,21,2018-01-01,R_A4,301.7393798828125,0,301.7393798828125,48
38,1649.2579345703125,26,0.05695265159010887,0.0,STANDARD,22,2018-01-01,R_A4,301.35009765625,0,301.35009765625,48
38,1656.162841796875,26,0.06515569239854813,0.0,STANDARD,23,2018-01-01,R_A4,301.81317138671875,0,301.81317138671875,47
31,1685.7882080078125,1,1.0,0.0,STANDARD,1,2018-01-01,R_A5,303.916259765625,0,303.916259765625,20
31,1687.962646484375,2,1.0,0.0,STANDARD,2,2018-01-01,R_A5,304.122314453125,0,304.122314453125,20
31,1690.136962890625,3,1.0,0.0,STANDARD,3,2018-01-01,R_A5,304.328369140625,0,304.328369140625,20
31,1692.3114013671875,4,1.0,0.0,STANDARD,4,2018-01-01,R_A5,304.534423828125,0,304.534423828125,20
31,1694.4857177734375,5,1.0,0.0,STANDARD,5,2018-01-01,R_A5,304.740478515625,0,304.740478515625,20
31,1696.66015625,6,1.0,0.0,STANDARD,6,2018-01-01,R_A5,304.946533203125,0,304.946533203125,20
31,1698.8345947265625,7,1.0,0.0,STANDARD,7,2018-01-01,R_A5,305.4584045410156,0,305.4584045410156,20
31,1701.0089111328125,8,1.0,0.0,STANDARD,8,2018-01-01,R_A5,305.6644592285156,0,305.6644592285156,20
31,1698.542236328125,10,1.0,0.0,STANDARD,9,2018-01-01,R_A5,305.4306945800781,0,305.4306945800781,21
31,1700.59228515625,11,1.0,0.0,STANDARD,10,2018-01-01,R_A5,305.3193054199219,0,305.3193054199219,21
31,1702.4560546875,12,1.0,0.0,STANDARD,11,2018-01-01,R_A5,305.4959411621094,0,305.4959411621094,21
31,1704.3199462890625,13,1.0,0.0,STANDARD,12,2018-01-01,R_A5,305.6845397949219,0,305.6845397949219,21
31,1706.1837158203125,14,1.0,0.0,STANDARD,13,2018-01-01,R_A5,305.8611755371094,0,305.8611755371094,21
31,1708.0474853515625,15,1.0,0.0,STANDARD,14,2018-01-01,R_A5,306.03778076171875,0,306.03778076171875,21
31,1709.9112548828125,16,1.0,0.0,STANDARD,15,2018-01-01,R_A5,306.35943603515625,0,306.35943603515625,21
31,1711.775146484375,17,1.0,0.0,STANDARD,16,2018-01-01,R_A5,306.53607177734375,0,306.53607177734375,21
31,1713.48193359375,18,1.0,0.0,STANDARD,17,2018-01-01,R_A5,306.6978454589844,0,306.6978454589844,21
31,1714.5657958984375,19,1.0,0.0,STANDARD,18,2018-01-01,R_A5,306.8005676269531,0,306.8005676269531,21
31,1716.0081787109375,25,1.0,0.0,STANDARD,19,2018-01-01,R_A5,307.0859680175781,0,307.0859680175781,21
31,1718.275146484375,26,1.0,0.0,STANDARD,20,2018-01-01,R_A5,306.9950256347656,0,306.9950256347656,21
31,1720.5421142578125,27,1.0,0.0,STANDARD,21,2018-01-01,R_A5,307.5156555175781,0,307.5156555175781,21
31,1722.80908203125,28,1.0,0.0,STANDARD,22,2018-01-01,R_A5,307.7304992675781,0,307.7304992675781,21
31,1725.075927734375,29,1.0,0.0,STANDARD,23,2018-01-01,R_A5,307.94537353515625,0,307.94537353515625,21
17,1693.48046875,1,1.0,0.0,STANDARD,1,2018-01-01,R_A6,304.95098876953125,0,304.95098876953125,42
17,1695.0054931640625,2,1.0,0.0,STANDARD,2,2018-01-01,R_A6,305.09552001953125,0,305.09552001953125,42
17,1696.530517578125,3,1.0,0.0,STANDARD,3,2018-01-01,R_A6,305.24005126953125,0,305.24005126953125,42
17,1698.055419921875,4,1.0,0.0,STANDARD,4,2018-01-01,R_A6,305.3845520019531,0,305.3845520019531,42
17,1699.5804443359375,5,1.0,0.0,STANDARD,5,2018-01-01,R_A6,305.5290832519531,0,305.5290832519531,42
