DATE,CONIDX,DEPTH,CONJPOS,CONKPOS,WELLMODEL,DRAWDOWN,CONIPOS,CONBPRES,SGAS,WELL,PRESSURE,SWAT
2018-01-01,1,1639.1751708984375,30,1,STANDARD,0,22,300.61065673828125,0.0,R_A2,300.61065673828125,0.05450456216931343
2018-01-01,2,1640.9932861328125,30,2,STANDARD,0,22,300.7325744628906,0.0,R_A2,300.7325744628906,0.05626230686903
2018-01-01,3,1642.8115234375,30,3,STANDARD,0,22,300.8544921875,0.0,R_A2,300.8544921875,0.05831047147512436
2018-01-01,4,1644.6297607421875,30,4,STANDARD,0,22,300.9764099121094,0.0,R_A2,300.9764099121094,0.0633644089102745
2018-01-01,5,1646.4478759765625,30,5,STANDARD,0,22,301.09832763671875,0.0,R_A2,301.09832763671875,0.06558574736118317
2018-01-01,6,1648.26611328125,30,6,STANDARD,0,22,301.22027587890625,0.0,R_A2,301.22027587890625,0.11131617426872253
2018-01-01,7,1650.084228515625,30,7,STANDARD,0,22,301.3421936035156,0.0,R_A2,301.3421936035156,0.6481541991233826
2018-01-01,8,1651.9024658203125,30,8,STANDARD,0,22,301.4641418457031,0.0,R_A2,301.4641418457031,0.8593922257423401
2018-01-01,9,1653.720703125,30,9,STANDARD,0,22,301.5860595703125,0.0,R_A2,301.5860595703125,0.8763881325721741
2018-01-01,10,1655.5389404296875,30,10,STANDARD,0,22,301.7080078125,0.0,R_A2,301.7080078125,0.8954762816429138
2018-01-01,11,1657.43212890625,30,11,STANDARD,0,22,301.8349914550781,0.0,R_A2,301.8349914550781,0.06878484040498734
2018-01-01,12,1659.4002685546875,30,12,STANDARD,0,22,301.9670104980469,0.0,R_A2,301.9670104980469,0.06993496417999268
2018-01-01,13,1661.3685302734375,30,13,STANDARD,0,22,302.0990295410156,0.0,R_A2,302.0990295410156,0.4227021038532257
2018-01-01,14,1663.336669921875,30,14,STANDARD,0,22,302.2310485839844,0.0,R_A2,302.2310485839844,0.47412437200546265
2018-01-01,15,1665.304931640625,30,15,STANDARD,0,22,302.3630676269531,0.0,R_A2,302.3630676269531,0.6538783311843872
2018-01-01,16,1667.2730712890625,30,16,STANDARD,0,22,302.4951171875,0.0,R_A2,302.4951171875,0.924176812171936
