CONIDX,CONBPRES,CONIPOS,DEPTH,PRESSURE,SGAS,DRAWDOWN,WELLMODEL,DATE,CONKPOS,WELL,SWAT,CONJPOS
1,300.6217956542969,22,1639.7410888671875,300.6217956542969,0.0,0,STANDARD,2018-01-01,1,R_A2,0.054775744676589966,30
2,300.7432556152344,22,1641.552734375,300.7432556152344,0.0,0,STANDARD,2018-01-01,2,R_A2,0.057248376309871674,30
3,300.86474609375,22,1643.3643798828125,300.86474609375,0.0,0,STANDARD,2018-01-01,3,R_A2,0.05948443338274956,30
4,300.9862365722656,22,1645.176025390625,300.9862365722656,0.0,0,STANDARD,2018-01-01,4,R_A2,0.06415257602930069,30
5,301.10772705078125,22,1646.98779296875,301.10772705078125,0.0,0,STANDARD,2018-01-01,5,R_A2,0.06750784069299698,30
6,301.2292175292969,22,1648.7994384765625,301.2292175292969,0.0,0,STANDARD,2018-01-01,6,R_A2,0.3087381422519684,30
7,301.3507080078125,22,1650.611083984375,301.3507080078125,0.0,0,STANDARD,2018-01-01,7,R_A2,0.8883339762687683,30
8,301.4721984863281,22,1652.4227294921875,301.4721984863281,0.0,0,STANDARD,2018-01-01,8,R_A2,0.8730682730674744,30
9,301.5937194824219,22,1654.2344970703125,301.5937194824219,0.0,0,STANDARD,2018-01-01,9,R_A2,0.8893791437149048,30
10,301.7152099609375,22,1656.046142578125,301.7152099609375,0.0,0,STANDARD,2018-01-01,10,R_A2,0.8989068269729614,30
11,301.8442687988281,22,1657.97021484375,301.8442687988281,0.0,0,STANDARD,2018-01-01,11,R_A2,0.07344533503055573,30
12,302.1174621582031,22,1662.043212890625,302.1174621582031,0.0,0,STANDARD,2018-01-01,13,R_A2,0.43325650691986084,30
13,302.2540588378906,22,1664.0797119140625,302.2540588378906,0.0,0,STANDARD,2018-01-01,14,R_A2,0.4851257801055908,30
14,302.3906555175781,22,1666.1160888671875,302.3906555175781,0.0,0,STANDARD,2018-01-01,15,R_A2,0.6491342186927795,30
15,302.6209411621094,22,1669.5489501953125,302.6209411621094,0.0,0,STANDARD,2018-01-01,15,R_A2,0.7031680345535278,29
16,302.7580261230469,22,1671.59228515625,302.7580261230469,0.0,0,STANDARD,2018-01-01,16,R_A2,0.9736111164093018,29
17,302.8951110839844,22,1673.6357421875,302.8951110839844,0.0,0,STANDARD,2018-01-01,17,R_A2,0.957822859287262,29
18,303.0242614746094,22,1675.5606689453125,303.0242614746094,0.0,0,STANDARD,2018-01-01,18,R_A2,0.9935267567634583,29
19,303.145263671875,22,1677.3642578125,303.145263671875,0.0,0,STANDARD,2018-01-01,27,R_A2,0.724044144153595,29
20,303.5866394042969,22,1679.0830078125,303.5866394042969,0.0,0,STANDARD,2018-01-01,28,R_A2,1.0,29
21,303.7495422363281,22,1680.8017578125,303.7495422363281,0.0,0,STANDARD,2018-01-01,29,R_A2,1.0,29
22,303.91241455078125,22,1682.5206298828125,303.91241455078125,0.0,0,STANDARD,2018-01-01,30,R_A2,1.0,29
23,304.0752868652344,22,1684.2393798828125,304.0752868652344,0.0,0,STANDARD,2018-01-01,31,R_A2,1.0,29
1,298.5576171875,28,1608.948486328125,298.5576171875,0.0,0,STANDARD,2018-01-01,1,R_A3,0.6481541991233826,41
2,298.69696044921875,28,1611.02734375,298.69696044921875,0.0,0,STANDARD,2018-01-01,2,R_A3,0.19886630773544312,41
3,298.8362731933594,28,1613.106201171875,298.8362731933594,0.0,0,STANDARD,2018-01-01,3,R_A3,0.11823459714651108,41
4,298.2691345214844,29,1604.6434326171875,298.2691345214844,0.0,0,STANDARD,2018-01-01,3,R_A3,0.16990482807159424,41
5,298.4065856933594,29,1606.69482421875,298.4065856933594,0.0,0,STANDARD,2018-01-01,4,R_A3,0.17934028804302216,41
6,298.5440673828125,29,1608.7462158203125,298.5440673828125,0.0,0,STANDARD,2018-01-01,5,R_A3,0.8107021450996399,41
7,298.6815490722656,29,1610.797607421875,298.6815490722656,0.0,0,STANDARD,2018-01-01,6,R_A3,0.6481541991233826,41
8,298.81903076171875,29,1612.848876953125,298.81903076171875,0.0,0,STANDARD,2018-01-01,7,R_A3,0.19760094583034515,41
9,298.9565124511719,29,1614.9002685546875,298.9565124511719,0.0,0,STANDARD,2018-01-01,8,R_A3,0.19774405658245087,41
10,299.0940246582031,29,1616.95166015625,299.0940246582031,0.0,0,STANDARD,2018-01-01,9,R_A3,0.7989732623100281,41
11,299.23150634765625,29,1619.0030517578125,299.23150634765625,0.0,0,STANDARD,2018-01-01,10,R_A3,0.7981223464012146,41
12,299.3748474121094,29,1621.1414794921875,299.3748474121094,0.0,0,STANDARD,2018-01-01,11,R_A3,0.048311565071344376,41
13,299.5240173339844,29,1623.366943359375,299.5240173339844,0.0,0,STANDARD,2018-01-01,12,R_A3,0.053853679448366165,41
14,299.6732177734375,29,1625.592529296875,299.6732177734375,0.0,0,STANDARD,2018-01-01,13,R_A3,0.24604159593582153,41
15,299.8223876953125,29,1627.8179931640625,299.8223876953125,0.0,0,STANDARD,2018-01-01,14,R_A3,0.2230851948261261,41
16,299.9715881347656,29,1630.04345703125,299.9715881347656,0.0,0,STANDARD,2018-01-01,15,R_A3,0.49646157026290894,41
17,300.1050720214844,29,1632.0345458984375,300.1050720214844,0.0,0,STANDARD,2018-01-01,16,R_A3,0.8081839084625244,41
18,300.2911376953125,29,1634.8094482421875,300.2911376953125,0.0,0,STANDARD,2018-01-01,27,R_A3,0.17639431357383728,41
19,300.531982421875,29,1638.40185546875,300.531982421875,0.0,0,STANDARD,2018-01-01,28,R_A3,0.04593436047434807,41
20,300.7728576660156,29,1641.9942626953125,300.7728576660156,0.0,0,STANDARD,2018-01-01,29,R_A3,0.05306413024663925,41
21,301.0137634277344,29,1645.586669921875,301.0137634277344,0.0,0,STANDARD,2018-01-01,30,R_A3,0.13692979514598846,41
22,301.2546691894531,29,1649.1790771484375,301.2546691894531,0.0,0,STANDARD,2018-01-01,31,R_A3,0.09980875998735428,41
1,300.2432861328125,30,1634.095703125,300.2432861328125,0.0,0,STANDARD,2018-01-01,1,R_A4,0.051143381744623184,52
2,299.7417907714844,31,1626.615478515625,299.7417907714844,0.0,0,STANDARD,2018-01-01,1,R_A4,0.047498565167188644,52
3,299.8796691894531,31,1628.6719970703125,299.8796691894531,0.0,0,STANDARD,2018-01-01,2,R_A4,0.050453681498765945,52
4,300.01751708984375,31,1630.728515625,300.01751708984375,0.0,0,STANDARD,2018-01-01,3,R_A4,0.052216947078704834,52
5,300.1553955078125,31,1632.78515625,300.1553955078125,0.0,0,STANDARD,2018-01-01,4,R_A4,0.0546342097222805,52
6,300.29327392578125,31,1634.8416748046875,300.29327392578125,0.0,0,STANDARD,2018-01-01,5,R_A4,0.05791638791561127,52
7,300.0850830078125,32,1631.7362060546875,300.0850830078125,0.0,0,STANDARD,2018-01-01,5,R_A4,0.05472517013549805,52
8,300.4571228027344,32,1637.285400390625,300.4571228027344,0.0,0,STANDARD,2018-01-01,5,R_A4,0.058548666536808014,51
9,300.3370361328125,32,1635.4942626953125,300.3370361328125,0.0,0,STANDARD,2018-01-01,4,R_A4,0.055170975625514984,51
10,300.42608642578125,33,1636.8221435546875,300.42608642578125,0.0,0,STANDARD,2018-01-01,4,R_A4,0.05920136347413063,51
11,300.3033142089844,33,1634.9910888671875,300.3033142089844,0.0,0,STANDARD,2018-01-01,3,R_A4,0.05638349801301956,51
12,300.9164733886719,33,1644.1357421875,300.9164733886719,0.0,0,STANDARD,2018-01-01,4,R_A4,0.06515024602413177,50
13,300.7434387207031,34,1641.555419921875,300.7434387207031,0.0,0,STANDARD,2018-01-01,4,R_A4,0.06505291163921356,50
14,300.6153564453125,34,1639.645263671875,300.6153564453125,0.0,0,STANDARD,2018-01-01,3,R_A4,0.12424419075250626,50
15,300.8037414550781,35,1642.4544677734375,300.8037414550781,0.0,0,STANDARD,2018-01-01,3,R_A4,0.13453930616378784,50
16,300.68408203125,35,1640.6702880859375,300.68408203125,0.0,0,STANDARD,2018-01-01,2,R_A4,0.23038195073604584,50
17,300.564453125,35,1638.8861083984375,300.564453125,0.0,0,STANDARD,2018-01-01,1,R_A4,0.1369841992855072,50
18,300.8087158203125,35,1642.529052734375,300.8087158203125,0.0,0,STANDARD,2018-01-01,1,R_A4,0.2370467483997345,49
19,300.7514953613281,36,1641.6754150390625,300.7514953613281,0.0,0,STANDARD,2018-01-01,29,R_A4,0.054645437747240067,49
20,300.73828125,36,1641.478515625,300.73828125,0.0,0,STANDARD,2018-01-01,29,R_A4,0.05360579118132591,48
21,301.2663879394531,37,1649.3538818359375,301.2663879394531,0.0,0,STANDARD,2018-01-01,29,R_A4,0.23929272592067719,48
22,301.7503662109375,38,1656.570068359375,301.7503662109375,0.0,0,STANDARD,2018-01-01,29,R_A4,0.20995771884918213,48
23,301.3684997558594,38,1650.876708984375,301.3684997558594,0.0,0,STANDARD,2018-01-01,28,R_A4,0.2872747480869293,48
24,301.7755432128906,38,1656.945556640625,301.7755432128906,0.0,0,STANDARD,2018-01-01,28,R_A4,0.10856802016496658,47
1,303.78564453125,31,1684.4100341796875,303.78564453125,0.0,0,STANDARD,2018-01-01,1,R_A5,1.0,20
2,303.9909362792969,31,1686.5762939453125,303.9909362792969,0.0,0,STANDARD,2018-01-01,2,R_A5,1.0,20
3,304.19622802734375,31,1688.7425537109375,304.19622802734375,0.0,0,STANDARD,2018-01-01,3,R_A5,1.0,20
