CONJPOS,DRAWDOWN,WELLMODEL,DEPTH,SGAS,CONIPOS,SWAT,CONIDX,PRESSURE,CONBPRES,DATE,WELL,CONKPOS
30,0,STANDARD,1639.8753662109375,0.0,22,0.05305042117834091,1,300.7137145996094,300.7137145996094,2018-01-01,R_A2,1
30,0,STANDARD,1641.6080322265625,0.0,22,0.0536370724439621,2,300.82989501953125,300.82989501953125,2018-01-01,R_A2,2
30,0,STANDARD,1643.3406982421875,0.0,22,0.05774742737412453,3,300.94610595703125,300.94610595703125,2018-01-01,R_A2,3
30,0,STANDARD,1645.0733642578125,0.0,22,0.09808272868394852,4,301.0622863769531,301.0622863769531,2018-01-01,R_A2,4
30,0,STANDARD,1646.8060302734375,0.0,22,0.117444708943367,5,301.178466796875,301.178466796875,2018-01-01,R_A2,5
30,0,STANDARD,1648.5386962890625,0.0,22,0.3019750118255615,6,301.294677734375,301.294677734375,2018-01-01,R_A2,6
30,0,STANDARD,1650.2713623046875,0.0,22,0.8713638186454773,7,301.4108581542969,301.4108581542969,2018-01-01,R_A2,7
30,0,STANDARD,1652.0040283203125,0.0,22,0.8480066061019897,8,301.5270690917969,301.5270690917969,2018-01-01,R_A2,8
30,0,STANDARD,1653.7366943359375,0.0,22,0.8885265588760376,9,301.6432800292969,301.6432800292969,2018-01-01,R_A2,9
30,0,STANDARD,1655.4693603515625,0.0,22,0.8811086416244507,10,301.7594909667969,301.7594909667969,2018-01-01,R_A2,10
30,0,STANDARD,1657.357177734375,0.0,22,0.06551551818847656,11,301.8861083984375,301.8861083984375,2018-01-01,R_A2,11
30,0,STANDARD,1659.4002685546875,0.0,22,0.06617577373981476,12,302.02313232421875,302.02313232421875,2018-01-01,R_A2,12
30,0,STANDARD,1661.443359375,0.0,22,0.42553389072418213,13,302.1601867675781,302.1601867675781,2018-01-01,R_A2,13
30,0,STANDARD,1663.4864501953125,0.0,22,0.45857682824134827,14,302.2972412109375,302.2972412109375,2018-01-01,R_A2,14
30,0,STANDARD,1665.529541015625,0.0,22,0.9095736742019653,15,302.4342956542969,302.4342956542969,2018-01-01,R_A2,15
30,0,STANDARD,1667.5726318359375,0.0,22,0.9032851457595825,16,302.57135009765625,302.57135009765625,2018-01-01,R_A2,16
30,0,STANDARD,1669.61572265625,0.0,22,0.8698995113372803,17,302.7084045410156,302.7084045410156,2018-01-01,R_A2,17
29,0,STANDARD,1676.4783935546875,0.0,22,0.9742274284362793,18,303.1688232421875,303.1688232421875,2018-01-01,R_A2,17
29,0,STANDARD,1678.0362548828125,0.0,22,0.9933311939239502,19,303.2733459472656,303.2733459472656,2018-01-01,R_A2,18
29,0,STANDARD,1679.385498046875,0.0,22,1.0,20,303.3638610839844,303.3638610839844,2018-01-01,R_A2,25
29,0,STANDARD,1681.0762939453125,0.0,22,1.0,21,303.4773254394531,303.4773254394531,2018-01-01,R_A2,26
29,0,STANDARD,1682.76708984375,0.0,22,1.0,22,303.9357604980469,303.9357604980469,2018-01-01,R_A2,27
29,0,STANDARD,1684.4578857421875,0.0,22,1.0,23,304.0959777832031,304.0959777832031,2018-01-01,R_A2,28
29,0,STANDARD,1686.148681640625,0.0,22,1.0,24,304.2561950683594,304.2561950683594,2018-01-01,R_A2,29
41,0,STANDARD,1608.7855224609375,0.0,28,0.2507467269897461,1,298.6296081542969,298.6296081542969,2018-01-01,R_A3,1
