PRESSURE,DRAWDOWN,DATE,CONIDX,CONBPRES,CONIPOS,DEPTH,SWAT,CONKPOS,WELLMODEL,WELL,CONJPOS,SGAS
300.6733093261719,0,2018-01-01,1,300.6733093261719,22,1641.094970703125,0.05659883841872215,1,STANDARD,R_A2,30,0.0
300.7936096191406,0,2018-01-01,2,300.7936096191406,22,1642.8890380859375,0.057897210121154785,2,STANDARD,R_A2,30,0.0
300.9139099121094,0,2018-01-01,3,300.9139099121094,22,1644.68310546875,0.06060889735817909,3,STANDARD,R_A2,30,0.0
301.0342102050781,0,2018-01-01,4,301.0342102050781,22,1646.4771728515625,0.06530755013227463,4,STANDARD,R_A2,30,0.0
301.1545104980469,0,2018-01-01,5,301.1545104980469,22,1648.2713623046875,0.06916967034339905,5,STANDARD,R_A2,30,0.0
301.27484130859375,0,2018-01-01,6,301.27484130859375,22,1650.0654296875,0.3080350458621979,6,STANDARD,R_A2,30,0.0
301.3951721191406,0,2018-01-01,7,301.3951721191406,22,1651.859619140625,0.8966805338859558,7,STANDARD,R_A2,30,0.0
301.5154724121094,0,2018-01-01,8,301.5154724121094,22,1653.6536865234375,0.8801488876342773,8,STANDARD,R_A2,30,0.0
301.63580322265625,0,2018-01-01,9,301.63580322265625,22,1655.44775390625,0.9076734781265259,9,STANDARD,R_A2,30,0.0
301.7561340332031,0,2018-01-01,10,301.7561340332031,22,1657.2418212890625,0.9077416062355042,10,STANDARD,R_A2,30,0.0
301.88323974609375,0,2018-01-01,11,301.88323974609375,22,1659.1368408203125,0.07622610777616501,11,STANDARD,R_A2,30,0.0
302.01708984375,0,2018-01-01,12,302.01708984375,22,1661.132568359375,0.08180969953536987,12,STANDARD,R_A2,30,0.0
302.1509704589844,0,2018-01-01,13,302.1509704589844,22,1663.12841796875,0.4750072658061981,13,STANDARD,R_A2,30,0.0
302.28485107421875,0,2018-01-01,14,302.28485107421875,22,1665.1241455078125,0.512985348701477,14,STANDARD,R_A2,30,0.0
302.4187316894531,0,2018-01-01,15,302.4187316894531,22,1667.1199951171875,0.679781973361969,15,STANDARD,R_A2,30,0.0
302.5526123046875,0,2018-01-01,16,302.5526123046875,22,1669.11572265625,0.9705216884613037,16,STANDARD,R_A2,30,0.0
302.6864929199219,0,2018-01-01,17,302.6864929199219,22,1671.111572265625,0.9569120407104492,17,STANDARD,R_A2,30,0.0
302.8123779296875,0,2018-01-01,18,302.8123779296875,22,1672.9881591796875,0.9819161295890808,18,STANDARD,R_A2,30,0.0
302.89569091796875,0,2018-01-01,19,302.89569091796875,22,1674.229736328125,0.9946486949920654,18,STANDARD,R_A2,29,0.0
303.02569580078125,0,2018-01-01,20,303.02569580078125,22,1676.1676025390625,1.0,27,STANDARD,R_A2,29,0.0
