CONBPRES,DATE,SWAT,CONKPOS,DRAWDOWN,SGAS,WELLMODEL,CONJPOS,DEPTH,CONIPOS,WELL,PRESSURE,CONIDX
300.726318359375,2018-01-01,0.05426032841205597,1,0,0.0,STANDARD,30,1640.566162109375,22,R_A2,300.726318359375,1
300.8462829589844,2018-01-01,0.05596385896205902,2,0,0.0,STANDARD,30,1642.355224609375,22,R_A2,300.8462829589844,2
300.96624755859375,2018-01-01,0.059501830488443375,3,0,0.0,STANDARD,30,1644.1444091796875,22,R_A2,300.96624755859375,3
301.08624267578125,2018-01-01,0.06337852030992508,4,0,0.0,STANDARD,30,1645.9334716796875,22,R_A2,301.08624267578125,4
301.2062072753906,2018-01-01,0.06609714776277542,5,0,0.0,STANDARD,30,1647.72265625,22,R_A2,301.2062072753906,5
301.3262023925781,2018-01-01,0.3155457079410553,6,0,0.0,STANDARD,30,1649.51171875,22,R_A2,301.3262023925781,6
301.4461669921875,2018-01-01,0.8772273659706116,7,0,0.0,STANDARD,30,1651.30078125,22,R_A2,301.4461669921875,7
301.566162109375,2018-01-01,0.8617226481437683,8,0,0.0,STANDARD,30,1653.0899658203125,22,R_A2,301.566162109375,8
301.6861572265625,2018-01-01,0.8783822655677795,9,0,0.0,STANDARD,30,1654.879150390625,22,R_A2,301.6861572265625,9
301.80615234375,2018-01-01,0.8982609510421753,10,0,0.0,STANDARD,30,1656.668212890625,22,R_A2,301.80615234375,10
301.9328308105469,2018-01-01,0.07104062288999557,11,0,0.0,STANDARD,30,1658.556640625,22,R_A2,301.9328308105469,11
302.0661315917969,2018-01-01,0.16769784688949585,12,0,0.0,STANDARD,30,1660.5443115234375,22,R_A2,302.0661315917969,12
302.199462890625,2018-01-01,0.426090806722641,13,0,0.0,STANDARD,30,1662.531982421875,22,R_A2,302.199462890625,13
302.3327941894531,2018-01-01,0.46540239453315735,14,0,0.0,STANDARD,30,1664.5196533203125,22,R_A2,302.3327941894531,14
302.46612548828125,2018-01-01,0.6468155384063721,15,0,0.0,STANDARD,30,1666.50732421875,22,R_A2,302.46612548828125,15
302.5994873046875,2018-01-01,0.934923529624939,16,0,0.0,STANDARD,30,1668.4951171875,22,R_A2,302.5994873046875,16
302.7328186035156,2018-01-01,0.8970921635627747,17,0,0.0,STANDARD,30,1670.482666015625,22,R_A2,302.7328186035156,17
302.82855224609375,2018-01-01,0.9118227958679199,17,0,0.0,STANDARD,29,1671.90966796875,22,R_A2,302.82855224609375,18
302.9534606933594,2018-01-01,0.9528720378875732,18,0,0.0,STANDARD,29,1673.771728515625,22,R_A2,302.9534606933594,19
