PRESSURE,WELL,DRAWDOWN,CONIDX,SGAS,CONBPRES,DEPTH,CONKPOS,CONJPOS,WELLMODEL,SWAT,DATE,CONIPOS
301.2607727050781,R_A2,0,4,0.0,301.2607727050781,1648.4248046875,4,30,STANDARD,0.06833699345588684,2018-01-01,22
301.3835144042969,R_A2,0,5,0.0,301.3835144042969,1650.255126953125,5,30,STANDARD,0.0715315043926239,2018-01-01,22
301.5062561035156,R_A2,0,6,0.0,301.5062561035156,1652.08544921875,6,30,STANDARD,0.11588895320892334,2018-01-01,22
301.6290283203125,R_A2,0,7,0.0,301.6290283203125,1653.9156494140625,7,30,STANDARD,0.6481541991233826,2018-01-01,22
301.75177001953125,R_A2,0,8,0.0,301.75177001953125,1655.7459716796875,8,30,STANDARD,0.6481541991233826,2018-01-01,22
301.87451171875,R_A2,0,9,0.0,301.87451171875,1657.576171875,9,30,STANDARD,0.14999380707740784,2018-01-01,22
301.9972839355469,R_A2,0,10,0.0,301.9972839355469,1659.406494140625,10,30,STANDARD,0.18600235879421234,2018-01-01,22
302.12591552734375,R_A2,0,11,0.0,302.12591552734375,1661.3243408203125,11,30,STANDARD,0.07436441630125046,2018-01-01,22
302.26043701171875,R_A2,0,12,0.0,302.26043701171875,1663.32958984375,12,30,STANDARD,0.07463273406028748,2018-01-01,22
302.39495849609375,R_A2,0,13,0.0,302.39495849609375,1665.3348388671875,13,30,STANDARD,0.4205889105796814,2018-01-01,22
302.5294494628906,R_A2,0,14,0.0,302.5294494628906,1667.340087890625,14,30,STANDARD,0.4867413640022278,2018-01-01,22
302.6639709472656,R_A2,0,15,0.0,302.6639709472656,1669.3453369140625,15,30,STANDARD,0.6597198843955994,2018-01-01,22
302.79852294921875,R_A2,0,16,0.0,302.79852294921875,1671.3505859375,16,30,STANDARD,0.9569008946418762,2018-01-01,22
302.5780944824219,R_A2,0,17,0.0,302.5780944824219,1668.065185546875,16,29,STANDARD,0.9165809750556946,2018-01-01,22
302.7164611816406,R_A2,0,18,0.0,302.7164611816406,1670.1273193359375,17,29,STANDARD,0.910614013671875,2018-01-01,22
302.854736328125,R_A2,0,19,0.0,302.854736328125,1672.188720703125,18,29,STANDARD,0.9370478987693787,2018-01-01,22
302.94842529296875,R_A2,0,20,0.0,302.94842529296875,1673.5853271484375,19,29,STANDARD,0.9692232608795166,2018-01-01,22
303.0347595214844,R_A2,0,21,0.0,303.0347595214844,1674.871826171875,26,29,STANDARD,1.0,2018-01-01,22
303.15826416015625,R_A2,0,22,0.0,303.15826416015625,1676.712646484375,27,29,STANDARD,1.0,2018-01-01,22
303.2817687988281,R_A2,0,23,0.0,303.2817687988281,1678.553466796875,28,29,STANDARD,1.0,2018-01-01,22
303.4052734375,R_A2,0,24,0.0,303.4052734375,1680.394287109375,29,29,STANDARD,1.0,2018-01-01,22
303.8853454589844,R_A2,0,25,0.0,303.8853454589844,1682.2349853515625,30,29,STANDARD,1.0,2018-01-01,22
298.6706848144531,R_A3,0,1,0.0,298.6706848144531,1609.7900390625,1,41,STANDARD,0.23149731755256653,2018-01-01,28
298.8131103515625,R_A3,0,2,0.0,298.8131103515625,1611.9151611328125,2,41,STANDARD,0.19473512470722198,2018-01-01,28
298.9555358886719,R_A3,0,3,0.0,298.9555358886719,1614.040283203125,3,41,STANDARD,0.19341790676116943,2018-01-01,28
