CONKPOS,DATE,CONIDX,DRAWDOWN,CONJPOS,SGAS,WELL,SWAT,DEPTH,PRESSURE,CONBPRES,WELLMODEL,CONIPOS
1,2018-01-01,1,0,30,0.0,R_A2,0.05337970331311226,1641.5928955078125,300.8366394042969,300.8366394042969,STANDARD,22
2,2018-01-01,2,0,30,0.0,R_A2,0.05509505420923233,1643.3372802734375,300.95361328125,300.95361328125,STANDARD,22
3,2018-01-01,3,0,30,0.0,R_A2,0.05790622532367706,1645.08154296875,301.070556640625,301.070556640625,STANDARD,22
4,2018-01-01,4,0,30,0.0,R_A2,0.063801608979702,1646.8258056640625,301.1875305175781,301.1875305175781,STANDARD,22
5,2018-01-01,5,0,30,0.0,R_A2,0.06686896085739136,1648.5701904296875,301.30450439453125,301.30450439453125,STANDARD,22
6,2018-01-01,6,0,30,0.0,R_A2,0.3061203062534332,1650.314453125,301.4215087890625,301.4215087890625,STANDARD,22
7,2018-01-01,7,0,30,0.0,R_A2,0.8742755055427551,1652.0587158203125,301.5384826660156,301.5384826660156,STANDARD,22
8,2018-01-01,8,0,30,0.0,R_A2,0.6481541991233826,1653.802978515625,301.65545654296875,301.65545654296875,STANDARD,22
9,2018-01-01,9,0,30,0.0,R_A2,0.2485610842704773,1655.54736328125,301.7724609375,301.7724609375,STANDARD,22
10,2018-01-01,10,0,30,0.0,R_A2,0.6481541991233826,1657.2916259765625,301.8894348144531,301.8894348144531,STANDARD,22
11,2018-01-01,11,0,30,0.0,R_A2,0.0681101456284523,1659.1781005859375,302.0159912109375,302.0159912109375,STANDARD,22
12,2018-01-01,12,0,30,0.0,R_A2,0.07305240631103516,1661.2069091796875,302.1520690917969,302.1520690917969,STANDARD,22
13,2018-01-01,13,0,30,0.0,R_A2,0.42641565203666687,1663.2357177734375,302.28814697265625,302.28814697265625,STANDARD,22
14,2018-01-01,14,0,30,0.0,R_A2,0.47300708293914795,1665.2645263671875,302.42425537109375,302.42425537109375,STANDARD,22
15,2018-01-01,15,0,30,0.0,R_A2,0.9039652347564697,1667.2933349609375,302.5603332519531,302.5603332519531,STANDARD,22
16,2018-01-01,16,0,30,0.0,R_A2,0.9301453232765198,1669.3221435546875,302.6964416503906,302.6964416503906,STANDARD,22
16,2018-01-01,17,0,29,0.0,R_A2,0.9166566729545593,1671.6444091796875,302.85223388671875,302.85223388671875,STANDARD,22
17,2018-01-01,18,0,29,0.0,R_A2,0.8968912363052368,1673.713134765625,302.99102783203125,302.99102783203125,STANDARD,22
18,2018-01-01,19,0,29,0.0,R_A2,0.96993488073349,1675.642822265625,303.1204833984375,303.1204833984375,STANDARD,22
25,2018-01-01,20,0,29,0.0,R_A2,0.6481541991233826,1677.4742431640625,303.2433776855469,303.2433776855469,STANDARD,22
26,2018-01-01,21,0,29,0.0,R_A2,1.0,1679.24267578125,303.3620300292969,303.3620300292969,STANDARD,22
27,2018-01-01,22,0,29,0.0,R_A2,1.0,1681.0111083984375,303.4806823730469,303.4806823730469,STANDARD,22
28,2018-01-01,23,0,29,0.0,R_A2,1.0,1682.779541015625,303.93695068359375,303.93695068359375,STANDARD,22
29,2018-01-01,24,0,29,0.0,R_A2,1.0,1684.548095703125,304.1045227050781,304.1045227050781,STANDARD,22
1,2018-01-01,1,0,41,0.0,R_A3,0.32562029361724854,1609.5869140625,298.6910400390625,298.6910400390625,STANDARD,28
2,2018-01-01,2,0,41,0.0,R_A3,0.1934591829776764,1611.57861328125,298.82452392578125,298.82452392578125,STANDARD,28
