DATE,CHILD,KEYWORD,PARENT
2018-01-01,FIELD,GRUPTREE,
2018-01-01,R_A2,WELSPECS,RFT
2018-01-01,R_A3,WELSPECS,RFT
2018-01-01,R_A4,WELSPECS,RFT
2018-01-01,R_A5,WELSPECS,RFT
2018-01-01,R_A6,WELSPECS,RFT
2018-01-01,OP,GRUPTREE,FIELD
2018-01-01,RFT,GRUPTREE,FIELD
2018-01-01,WI,GRUPTREE,FIELD
2018-01-05,FIELD,GRUPTREE,
2018-01-05,R_A2,WELSPECS,RFT
2018-01-05,R_A3,WELSPECS,RFT
2018-01-05,R_A4,WELSPECS,RFT
2018-01-05,R_A5,WELSPECS,RFT
2018-01-05,R_A6,WELSPECS,RFT
2018-01-05,OP,GRUPTREE,FIELD
2018-01-05,RFT,GRUPTREE,FIELD
2018-01-05,WI,GRUPTREE,FIELD
2018-01-05,A1,WELSPECS,OP
2018-03-10,FIELD,GRUPTREE,
2018-03-10,R_A2,WELSPECS,RFT
2018-03-10,R_A3,WELSPECS,RFT
2018-03-10,R_A4,WELSPECS,RFT
2018-03-10,R_A5,WELSPECS,RFT
2018-03-10,R_A6,WELSPECS,RFT
2018-03-10,OP,GRUPTREE,FIELD
2018-03-10,RFT,GRUPTREE,FIELD
2018-03-10,WI,GRUPTREE,FIELD
2018-03-10,A1,WELSPECS,OP
2018-03-10,A2,WELSPECS,OP
2018-05-08,FIELD,GRUPTREE,
2018-05-08,R_A2,WELSPECS,RFT
2018-05-08,R_A3,WELSPECS,RFT
2018-05-08,R_A4,WELSPECS,RFT
2018-05-08,R_A5,WELSPECS,RFT
2018-05-08,R_A6,WELSPECS,RFT
2018-05-08,OP,GRUPTREE,FIELD
2018-05-08,RFT,GRUPTREE,FIELD
2018-05-08,WI,GRUPTREE,FIELD
2018-05-08,A1,WELSPECS,OP
2018-05-08,A2,WELSPECS,OP
2018-05-08,A5,WELSPECS,WI
2018-07-13,FIELD,GRUPTREE,
2018-07-13,R_A2,WELSPECS,RFT
2018-07-13,R_A3,WELSPECS,RFT
2018-07-13,R_A4,WELSPECS,RFT
2018-07-13,R_A5,WELSPECS,RFT
2018-07-13,R_A6,WELSPECS,RFT
2018-07-13,OP,GRUPTREE,FIELD
2018-07-13,RFT,GRUPTREE,FIELD
2018-07-13,WI,GRUPTREE,FIELD
2018-07-13,A1,WELSPECS,OP
2018-07-13,A2,WELSPECS,OP
2018-07-13,A5,WELSPECS,WI
2018-07-13,A3,WELSPECS,OP
2018-09-22,FIELD,GRUPTREE,
2018-09-22,R_A2,WELSPECS,RFT
2018-09-22,R_A3,WELSPECS,RFT
2018-09-22,R_A4,WELSPECS,RFT
2018-09-22,R_A5,WELSPECS,RFT
2018-09-22,R_A6,WELSPECS,RFT
2018-09-22,OP,GRUPTREE,FIELD
2018-09-22,RFT,GRUPTREE,FIELD
2018-09-22,WI,GRUPTREE,FIELD
2018-09-22,A1,WELSPECS,OP
2018-09-22,A2,WELSPECS,OP
2018-09-22,A5,WELSPECS,WI
2018-09-22,A3,WELSPECS,OP
2018-09-22,A4,WELSPECS,OP
2018-11-17,FIELD,GRUPTREE,
2018-11-17,R_A2,WELSPECS,RFT
2018-11-17,R_A3,WELSPECS,RFT
2018-11-17,R_A4,WELSPECS,RFT
2018-11-17,R_A5,WELSPECS,RFT
2018-11-17,R_A6,WELSPECS,RFT
2018-11-17,OP,GRUPTREE,FIELD
2018-11-17,RFT,GRUPTREE,FIELD
2018-11-17,WI,GRUPTREE,FIELD
2018-11-17,A1,WELSPECS,OP
2018-11-17,A2,WELSPECS,OP
2018-11-17,A5,WELSPECS,WI
2018-11-17,A3,WELSPECS,OP
2018-11-17,A4,WELSPECS,OP
2018-11-17,A6,WELSPECS,WI
