Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 15:43:02
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       288955540.19         46682136.53         35237660.66         22162050.36
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  288955540.19         46682136.53         35237660.66         22162050.36
MidReek    1                       204598256.34         37404108.56         29688017.97         18671709.10
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  204598256.34         37404108.56         29688017.97         18671709.10
LowerReek  1                       138939572.62         25685007.11         19622340.07         12341094.18
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  138939572.62         25685007.11         19622340.07         12341094.18
Totals     1                       632493369.15        109771252.20         84548018.70         53174853.64
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  632493369.15        109771252.20         84548018.70         53174853.64
