CONKPOS,DEPTH,CONIPOS,DATE,SGAS,PRESSURE,WELL,SWAT,CONIDX,CONBPRES,WELLMODEL,CONJPOS,DRAWDOWN
1,1639.4652099609375,22,2018-01-01,0.0,300.65277099609375,R_A2,0.05304937809705734,1,300.65277099609375,STANDARD,30,0
2,1641.2353515625,22,2018-01-01,0.0,300.7714538574219,R_A2,0.054574448615312576,2,300.7714538574219,STANDARD,30,0
3,1643.00537109375,22,2018-01-01,0.0,300.8901672363281,R_A2,0.05792858824133873,3,300.8901672363281,STANDARD,30,0
4,1644.7755126953125,22,2018-01-01,0.0,301.00885009765625,R_A2,0.06355400383472443,4,301.00885009765625,STANDARD,30,0
5,1646.545654296875,22,2018-01-01,0.0,301.1275634765625,R_A2,0.06776399910449982,5,301.1275634765625,STANDARD,30,0
6,1648.3157958984375,22,2018-01-01,0.0,301.24627685546875,R_A2,0.30161288380622864,6,301.24627685546875,STANDARD,30,0
7,1650.0859375,22,2018-01-01,0.0,301.3649597167969,R_A2,0.8783811330795288,7,301.3649597167969,STANDARD,30,0
8,1651.85595703125,22,2018-01-01,0.0,301.4836730957031,R_A2,0.8438461422920227,8,301.4836730957031,STANDARD,30,0
9,1653.6260986328125,22,2018-01-01,0.0,301.6024169921875,R_A2,0.6481541991233826,9,301.6024169921875,STANDARD,30,0
10,1655.396240234375,22,2018-01-01,0.0,301.72113037109375,R_A2,0.1365469992160797,10,301.72113037109375,STANDARD,30,0
11,1657.2659912109375,22,2018-01-01,0.0,301.8465270996094,R_A2,0.06849007308483124,11,301.8465270996094,STANDARD,30,0
12,1659.2353515625,22,2018-01-01,0.0,301.9786071777344,R_A2,0.06756926327943802,12,301.9786071777344,STANDARD,30,0
13,1661.2047119140625,22,2018-01-01,0.0,302.1107177734375,R_A2,0.42800548672676086,13,302.1107177734375,STANDARD,30,0
14,1663.174072265625,22,2018-01-01,0.0,302.2428283691406,R_A2,0.4637225568294525,14,302.2428283691406,STANDARD,30,0
15,1665.1435546875,22,2018-01-01,0.0,302.3749084472656,R_A2,0.8982911109924316,15,302.3749084472656,STANDARD,30,0
16,1667.1129150390625,22,2018-01-01,0.0,302.50701904296875,R_A2,0.9299976229667664,16,302.50701904296875,STANDARD,30,0
16,1670.1016845703125,22,2018-01-01,0.0,302.7075500488281,R_A2,0.9442042112350464,17,302.7075500488281,STANDARD,29,0
17,1672.218505859375,22,2018-01-01,0.0,302.84954833984375,R_A2,0.9035751223564148,18,302.84954833984375,STANDARD,29,0
