DRAWDOWN,CONIPOS,DATE,PRESSURE,CONKPOS,SGAS,DEPTH,SWAT,WELLMODEL,WELL,CONIDX,CONBPRES,CONJPOS
0,22,2018-01-01,300.8103942871094,1,0.0,1641.2261962890625,0.05311867222189903,STANDARD,R_A2,1,300.8103942871094,30
0,22,2018-01-01,300.9295654296875,2,0.0,1643.00341796875,0.05458087474107742,STANDARD,R_A2,2,300.9295654296875,30
0,22,2018-01-01,301.0487365722656,3,0.0,1644.780517578125,0.05846787616610527,STANDARD,R_A2,3,301.0487365722656,30
0,22,2018-01-01,301.16790771484375,4,0.0,1646.5577392578125,0.06499981135129929,STANDARD,R_A2,4,301.16790771484375,30
0,22,2018-01-01,301.2870788574219,5,0.0,1648.3349609375,0.06635080277919769,STANDARD,R_A2,5,301.2870788574219,30
0,22,2018-01-01,301.4062805175781,6,0.0,1650.1121826171875,0.3028363883495331,STANDARD,R_A2,6,301.4062805175781,30
0,22,2018-01-01,301.52545166015625,7,0.0,1651.889404296875,0.8725095391273499,STANDARD,R_A2,7,301.52545166015625,30
0,22,2018-01-01,301.6446533203125,8,0.0,1653.6666259765625,0.6481541991233826,STANDARD,R_A2,8,301.6446533203125,30
0,22,2018-01-01,301.76385498046875,9,0.0,1655.4437255859375,0.1992860585451126,STANDARD,R_A2,9,301.76385498046875,30
0,22,2018-01-01,301.883056640625,10,0.0,1657.220947265625,0.881941020488739,STANDARD,R_A2,10,301.883056640625,30
0,22,2018-01-01,302.0116882324219,11,0.0,1659.1387939453125,0.06874027848243713,STANDARD,R_A2,11,302.0116882324219,30
0,22,2018-01-01,302.1497497558594,12,0.0,1661.197265625,0.07193821668624878,STANDARD,R_A2,12,302.1497497558594,30
0,22,2018-01-01,302.287841796875,13,0.0,1663.2557373046875,0.4318406283855438,STANDARD,R_A2,13,302.287841796875,30
0,22,2018-01-01,302.4259338378906,14,0.0,1665.314208984375,0.46639350056648254,STANDARD,R_A2,14,302.4259338378906,30
0,22,2018-01-01,302.56402587890625,15,0.0,1667.372802734375,0.9014192819595337,STANDARD,R_A2,15,302.56402587890625,30
0,22,2018-01-01,302.7021179199219,16,0.0,1669.4312744140625,0.9307700395584106,STANDARD,R_A2,16,302.7021179199219,30
0,22,2018-01-01,302.8402099609375,17,0.0,1671.48974609375,0.875134289264679,STANDARD,R_A2,17,302.8402099609375,30
0,22,2018-01-01,302.98895263671875,17,0.0,1673.7069091796875,0.9164473414421082,STANDARD,R_A2,18,302.98895263671875,29
0,22,2018-01-01,303.1163330078125,18,0.0,1675.60546875,0.972106397151947,STANDARD,R_A2,19,303.1163330078125,29
0,22,2018-01-01,303.24432373046875,25,0.0,1677.51318359375,0.7534025311470032,STANDARD,R_A2,20,303.24432373046875,29
0,22,2018-01-01,303.3629455566406,26,0.0,1679.28076171875,0.7157034873962402,STANDARD,R_A2,21,303.3629455566406,29
0,22,2018-01-01,303.4815368652344,27,0.0,1681.04833984375,1.0,STANDARD,R_A2,22,303.4815368652344,29
0,22,2018-01-01,303.9403991699219,28,0.0,1682.8160400390625,1.0,STANDARD,R_A2,23,303.9403991699219,29
