REAL SENSNAME SENSCASE RMS_SEED HUM_MODEL_MODE GOC_NORTH_HORST FWL_CENTRAL FWL_NORTH_HORST SIMGRID_MINPV KVKH_CHANNEL KVKH_CREVASSE KVKH_LS KVKH_US FAULT_SEAL_SCALING RELPERM_INT_GO RELPERM_INT_WO MULT_VALYSAR_THERYS MULT_VALYSAR_VOLON MULT_THERYS_VOLON
0 rms_seed p10_p90 1000 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
1 rms_seed p10_p90 1001 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
2 rms_seed p10_p90 1002 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
3 rms_seed p10_p90 1003 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
4 rms_seed p10_p90 1004 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
5 rms_seed p10_p90 1005 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
6 rms_seed p10_p90 1006 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
7 rms_seed p10_p90 1007 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
8 rms_seed p10_p90 1008 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
9 rms_seed p10_p90 1009 0 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
10 hum p10_p90 1000 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
11 hum p10_p90 1001 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
12 hum p10_p90 1002 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
13 hum p10_p90 1003 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
14 hum p10_p90 1004 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
15 hum p10_p90 1005 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
16 hum p10_p90 1006 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
17 hum p10_p90 1007 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
18 hum p10_p90 1008 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
19 hum p10_p90 1009 1 1640 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
20 goc shallow 1000 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
21 goc shallow 1001 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
22 goc shallow 1002 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
23 goc shallow 1003 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
24 goc shallow 1004 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
25 goc shallow 1005 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
26 goc shallow 1006 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
27 goc shallow 1007 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
28 goc shallow 1008 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
29 goc shallow 1009 0 1635 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
30 goc deep 1000 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
31 goc deep 1001 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
32 goc deep 1002 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
33 goc deep 1003 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
34 goc deep 1004 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
35 goc deep 1005 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
36 goc deep 1006 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
37 goc deep 1007 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
38 goc deep 1008 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
39 goc deep 1009 0 1645 1677 1660 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
40 fwl shallow 1000 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
41 fwl shallow 1001 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
42 fwl shallow 1002 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
43 fwl shallow 1003 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
44 fwl shallow 1004 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
45 fwl shallow 1005 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
46 fwl shallow 1006 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
47 fwl shallow 1007 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
48 fwl shallow 1008 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
49 fwl shallow 1009 0 1640 1672 1655 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
50 fwl deep 1000 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
51 fwl deep 1001 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
52 fwl deep 1002 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
53 fwl deep 1003 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
54 fwl deep 1004 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
55 fwl deep 1005 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
56 fwl deep 1006 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
57 fwl deep 1007 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
58 fwl deep 1008 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
59 fwl deep 1009 0 1640 1682 1665 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
60 fwl_mc p10_p90 1000 0 1640 1680.23 1664.13 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
61 fwl_mc p10_p90 1001 0 1640 1674.19 1662.71 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
62 fwl_mc p10_p90 1002 0 1640 1672.31 1657.88 100 0.6 0.3 0.7 0.6 1 0 0 1 1 1
