CONJPOS,SWAT,DEPTH,CONKPOS,CONIPOS,SGAS,CONBPRES,DATE,WELL,DRAWDOWN,CONIDX,PRESSURE,WELLMODEL
30,0.05682307109236717,1641.094970703125,1,22,0.0,300.6733093261719,2018-01-01,R_A2,0,1,300.6733093261719,STANDARD
30,0.059868622571229935,1642.8890380859375,2,22,0.0,300.7936096191406,2018-01-01,R_A2,0,2,300.7936096191406,STANDARD
30,0.0626271441578865,1644.68310546875,3,22,0.0,300.9139099121094,2018-01-01,R_A2,0,3,300.9139099121094,STANDARD
30,0.06645650416612625,1646.4771728515625,4,22,0.0,301.0342102050781,2018-01-01,R_A2,0,4,301.0342102050781,STANDARD
30,0.07079914212226868,1648.2713623046875,5,22,0.0,301.1545104980469,2018-01-01,R_A2,0,5,301.1545104980469,STANDARD
30,0.23910002410411835,1650.0654296875,6,22,0.0,301.27484130859375,2018-01-01,R_A2,0,6,301.27484130859375,STANDARD
30,0.8951376676559448,1651.859619140625,7,22,0.0,301.3951721191406,2018-01-01,R_A2,0,7,301.3951721191406,STANDARD
30,0.8685147166252136,1653.6536865234375,8,22,0.0,301.5154724121094,2018-01-01,R_A2,0,8,301.5154724121094,STANDARD
30,0.894565999507904,1655.44775390625,9,22,0.0,301.63580322265625,2018-01-01,R_A2,0,9,301.63580322265625,STANDARD
30,0.9062598943710327,1657.2418212890625,10,22,0.0,301.7561340332031,2018-01-01,R_A2,0,10,301.7561340332031,STANDARD
30,0.07765933871269226,1659.1368408203125,11,22,0.0,301.88323974609375,2018-01-01,R_A2,0,11,301.88323974609375,STANDARD
30,0.08095082640647888,1661.132568359375,12,22,0.0,302.01708984375,2018-01-01,R_A2,0,12,302.01708984375,STANDARD
30,0.4631236791610718,1663.12841796875,13,22,0.0,302.1509704589844,2018-01-01,R_A2,0,13,302.1509704589844,STANDARD
30,0.5077258348464966,1665.1241455078125,14,22,0.0,302.28485107421875,2018-01-01,R_A2,0,14,302.28485107421875,STANDARD
30,0.6800851821899414,1667.1199951171875,15,22,0.0,302.4187316894531,2018-01-01,R_A2,0,15,302.4187316894531,STANDARD
30,0.9764990210533142,1669.11572265625,16,22,0.0,302.5526123046875,2018-01-01,R_A2,0,16,302.5526123046875,STANDARD
30,0.9521156549453735,1671.111572265625,17,22,0.0,302.6864929199219,2018-01-01,R_A2,0,17,302.6864929199219,STANDARD
30,0.9803889393806458,1672.9881591796875,18,22,0.0,302.8123779296875,2018-01-01,R_A2,0,18,302.8123779296875,STANDARD
29,0.9921049475669861,1674.229736328125,18,22,0.0,302.89569091796875,2018-01-01,R_A2,0,19,302.89569091796875,STANDARD
29,0.4429566264152527,1676.1676025390625,27,22,0.0,303.02569580078125,2018-01-01,R_A2,0,20,303.02569580078125,STANDARD
29,1.0,1677.9368896484375,28,22,0.0,303.47802734375,2018-01-01,R_A2,0,21,303.47802734375,STANDARD
29,1.0,1679.7061767578125,29,22,0.0,303.64569091796875,2018-01-01,R_A2,0,22,303.64569091796875,STANDARD
29,1.0,1681.4754638671875,30,22,0.0,303.8133544921875,2018-01-01,R_A2,0,23,303.8133544921875,STANDARD
29,1.0,1683.2447509765625,31,22,0.0,303.98101806640625,2018-01-01,R_A2,0,24,303.98101806640625,STANDARD
41,0.6481541991233826,1609.243408203125,1,28,0.0,298.53814697265625,2018-01-01,R_A3,0,1,298.53814697265625,STANDARD
41,0.1953458935022354,1611.3077392578125,2,28,0.0,298.676513671875,2018-01-01,R_A3,0,2,298.676513671875,STANDARD
41,0.19456657767295837,1613.3720703125,3,28,0.0,298.8148498535156,2018-01-01,R_A3,0,3,298.8148498535156,STANDARD
41,0.3696915805339813,1615.4365234375,4,28,0.0,298.9532165527344,2018-01-01,R_A3,0,4,298.9532165527344,STANDARD
41,0.834352970123291,1617.5008544921875,5,28,0.0,299.0915832519531,2018-01-01,R_A3,0,5,299.0915832519531,STANDARD
41,0.6481541991233826,1619.565185546875,6,28,0.0,299.2299499511719,2018-01-01,R_A3,0,6,299.2299499511719,STANDARD
41,0.6481541991233826,1609.3663330078125,6,29,0.0,298.54638671875,2018-01-01,R_A3,0,7,298.54638671875,STANDARD
41,0.1984773725271225,1611.4163818359375,7,29,0.0,298.68377685546875,2018-01-01,R_A3,0,8,298.68377685546875,STANDARD
41,0.1977151483297348,1613.46630859375,8,29,0.0,298.8211669921875,2018-01-01,R_A3,0,9,298.8211669921875,STANDARD
41,0.800819993019104,1615.516357421875,9,29,0.0,298.95855712890625,2018-01-01,R_A3,0,10,298.95855712890625,STANDARD
41,0.7992424964904785,1617.5662841796875,10,29,0.0,299.095947265625,2018-01-01,R_A3,0,11,299.095947265625,STANDARD
41,0.05049673467874527,1619.750732421875,11,29,0.0,299.24237060546875,2018-01-01,R_A3,0,12,299.24237060546875,STANDARD
41,0.05441533401608467,1622.0697021484375,12,29,0.0,299.3978271484375,2018-01-01,R_A3,0,13,299.3978271484375,STANDARD
41,0.3730502128601074,1624.388671875,13,29,0.0,299.5532531738281,2018-01-01,R_A3,0,14,299.5532531738281,STANDARD
41,0.4005099833011627,1626.707763671875,14,29,0.0,299.7087097167969,2018-01-01,R_A3,0,15,299.7087097167969,STANDARD
