CONBPRES,DATE,SWAT,SGAS,DEPTH,DRAWDOWN,CONIDX,WELLMODEL,CONKPOS,CONJPOS,PRESSURE,WELL,CONIPOS
300.9590759277344,2018-01-01,0.06870219111442566,0.0,1645.7608642578125,0,5,STANDARD,5,30,300.9590759277344,R_A2,22
301.0738220214844,2018-01-01,0.3100692629814148,0.0,1647.471923828125,0,6,STANDARD,6,30,301.0738220214844,R_A2,22
301.18853759765625,2018-01-01,0.891598641872406,0.0,1649.182861328125,0,7,STANDARD,7,30,301.18853759765625,R_A2,22
301.30328369140625,2018-01-01,0.8685517311096191,0.0,1650.8939208984375,0,8,STANDARD,8,30,301.30328369140625,R_A2,22
301.41802978515625,2018-01-01,0.8969317078590393,0.0,1652.60498046875,0,9,STANDARD,9,30,301.41802978515625,R_A2,22
301.53277587890625,2018-01-01,0.9079026579856873,0.0,1654.31591796875,0,10,STANDARD,10,30,301.53277587890625,R_A2,22
301.6568298339844,2018-01-01,0.07944704592227936,0.0,1656.165283203125,0,11,STANDARD,11,30,301.6568298339844,R_A2,22
301.7901611328125,2018-01-01,0.0831889659166336,0.0,1658.153076171875,0,12,STANDARD,12,30,301.7901611328125,R_A2,22
301.9234924316406,2018-01-01,0.4473876357078552,0.0,1660.1409912109375,0,13,STANDARD,13,30,301.9234924316406,R_A2,22
302.05682373046875,2018-01-01,0.5020114183425903,0.0,1662.12890625,0,14,STANDARD,14,30,302.05682373046875,R_A2,22
302.1901550292969,2018-01-01,0.9367390871047974,0.0,1664.11669921875,0,15,STANDARD,15,30,302.1901550292969,R_A2,22
302.3235168457031,2018-01-01,0.9446868300437927,0.0,1666.1046142578125,0,16,STANDARD,16,30,302.3235168457031,R_A2,22
302.45684814453125,2018-01-01,0.9159616231918335,0.0,1668.092529296875,0,17,STANDARD,17,30,302.45684814453125,R_A2,22
303.2120666503906,2018-01-01,1.0,0.0,1676.6990966796875,0,18,STANDARD,17,29,303.2120666503906,R_A2,22
303.3585205078125,2018-01-01,1.0,0.0,1678.2447509765625,0,19,STANDARD,18,29,303.3585205078125,R_A2,22
303.6320495605469,2018-01-01,1.0,0.0,1679.562255859375,0,20,STANDARD,26,29,303.6320495605469,R_A2,22
303.789794921875,2018-01-01,1.0,0.0,1681.226806640625,0,21,STANDARD,27,29,303.789794921875,R_A2,22
303.9475402832031,2018-01-01,1.0,0.0,1682.8914794921875,0,22,STANDARD,28,29,303.9475402832031,R_A2,22
304.10528564453125,2018-01-01,1.0,0.0,1684.5560302734375,0,23,STANDARD,29,29,304.10528564453125,R_A2,22
304.2630310058594,2018-01-01,1.0,0.0,1686.220703125,0,24,STANDARD,30,29,304.2630310058594,R_A2,22
298.6106262207031,2018-01-01,0.6481541991233826,0.0,1610.7291259765625,0,1,STANDARD,1,41,298.6106262207031,R_A3,28
298.7402648925781,2018-01-01,0.19979198276996613,0.0,1612.6632080078125,0,2,STANDARD,2,41,298.7402648925781,R_A3,28
298.869873046875,2018-01-01,0.19865305721759796,0.0,1614.5972900390625,0,3,STANDARD,3,41,298.869873046875,R_A3,28
298.99951171875,2018-01-01,0.20231756567955017,0.0,1616.5313720703125,0,4,STANDARD,4,41,298.99951171875,R_A3,28
298.3477783203125,2018-01-01,0.19247138500213623,0.0,1606.8070068359375,0,5,STANDARD,4,41,298.3477783203125,R_A3,29
298.484130859375,2018-01-01,0.8101152777671814,0.0,1608.84130859375,0,6,STANDARD,5,41,298.484130859375,R_A3,29
298.6204528808594,2018-01-01,0.6481541991233826,0.0,1610.87548828125,0,7,STANDARD,6,41,298.6204528808594,R_A3,29
298.75677490234375,2018-01-01,0.19976915419101715,0.0,1612.9097900390625,0,8,STANDARD,7,41,298.75677490234375,R_A3,29
298.89312744140625,2018-01-01,0.26369741559028625,0.0,1614.9439697265625,0,9,STANDARD,8,41,298.89312744140625,R_A3,29
299.0294494628906,2018-01-01,0.8043295741081238,0.0,1616.978271484375,0,10,STANDARD,9,41,299.0294494628906,R_A3,29
299.1658020019531,2018-01-01,0.8045080900192261,0.0,1619.012451171875,0,11,STANDARD,10,41,299.1658020019531,R_A3,29
299.306884765625,2018-01-01,0.04734630882740021,0.0,1621.1173095703125,0,12,STANDARD,11,41,299.306884765625,R_A3,29
299.45269775390625,2018-01-01,0.05485597252845764,0.0,1623.2926025390625,0,13,STANDARD,12,41,299.45269775390625,R_A3,29
299.5985107421875,2018-01-01,0.3701001703739166,0.0,1625.468017578125,0,14,STANDARD,13,41,299.5985107421875,R_A3,29
299.7443542480469,2018-01-01,0.2487681657075882,0.0,1627.643310546875,0,15,STANDARD,14,41,299.7443542480469,R_A3,29
299.89019775390625,2018-01-01,0.5032598376274109,0.0,1629.8187255859375,0,16,STANDARD,15,41,299.89019775390625,R_A3,29
300.00836181640625,2018-01-01,0.8150259256362915,0.0,1631.5816650390625,0,17,STANDARD,16,41,300.00836181640625,R_A3,29
300.1799011230469,2018-01-01,0.20970509946346283,0.0,1634.1400146484375,0,18,STANDARD,26,41,300.1799011230469,R_A3,29
300.4107971191406,2018-01-01,0.04225633293390274,0.0,1637.583740234375,0,19,STANDARD,27,41,300.4107971191406,R_A3,29
300.6416931152344,2018-01-01,0.12278977036476135,0.0,1641.027587890625,0,20,STANDARD,28,41,300.6416931152344,R_A3,29
300.87261962890625,2018-01-01,0.690890371799469,0.0,1644.4713134765625,0,21,STANDARD,29,41,300.87261962890625,R_A3,29
301.1035461425781,2018-01-01,0.1873784065246582,0.0,1647.9151611328125,0,22,STANDARD,30,41,301.1035461425781,R_A3,29
299.92535400390625,2018-01-01,0.051830098032951355,0.0,1630.3433837890625,0,1,STANDARD,1,52,299.92535400390625,R_A4,30
299.6461486816406,2018-01-01,0.050113312900066376,0.0,1626.1783447265625,0,2,STANDARD,1,52,299.6461486816406,R_A4,31
299.7855529785156,2018-01-01,0.05140608176589012,0.0,1628.2578125,0,3,STANDARD,2,52,299.7855529785156,R_A4,31
299.9249572753906,2018-01-01,0.05307317525148392,0.0,1630.33740234375,0,4,STANDARD,3,52,299.9249572753906,R_A4,31
300.0643615722656,2018-01-01,0.0549597404897213,0.0,1632.4168701171875,0,5,STANDARD,4,52,300.0643615722656,R_A4,31
300.20379638671875,2018-01-01,0.05884307995438576,0.0,1634.496337890625,0,6,STANDARD,5,52,300.20379638671875,R_A4,31
300.1427917480469,2018-01-01,0.057051435112953186,0.0,1633.5865478515625,0,7,STANDARD,5,52,300.1427917480469,R_A4,32
300.1900634765625,2018-01-01,0.05859624594449997,0.0,1634.2918701171875,0,8,STANDARD,5,51,300.1900634765625,R_A4,32
300.06561279296875,2018-01-01,0.05689489096403122,0.0,1632.435302734375,0,9,STANDARD,4,51,300.06561279296875,R_A4,32
300.2286682128906,2018-01-01,0.05931045114994049,0.0,1634.867431640625,0,10,STANDARD,4,51,300.2286682128906,R_A4,33
300.35491943359375,2018-01-01,0.060924310237169266,0.0,1636.750732421875,0,11,STANDARD,5,51,300.35491943359375,R_A4,33
300.7721862792969,2018-01-01,0.10809487104415894,0.0,1642.9737548828125,0,12,STANDARD,5,50,300.7721862792969,R_A4,33
300.695068359375,2018-01-01,0.22799445688724518,0.0,1641.82373046875,0,13,STANDARD,5,50,300.695068359375,R_A4,34
300.57110595703125,2018-01-01,0.06520532071590424,0.0,1639.97509765625,0,14,STANDARD,4,50,300.57110595703125,R_A4,34
300.61328125,2018-01-01,0.06469821184873581,0.0,1640.60400390625,0,15,STANDARD,4,50,300.61328125,R_A4,35
300.49346923828125,2018-01-01,0.14860031008720398,0.0,1638.8172607421875,0,16,STANDARD,3,50,300.49346923828125,R_A4,35
300.8050537109375,2018-01-01,0.22079110145568848,0.0,1643.4639892578125,0,17,STANDARD,3,49,300.8050537109375,R_A4,35
300.6818542480469,2018-01-01,0.23988619446754456,0.0,1641.6265869140625,0,18,STANDARD,2,49,300.6818542480469,R_A4,35
300.7825012207031,2018-01-01,0.05707862600684166,0.0,1643.1275634765625,0,19,STANDARD,29,49,300.7825012207031,R_A4,36
300.7406921386719,2018-01-01,0.09231732040643692,0.0,1642.504150390625,0,20,STANDARD,29,48,300.7406921386719,R_A4,36
301.28668212890625,2018-01-01,0.0672074481844902,0.0,1650.646240234375,0,21,STANDARD,29,48,301.28668212890625,R_A4,37
300.9090881347656,2018-01-01,0.2740687131881714,0.0,1645.0152587890625,0,22,STANDARD,28,48,300.9090881347656,R_A4,37
301.16748046875,2018-01-01,0.1878751516342163,0.0,1648.8687744140625,0,23,STANDARD,28,48,301.16748046875,R_A4,38
301.604248046875,2018-01-01,0.6481541991233826,0.0,1655.3814697265625,0,24,STANDARD,28,47,301.604248046875,R_A4,38
