ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,83854850,14180521,8906356,6210848,874487431,0,0,0,0,0
Valysar,CentralSouth,50326426,9656994,7364148,5135390,723062866,0,0,0,0,0
Valysar,CentralNorth,29392915,5082060,3772957,2631072,370454903,0,0,0,0,0
Valysar,NorthHorst,3794558,380553,180352,110781,21702015,24790204,3068747,1966744,457382364,69980
Valysar,CentralRamp,13655313,2113659,1472256,1026678,144556278,0,0,0,0,0
Valysar,CentralHorst,81428872,14167385,10921341,7615998,1072332507,0,0,0,0,0
Valysar,EastLowland,59959,7030,161,112,15799,0,0,0,0,0
Therys,WestLowland,53365771,12954830,9396112,6552380,922575055,0,0,0,0,0
Therys,CentralSouth,4732967,1022905,652985,455359,64114560,0,0,0,0,0
Therys,CentralNorth,14284499,2843827,1607673,1121111,157852440,0,0,0,0,0
Therys,NorthHorst,7844878,1110153,416836,256042,50158591,16472583,2695576,1705752,396686479,60693
Therys,CentralRamp,6630652,1475099,1129792,787860,110930733,0,0,0,0,0
Therys,CentralHorst,24755231,6056861,4696066,3274802,461092137,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,6542068,1045248,678655,473260,66635021,0,0,0,0,0
Volon,CentralSouth,24206683,4303017,2940338,2050445,288702669,0,0,0,0,0
Volon,CentralNorth,2282664,263585,94586,65960,9287127,0,0,0,0,0
Volon,NorthHorst,5026065,945543,744447,457277,89580540,2969888,582571,533610,124095285,18987
Volon,CentralRamp,12772414,2267458,1741875,1214697,171029274,0,0,0,0,0
Volon,CentralHorst,75640217,13279639,10314920,7193110,1012789929,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
