PRESSURE,DATE,WELL,DEPTH,SGAS,CONIDX,WELLMODEL,CONJPOS,CONKPOS,CONBPRES,SWAT,DRAWDOWN,CONIPOS
300.6733093261719,2018-01-01,R_A2,1641.094970703125,0.0,1,STANDARD,30,1,300.6733093261719,0.05673010274767876,0,22
300.7936096191406,2018-01-01,R_A2,1642.8890380859375,0.0,2,STANDARD,30,2,300.7936096191406,0.05777252838015556,0,22
300.9139099121094,2018-01-01,R_A2,1644.68310546875,0.0,3,STANDARD,30,3,300.9139099121094,0.060030754655599594,0,22
301.0342102050781,2018-01-01,R_A2,1646.4771728515625,0.0,4,STANDARD,30,4,301.0342102050781,0.06766234338283539,0,22
301.1545104980469,2018-01-01,R_A2,1648.2713623046875,0.0,5,STANDARD,30,5,301.1545104980469,0.06880508363246918,0,22
301.27484130859375,2018-01-01,R_A2,1650.0654296875,0.0,6,STANDARD,30,6,301.27484130859375,0.31025803089141846,0,22
301.3951721191406,2018-01-01,R_A2,1651.859619140625,0.0,7,STANDARD,30,7,301.3951721191406,0.891412079334259,0,22
301.5154724121094,2018-01-01,R_A2,1653.6536865234375,0.0,8,STANDARD,30,8,301.5154724121094,0.8774909377098083,0,22
301.63580322265625,2018-01-01,R_A2,1655.44775390625,0.0,9,STANDARD,30,9,301.63580322265625,0.9038383364677429,0,22
301.7561340332031,2018-01-01,R_A2,1657.2418212890625,0.0,10,STANDARD,30,10,301.7561340332031,0.9149646162986755,0,22
301.88323974609375,2018-01-01,R_A2,1659.1368408203125,0.0,11,STANDARD,30,11,301.88323974609375,0.07614300400018692,0,22
302.01708984375,2018-01-01,R_A2,1661.132568359375,0.0,12,STANDARD,30,12,302.01708984375,0.07716154307126999,0,22
302.1509704589844,2018-01-01,R_A2,1663.12841796875,0.0,13,STANDARD,30,13,302.1509704589844,0.4616602957248688,0,22
302.28485107421875,2018-01-01,R_A2,1665.1241455078125,0.0,14,STANDARD,30,14,302.28485107421875,0.5056487321853638,0,22
302.4187316894531,2018-01-01,R_A2,1667.1199951171875,0.0,15,STANDARD,30,15,302.4187316894531,0.6890329718589783,0,22
302.5526123046875,2018-01-01,R_A2,1669.11572265625,0.0,16,STANDARD,30,16,302.5526123046875,0.9704177379608154,0,22
302.6864929199219,2018-01-01,R_A2,1671.111572265625,0.0,17,STANDARD,30,17,302.6864929199219,0.949622392654419,0,22
302.8123779296875,2018-01-01,R_A2,1672.9881591796875,0.0,18,STANDARD,30,18,302.8123779296875,0.9828952550888062,0,22
302.89569091796875,2018-01-01,R_A2,1674.229736328125,0.0,19,STANDARD,29,18,302.89569091796875,0.9966256022453308,0,22
303.02569580078125,2018-01-01,R_A2,1676.1676025390625,0.0,20,STANDARD,29,27,303.02569580078125,1.0,0,22
303.47802734375,2018-01-01,R_A2,1677.9368896484375,0.0,21,STANDARD,29,28,303.47802734375,1.0,0,22
303.64569091796875,2018-01-01,R_A2,1679.7061767578125,0.0,22,STANDARD,29,29,303.64569091796875,1.0,0,22
303.8133544921875,2018-01-01,R_A2,1681.4754638671875,0.0,23,STANDARD,29,30,303.8133544921875,1.0,0,22
303.98101806640625,2018-01-01,R_A2,1683.2447509765625,0.0,24,STANDARD,29,31,303.98101806640625,1.0,0,22
298.53814697265625,2018-01-01,R_A3,1609.243408203125,0.0,1,STANDARD,41,1,298.53814697265625,0.6481541991233826,0,28
298.676513671875,2018-01-01,R_A3,1611.3077392578125,0.0,2,STANDARD,41,2,298.676513671875,0.19717952609062195,0,28
