Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:24:02
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       298474336.62         48513498.12         36453526.07         22926745.57
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  298474336.62         48513498.12         36453526.07         22926745.57
MidReek    1                       228563029.44         37595133.72         27257061.49         17142805.68
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  228563029.44         37595133.72         27257061.49         17142805.68
LowerReek  1                       136393914.74         23996916.15         18373006.25         11555349.66
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  136393914.74         23996916.15         18373006.25         11555349.66
Totals     1                       663431280.79        110105547.99         82083593.81         51624900.92
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  663431280.79        110105547.99         82083593.81         51624900.92
