WELLMODEL,PRESSURE,DATE,CONKPOS,DRAWDOWN,CONIPOS,DEPTH,WELL,SGAS,CONJPOS,CONIDX,SWAT,CONBPRES
STANDARD,300.6816711425781,2018-01-01,1,0,22,1639.6075439453125,R_A2,0.0,30,1,0.05350519344210625,300.6816711425781
STANDARD,300.79931640625,2018-01-01,2,0,22,1641.3621826171875,R_A2,0.0,30,2,0.054274093359708786,300.79931640625
STANDARD,300.9169616699219,2018-01-01,3,0,22,1643.11669921875,R_A2,0.0,30,3,0.05760215222835541,300.9169616699219
STANDARD,301.0346374511719,2018-01-01,4,0,22,1644.871337890625,R_A2,0.0,30,4,0.0638742595911026,301.0346374511719
STANDARD,301.15228271484375,2018-01-01,5,0,22,1646.6258544921875,R_A2,0.0,30,5,0.06356845051050186,301.15228271484375
STANDARD,301.26995849609375,2018-01-01,6,0,22,1648.38037109375,R_A2,0.0,30,6,0.3034658432006836,301.26995849609375
STANDARD,301.38763427734375,2018-01-01,7,0,22,1650.135009765625,R_A2,0.0,30,7,0.865966796875,301.38763427734375
STANDARD,301.5052795410156,2018-01-01,8,0,22,1651.8895263671875,R_A2,0.0,30,8,0.8368325233459473,301.5052795410156
STANDARD,301.6229553222656,2018-01-01,9,0,22,1653.64404296875,R_A2,0.0,30,9,0.8923331499099731,301.6229553222656
STANDARD,301.7406311035156,2018-01-01,10,0,22,1655.398681640625,R_A2,0.0,30,10,0.9017974138259888,301.7406311035156
STANDARD,301.8700866699219,2018-01-01,11,0,22,1657.328857421875,R_A2,0.0,30,11,0.06727558374404907,301.8700866699219
STANDARD,302.152587890625,2018-01-01,13,0,22,1661.5401611328125,R_A2,0.0,30,12,0.4270062744617462,302.152587890625
STANDARD,302.2938232421875,2018-01-01,14,0,22,1663.6458740234375,R_A2,0.0,30,13,0.46530890464782715,302.2938232421875
STANDARD,302.43505859375,2018-01-01,15,0,22,1665.7515869140625,R_A2,0.0,30,14,0.8934025168418884,302.43505859375
STANDARD,302.5763244628906,2018-01-01,16,0,22,1667.8572998046875,R_A2,0.0,30,15,0.9067836403846741,302.5763244628906
STANDARD,302.71759033203125,2018-01-01,17,0,22,1669.9630126953125,R_A2,0.0,30,16,0.8769032955169678,302.71759033203125
STANDARD,302.8271789550781,2018-01-01,18,0,22,1671.596435546875,R_A2,0.0,30,17,0.9379640817642212,302.8271789550781
STANDARD,302.9234313964844,2018-01-01,26,0,22,1673.0311279296875,R_A2,0.0,30,18,0.1572786271572113,302.9234313964844
STANDARD,303.18804931640625,2018-01-01,26,0,22,1676.9752197265625,R_A2,0.0,29,19,1.0,303.18804931640625
STANDARD,303.311767578125,2018-01-01,27,0,22,1678.819091796875,R_A2,0.0,29,20,1.0,303.311767578125
STANDARD,303.43548583984375,2018-01-01,28,0,22,1680.662841796875,R_A2,0.0,29,21,0.7197979688644409,303.43548583984375
STANDARD,303.91107177734375,2018-01-01,29,0,22,1682.5067138671875,R_A2,0.0,29,22,1.0,303.91107177734375
STANDARD,303.780029296875,2018-01-01,30,0,22,1684.3504638671875,R_A2,0.0,29,23,1.0,303.780029296875
STANDARD,298.7574157714844,2018-01-01,1,0,28,1610.90283203125,R_A3,0.0,41,1,0.24639223515987396,298.7574157714844
STANDARD,298.8952331542969,2018-01-01,2,0,28,1612.9591064453125,R_A3,0.0,41,2,0.12760445475578308,298.8952331542969
STANDARD,299.0330505371094,2018-01-01,3,0,28,1615.0155029296875,R_A3,0.0,41,3,0.11823459714651108,299.0330505371094
STANDARD,299.1708679199219,2018-01-01,4,0,28,1617.0718994140625,R_A3,0.0,41,4,0.0941389948129654,299.1708679199219
STANDARD,298.346435546875,2018-01-01,4,0,29,1604.7705078125,R_A3,0.0,41,5,0.14826242625713348,298.346435546875
STANDARD,298.4923400878906,2018-01-01,5,0,29,1606.9476318359375,R_A3,0.0,41,6,0.802506148815155,298.4923400878906
STANDARD,298.63824462890625,2018-01-01,6,0,29,1609.124755859375,R_A3,0.0,41,7,0.6481541991233826,298.63824462890625
STANDARD,298.7841491699219,2018-01-01,7,0,29,1611.3018798828125,R_A3,0.0,41,8,0.1913813203573227,298.7841491699219
STANDARD,298.9300537109375,2018-01-01,8,0,29,1613.47900390625,R_A3,0.0,41,9,0.19438812136650085,298.9300537109375
STANDARD,299.07598876953125,2018-01-01,9,0,29,1615.656005859375,R_A3,0.0,41,10,0.7971975803375244,299.07598876953125
STANDARD,299.2218933105469,2018-01-01,10,0,29,1617.8331298828125,R_A3,0.0,41,11,0.797874927520752,299.2218933105469
STANDARD,299.3719787597656,2018-01-01,11,0,29,1620.0718994140625,R_A3,0.0,41,12,0.0459921769797802,299.3719787597656
STANDARD,299.52618408203125,2018-01-01,12,0,29,1622.372314453125,R_A3,0.0,41,13,0.052549537271261215,299.52618408203125
STANDARD,299.6803894042969,2018-01-01,13,0,29,1624.6727294921875,R_A3,0.0,41,14,0.3661740720272064,299.6803894042969
STANDARD,299.8345947265625,2018-01-01,14,0,29,1626.97314453125,R_A3,0.0,41,15,0.13812068104743958,299.8345947265625
STANDARD,299.9888000488281,2018-01-01,15,0,29,1629.2735595703125,R_A3,0.0,41,16,0.5082643032073975,299.9888000488281
STANDARD,300.12469482421875,2018-01-01,16,0,29,1631.30029296875,R_A3,0.0,41,17,0.7997086644172668,300.12469482421875
STANDARD,300.30767822265625,2018-01-01,26,0,29,1634.02978515625,R_A3,0.0,41,18,1.0,300.30767822265625
STANDARD,300.5501708984375,2018-01-01,27,0,29,1637.646484375,R_A3,0.0,41,19,0.04352395236492157,300.5501708984375
STANDARD,300.7926940917969,2018-01-01,28,0,29,1641.2633056640625,R_A3,0.0,41,20,0.05042757838964462,300.7926940917969
STANDARD,301.03521728515625,2018-01-01,29,0,29,1644.8800048828125,R_A3,0.0,41,21,0.8179408311843872,301.03521728515625
STANDARD,301.27777099609375,2018-01-01,30,0,29,1648.496826171875,R_A3,0.0,41,22,0.24832867085933685,301.27777099609375
STANDARD,300.15997314453125,2018-01-01,1,0,30,1631.8267822265625,R_A4,0.0,52,1,0.0504448227584362,300.15997314453125
STANDARD,299.7569885253906,2018-01-01,1,0,31,1625.815673828125,R_A4,0.0,52,2,0.04827602580189705,299.7569885253906
STANDARD,299.8963623046875,2018-01-01,2,0,31,1627.8944091796875,R_A4,0.0,52,3,0.048894934356212616,299.8963623046875
STANDARD,300.03570556640625,2018-01-01,3,0,31,1629.9732666015625,R_A4,0.0,52,4,0.04998094588518143,300.03570556640625
STANDARD,300.1750793457031,2018-01-01,4,0,31,1632.0521240234375,R_A4,0.0,52,5,0.05320383608341217,300.1750793457031
STANDARD,300.3144836425781,2018-01-01,5,0,31,1634.1309814453125,R_A4,0.0,52,6,0.052668411284685135,300.3144836425781
STANDARD,300.1552734375,2018-01-01,5,0,32,1631.7567138671875,R_A4,0.0,52,7,0.052659787237644196,300.1552734375
STANDARD,300.3704528808594,2018-01-01,5,0,32,1634.966064453125,R_A4,0.0,51,8,0.05560647323727608,300.3704528808594
STANDARD,300.55303955078125,2018-01-01,5,0,33,1637.6893310546875,R_A4,0.0,51,9,0.05730535462498665,300.55303955078125
STANDARD,300.4290771484375,2018-01-01,4,0,33,1635.84033203125,R_A4,0.0,51,10,0.05405411124229431,300.4290771484375
STANDARD,300.8450012207031,2018-01-01,5,0,33,1642.0435791015625,R_A4,0.0,50,11,0.06263913959264755,300.8450012207031
STANDARD,300.722412109375,2018-01-01,4,0,33,1640.215087890625,R_A4,0.0,50,12,0.05997229740023613,300.722412109375
STANDARD,300.7212829589844,2018-01-01,4,0,34,1640.198486328125,R_A4,0.0,50,13,0.0611051507294178,300.7212829589844
STANDARD,300.59576416015625,2018-01-01,3,0,34,1638.3265380859375,R_A4,0.0,50,14,0.13788552582263947,300.59576416015625
STANDARD,300.7706604003906,2018-01-01,3,0,35,1640.934814453125,R_A4,0.0,50,15,0.14485138654708862,300.7706604003906
STANDARD,300.652099609375,2018-01-01,2,0,35,1639.166748046875,R_A4,0.0,50,16,0.2221805602312088,300.652099609375
STANDARD,301.0325622558594,2018-01-01,2,0,35,1644.8404541015625,R_A4,0.0,49,17,0.23917050659656525,301.0325622558594
STANDARD,300.91973876953125,2018-01-01,1,0,35,1643.157958984375,R_A4,0.0,49,18,0.23493579030036926,300.91973876953125
STANDARD,301.01629638671875,2018-01-01,29,0,36,1644.597900390625,R_A4,0.0,49,19,0.16710065305233002,301.01629638671875
STANDARD,300.9288024902344,2018-01-01,29,0,36,1643.293212890625,R_A4,0.0,48,20,0.12363927066326141,300.9288024902344
STANDARD,301.435302734375,2018-01-01,29,0,37,1650.84619140625,R_A4,0.0,48,21,0.6481541991233826,301.435302734375
STANDARD,301.0554504394531,2018-01-01,28,0,37,1645.181640625,R_A4,0.0,48,22,0.6481541991233826,301.0554504394531
STANDARD,301.5559387207031,2018-01-01,28,0,38,1652.644775390625,R_A4,0.0,48,23,0.2966881990432739,301.5559387207031
STANDARD,302.110595703125,2018-01-01,28,0,38,1660.914306640625,R_A4,0.0,47,24,0.1480582058429718,302.110595703125
STANDARD,303.94281005859375,2018-01-01,1,0,31,1686.0684814453125,R_A5,0.0,20,1,1.0,303.94281005859375
STANDARD,304.1589660644531,2018-01-01,2,0,31,1688.349365234375,R_A5,0.0,20,2,1.0,304.1589660644531
STANDARD,304.3751220703125,2018-01-01,3,0,31,1690.63037109375,R_A5,0.0,20,3,1.0,304.3751220703125
STANDARD,304.5912780761719,2018-01-01,4,0,31,1692.9112548828125,R_A5,0.0,20,4,1.0,304.5912780761719
STANDARD,304.80743408203125,2018-01-01,5,0,31,1695.1922607421875,R_A5,0.0,20,5,1.0,304.80743408203125
STANDARD,305.0235900878906,2018-01-01,6,0,31,1697.47314453125,R_A5,0.0,20,6,1.0,305.0235900878906
