CONIDX,WELL,SWAT,CONIPOS,DATE,DEPTH,WELLMODEL,DRAWDOWN,SGAS,CONJPOS,PRESSURE,CONKPOS,CONBPRES
1,R_A2,0.054201677441596985,22,2018-01-01,1641.2357177734375,STANDARD,0,0.0,30,300.739990234375,1,300.739990234375
2,R_A2,0.05697356164455414,22,2018-01-01,1643.03466796875,STANDARD,0,0.0,30,300.860595703125,2,300.860595703125
3,R_A2,0.06037714332342148,22,2018-01-01,1644.83349609375,STANDARD,0,0.0,30,300.9812316894531,3,300.9812316894531
4,R_A2,0.06639766693115234,22,2018-01-01,1646.63232421875,STANDARD,0,0.0,30,301.1018371582031,4,301.1018371582031
5,R_A2,0.0690455436706543,22,2018-01-01,1648.43115234375,STANDARD,0,0.0,30,301.22247314453125,5,301.22247314453125
6,R_A2,0.30042383074760437,22,2018-01-01,1650.2298583984375,STANDARD,0,0.0,30,301.3431091308594,6,301.3431091308594
7,R_A2,0.6481541991233826,22,2018-01-01,1652.0286865234375,STANDARD,0,0.0,30,301.4637451171875,7,301.4637451171875
8,R_A2,0.1971064656972885,22,2018-01-01,1653.8275146484375,STANDARD,0,0.0,30,301.5843811035156,8,301.5843811035156
9,R_A2,0.6481541991233826,22,2018-01-01,1655.62646484375,STANDARD,0,0.0,30,301.7050476074219,9,301.7050476074219
10,R_A2,0.6481541991233826,22,2018-01-01,1657.42529296875,STANDARD,0,0.0,30,301.82568359375,10,301.82568359375
11,R_A2,0.07694023102521896,22,2018-01-01,1659.307373046875,STANDARD,0,0.0,30,301.9519348144531,11,301.9519348144531
12,R_A2,0.0752313882112503,22,2018-01-01,1661.2725830078125,STANDARD,0,0.0,30,302.083740234375,12,302.083740234375
13,R_A2,0.44005098938941956,22,2018-01-01,1663.23779296875,STANDARD,0,0.0,30,302.215576171875,13,302.215576171875
14,R_A2,0.48432648181915283,22,2018-01-01,1665.203125,STANDARD,0,0.0,30,302.3473815917969,14,302.3473815917969
15,R_A2,0.676760733127594,22,2018-01-01,1667.1683349609375,STANDARD,0,0.0,30,302.4792175292969,15,302.4792175292969
16,R_A2,0.9524905681610107,22,2018-01-01,1669.133544921875,STANDARD,0,0.0,30,302.6110534667969,16,302.6110534667969
17,R_A2,0.9513124227523804,22,2018-01-01,1671.098876953125,STANDARD,0,0.0,30,302.7428894042969,17,302.7428894042969
18,R_A2,0.9510059356689453,22,2018-01-01,1673.018798828125,STANDARD,0,0.0,30,302.8717041015625,18,302.8717041015625
19,R_A2,0.969132125377655,22,2018-01-01,1674.1658935546875,STANDARD,0,0.0,30,302.94866943359375,19,302.94866943359375
20,R_A2,0.6481541991233826,22,2018-01-01,1675.3458251953125,STANDARD,0,0.0,30,303.02783203125,26,303.02783203125
21,R_A2,0.16130000352859497,22,2018-01-01,1674.1456298828125,STANDARD,0,0.0,29,302.9472961425781,26,302.9472961425781
22,R_A2,1.0,22,2018-01-01,1675.883544921875,STANDARD,0,0.0,29,303.06390380859375,27,303.06390380859375
23,R_A2,1.0,22,2018-01-01,1677.6214599609375,STANDARD,0,0.0,29,303.1805114746094,28,303.1805114746094
24,R_A2,1.0,22,2018-01-01,1679.359375,STANDARD,0,0.0,29,303.61285400390625,29,303.61285400390625
25,R_A2,1.0,22,2018-01-01,1681.0972900390625,STANDARD,0,0.0,29,303.77752685546875,30,303.77752685546875
1,R_A3,0.15440520644187927,28,2018-01-01,1610.3916015625,STANDARD,0,0.0,41,298.67230224609375,1,298.67230224609375
2,R_A3,0.19687248766422272,28,2018-01-01,1612.447998046875,STANDARD,0,0.0,41,298.81011962890625,2,298.81011962890625
3,R_A3,0.19362995028495789,28,2018-01-01,1614.5042724609375,STANDARD,0,0.0,41,298.94793701171875,3,298.94793701171875
4,R_A3,0.30986639857292175,28,2018-01-01,1616.5606689453125,STANDARD,0,0.0,41,299.08575439453125,4,299.08575439453125
5,R_A3,0.8155887126922607,28,2018-01-01,1618.616943359375,STANDARD,0,0.0,41,299.2236022949219,5,299.2236022949219
6,R_A3,0.1508665680885315,28,2018-01-01,1620.67333984375,STANDARD,0,0.0,41,299.3614196777344,6,299.3614196777344
7,R_A3,0.19408272206783295,29,2018-01-01,1608.0703125,STANDARD,0,0.0,41,298.5167236328125,6,298.5167236328125
8,R_A3,0.14838215708732605,29,2018-01-01,1610.1431884765625,STANDARD,0,0.0,41,298.6556396484375,7,298.6556396484375
9,R_A3,0.10336405038833618,29,2018-01-01,1612.216064453125,STANDARD,0,0.0,41,298.7945861816406,8,298.7945861816406
10,R_A3,0.6481541991233826,29,2018-01-01,1614.288818359375,STANDARD,0,0.0,41,298.9335021972656,9,298.9335021972656
11,R_A3,0.7993795275688171,29,2018-01-01,1616.3616943359375,STANDARD,0,0.0,41,299.0724182128906,10,299.0724182128906
12,R_A3,0.04925979673862457,29,2018-01-01,1618.498046875,STANDARD,0,0.0,41,299.21563720703125,11,299.21563720703125
13,R_A3,0.05153141915798187,29,2018-01-01,1620.6978759765625,STANDARD,0,0.0,41,299.3630676269531,12,299.3630676269531
14,R_A3,0.1998399943113327,29,2018-01-01,1622.897705078125,STANDARD,0,0.0,41,299.5105285644531,13,299.5105285644531
15,R_A3,0.3840276896953583,29,2018-01-01,1625.09765625,STANDARD,0,0.0,41,299.6579895019531,14,299.6579895019531
16,R_A3,0.3541933596134186,29,2018-01-01,1627.2974853515625,STANDARD,0,0.0,41,299.80548095703125,15,299.80548095703125
17,R_A3,0.7980785965919495,29,2018-01-01,1629.290771484375,STANDARD,0,0.0,41,299.9391174316406,16,299.9391174316406
18,R_A3,0.7875258922576904,29,2018-01-01,1630.4703369140625,STANDARD,0,0.0,41,300.0181884765625,17,300.0181884765625
19,R_A3,0.6481541991233826,29,2018-01-01,1632.6517333984375,STANDARD,0,0.0,41,300.1644287109375,26,300.1644287109375
20,R_A3,0.04429759830236435,29,2018-01-01,1636.4422607421875,STANDARD,0,0.0,41,300.4185791015625,27,300.4185791015625
21,R_A3,0.04816446453332901,29,2018-01-01,1640.2327880859375,STANDARD,0,0.0,41,300.6727294921875,28,300.6727294921875
22,R_A3,0.6481541991233826,29,2018-01-01,1644.0234375,STANDARD,0,0.0,41,300.9269104003906,29,300.9269104003906
23,R_A3,0.06158456206321716,29,2018-01-01,1647.81396484375,STANDARD,0,0.0,41,301.18109130859375,30,301.18109130859375
1,R_A4,0.05162203684449196,30,2018-01-01,1629.9957275390625,STANDARD,0,0.0,52,299.9863586425781,1,299.9863586425781
2,R_A4,0.04829306900501251,31,2018-01-01,1626.173828125,STANDARD,0,0.0,52,299.7301330566406,1,299.7301330566406
3,R_A4,0.04916554316878319,31,2018-01-01,1628.249755859375,STANDARD,0,0.0,52,299.86932373046875,2,299.86932373046875
4,R_A4,0.050386957824230194,31,2018-01-01,1630.32568359375,STANDARD,0,0.0,52,300.00848388671875,3,300.00848388671875
5,R_A4,0.053133148699998856,31,2018-01-01,1632.401611328125,STANDARD,0,0.0,52,300.1476745605469,4,300.1476745605469
6,R_A4,0.05353620648384094,31,2018-01-01,1634.4775390625,STANDARD,0,0.0,52,300.2868347167969,5,300.2868347167969
7,R_A4,0.05494081974029541,32,2018-01-01,1632.915771484375,STANDARD,0,0.0,52,300.18212890625,5,300.18212890625
8,R_A4,0.05600837618112564,32,2018-01-01,1634.814208984375,STANDARD,0,0.0,52,300.3094177246094,6,300.3094177246094
9,R_A4,0.05835004895925522,32,2018-01-01,1636.332275390625,STANDARD,0,0.0,51,300.41119384765625,6,300.41119384765625
10,R_A4,0.07974153757095337,33,2018-01-01,1638.7017822265625,STANDARD,0,0.0,51,300.570068359375,6,300.570068359375
11,R_A4,0.05794426053762436,33,2018-01-01,1636.9002685546875,STANDARD,0,0.0,51,300.44927978515625,5,300.44927978515625
12,R_A4,0.06064770743250847,33,2018-01-01,1642.562255859375,STANDARD,0,0.0,50,300.82891845703125,5,300.82891845703125
13,R_A4,0.06258223205804825,34,2018-01-01,1642.2264404296875,STANDARD,0,0.0,50,300.806396484375,5,300.806396484375
14,R_A4,0.06248661130666733,34,2018-01-01,1640.4248046875,STANDARD,0,0.0,50,300.68560791015625,4,300.68560791015625
15,R_A4,0.11100369691848755,34,2018-01-01,1638.623046875,STANDARD,0,0.0,50,300.5647888183594,3,300.5647888183594
16,R_A4,0.1798122227191925,35,2018-01-01,1640.5250244140625,STANDARD,0,0.0,50,300.69232177734375,3,300.69232177734375
17,R_A4,0.22242335975170135,35,2018-01-01,1638.7166748046875,STANDARD,0,0.0,50,300.5710754394531,2,300.5710754394531
18,R_A4,0.09968473017215729,35,2018-01-01,1642.258544921875,STANDARD,0,0.0,49,300.8085632324219,30,300.8085632324219
19,R_A4,0.6481541991233826,36,2018-01-01,1646.5909423828125,STANDARD,0,0.0,49,301.09906005859375,30,301.09906005859375
20,R_A4,0.12143327295780182,36,2018-01-01,1640.524169921875,STANDARD,0,0.0,49,300.6922607421875,29,300.6922607421875
21,R_A4,0.09138806909322739,36,2018-01-01,1646.1793212890625,STANDARD,0,0.0,48,301.07147216796875,30,301.07147216796875
22,R_A4,0.6481541991233826,37,2018-01-01,1651.286865234375,STANDARD,0,0.0,48,301.41400146484375,30,301.41400146484375
23,R_A4,0.6481541991233826,37,2018-01-01,1645.7060546875,STANDARD,0,0.0,48,301.03973388671875,29,301.03973388671875
24,R_A4,0.6481541991233826,38,2018-01-01,1653.6500244140625,STANDARD,0,0.0,48,301.5724792480469,29,301.5724792480469
25,R_A4,0.6481541991233826,38,2018-01-01,1660.732421875,STANDARD,0,0.0,47,302.0475158691406,29,302.0475158691406
26,R_A4,0.06335440278053284,38,2018-01-01,1655.095703125,STANDARD,0,0.0,47,301.66943359375,28,301.66943359375
1,R_A5,1.0,31,2018-01-01,1687.248779296875,STANDARD,0,0.0,20,304.0546569824219,1,304.0546569824219
2,R_A5,1.0,31,2018-01-01,1689.6785888671875,STANDARD,0,0.0,20,304.2849426269531,2,304.2849426269531
3,R_A5,1.0,31,2018-01-01,1692.1085205078125,STANDARD,0,0.0,20,304.51519775390625,3,304.51519775390625
4,R_A5,1.0,31,2018-01-01,1694.5384521484375,STANDARD,0,0.0,20,304.7454833984375,4,304.7454833984375
5,R_A5,1.0,31,2018-01-01,1696.968505859375,STANDARD,0,0.0,20,304.97576904296875,5,304.97576904296875
6,R_A5,1.0,31,2018-01-01,1699.3984375,STANDARD,0,0.0,20,305.2060241699219,6,305.2060241699219
7,R_A5,1.0,31,2018-01-01,1701.828369140625,STANDARD,0,0.0,20,305.7420959472656,7,305.7420959472656
8,R_A5,1.0,31,2018-01-01,1704.25830078125,STANDARD,0,0.0,20,305.6665954589844,8,305.6665954589844
9,R_A5,1.0,31,2018-01-01,1693.3314208984375,STANDARD,0,0.0,21,304.6312255859375,11,304.6312255859375
10,R_A5,1.0,31,2018-01-01,1695.3560791015625,STANDARD,0,0.0,21,304.8230895996094,12,304.8230895996094
11,R_A5,1.0,31,2018-01-01,1697.3807373046875,STANDARD,0,0.0,21,305.01495361328125,13,305.01495361328125
12,R_A5,1.0,31,2018-01-01,1699.4053955078125,STANDARD,0,0.0,21,305.2187805175781,14,305.2187805175781
13,R_A5,1.0,31,2018-01-01,1701.4300537109375,STANDARD,0,0.0,21,305.41064453125,15,305.41064453125
14,R_A5,1.0,31,2018-01-01,1703.45458984375,STANDARD,0,0.0,21,305.6025390625,16,305.6025390625
15,R_A5,1.0,31,2018-01-01,1705.479248046875,STANDARD,0,0.0,21,305.9394226074219,17,305.9394226074219
16,R_A5,1.0,31,2018-01-01,1707.5040283203125,STANDARD,0,0.0,21,306.13128662109375,18,306.13128662109375
17,R_A5,1.0,31,2018-01-01,1709.386474609375,STANDARD,0,0.0,21,306.3097229003906,19,306.3097229003906
18,R_A5,1.0,31,2018-01-01,1710.6378173828125,STANDARD,0,0.0,21,306.42828369140625,20,306.42828369140625
19,R_A5,1.0,31,2018-01-01,1712.465087890625,STANDARD,0,0.0,21,306.4443664550781,26,306.4443664550781
20,R_A5,1.0,31,2018-01-01,1715.357421875,STANDARD,0,0.0,21,306.718505859375,27,306.718505859375
21,R_A5,1.0,31,2018-01-01,1718.249755859375,STANDARD,0,0.0,21,307.29840087890625,28,307.29840087890625
22,R_A5,1.0,31,2018-01-01,1721.14208984375,STANDARD,0,0.0,21,307.5725402832031,29,307.5725402832031
23,R_A5,1.0,31,2018-01-01,1724.034423828125,STANDARD,0,0.0,21,307.8466491699219,30,307.8466491699219
1,R_A6,1.0,17,2018-01-01,1694.3812255859375,STANDARD,0,0.0,42,305.0363464355469,1,305.0363464355469
2,R_A6,1.0,17,2018-01-01,1695.915283203125,STANDARD,0,0.0,42,305.1817321777344,2,305.1817321777344
3,R_A6,1.0,17,2018-01-01,1697.4493408203125,STANDARD,0,0.0,42,305.3271179199219,3,305.3271179199219
4,R_A6,1.0,17,2018-01-01,1698.9833984375,STANDARD,0,0.0,42,305.4725036621094,4,305.4725036621094
5,R_A6,1.0,17,2018-01-01,1700.517578125,STANDARD,0,0.0,42,305.6178894042969,5,305.6178894042969
6,R_A6,1.0,17,2018-01-01,1702.0516357421875,STANDARD,0,0.0,42,305.7632751464844,6,305.7632751464844
7,R_A6,1.0,17,2018-01-01,1703.585693359375,STANDARD,0,0.0,42,305.609619140625,7,305.609619140625
8,R_A6,1.0,17,2018-01-01,1705.119873046875,STANDARD,0,0.0,42,305.7550048828125,8,305.7550048828125
9,R_A6,1.0,17,2018-01-01,1706.6539306640625,STANDARD,0,0.0,42,306.1994323730469,9,306.1994323730469
10,R_A6,1.0,17,2018-01-01,1708.18798828125,STANDARD,0,0.0,42,306.0390319824219,10,306.0390319824219
11,R_A6,1.0,17,2018-01-01,1710.0782470703125,STANDARD,0,0.0,42,306.2182922363281,11,306.2182922363281
12,R_A6,1.0,17,2018-01-01,1712.32470703125,STANDARD,0,0.0,42,306.4311828613281,12,306.4311828613281
13,R_A6,1.0,17,2018-01-01,1714.571044921875,STANDARD,0,0.0,42,306.65606689453125,13,306.65606689453125
14,R_A6,1.0,17,2018-01-01,1716.8175048828125,STANDARD,0,0.0,42,306.86895751953125,14,306.86895751953125
15,R_A6,1.0,17,2018-01-01,1719.06396484375,STANDARD,0,0.0,42,307.0818786621094,15,307.0818786621094
16,R_A6,1.0,17,2018-01-01,1721.3104248046875,STANDARD,0,0.0,42,307.4397888183594,16,307.4397888183594
17,R_A6,1.0,17,2018-01-01,1723.556884765625,STANDARD,0,0.0,42,307.6527099609375,17,307.6527099609375
18,R_A6,1.0,17,2018-01-01,1725.22314453125,STANDARD,0,0.0,42,307.8106384277344,18,307.8106384277344
19,R_A6,1.0,17,2018-01-01,1726.6201171875,STANDARD,0,0.0,42,307.7859191894531,26,307.7859191894531
20,R_A6,1.0,17,2018-01-01,1728.3280029296875,STANDARD,0,0.0,42,308.2535705566406,27,308.2535705566406
21,R_A6,1.0,17,2018-01-01,1730.0357666015625,STANDARD,0,0.0,42,308.4154357910156,28,308.4154357910156
22,R_A6,1.0,17,2018-01-01,1731.7435302734375,STANDARD,0,0.0,42,308.5773010253906,29,308.5773010253906
23,R_A6,1.0,17,2018-01-01,1733.451416015625,STANDARD,0,0.0,42,308.4333801269531,30,308.4333801269531
1,R_A2,0.05428820848464966,22,2018-03-01,1641.2357177734375,STANDARD,0,0.0,30,298.6217346191406,1,298.6217346191406
2,R_A2,0.05705596134066582,22,2018-03-01,1643.03466796875,STANDARD,0,0.0,30,298.7423400878906,2,298.7423400878906
3,R_A2,0.060452330857515335,22,2018-03-01,1644.83349609375,STANDARD,0,0.0,30,298.8629150390625,3,298.8629150390625
4,R_A2,0.0666172131896019,22,2018-03-01,1646.63232421875,STANDARD,0,0.0,30,298.9835205078125,4,298.9835205078125
5,R_A2,0.06930054724216461,22,2018-03-01,1648.43115234375,STANDARD,0,0.0,30,299.1041564941406,5,299.1041564941406
6,R_A2,0.2972336411476135,22,2018-03-01,1650.2298583984375,STANDARD,0,0.0,30,299.2698974609375,6,299.2698974609375
7,R_A2,0.6496863961219788,22,2018-03-01,1652.0286865234375,STANDARD,0,0.0,30,299.3171691894531,7,299.3171691894531
8,R_A2,0.19646596908569336,22,2018-03-01,1653.8275146484375,STANDARD,0,0.0,30,299.4386291503906,8,299.4386291503906
9,R_A2,0.648372232913971,22,2018-03-01,1655.62646484375,STANDARD,0,0.0,30,299.5592346191406,9,299.5592346191406
10,R_A2,0.6483346223831177,22,2018-03-01,1657.42529296875,STANDARD,0,0.0,30,299.81005859375,10,299.81005859375
11,R_A2,0.07722735404968262,22,2018-03-01,1659.307373046875,STANDARD,0,0.0,30,299.9897155761719,11,299.9897155761719
12,R_A2,0.07859789580106735,22,2018-03-01,1661.2725830078125,STANDARD,0,0.0,30,300.0925598144531,12,300.0925598144531
13,R_A2,0.44008052349090576,22,2018-03-01,1663.23779296875,STANDARD,0,0.0,30,300.3719177246094,13,300.3719177246094
14,R_A2,0.48419350385665894,22,2018-03-01,1665.203125,STANDARD,0,0.0,30,300.5525207519531,14,300.5525207519531
15,R_A2,0.6765408515930176,22,2018-03-01,1667.1683349609375,STANDARD,0,0.0,30,300.68389892578125,15,300.68389892578125
16,R_A2,0.9524611830711365,22,2018-03-01,1669.133544921875,STANDARD,0,0.0,30,300.81451416015625,16,300.81451416015625
17,R_A2,0.9512857794761658,22,2018-03-01,1671.098876953125,STANDARD,0,0.0,30,300.9458923339844,17,300.9458923339844
18,R_A2,0.9509791135787964,22,2018-03-01,1673.018798828125,STANDARD,0,0.0,30,301.07440185546875,18,301.07440185546875
19,R_A2,0.9691150188446045,22,2018-03-01,1674.1658935546875,STANDARD,0,0.0,30,301.15130615234375,19,301.15130615234375
20,R_A2,0.6484634280204773,22,2018-03-01,1675.3458251953125,STANDARD,0,0.0,30,301.8734130859375,26,301.8734130859375
21,R_A2,0.16883708536624908,22,2018-03-01,1674.1456298828125,STANDARD,0,0.0,29,301.4548034667969,26,301.4548034667969
22,R_A2,1.0,22,2018-03-01,1675.883544921875,STANDARD,0,1.6044578859952807e-12,29,302.2019958496094,27,302.2019958496094
23,R_A2,1.0,22,2018-03-01,1677.6214599609375,STANDARD,0,6.083948991299215e-14,29,302.8201904296875,28,302.8201904296875
24,R_A2,1.0,22,2018-03-01,1679.359375,STANDARD,0,1.9081928589591724e-15,29,303.468994140625,29,303.468994140625
25,R_A2,1.0,22,2018-03-01,1681.0972900390625,STANDARD,0,2.9436729551647806e-16,29,303.70245361328125,30,303.70245361328125
1,R_A5,1.0,31,2018-04-28,1687.248779296875,STANDARD,0,0.0,20,279.4120788574219,1,279.4120788574219
2,R_A5,1.0,31,2018-04-28,1689.6785888671875,STANDARD,0,0.0,20,279.64111328125,2,279.64111328125
3,R_A5,1.0,31,2018-04-28,1692.1085205078125,STANDARD,0,0.0,20,279.8708190917969,3,279.8708190917969
