CONIPOS,SGAS,DRAWDOWN,DATE,CONKPOS,CONJPOS,WELL,CONIDX,CONBPRES,PRESSURE,DEPTH,WELLMODEL,SWAT
22,0.0,0,2018-01-01,1,30,R_A2,1,300.4866027832031,300.4866027832031,1637.1024169921875,STANDARD,0.05320088937878609
22,0.0,0,2018-01-01,2,30,R_A2,2,300.60247802734375,300.60247802734375,1638.83056640625,STANDARD,0.05346883088350296
22,0.0,0,2018-01-01,3,30,R_A2,3,300.7183532714844,300.7183532714844,1640.55859375,STANDARD,0.056778278201818466
22,0.0,0,2018-01-01,4,30,R_A2,4,300.834228515625,300.834228515625,1642.2867431640625,STANDARD,0.060487423092126846
22,0.0,0,2018-01-01,5,30,R_A2,5,300.9501037597656,300.9501037597656,1644.0147705078125,STANDARD,0.063426673412323
22,0.0,0,2018-01-01,6,30,R_A2,6,301.06597900390625,301.06597900390625,1645.742919921875,STANDARD,0.29260146617889404
22,0.0,0,2018-01-01,7,30,R_A2,7,301.1818542480469,301.1818542480469,1647.470947265625,STANDARD,0.8624885678291321
22,0.0,0,2018-01-01,8,30,R_A2,8,301.2977600097656,301.2977600097656,1649.198974609375,STANDARD,0.8537256717681885
22,0.0,0,2018-01-01,9,30,R_A2,9,301.41363525390625,301.41363525390625,1650.9271240234375,STANDARD,0.8556324243545532
22,0.0,0,2018-01-01,10,30,R_A2,10,301.529541015625,301.529541015625,1652.6552734375,STANDARD,0.8668298125267029
22,0.0,0,2018-01-01,11,30,R_A2,11,301.65478515625,301.65478515625,1654.5224609375,STANDARD,0.06514620035886765
22,0.0,0,2018-01-01,12,30,R_A2,12,301.7893371582031,301.7893371582031,1656.5286865234375,STANDARD,0.1625281572341919
22,0.0,0,2018-01-01,13,30,R_A2,13,301.92388916015625,301.92388916015625,1658.534912109375,STANDARD,0.4201986789703369
22,0.0,0,2018-01-01,14,30,R_A2,14,302.0584716796875,302.0584716796875,1660.541015625,STANDARD,0.45459386706352234
22,0.0,0,2018-01-01,15,30,R_A2,15,302.1930236816406,302.1930236816406,1662.5472412109375,STANDARD,0.9116339087486267
22,0.0,0,2018-01-01,16,30,R_A2,16,302.3276062011719,302.3276062011719,1664.553466796875,STANDARD,0.8881615400314331
22,0.0,0,2018-01-01,16,29,R_A2,17,302.866455078125,302.866455078125,1672.585693359375,STANDARD,0.9504539966583252
22,0.0,0,2018-01-01,17,29,R_A2,18,303.0113830566406,303.0113830566406,1674.74609375,STANDARD,0.9561561942100525
22,0.0,0,2018-01-01,18,29,R_A2,19,303.1131286621094,303.1131286621094,1676.2628173828125,STANDARD,0.9808903336524963
22,0.0,0,2018-01-01,26,29,R_A2,20,303.1996765136719,303.1996765136719,1677.552734375,STANDARD,0.7897859811782837
22,0.0,0,2018-01-01,27,29,R_A2,21,303.3141784667969,303.3141784667969,1679.2589111328125,STANDARD,0.8722809553146362
22,0.0,0,2018-01-01,28,29,R_A2,22,303.7650146484375,303.7650146484375,1680.965087890625,STANDARD,1.0
22,0.0,0,2018-01-01,29,29,R_A2,23,303.9266662597656,303.9266662597656,1682.6712646484375,STANDARD,1.0
22,0.0,0,2018-01-01,30,29,R_A2,24,304.08837890625,304.08837890625,1684.3775634765625,STANDARD,1.0
28,0.0,0,2018-01-01,1,41,R_A3,1,298.5893249511719,298.5893249511719,1608.799072265625,STANDARD,0.6481541991233826
28,0.0,0,2018-01-01,2,41,R_A3,2,298.72467041015625,298.72467041015625,1610.818115234375,STANDARD,0.11823459714651108
28,0.0,0,2018-01-01,3,41,R_A3,3,298.8599853515625,298.8599853515625,1612.8372802734375,STANDARD,0.11823459714651108
28,0.0,0,2018-01-01,4,41,R_A3,4,298.99530029296875,298.99530029296875,1614.8564453125,STANDARD,0.6481541991233826
28,0.0,0,2018-01-01,5,41,R_A3,5,299.1306457519531,299.1306457519531,1616.8756103515625,STANDARD,0.8186854720115662
29,0.0,0,2018-01-01,5,41,R_A3,6,298.5937805175781,298.5937805175781,1608.8656005859375,STANDARD,0.8150669932365417
29,0.0,0,2018-01-01,6,41,R_A3,7,298.72711181640625,298.72711181640625,1610.8548583984375,STANDARD,0.6481541991233826
29,0.0,0,2018-01-01,7,41,R_A3,8,298.8604431152344,298.8604431152344,1612.8441162109375,STANDARD,0.19613005220890045
29,0.0,0,2018-01-01,8,41,R_A3,9,298.9937744140625,298.9937744140625,1614.8333740234375,STANDARD,0.1982475370168686
29,0.0,0,2018-01-01,9,41,R_A3,10,299.1271057128906,299.1271057128906,1616.8226318359375,STANDARD,0.7994049787521362
29,0.0,0,2018-01-01,10,41,R_A3,11,299.26043701171875,299.26043701171875,1618.81201171875,STANDARD,0.797061026096344
29,0.0,0,2018-01-01,11,41,R_A3,12,299.40802001953125,299.40802001953125,1621.013671875,STANDARD,0.04849889129400253
29,0.0,0,2018-01-01,12,41,R_A3,13,299.56982421875,299.56982421875,1623.427734375,STANDARD,0.0552743524312973
29,0.0,0,2018-01-01,13,41,R_A3,14,299.7316589355469,299.7316589355469,1625.841796875,STANDARD,0.37763288617134094
29,0.0,0,2018-01-01,14,41,R_A3,15,299.89349365234375,299.89349365234375,1628.255859375,STANDARD,0.3510434925556183
29,0.0,0,2018-01-01,15,41,R_A3,16,300.05401611328125,300.05401611328125,1630.650390625,STANDARD,0.7966238856315613
