WELLMODEL,DATE,CONIDX,CONBPRES,CONIPOS,WELL,SGAS,DEPTH,CONKPOS,PRESSURE,CONJPOS,SWAT,DRAWDOWN
STANDARD,2018-01-01,1,300.8034362792969,22,R_A2,0.0,1641.625732421875,1,300.8034362792969,30,0.054124828428030014,0
STANDARD,2018-01-01,2,300.919677734375,22,R_A2,0.0,1643.3590087890625,2,300.919677734375,30,0.05484090372920036,0
STANDARD,2018-01-01,3,301.035888671875,22,R_A2,0.0,1645.0921630859375,3,301.035888671875,30,0.06004822254180908,0
STANDARD,2018-01-01,4,301.1521301269531,22,R_A2,0.0,1646.825439453125,4,301.1521301269531,30,0.06481872498989105,0
STANDARD,2018-01-01,5,301.26837158203125,22,R_A2,0.0,1648.5587158203125,5,301.26837158203125,30,0.06824412196874619,0
STANDARD,2018-01-01,6,301.3846130371094,22,R_A2,0.0,1650.2919921875,6,301.3846130371094,30,0.3055543899536133,0
STANDARD,2018-01-01,7,301.5008544921875,22,R_A2,0.0,1652.0252685546875,7,301.5008544921875,30,0.8799670934677124,0
STANDARD,2018-01-01,8,301.6170959472656,22,R_A2,0.0,1653.758544921875,8,301.6170959472656,30,0.856923520565033,0
STANDARD,2018-01-01,9,301.73333740234375,22,R_A2,0.0,1655.4918212890625,9,301.73333740234375,30,0.6481541991233826,0
STANDARD,2018-01-01,10,301.8495788574219,22,R_A2,0.0,1657.22509765625,10,301.8495788574219,30,0.6481541991233826,0
STANDARD,2018-01-01,11,301.97393798828125,22,R_A2,0.0,1659.078857421875,11,301.97393798828125,30,0.0702161118388176,0
STANDARD,2018-01-01,12,302.1063537597656,22,R_A2,0.0,1661.052978515625,12,302.1063537597656,30,0.16322976350784302,0
STANDARD,2018-01-01,13,302.23876953125,22,R_A2,0.0,1663.0272216796875,13,302.23876953125,30,0.4331784248352051,0
STANDARD,2018-01-01,14,302.3712158203125,22,R_A2,0.0,1665.00146484375,14,302.3712158203125,30,0.4743291437625885,0
STANDARD,2018-01-01,15,302.5036315917969,22,R_A2,0.0,1666.9757080078125,15,302.5036315917969,30,0.6431052088737488,0
STANDARD,2018-01-01,16,302.6360778808594,22,R_A2,0.0,1668.9498291015625,16,302.6360778808594,30,0.9264386892318726,0
