SGAS,PRESSURE,WELL,DEPTH,CONIPOS,CONIDX,DRAWDOWN,CONKPOS,SWAT,WELLMODEL,DATE,CONJPOS,CONBPRES
0.0,300.732177734375,R_A2,1641.1112060546875,22,1,0,1,0.05678460747003555,STANDARD,2018-01-01,30,300.732177734375
0.0,300.8492736816406,R_A2,1642.8575439453125,22,2,0,2,0.057038500905036926,STANDARD,2018-01-01,30,300.8492736816406
0.0,300.96636962890625,R_A2,1644.603759765625,22,3,0,3,0.06014963239431381,STANDARD,2018-01-01,30,300.96636962890625
0.0,301.0834655761719,R_A2,1646.35009765625,22,4,0,4,0.06582232564687729,STANDARD,2018-01-01,30,301.0834655761719
0.0,301.2005920410156,R_A2,1648.096435546875,22,5,0,5,0.06821168214082718,STANDARD,2018-01-01,30,301.2005920410156
0.0,301.31768798828125,R_A2,1649.8427734375,22,6,0,6,0.31452634930610657,STANDARD,2018-01-01,30,301.31768798828125
0.0,301.434814453125,R_A2,1651.589111328125,22,7,0,7,0.8901733756065369,STANDARD,2018-01-01,30,301.434814453125
0.0,301.55194091796875,R_A2,1653.3353271484375,22,8,0,8,0.8829505443572998,STANDARD,2018-01-01,30,301.55194091796875
0.0,301.6690368652344,R_A2,1655.0816650390625,22,9,0,9,0.8921242952346802,STANDARD,2018-01-01,30,301.6690368652344
0.0,301.7861633300781,R_A2,1656.827880859375,22,10,0,10,0.8980304598808289,STANDARD,2018-01-01,30,301.7861633300781
0.0,301.9089660644531,R_A2,1658.6585693359375,22,11,0,11,0.07050813734531403,STANDARD,2018-01-01,30,301.9089660644531
0.0,302.03741455078125,R_A2,1660.573486328125,22,12,0,12,0.07381060719490051,STANDARD,2018-01-01,30,302.03741455078125
0.0,302.16583251953125,R_A2,1662.4884033203125,22,13,0,13,0.43566128611564636,STANDARD,2018-01-01,30,302.16583251953125
0.0,302.2943115234375,R_A2,1664.4033203125,22,14,0,14,0.4875214993953705,STANDARD,2018-01-01,30,302.2943115234375
0.0,302.4227600097656,R_A2,1666.3182373046875,22,15,0,15,0.6563037037849426,STANDARD,2018-01-01,30,302.4227600097656
0.0,302.55120849609375,R_A2,1668.233154296875,22,16,0,16,0.943848192691803,STANDARD,2018-01-01,30,302.55120849609375
0.0,302.80340576171875,R_A2,1671.9923095703125,22,17,0,16,0.9836597442626953,STANDARD,2018-01-01,29,302.80340576171875
0.0,302.9402770996094,R_A2,1674.03271484375,22,18,0,17,0.9732947945594788,STANDARD,2018-01-01,29,302.9402770996094
0.0,303.0723876953125,R_A2,1676.001708984375,22,19,0,18,1.0,STANDARD,2018-01-01,29,303.0723876953125
0.0,303.1501159667969,R_A2,1677.1602783203125,22,20,0,19,1.0,STANDARD,2018-01-01,29,303.1501159667969
0.0,303.2219543457031,R_A2,1678.2308349609375,22,21,0,26,1.0,STANDARD,2018-01-01,29,303.2219543457031
0.0,303.66900634765625,R_A2,1679.9522705078125,22,22,0,27,1.0,STANDARD,2018-01-01,29,303.66900634765625
0.0,303.8321533203125,R_A2,1681.6737060546875,22,23,0,28,1.0,STANDARD,2018-01-01,29,303.8321533203125
0.0,303.9952697753906,R_A2,1683.3951416015625,22,24,0,29,1.0,STANDARD,2018-01-01,29,303.9952697753906
0.0,304.15838623046875,R_A2,1685.116455078125,22,25,0,30,1.0,STANDARD,2018-01-01,29,304.15838623046875
0.0,298.4869689941406,R_A3,1607.6177978515625,28,1,0,1,0.6481541991233826,STANDARD,2018-01-01,41,298.4869689941406
0.0,298.6123352050781,R_A3,1609.488525390625,28,2,0,2,0.195865198969841,STANDARD,2018-01-01,41,298.6123352050781
0.0,298.7377014160156,R_A3,1611.3592529296875,28,3,0,3,0.18940909206867218,STANDARD,2018-01-01,41,298.7377014160156
0.0,298.86309814453125,R_A3,1613.22998046875,28,4,0,4,0.31505638360977173,STANDARD,2018-01-01,41,298.86309814453125
0.0,298.5567321777344,R_A3,1608.6590576171875,29,5,0,4,0.3626352548599243,STANDARD,2018-01-01,41,298.5567321777344
0.0,298.6864929199219,R_A3,1610.5950927734375,29,6,0,5,0.8186644315719604,STANDARD,2018-01-01,41,298.6864929199219
0.0,298.8162536621094,R_A3,1612.531005859375,29,7,0,6,0.675545871257782,STANDARD,2018-01-01,41,298.8162536621094
0.0,298.94598388671875,R_A3,1614.467041015625,29,8,0,7,0.28958675265312195,STANDARD,2018-01-01,41,298.94598388671875
0.0,299.0757751464844,R_A3,1616.4031982421875,29,9,0,8,0.19876118004322052,STANDARD,2018-01-01,41,299.0757751464844
0.0,299.2055358886719,R_A3,1618.3392333984375,29,10,0,9,0.8056119084358215,STANDARD,2018-01-01,41,299.2055358886719
0.0,299.3352966308594,R_A3,1620.275146484375,29,11,0,10,0.8027801513671875,STANDARD,2018-01-01,41,299.3352966308594
0.0,299.47613525390625,R_A3,1622.376220703125,29,12,0,11,0.0489877387881279,STANDARD,2018-01-01,41,299.47613525390625
0.0,299.6280212402344,R_A3,1624.64208984375,29,13,0,12,0.05665743723511696,STANDARD,2018-01-01,41,299.6280212402344
0.0,299.7799072265625,R_A3,1626.907958984375,29,14,0,13,0.37894052267074585,STANDARD,2018-01-01,41,299.7799072265625
0.0,299.93182373046875,R_A3,1629.173828125,29,15,0,14,0.3585570454597473,STANDARD,2018-01-01,41,299.93182373046875
0.0,300.08111572265625,R_A3,1631.4007568359375,29,16,0,15,0.7957274913787842,STANDARD,2018-01-01,41,300.08111572265625
0.0,300.1797180175781,R_A3,1632.8717041015625,29,17,0,16,0.7870028018951416,STANDARD,2018-01-01,41,300.1797180175781
0.0,300.31488037109375,R_A3,1634.887451171875,29,18,0,26,0.18900266289710999,STANDARD,2018-01-01,41,300.31488037109375
0.0,300.53460693359375,R_A3,1638.164794921875,29,19,0,27,0.04400261491537094,STANDARD,2018-01-01,41,300.53460693359375
0.0,300.7543640136719,R_A3,1641.4420166015625,29,20,0,28,0.1178213432431221,STANDARD,2018-01-01,41,300.7543640136719
0.0,300.97412109375,R_A3,1644.7193603515625,29,21,0,29,0.7605279088020325,STANDARD,2018-01-01,41,300.97412109375
0.0,301.19390869140625,R_A3,1647.9967041015625,29,22,0,30,0.06353498995304108,STANDARD,2018-01-01,41,301.19390869140625
0.0,299.9032287597656,R_A4,1628.7471923828125,30,1,0,1,0.0491924025118351,STANDARD,2018-01-01,52,299.9032287597656
0.0,299.7961730957031,R_A4,1627.150390625,31,2,0,1,0.05000025033950806,STANDARD,2018-01-01,52,299.7961730957031
0.0,299.9275817871094,R_A4,1629.1107177734375,31,3,0,2,0.050196949392557144,STANDARD,2018-01-01,52,299.9275817871094
0.0,300.0589904785156,R_A4,1631.0709228515625,31,4,0,3,0.051877956837415695,STANDARD,2018-01-01,52,300.0589904785156
0.0,300.1904296875,R_A4,1633.03125,31,5,0,4,0.05439947172999382,STANDARD,2018-01-01,52,300.1904296875
0.0,300.22686767578125,R_A4,1633.5748291015625,32,6,0,4,0.055354803800582886,STANDARD,2018-01-01,52,300.22686767578125
0.0,300.25714111328125,R_A4,1634.0263671875,32,7,0,4,0.05510095879435539,STANDARD,2018-01-01,51,300.25714111328125
0.0,300.4527893066406,R_A4,1636.9444580078125,33,8,0,4,0.05951916426420212,STANDARD,2018-01-01,51,300.4527893066406
0.0,300.7023010253906,R_A4,1640.6656494140625,33,9,0,4,0.0597793310880661,STANDARD,2018-01-01,50,300.7023010253906
0.0,300.6437072753906,R_A4,1639.79150390625,34,10,0,4,0.061634473502635956,STANDARD,2018-01-01,50,300.6437072753906
0.0,300.5649719238281,R_A4,1638.617431640625,35,11,0,4,0.0602334700524807,STANDARD,2018-01-01,50,300.5649719238281
0.0,300.85198974609375,R_A4,1642.89794921875,35,12,0,4,0.12142310291528702,STANDARD,2018-01-01,49,300.85198974609375
0.0,301.0700378417969,R_A4,1646.1497802734375,36,13,0,30,0.6481541991233826,STANDARD,2018-01-01,49,301.0700378417969
0.0,300.6617736816406,R_A4,1640.0611572265625,36,14,0,29,0.6571624279022217,STANDARD,2018-01-01,49,300.6617736816406
0.0,300.6580505371094,R_A4,1640.005859375,36,15,0,29,0.18067918717861176,STANDARD,2018-01-01,48,300.6580505371094
0.0,301.0503234863281,R_A4,1645.8558349609375,37,16,0,29,0.700080156326294,STANDARD,2018-01-01,48,301.0503234863281
0.0,301.1966552734375,R_A4,1648.03759765625,38,17,0,29,0.6481541991233826,STANDARD,2018-01-01,48,301.1966552734375
0.0,301.5785217285156,R_A4,1653.731689453125,38,18,0,29,0.6481541991233826,STANDARD,2018-01-01,47,301.5785217285156
0.0,301.96258544921875,R_A4,1659.4580078125,38,19,0,30,0.1049552857875824,STANDARD,2018-01-01,47,301.96258544921875
0.0,303.78106689453125,R_A5,1684.361572265625,31,1,0,1,1.0,STANDARD,2018-01-01,20,303.78106689453125
0.0,303.9864196777344,R_A5,1686.528564453125,31,2,0,2,1.0,STANDARD,2018-01-01,20,303.9864196777344
0.0,304.1917724609375,R_A5,1688.6956787109375,31,3,0,3,1.0,STANDARD,2018-01-01,20,304.1917724609375
0.0,304.3971252441406,R_A5,1690.8626708984375,31,4,0,4,1.0,STANDARD,2018-01-01,20,304.3971252441406
0.0,304.6025085449219,R_A5,1693.02978515625,31,5,0,5,1.0,STANDARD,2018-01-01,20,304.6025085449219
0.0,304.8146057128906,R_A5,1695.19677734375,31,6,0,6,1.0,STANDARD,2018-01-01,20,304.8146057128906
0.0,305.31903076171875,R_A5,1697.3638916015625,31,7,0,7,1.0,STANDARD,2018-01-01,20,305.31903076171875
0.0,304.8907470703125,R_A5,1692.8447265625,31,8,0,7,1.0,STANDARD,2018-01-01,21,304.8907470703125
