SWAT,DATE,DRAWDOWN,CONIDX,CONIPOS,CONJPOS,CONBPRES,WELLMODEL,SGAS,CONKPOS,PRESSURE,WELL,DEPTH
0.05644302815198898,2018-01-01,0,1,22,30,300.7952575683594,STANDARD,0.0,1,300.7952575683594,R_A2,1642.5015869140625
0.059703338891267776,2018-01-01,0,2,22,30,300.91571044921875,STANDARD,0.0,2,300.91571044921875,R_A2,1644.297607421875
0.061725128442049026,2018-01-01,0,3,22,30,301.0361633300781,STANDARD,0.0,3,301.0361633300781,R_A2,1646.09375
0.06641566008329391,2018-01-01,0,4,22,30,301.1565856933594,STANDARD,0.0,4,301.1565856933594,R_A2,1647.889892578125
0.07015953212976456,2018-01-01,0,5,22,30,301.27703857421875,STANDARD,0.0,5,301.27703857421875,R_A2,1649.68603515625
0.3172728717327118,2018-01-01,0,6,22,30,301.3974914550781,STANDARD,0.0,6,301.3974914550781,R_A2,1651.4820556640625
0.9020305871963501,2018-01-01,0,7,22,30,301.5179443359375,STANDARD,0.0,7,301.5179443359375,R_A2,1653.278076171875
0.887377142906189,2018-01-01,0,8,22,30,301.6383972167969,STANDARD,0.0,8,301.6383972167969,R_A2,1655.07421875
0.9054141044616699,2018-01-01,0,9,22,30,301.7588806152344,STANDARD,0.0,9,301.7588806152344,R_A2,1656.870361328125
0.9203821420669556,2018-01-01,0,10,22,30,301.87933349609375,STANDARD,0.0,10,301.87933349609375,R_A2,1658.6663818359375
0.07735085487365723,2018-01-01,0,11,22,30,302.0103454589844,STANDARD,0.0,11,302.0103454589844,R_A2,1660.6197509765625
0.076541967689991,2018-01-01,0,12,22,30,302.15191650390625,STANDARD,0.0,12,302.15191650390625,R_A2,1662.730224609375
0.4601868689060211,2018-01-01,0,13,22,30,302.2934875488281,STANDARD,0.0,13,302.2934875488281,R_A2,1664.8408203125
0.5130798816680908,2018-01-01,0,14,22,30,302.43505859375,STANDARD,0.0,14,302.43505859375,R_A2,1666.9512939453125
0.9706462621688843,2018-01-01,0,15,22,30,302.57666015625,STANDARD,0.0,15,302.57666015625,R_A2,1669.0618896484375
0.9902587532997131,2018-01-01,0,16,22,30,302.7182312011719,STANDARD,0.0,16,302.7182312011719,R_A2,1671.17236328125
0.9668916463851929,2018-01-01,0,17,22,30,302.8598327636719,STANDARD,0.0,17,302.8598327636719,R_A2,1673.2828369140625
0.9971649646759033,2018-01-01,0,18,22,30,302.9814758300781,STANDARD,0.0,18,302.9814758300781,R_A2,1675.09619140625
0.6481541991233826,2018-01-01,0,19,22,30,303.10076904296875,STANDARD,0.0,25,303.10076904296875,R_A2,1676.8741455078125
1.0,2018-01-01,0,20,22,30,303.5470275878906,STANDARD,0.0,26,303.5470275878906,R_A2,1678.6649169921875
1.0,2018-01-01,0,21,22,29,303.5674743652344,STANDARD,0.0,26,303.5674743652344,R_A2,1678.8807373046875
1.0,2018-01-01,0,22,22,29,303.7387390136719,STANDARD,0.0,27,303.7387390136719,R_A2,1680.6878662109375
1.0,2018-01-01,0,23,22,29,303.90997314453125,STANDARD,0.0,28,303.90997314453125,R_A2,1682.4949951171875
1.0,2018-01-01,0,24,22,29,304.08123779296875,STANDARD,0.0,29,304.08123779296875,R_A2,1684.3021240234375
0.26722803711891174,2018-01-01,0,1,28,41,298.4385681152344,STANDARD,0.0,1,298.4385681152344,R_A3,1607.34521484375
0.11823459714651108,2018-01-01,0,2,28,41,298.5704345703125,STANDARD,0.0,2,298.5704345703125,R_A3,1609.312744140625
0.14830587804317474,2018-01-01,0,3,29,41,298.16943359375,STANDARD,0.0,2,298.16943359375,R_A3,1603.3287353515625
0.13138195872306824,2018-01-01,0,4,29,41,298.3089294433594,STANDARD,0.0,3,298.3089294433594,R_A3,1605.410400390625
0.36484494805336,2018-01-01,0,5,29,41,298.44842529296875,STANDARD,0.0,4,298.44842529296875,R_A3,1607.4920654296875
0.8122345209121704,2018-01-01,0,6,29,41,298.5879211425781,STANDARD,0.0,5,298.5879211425781,R_A3,1609.57373046875
0.6481541991233826,2018-01-01,0,7,29,41,298.7274475097656,STANDARD,0.0,6,298.7274475097656,R_A3,1611.6553955078125
0.19731836020946503,2018-01-01,0,8,29,41,298.866943359375,STANDARD,0.0,7,298.866943359375,R_A3,1613.737060546875
0.19858159124851227,2018-01-01,0,9,29,41,299.0064697265625,STANDARD,0.0,8,299.0064697265625,R_A3,1615.8187255859375
0.8058067560195923,2018-01-01,0,10,29,41,299.14599609375,STANDARD,0.0,9,299.14599609375,R_A3,1617.900390625
0.8130170702934265,2018-01-01,0,11,29,41,299.2855224609375,STANDARD,0.0,10,299.2855224609375,R_A3,1619.9820556640625
0.0483652763068676,2018-01-01,0,12,29,41,299.43084716796875,STANDARD,0.0,11,299.43084716796875,R_A3,1622.150146484375
0.055496539920568466,2018-01-01,0,13,29,41,299.58197021484375,STANDARD,0.0,12,299.58197021484375,R_A3,1624.4044189453125
0.37107113003730774,2018-01-01,0,14,29,41,299.73309326171875,STANDARD,0.0,13,299.73309326171875,R_A3,1626.6588134765625
0.14300291240215302,2018-01-01,0,15,29,41,299.88421630859375,STANDARD,0.0,14,299.88421630859375,R_A3,1628.9130859375
0.5058586597442627,2018-01-01,0,16,29,41,300.03533935546875,STANDARD,0.0,15,300.03533935546875,R_A3,1631.16748046875
0.8169367909431458,2018-01-01,0,17,29,41,300.1617431640625,STANDARD,0.0,16,300.1617431640625,R_A3,1633.052978515625
0.18867959082126617,2018-01-01,0,18,29,41,300.3294677734375,STANDARD,0.0,25,300.3294677734375,R_A3,1635.5543212890625
0.04490477591753006,2018-01-01,0,19,29,41,300.56317138671875,STANDARD,0.0,26,300.56317138671875,R_A3,1639.040283203125
0.05190166085958481,2018-01-01,0,20,29,41,300.79693603515625,STANDARD,0.0,27,300.79693603515625,R_A3,1642.5262451171875
0.6481541991233826,2018-01-01,0,21,29,41,301.0306701660156,STANDARD,0.0,28,301.0306701660156,R_A3,1646.01220703125
0.18931181728839874,2018-01-01,0,22,29,41,301.26446533203125,STANDARD,0.0,29,301.26446533203125,R_A3,1649.4981689453125
0.05405738577246666,2018-01-01,0,1,30,52,299.9979248046875,STANDARD,0.0,1,299.9979248046875,R_A4,1630.6094970703125
0.04940345883369446,2018-01-01,0,2,31,52,299.7019958496094,STANDARD,0.0,1,299.7019958496094,R_A4,1626.1951904296875
0.04958449304103851,2018-01-01,0,3,31,52,299.8377380371094,STANDARD,0.0,2,299.8377380371094,R_A4,1628.2200927734375
0.05145430937409401,2018-01-01,0,4,31,52,299.9735107421875,STANDARD,0.0,3,299.9735107421875,R_A4,1630.2451171875
0.05461130291223526,2018-01-01,0,5,31,52,300.1092529296875,STANDARD,0.0,4,300.1092529296875,R_A4,1632.2701416015625
0.05706183239817619,2018-01-01,0,6,31,52,300.2450256347656,STANDARD,0.0,5,300.2450256347656,R_A4,1634.295166015625
0.05602489411830902,2018-01-01,0,7,32,52,300.20947265625,STANDARD,0.0,5,300.20947265625,R_A4,1633.7647705078125
0.10700101405382156,2018-01-01,0,8,32,52,300.3329162597656,STANDARD,0.0,6,300.3329162597656,R_A4,1635.6060791015625
0.12393133342266083,2018-01-01,0,9,32,51,300.39068603515625,STANDARD,0.0,6,300.39068603515625,R_A4,1636.467529296875
0.056333720684051514,2018-01-01,0,10,32,51,300.2700500488281,STANDARD,0.0,5,300.2700500488281,R_A4,1634.6683349609375
0.05909594148397446,2018-01-01,0,11,33,51,300.40850830078125,STANDARD,0.0,5,300.40850830078125,R_A4,1636.7333984375
0.06303322315216064,2018-01-01,0,12,33,50,300.7147216796875,STANDARD,0.0,5,300.7147216796875,R_A4,1641.3001708984375
0.06261776387691498,2018-01-01,0,13,34,50,300.68365478515625,STANDARD,0.0,5,300.68365478515625,R_A4,1640.837158203125
0.13657927513122559,2018-01-01,0,14,34,50,300.56292724609375,STANDARD,0.0,4,300.56292724609375,R_A4,1639.0362548828125
0.10761702805757523,2018-01-01,0,15,35,50,300.7204895019531,STANDARD,0.0,4,300.7204895019531,R_A4,1641.3863525390625
0.23116835951805115,2018-01-01,0,16,35,50,300.6029968261719,STANDARD,0.0,3,300.6029968261719,R_A4,1639.6339111328125
0.1611577868461609,2018-01-01,0,17,35,49,300.86114501953125,STANDARD,0.0,3,300.86114501953125,R_A4,1643.48388671875
0.23422443866729736,2018-01-01,0,18,35,49,300.7441101074219,STANDARD,0.0,2,300.7441101074219,R_A4,1641.73876953125
0.09178978204727173,2018-01-01,0,19,36,49,300.8208312988281,STANDARD,0.0,28,300.8208312988281,R_A4,1642.882568359375
0.05245199427008629,2018-01-01,0,20,36,48,300.82012939453125,STANDARD,0.0,28,300.82012939453125,R_A4,1642.8724365234375
0.0571599043905735,2018-01-01,0,21,37,48,301.11328125,STANDARD,0.0,28,301.11328125,R_A4,1647.2437744140625
0.12015548348426819,2018-01-01,0,22,38,48,301.2567443847656,STANDARD,0.0,28,301.2567443847656,R_A4,1649.383056640625
0.19646722078323364,2018-01-01,0,23,38,47,301.8918762207031,STANDARD,0.0,28,301.8918762207031,R_A4,1658.8531494140625
1.0,2018-01-01,0,1,31,20,303.8667297363281,STANDARD,0.0,1,303.8667297363281,R_A5,1685.265380859375
1.0,2018-01-01,0,2,31,20,304.0826110839844,STANDARD,0.0,2,304.0826110839844,R_A5,1687.543701171875
1.0,2018-01-01,0,3,31,20,304.29852294921875,STANDARD,0.0,3,304.29852294921875,R_A5,1689.8221435546875
1.0,2018-01-01,0,4,31,20,304.5144348144531,STANDARD,0.0,4,304.5144348144531,R_A5,1692.1004638671875
1.0,2018-01-01,0,5,31,20,304.7303466796875,STANDARD,0.0,5,304.7303466796875,R_A5,1694.3787841796875
1.0,2018-01-01,0,6,31,20,304.9462585449219,STANDARD,0.0,6,304.9462585449219,R_A5,1696.6572265625
1.0,2018-01-01,0,7,31,20,305.46795654296875,STANDARD,0.0,7,305.46795654296875,R_A5,1698.935546875
1.0,2018-01-01,0,8,31,20,305.6838684082031,STANDARD,0.0,8,305.6838684082031,R_A5,1701.2139892578125
1.0,2018-01-01,0,9,31,21,305.2304382324219,STANDARD,0.0,11,305.2304382324219,R_A5,1699.654541015625
1.0,2018-01-01,0,10,31,21,305.4166564941406,STANDARD,0.0,12,305.4166564941406,R_A5,1701.61962890625
1.0,2018-01-01,0,11,31,21,305.6148681640625,STANDARD,0.0,13,305.6148681640625,R_A5,1703.5849609375
1.0,2018-01-01,0,12,31,21,305.8011169433594,STANDARD,0.0,14,305.8011169433594,R_A5,1705.5501708984375
1.0,2018-01-01,0,13,31,21,305.98736572265625,STANDARD,0.0,15,305.98736572265625,R_A5,1707.5152587890625
1.0,2018-01-01,0,14,31,21,306.318603515625,STANDARD,0.0,16,306.318603515625,R_A5,1709.48046875
1.0,2018-01-01,0,15,31,21,306.5048522949219,STANDARD,0.0,17,306.5048522949219,R_A5,1711.4456787109375
1.0,2018-01-01,0,16,31,21,306.67913818359375,STANDARD,0.0,18,306.67913818359375,R_A5,1713.28466796875
1.0,2018-01-01,0,17,31,21,306.777587890625,STANDARD,0.0,19,306.777587890625,R_A5,1714.3233642578125
1.0,2018-01-01,0,18,31,21,306.74932861328125,STANDARD,0.0,25,306.74932861328125,R_A5,1715.6826171875
1.0,2018-01-01,0,19,31,21,306.972412109375,STANDARD,0.0,26,306.972412109375,R_A5,1718.0367431640625
1.0,2018-01-01,0,20,31,21,307.5013122558594,STANDARD,0.0,27,307.5013122558594,R_A5,1720.390869140625
1.0,2018-01-01,0,21,31,21,307.72442626953125,STANDARD,0.0,28,307.72442626953125,R_A5,1722.744873046875
1.0,2018-01-01,0,22,31,21,307.9475402832031,STANDARD,0.0,29,307.9475402832031,R_A5,1725.098876953125
1.0,2018-01-01,0,1,17,42,305.0855712890625,STANDARD,0.0,1,305.0855712890625,R_A6,1694.900390625
1.0,2018-01-01,0,2,17,42,305.23193359375,STANDARD,0.0,2,305.23193359375,R_A6,1696.4449462890625
1.0,2018-01-01,0,3,17,42,305.3782958984375,STANDARD,0.0,3,305.3782958984375,R_A6,1697.989501953125
1.0,2018-01-01,0,4,17,42,305.524658203125,STANDARD,0.0,4,305.524658203125,R_A6,1699.533935546875
1.0,2018-01-01,0,5,17,42,305.6710510253906,STANDARD,0.0,5,305.6710510253906,R_A6,1701.078369140625
1.0,2018-01-01,0,6,17,42,305.8174133300781,STANDARD,0.0,6,305.8174133300781,R_A6,1702.6229248046875
1.0,2018-01-01,0,7,17,42,305.66473388671875,STANDARD,0.0,7,305.66473388671875,R_A6,1704.16748046875
1.0,2018-01-01,0,8,17,42,305.81109619140625,STANDARD,0.0,8,305.81109619140625,R_A6,1705.7119140625
1.0,2018-01-01,0,9,17,42,306.25653076171875,STANDARD,0.0,9,306.25653076171875,R_A6,1707.2564697265625
1.0,2018-01-01,0,10,17,42,306.09710693359375,STANDARD,0.0,10,306.09710693359375,R_A6,1708.801025390625
1.0,2018-01-01,0,11,17,42,306.279541015625,STANDARD,0.0,11,306.279541015625,R_A6,1710.7244873046875
1.0,2018-01-01,0,12,17,42,306.49774169921875,STANDARD,0.0,12,306.49774169921875,R_A6,1713.0269775390625
1.0,2018-01-01,0,13,17,42,306.7279052734375,STANDARD,0.0,13,306.7279052734375,R_A6,1715.329345703125
1.0,2018-01-01,0,14,17,42,306.9461364746094,STANDARD,0.0,14,306.9461364746094,R_A6,1717.6318359375
1.0,2018-01-01,0,15,17,42,307.1643371582031,STANDARD,0.0,15,307.1643371582031,R_A6,1719.934326171875
1.0,2018-01-01,0,16,17,42,307.527587890625,STANDARD,0.0,16,307.527587890625,R_A6,1722.2366943359375
1.0,2018-01-01,0,17,17,42,307.74578857421875,STANDARD,0.0,17,307.74578857421875,R_A6,1724.5391845703125
1.0,2018-01-01,0,18,17,42,307.8938293457031,STANDARD,0.0,18,307.8938293457031,R_A6,1726.1009521484375
1.0,2018-01-01,0,19,17,42,307.8572998046875,STANDARD,0.0,25,307.8572998046875,R_A6,1727.373046875
1.0,2018-01-01,0,20,17,42,308.3263854980469,STANDARD,0.0,26,308.3263854980469,R_A6,1729.0960693359375
1.0,2018-01-01,0,21,17,42,308.48968505859375,STANDARD,0.0,27,308.48968505859375,R_A6,1730.819091796875
1.0,2018-01-01,0,22,17,42,308.65301513671875,STANDARD,0.0,28,308.65301513671875,R_A6,1732.5421142578125
1.0,2018-01-01,0,23,17,42,308.5105285644531,STANDARD,0.0,29,308.5105285644531,R_A6,1734.2652587890625
0.05647377297282219,2018-03-01,0,1,22,30,297.56005859375,STANDARD,0.0,1,297.56005859375,R_A2,1642.5015869140625
0.059727344661951065,2018-03-01,0,2,22,30,297.680419921875,STANDARD,0.0,2,297.680419921875,R_A2,1644.297607421875
0.06177012249827385,2018-03-01,0,3,22,30,297.80078125,STANDARD,0.0,3,297.80078125,R_A2,1646.09375
0.06649269163608551,2018-03-01,0,4,22,30,297.92120361328125,STANDARD,0.0,4,297.92120361328125,R_A2,1647.889892578125
0.07035066932439804,2018-03-01,0,5,22,30,298.0416259765625,STANDARD,0.0,5,298.0416259765625,R_A2,1649.68603515625
0.31761059165000916,2018-03-01,0,6,22,30,298.1997375488281,STANDARD,0.0,6,298.1997375488281,R_A2,1651.4820556640625
0.9019351005554199,2018-03-01,0,7,22,30,298.32977294921875,STANDARD,0.0,7,298.32977294921875,R_A2,1653.278076171875
0.8872675895690918,2018-03-01,0,8,22,30,298.456787109375,STANDARD,0.0,8,298.456787109375,R_A2,1655.07421875
0.9053329229354858,2018-03-01,0,9,22,30,298.94940185546875,STANDARD,0.0,9,298.94940185546875,R_A2,1656.870361328125
0.9203226566314697,2018-03-01,0,10,22,30,299.4341735839844,STANDARD,0.0,10,299.4341735839844,R_A2,1658.6663818359375
0.07739920169115067,2018-03-01,0,11,22,30,299.5576477050781,STANDARD,0.0,11,299.5576477050781,R_A2,1660.6197509765625
0.07655858993530273,2018-03-01,0,12,22,30,300.11370849609375,STANDARD,0.0,12,300.11370849609375,R_A2,1662.730224609375
0.4603244364261627,2018-03-01,0,13,22,30,300.1390686035156,STANDARD,0.0,13,300.1390686035156,R_A2,1664.8408203125
0.5132723450660706,2018-03-01,0,14,22,30,300.2808837890625,STANDARD,0.0,14,300.2808837890625,R_A2,1666.9512939453125
0.970626950263977,2018-03-01,0,15,22,30,300.4234619140625,STANDARD,0.0,15,300.4234619140625,R_A2,1669.0618896484375
0.9902523159980774,2018-03-01,0,16,22,30,300.5657958984375,STANDARD,0.0,16,300.5657958984375,R_A2,1671.17236328125
0.9668698906898499,2018-03-01,0,17,22,30,300.70770263671875,STANDARD,0.0,17,300.70770263671875,R_A2,1673.2828369140625
0.9971631169319153,2018-03-01,0,18,22,30,300.8293762207031,STANDARD,0.0,18,300.8293762207031,R_A2,1675.09619140625
0.6483141183853149,2018-03-01,0,19,22,30,301.8692932128906,STANDARD,0.0,25,301.8692932128906,R_A2,1676.8741455078125
1.0,2018-03-01,0,20,22,30,302.4947204589844,STANDARD,-4.6647570169339764e-17,26,302.4947204589844,R_A2,1678.6649169921875
1.0,2018-03-01,0,21,22,29,303.31756591796875,STANDARD,-5.236750177126741e-19,26,303.31756591796875,R_A2,1678.8807373046875
1.0,2018-03-01,0,22,22,29,303.2540588378906,STANDARD,-4.83384652737653e-19,27,303.2540588378906,R_A2,1680.6878662109375
1.0,2018-03-01,0,23,22,29,303.0325622558594,STANDARD,-3.188685360139654e-19,28,303.0325622558594,R_A2,1682.4949951171875
1.0,2018-03-01,0,24,22,29,302.6827087402344,STANDARD,-1.2507441812120452e-14,29,302.6827087402344,R_A2,1684.3021240234375
1.0,2018-04-28,0,1,31,20,282.1055908203125,STANDARD,-1.754975609280507e-10,1,282.1055908203125,R_A5,1685.265380859375
1.0,2018-04-28,0,2,31,20,282.32086181640625,STANDARD,-1.522924703012407e-10,2,282.32086181640625,R_A5,1687.543701171875
1.0,2018-04-28,0,3,31,20,282.53582763671875,STANDARD,-1.670385774144023e-10,3,282.53582763671875,R_A5,1689.8221435546875
1.0,2018-04-28,0,4,31,20,282.7503662109375,STANDARD,-5.854550871875475e-11,4,282.7503662109375,R_A5,1692.1004638671875
1.0,2018-04-28,0,5,31,20,282.9656982421875,STANDARD,-6.674667069050955e-11,5,282.9656982421875,R_A5,1694.3787841796875
1.0,2018-04-28,0,6,31,20,283.1817321777344,STANDARD,-1.0329086197469195e-10,6,283.1817321777344,R_A5,1696.6572265625
1.0,2018-04-28,0,7,31,20,283.7254638671875,STANDARD,-1.6513627271175224e-11,7,283.7254638671875,R_A5,1698.935546875
1.0,2018-04-28,0,8,31,20,284.2996826171875,STANDARD,-1.0342997291967748e-11,8,284.2996826171875,R_A5,1701.2139892578125
1.0,2018-04-28,0,9,31,21,278.72186279296875,STANDARD,-3.707134599295614e-10,11,278.72186279296875,R_A5,1699.654541015625
1.0,2018-04-28,0,10,31,21,278.927490234375,STANDARD,-2.054778153182113e-10,12,278.927490234375,R_A5,1701.61962890625
1.0,2018-04-28,0,11,31,21,279.1260681152344,STANDARD,-1.2204728547238197e-11,13,279.1260681152344,R_A5,1703.5849609375
1.0,2018-04-28,0,12,31,21,279.31268310546875,STANDARD,-2.5855605850777508e-11,14,279.31268310546875,R_A5,1705.5501708984375
1.0,2018-04-28,0,13,31,21,279.6826477050781,STANDARD,-1.2147001286766379e-11,15,279.6826477050781,R_A5,1707.5152587890625
1.0,2018-04-28,0,14,31,21,280.16162109375,STANDARD,-6.316935689809622e-12,16,280.16162109375,R_A5,1709.48046875
1.0,2018-04-28,0,15,31,21,280.355712890625,STANDARD,-1.672111125776421e-12,17,280.355712890625,R_A5,1711.4456787109375
1.0,2018-04-28,0,16,31,21,280.537109375,STANDARD,-3.201127947785598e-12,18,280.537109375,R_A5,1713.28466796875
1.0,2018-04-28,0,17,31,21,280.63641357421875,STANDARD,0.0,19,280.63641357421875,R_A5,1714.3233642578125
1.0,2018-04-28,0,18,31,21,285.92626953125,STANDARD,-4.3754097567294536e-10,25,285.92626953125,R_A5,1715.6826171875
1.0,2018-04-28,0,19,31,21,286.2007141113281,STANDARD,-4.53892895491137e-10,26,286.2007141113281,R_A5,1718.0367431640625
1.0,2018-04-28,0,20,31,21,297.2113952636719,STANDARD,-1.77704071262604e-17,27,297.2113952636719,R_A5,1720.390869140625
1.0,2018-04-28,0,21,31,21,304.53436279296875,STANDARD,-3.9041260211520143e-19,28,304.53436279296875,R_A5,1722.744873046875
1.0,2018-04-28,0,22,31,21,307.14837646484375,STANDARD,2.336979424035797e-20,29,307.14837646484375,R_A5,1725.098876953125
0.26810961961746216,2018-07-03,0,1,28,41,275.5869140625,STANDARD,0.0,1,275.5869140625,R_A3,1607.34521484375
0.1187085434794426,2018-07-03,0,2,28,41,275.7179260253906,STANDARD,0.0,2,275.7179260253906,R_A3,1609.312744140625
0.14870025217533112,2018-07-03,0,3,29,41,275.3657531738281,STANDARD,0.0,2,275.3657531738281,R_A3,1603.3287353515625
0.13231532275676727,2018-07-03,0,4,29,41,275.50445556640625,STANDARD,0.0,3,275.50445556640625,R_A3,1605.410400390625
0.3661998510360718,2018-07-03,0,5,29,41,275.67547607421875,STANDARD,0.0,4,275.67547607421875,R_A3,1607.4920654296875
0.8106526136398315,2018-07-03,0,6,29,41,275.875732421875,STANDARD,0.0,5,275.875732421875,R_A3,1609.57373046875
0.650759756565094,2018-07-03,0,7,29,41,275.96038818359375,STANDARD,0.0,6,275.96038818359375,R_A3,1611.6553955078125
0.19856515526771545,2018-07-03,0,8,29,41,276.1112976074219,STANDARD,0.0,7,276.1112976074219,R_A3,1613.737060546875
0.20118391513824463,2018-07-03,0,9,29,41,276.25,STANDARD,0.0,8,276.25,R_A3,1615.8187255859375
0.8045504689216614,2018-07-03,0,10,29,41,276.5036926269531,STANDARD,0.0,9,276.5036926269531,R_A3,1617.900390625
