CONKPOS,CONIDX,DEPTH,WELLMODEL,WELL,DRAWDOWN,SGAS,CONIPOS,CONBPRES,PRESSURE,DATE,SWAT,CONJPOS
29,22,1679.8907470703125,STANDARD,R_A2,0,0.0,22,303.6631774902344,303.6631774902344,2018-01-01,1.0,29
30,23,1681.678955078125,STANDARD,R_A2,0,0.0,22,303.8326416015625,303.8326416015625,2018-01-01,1.0,29
1,1,1609.6212158203125,STANDARD,R_A3,0,0.0,28,298.60076904296875,298.60076904296875,2018-01-01,0.6481541991233826,41
2,2,1611.6767578125,STANDARD,R_A3,0,0.0,28,298.738525390625,298.738525390625,2018-01-01,0.19947054982185364,41
3,3,1613.7322998046875,STANDARD,R_A3,0,0.0,28,298.8763122558594,298.8763122558594,2018-01-01,0.19499552249908447,41
4,4,1615.787841796875,STANDARD,R_A3,0,0.0,28,299.0140686035156,299.0140686035156,2018-01-01,0.1981276273727417,41
4,5,1606.071044921875,STANDARD,R_A3,0,0.0,29,298.36285400390625,298.36285400390625,2018-01-01,0.3696519434452057,41
5,6,1608.08349609375,STANDARD,R_A3,0,0.0,29,298.4977111816406,298.4977111816406,2018-01-01,0.8071179986000061,41
6,7,1610.095947265625,STANDARD,R_A3,0,0.0,29,298.6325988769531,298.6325988769531,2018-01-01,0.6481541991233826,41
7,8,1612.1082763671875,STANDARD,R_A3,0,0.0,29,298.7674560546875,298.7674560546875,2018-01-01,0.19697290658950806,41
8,9,1614.1207275390625,STANDARD,R_A3,0,0.0,29,298.90234375,298.90234375,2018-01-01,0.1970532238483429,41
9,10,1616.1331787109375,STANDARD,R_A3,0,0.0,29,299.0372314453125,299.0372314453125,2018-01-01,0.795897364616394,41
10,11,1618.1455078125,STANDARD,R_A3,0,0.0,29,299.1720886230469,299.1720886230469,2018-01-01,0.797732412815094,41
11,12,1620.2784423828125,STANDARD,R_A3,0,0.0,29,299.3150634765625,299.3150634765625,2018-01-01,0.048172950744628906,41
12,13,1622.531982421875,STANDARD,R_A3,0,0.0,29,299.46612548828125,299.46612548828125,2018-01-01,0.05414675548672676,41
13,14,1624.785400390625,STANDARD,R_A3,0,0.0,29,299.6171875,299.6171875,2018-01-01,0.3657675087451935,41
14,15,1627.038818359375,STANDARD,R_A3,0,0.0,29,299.76824951171875,299.76824951171875,2018-01-01,0.23849324882030487,41
15,16,1629.292236328125,STANDARD,R_A3,0,0.0,29,299.9193115234375,299.9193115234375,2018-01-01,0.5008260011672974,41
16,17,1631.234619140625,STANDARD,R_A3,0,0.0,29,300.0495300292969,300.0495300292969,2018-01-01,0.8045562505722046,41
26,18,1633.8970947265625,STANDARD,R_A3,0,0.0,29,300.22802734375,300.22802734375,2018-01-01,0.7804490327835083,41
27,19,1637.49169921875,STANDARD,R_A3,0,0.0,29,300.4690246582031,300.4690246582031,2018-01-01,0.04590323939919472,41
28,20,1641.0863037109375,STANDARD,R_A3,0,0.0,29,300.7100524902344,300.7100524902344,2018-01-01,0.05199284851551056,41
29,21,1644.680908203125,STANDARD,R_A3,0,0.0,29,300.9510803222656,300.9510803222656,2018-01-01,0.09054094552993774,41
30,22,1648.2755126953125,STANDARD,R_A3,0,0.0,29,301.192138671875,301.192138671875,2018-01-01,0.11088713258504868,41
1,1,1632.748779296875,STANDARD,R_A4,0,0.0,30,300.1510314941406,300.1510314941406,2018-01-01,0.05068916454911232,52
1,2,1626.95068359375,STANDARD,R_A4,0,0.0,31,299.7623291015625,299.7623291015625,2018-01-01,0.0478539913892746,52
2,3,1628.951171875,STANDARD,R_A4,0,0.0,31,299.8964538574219,299.8964538574219,2018-01-01,0.05070256069302559,52
3,4,1630.95166015625,STANDARD,R_A4,0,0.0,31,300.0305480957031,300.0305480957031,2018-01-01,0.05260277912020683,52
4,5,1632.9521484375,STANDARD,R_A4,0,0.0,31,300.1646728515625,300.1646728515625,2018-01-01,0.054917678236961365,52
5,6,1634.95263671875,STANDARD,R_A4,0,0.0,31,300.2987976074219,300.2987976074219,2018-01-01,0.05722011998295784,52
5,7,1632.261962890625,STANDARD,R_A4,0,0.0,32,300.118408203125,300.118408203125,2018-01-01,0.053324371576309204,52
5,8,1637.810546875,STANDARD,R_A4,0,0.0,32,300.49041748046875,300.49041748046875,2018-01-01,0.05741528794169426,51
4,9,1636.0390625,STANDARD,R_A4,0,0.0,32,300.37164306640625,300.37164306640625,2018-01-01,0.056437160819768906,51
4,10,1636.135498046875,STANDARD,R_A4,0,0.0,33,300.3780822753906,300.3780822753906,2018-01-01,0.058561064302921295,51
4,11,1643.682861328125,STANDARD,R_A4,0,0.0,33,300.8841552734375,300.8841552734375,2018-01-01,0.06452722102403641,50
4,12,1640.6971435546875,STANDARD,R_A4,0,0.0,34,300.6839599609375,300.6839599609375,2018-01-01,0.06460726261138916,50
3,13,1638.8531494140625,STANDARD,R_A4,0,0.0,34,300.560302734375,300.560302734375,2018-01-01,0.10008075088262558,50
4,14,1642.1759033203125,STANDARD,R_A4,0,0.0,35,300.7831115722656,300.7831115722656,2018-01-01,0.06289919465780258,50
3,15,1640.47216796875,STANDARD,R_A4,0,0.0,35,300.66888427734375,300.66888427734375,2018-01-01,0.15665759146213531,50
2,16,1638.7685546875,STANDARD,R_A4,0,0.0,35,300.55462646484375,300.55462646484375,2018-01-01,0.22810448706150055,50
2,17,1643.4654541015625,STANDARD,R_A4,0,0.0,35,300.8695983886719,300.8695983886719,2018-01-01,0.23922273516654968,49
1,18,1641.6142578125,STANDARD,R_A4,0,0.0,35,300.7454528808594,300.7454528808594,2018-01-01,0.23563152551651,49
29,19,1645.0462646484375,STANDARD,R_A4,0,0.0,36,300.9755859375,300.9755859375,2018-01-01,0.061455968767404556,49
29,20,1645.1142578125,STANDARD,R_A4,0,0.0,36,300.9801330566406,300.9801330566406,2018-01-01,0.061260368674993515,48
28,21,1639.4713134765625,STANDARD,R_A4,0,0.0,36,300.6017761230469,300.6017761230469,2018-01-01,0.05271115526556969,48
28,22,1647.2891845703125,STANDARD,R_A4,0,0.0,37,301.1260070800781,301.1260070800781,2018-01-01,0.6481541991233826,48
28,23,1652.8270263671875,STANDARD,R_A4,0,0.0,38,301.49737548828125,301.49737548828125,2018-01-01,0.6481541991233826,48
27,24,1647.17138671875,STANDARD,R_A4,0,0.0,38,301.11810302734375,301.11810302734375,2018-01-01,0.059072479605674744,48
27,25,1655.552978515625,STANDARD,R_A4,0,0.0,38,301.6802062988281,301.6802062988281,2018-01-01,0.06788378208875656,47
1,1,1685.30078125,STANDARD,R_A5,0,0.0,31,303.87005615234375,303.87005615234375,2018-01-01,1.0,20
2,2,1687.5396728515625,STANDARD,R_A5,0,0.0,31,304.0822448730469,304.0822448730469,2018-01-01,1.0,20
3,3,1689.7784423828125,STANDARD,R_A5,0,0.0,31,304.2944030761719,304.2944030761719,2018-01-01,1.0,20
4,4,1692.017333984375,STANDARD,R_A5,0,0.0,31,304.5065612792969,304.5065612792969,2018-01-01,1.0,20
5,5,1694.2562255859375,STANDARD,R_A5,0,0.0,31,304.7187194824219,304.7187194824219,2018-01-01,1.0,20
6,6,1696.4951171875,STANDARD,R_A5,0,0.0,31,304.930908203125,304.930908203125,2018-01-01,1.0,20
7,7,1698.73388671875,STANDARD,R_A5,0,0.0,31,305.4488525390625,305.4488525390625,2018-01-01,1.0,20
10,8,1697.63916015625,STANDARD,R_A5,0,0.0,31,305.3450927734375,305.3450927734375,2018-01-01,1.0,21
11,9,1699.8258056640625,STANDARD,R_A5,0,0.0,31,305.2466735839844,305.2466735839844,2018-01-01,1.0,21
12,10,1701.7738037109375,STANDARD,R_A5,0,0.0,31,305.4312744140625,305.4312744140625,2018-01-01,1.0,21
13,11,1703.7216796875,STANDARD,R_A5,0,0.0,31,305.6278381347656,305.6278381347656,2018-01-01,1.0,21
14,12,1705.669677734375,STANDARD,R_A5,0,0.0,31,305.81243896484375,305.81243896484375,2018-01-01,1.0,21
15,13,1707.61767578125,STANDARD,R_A5,0,0.0,31,305.9970703125,305.9970703125,2018-01-01,1.0,21
16,14,1709.5655517578125,STANDARD,R_A5,0,0.0,31,306.3266906738281,306.3266906738281,2018-01-01,1.0,21
17,15,1711.5135498046875,STANDARD,R_A5,0,0.0,31,306.51129150390625,306.51129150390625,2018-01-01,1.0,21
18,16,1713.379150390625,STANDARD,R_A5,0,0.0,31,306.6881103515625,306.6881103515625,2018-01-01,1.0,21
19,17,1714.551025390625,STANDARD,R_A5,0,0.0,31,306.7991638183594,306.7991638183594,2018-01-01,1.0,21
26,18,1715.999267578125,STANDARD,R_A5,0,0.0,31,306.7793273925781,306.7793273925781,2018-01-01,1.0,21
27,19,1718.3353271484375,STANDARD,R_A5,0,0.0,31,307.000732421875,307.000732421875,2018-01-01,1.0,21
28,20,1720.6712646484375,STANDARD,R_A5,0,0.0,31,307.22210693359375,307.22210693359375,2018-01-01,1.0,21
29,21,1723.00732421875,STANDARD,R_A5,0,0.0,31,307.4435119628906,307.4435119628906,2018-01-01,1.0,21
30,22,1725.34326171875,STANDARD,R_A5,0,0.0,31,307.970703125,307.970703125,2018-01-01,1.0,21
1,1,1695.991943359375,STANDARD,R_A6,0,0.0,17,305.1889953613281,305.1889953613281,2018-01-01,1.0,42
2,2,1697.561279296875,STANDARD,R_A6,0,0.0,17,305.33770751953125,305.33770751953125,2018-01-01,1.0,42
3,3,1699.1304931640625,STANDARD,R_A6,0,0.0,17,305.4864501953125,305.4864501953125,2018-01-01,1.0,42
4,4,1700.69970703125,STANDARD,R_A6,0,0.0,17,305.6351623535156,305.6351623535156,2018-01-01,1.0,42
5,5,1702.26904296875,STANDARD,R_A6,0,0.0,17,305.78387451171875,305.78387451171875,2018-01-01,1.0,42
6,6,1703.83837890625,STANDARD,R_A6,0,0.0,17,305.9325866699219,305.9325866699219,2018-01-01,1.0,42
7,7,1705.40771484375,STANDARD,R_A6,0,0.0,17,305.7822570800781,305.7822570800781,2018-01-01,1.0,42
8,8,1706.9769287109375,STANDARD,R_A6,0,0.0,17,305.9309997558594,305.9309997558594,2018-01-01,1.0,42
9,9,1708.5462646484375,STANDARD,R_A6,0,0.0,17,306.3787536621094,306.3787536621094,2018-01-01,1.0,42
10,10,1710.115478515625,STANDARD,R_A6,0,0.0,17,306.5274963378906,306.5274963378906,2018-01-01,1.0,42
11,11,1712.0272216796875,STANDARD,R_A6,0,0.0,17,306.4029846191406,306.4029846191406,2018-01-01,1.0,42
12,12,1714.28125,STANDARD,R_A6,0,0.0,17,306.6166076660156,306.6166076660156,2018-01-01,1.0,42
13,13,1716.53515625,STANDARD,R_A6,0,0.0,17,306.8421936035156,306.8421936035156,2018-01-01,1.0,42
14,14,1718.7891845703125,STANDARD,R_A6,0,0.0,17,307.0558166503906,307.0558166503906,2018-01-01,1.0,42
15,15,1721.043212890625,STANDARD,R_A6,0,0.0,17,307.2694396972656,307.2694396972656,2018-01-01,1.0,42
16,16,1723.2972412109375,STANDARD,R_A6,0,0.0,17,307.6280822753906,307.6280822753906,2018-01-01,1.0,42
17,17,1725.55126953125,STANDARD,R_A6,0,0.0,17,307.8417053222656,307.8417053222656,2018-01-01,1.0,42
18,18,1727.3912353515625,STANDARD,R_A6,0,0.0,17,308.01611328125,308.01611328125,2018-01-01,1.0,42
26,19,1728.9788818359375,STANDARD,R_A6,0,0.0,17,308.0094909667969,308.0094909667969,2018-01-01,1.0,42
27,20,1730.7279052734375,STANDARD,R_A6,0,0.0,17,308.1752624511719,308.1752624511719,2018-01-01,1.0,42
28,21,1732.47705078125,STANDARD,R_A6,0,0.0,17,308.6468200683594,308.6468200683594,2018-01-01,1.0,42
29,22,1734.22607421875,STANDARD,R_A6,0,0.0,17,308.8125915527344,308.8125915527344,2018-01-01,1.0,42
30,23,1735.97509765625,STANDARD,R_A6,0,0.0,17,308.672607421875,308.672607421875,2018-01-01,1.0,42
1,1,1638.6119384765625,STANDARD,R_A2,0,0.0,22,299.3117370605469,299.3117370605469,2018-03-01,0.05422738939523697,30
2,2,1640.4539794921875,STANDARD,R_A2,0,0.0,22,299.4352111816406,299.4352111816406,2018-03-01,0.05666461959481239,30
3,3,1642.296142578125,STANDARD,R_A2,0,0.0,22,299.5586853027344,299.5586853027344,2018-03-01,0.05886819213628769,30
4,4,1644.13818359375,STANDARD,R_A2,0,0.0,22,299.68218994140625,299.68218994140625,2018-03-01,0.06347179412841797,30
5,5,1645.9803466796875,STANDARD,R_A2,0,0.0,22,299.8056640625,299.8056640625,2018-03-01,0.06678514927625656,30
6,6,1647.8223876953125,STANDARD,R_A2,0,0.0,22,299.93310546875,299.93310546875,2018-03-01,0.3036487102508545,30
7,7,1649.6644287109375,STANDARD,R_A2,0,0.0,22,300.0615539550781,300.0615539550781,2018-03-01,0.8794683814048767,30
8,8,1651.5064697265625,STANDARD,R_A2,0,0.0,22,300.18768310546875,300.18768310546875,2018-03-01,0.865777313709259,30
9,9,1653.3486328125,STANDARD,R_A2,0,0.0,22,300.3928527832031,300.3928527832031,2018-03-01,0.8791077136993408,30
10,10,1655.190673828125,STANDARD,R_A2,0,0.0,22,300.6360778808594,300.6360778808594,2018-03-01,0.8925187587738037,30
11,11,1657.1632080078125,STANDARD,R_A2,0,0.0,22,300.7351379394531,300.7351379394531,2018-03-01,0.07292328774929047,30
13,12,1661.369140625,STANDARD,R_A2,0,0.0,22,301.1007995605469,301.1007995605469,2018-03-01,0.4400176405906677,30
14,13,1663.47216796875,STANDARD,R_A2,0,0.0,22,301.24151611328125,301.24151611328125,2018-03-01,0.49263837933540344,30
15,14,1665.5750732421875,STANDARD,R_A2,0,0.0,22,301.3811950683594,301.3811950683594,2018-03-01,0.6456775069236755,30
16,15,1667.677978515625,STANDARD,R_A2,0,0.0,22,301.5118713378906,301.5118713378906,2018-03-01,0.9480385780334473,30
17,16,1669.781005859375,STANDARD,R_A2,0,0.0,22,301.65093994140625,301.65093994140625,2018-03-01,0.918042778968811,30
18,17,1672.5291748046875,STANDARD,R_A2,0,0.0,22,301.8023986816406,301.8023986816406,2018-03-01,0.9542787075042725,29
19,18,1673.5267333984375,STANDARD,R_A2,0,0.0,22,301.8688659667969,301.8688659667969,2018-03-01,0.9668663740158081,29
26,19,1674.5260009765625,STANDARD,R_A2,0,0.0,22,301.9255065917969,301.9255065917969,2018-03-01,0.3595796227455139,29
27,20,1676.314208984375,STANDARD,R_A2,0,6.992016557752501e-13,22,302.2249450683594,302.2249450683594,2018-03-01,1.0,29
28,21,1678.1025390625,STANDARD,R_A2,0,-5.211878573163631e-08,22,302.20745849609375,302.20745849609375,2018-03-01,1.0000015497207642,29
29,22,1679.8907470703125,STANDARD,R_A2,0,6.373028407086201e-12,22,302.72503662109375,302.72503662109375,2018-03-01,1.0,29
30,23,1681.678955078125,STANDARD,R_A2,0,5.8233167840224774e-15,22,302.66937255859375,302.66937255859375,2018-03-01,1.0,29
1,1,1685.30078125,STANDARD,R_A5,0,6.668627925053247e-16,31,264.8448181152344,264.8448181152344,2018-04-28,1.0,20
2,2,1687.5396728515625,STANDARD,R_A5,0,6.72888637831651e-16,31,265.05657958984375,265.05657958984375,2018-04-28,1.0,20
3,3,1689.7784423828125,STANDARD,R_A5,0,7.827016948828427e-16,31,265.268310546875,265.268310546875,2018-04-28,1.0,20
4,4,1692.017333984375,STANDARD,R_A5,0,1.6569597104299947e-15,31,265.47998046875,265.47998046875,2018-04-28,1.0,20
5,5,1694.2562255859375,STANDARD,R_A5,0,1.2186112663799481e-15,31,265.691650390625,265.691650390625,2018-04-28,1.0,20
6,6,1696.4951171875,STANDARD,R_A5,0,1.7932878421697378e-14,31,265.9034423828125,265.9034423828125,2018-04-28,1.0,20
7,7,1698.73388671875,STANDARD,R_A5,0,6.125143252842802e-14,31,266.47613525390625,266.47613525390625,2018-04-28,1.0,20
10,8,1697.63916015625,STANDARD,R_A5,0,0.0,31,270.90106201171875,270.90106201171875,2018-04-28,1.0,21
11,9,1699.8258056640625,STANDARD,R_A5,0,-7.46418378494429e-12,31,268.6504211425781,268.6504211425781,2018-04-28,1.0,21
12,10,1701.7738037109375,STANDARD,R_A5,0,-5.461654132427052e-12,31,268.81805419921875,268.81805419921875,2018-04-28,1.0,21
13,11,1703.7216796875,STANDARD,R_A5,0,-2.809697461671201e-13,31,269.0260314941406,269.0260314941406,2018-04-28,1.0,21
14,12,1705.669677734375,STANDARD,R_A5,0,-5.742046378306997e-13,31,269.2107238769531,269.2107238769531,2018-04-28,1.0,21
15,13,1707.61767578125,STANDARD,R_A5,0,-2.2688598775352092e-13,31,269.39422607421875,269.39422607421875,2018-04-28,1.0,21
16,14,1709.5655517578125,STANDARD,R_A5,0,-3.8394504589533973e-13,31,269.71563720703125,269.71563720703125,2018-04-28,1.0,21
17,15,1711.5135498046875,STANDARD,R_A5,0,-8.01769539432104e-14,31,269.8650817871094,269.8650817871094,2018-04-28,1.0,21
18,16,1713.379150390625,STANDARD,R_A5,0,-1.7145691062672025e-13,31,270.00048828125,270.00048828125,2018-04-28,1.0,21
19,17,1714.551025390625,STANDARD,R_A5,0,0.0,31,270.0914306640625,270.0914306640625,2018-04-28,1.0,21
26,18,1715.999267578125,STANDARD,R_A5,0,-8.845896237730244e-12,31,269.8775939941406,269.8775939941406,2018-04-28,1.0,21
27,19,1718.3353271484375,STANDARD,R_A5,0,-1.2490497351691499e-11,31,270.0882568359375,270.0882568359375,2018-04-28,1.0,21
28,20,1720.6712646484375,STANDARD,R_A5,0,-6.2111253640306785e-12,31,270.30902099609375,270.30902099609375,2018-04-28,1.0,21
29,21,1723.00732421875,STANDARD,R_A5,0,-3.8353959765091705e-12,31,270.51690673828125,270.51690673828125,2018-04-28,1.0,21
30,22,1725.34326171875,STANDARD,R_A5,0,-7.644338287371433e-12,31,271.1336364746094,271.1336364746094,2018-04-28,1.0,21
1,1,1609.6212158203125,STANDARD,R_A3,0,0.0,28,287.7657470703125,287.7657470703125,2018-07-03,0.6488413214683533,41
2,2,1611.6767578125,STANDARD,R_A3,0,0.0,28,287.8980712890625,287.8980712890625,2018-07-03,0.19981686770915985,41
3,3,1613.7322998046875,STANDARD,R_A3,0,0.0,28,288.035400390625,288.035400390625,2018-07-03,0.1952386498451233,41
4,4,1615.787841796875,STANDARD,R_A3,0,0.0,28,288.1727600097656,288.1727600097656,2018-07-03,0.19842320680618286,41
4,5,1606.071044921875,STANDARD,R_A3,0,0.0,29,287.4941101074219,287.4941101074219,2018-07-03,0.37143048644065857,41
5,6,1608.08349609375,STANDARD,R_A3,0,0.0,29,287.7191467285156,287.7191467285156,2018-07-03,0.8048675060272217,41
6,7,1610.095947265625,STANDARD,R_A3,0,0.0,29,287.8445739746094,287.8445739746094,2018-07-03,0.6488426327705383,41
7,8,1612.1082763671875,STANDARD,R_A3,0,0.0,29,288.00775146484375,288.00775146484375,2018-07-03,0.19741882383823395,41
8,9,1614.1207275390625,STANDARD,R_A3,0,0.0,29,288.1424255371094,288.1424255371094,2018-07-03,0.19821347296237946,41
9,10,1616.1331787109375,STANDARD,R_A3,0,0.0,29,288.3498229980469,288.3498229980469,2018-07-03,0.7949767112731934,41
10,11,1618.1455078125,STANDARD,R_A3,0,0.0,29,289.1282958984375,289.1282958984375,2018-07-03,0.7970213294029236,41
11,12,1620.2784423828125,STANDARD,R_A3,0,0.0,29,290.6331481933594,290.6331481933594,2018-07-03,0.04821529984474182,41
12,13,1622.531982421875,STANDARD,R_A3,0,0.0,29,290.7838134765625,290.7838134765625,2018-07-03,0.05420197919011116,41
13,14,1624.785400390625,STANDARD,R_A3,0,0.0,29,290.9349060058594,290.9349060058594,2018-07-03,0.36606577038764954,41
14,15,1627.038818359375,STANDARD,R_A3,0,0.0,29,291.1077880859375,291.1077880859375,2018-07-03,0.2388317734003067,41
15,16,1629.292236328125,STANDARD,R_A3,0,0.0,29,291.4718322753906,291.4718322753906,2018-07-03,0.5014979839324951,41
16,17,1631.234619140625,STANDARD,R_A3,0,0.0,29,291.6179504394531,291.6179504394531,2018-07-03,0.8040523529052734,41
26,18,1633.8970947265625,STANDARD,R_A3,0,0.0,29,300.2098083496094,300.2098083496094,2018-07-03,0.7804479598999023,41
27,19,1637.49169921875,STANDARD,R_A3,0,0.0,29,291.205322265625,291.205322265625,2018-07-03,0.045949067920446396,41
28,20,1641.0863037109375,STANDARD,R_A3,0,0.0,29,291.4456787109375,291.4456787109375,2018-07-03,0.052038632333278656,41
29,21,1644.680908203125,STANDARD,R_A3,0,0.0,29,291.6861572265625,291.6861572265625,2018-07-03,0.09061712771654129,41
30,22,1648.2755126953125,STANDARD,R_A3,0,0.0,29,291.9266662597656,291.9266662597656,2018-07-03,0.1109948381781578,41
1,1,1632.748779296875,STANDARD,R_A4,0,0.0,30,284.59423828125,284.59423828125,2018-09-12,0.05076790228486061,52
1,2,1626.95068359375,STANDARD,R_A4,0,0.0,31,284.2330322265625,284.2330322265625,2018-09-12,0.04792741313576698,52
2,3,1628.951171875,STANDARD,R_A4,0,0.0,31,284.3666076660156,284.3666076660156,2018-09-12,0.05077897012233734,52
3,4,1630.95166015625,STANDARD,R_A4,0,0.0,31,284.50018310546875,284.50018310546875,2018-09-12,0.0526832640171051,52
4,5,1632.9521484375,STANDARD,R_A4,0,0.0,31,284.6337585449219,284.6337585449219,2018-09-12,0.05499996617436409,52
5,6,1634.95263671875,STANDARD,R_A4,0,0.0,31,284.767333984375,284.767333984375,2018-09-12,0.05730225145816803,52
5,7,1632.261962890625,STANDARD,R_A4,0,0.0,32,284.6152648925781,284.6152648925781,2018-09-12,0.053408488631248474,52
5,8,1637.810546875,STANDARD,R_A4,0,0.0,32,284.9566650390625,284.9566650390625,2018-09-12,0.057499926537275314,51
4,9,1636.0390625,STANDARD,R_A4,0,0.0,32,284.83837890625,284.83837890625,2018-09-12,0.05652037635445595,51
4,10,1636.135498046875,STANDARD,R_A4,0,0.0,33,284.87738037109375,284.87738037109375,2018-09-12,0.058648936450481415,51
4,11,1643.682861328125,STANDARD,R_A4,0,0.0,33,285.3465576171875,285.3465576171875,2018-09-12,0.06463438272476196,50
4,12,1640.6971435546875,STANDARD,R_A4,0,0.0,34,285.1803894042969,285.1803894042969,2018-09-12,0.06474834680557251,50
3,13,1638.8531494140625,STANDARD,R_A4,0,0.0,34,285.0572509765625,285.0572509765625,2018-09-12,0.1002068817615509,50
4,14,1642.1759033203125,STANDARD,R_A4,0,0.0,35,285.3184509277344,285.3184509277344,2018-09-12,0.0630137100815773,50
3,15,1640.47216796875,STANDARD,R_A4,0,0.0,35,285.2046203613281,285.2046203613281,2018-09-12,0.156876802444458,50
2,16,1638.7685546875,STANDARD,R_A4,0,0.0,35,285.0907897949219,285.0907897949219,2018-09-12,0.22844761610031128,50
2,17,1643.4654541015625,STANDARD,R_A4,0,0.0,35,285.36114501953125,285.36114501953125,2018-09-12,0.2395980954170227,49
1,18,1641.6142578125,STANDARD,R_A4,0,0.0,35,285.2375793457031,285.2375793457031,2018-09-12,0.23593486845493317,49
29,19,1645.0462646484375,STANDARD,R_A4,0,0.0,36,285.1042175292969,285.1042175292969,2018-09-12,0.061755988746881485,49
29,20,1645.1142578125,STANDARD,R_A4,0,0.0,36,285.1299743652344,285.1299743652344,2018-09-12,0.06137558072805405,48
28,21,1639.4713134765625,STANDARD,R_A4,0,0.0,36,284.75311279296875,284.75311279296875,2018-09-12,0.05278593301773071,48
28,22,1647.2891845703125,STANDARD,R_A4,0,0.0,37,285.2515563964844,285.2515563964844,2018-09-12,0.650191605091095,48
28,23,1652.8270263671875,STANDARD,R_A4,0,0.0,38,285.6034240722656,285.6034240722656,2018-09-12,0.650387704372406,48
27,24,1647.17138671875,STANDARD,R_A4,0,0.0,38,285.2254638671875,285.2254638671875,2018-09-12,0.062092818319797516,48
27,25,1655.552978515625,STANDARD,R_A4,0,0.0,38,285.7997741699219,285.7997741699219,2018-09-12,0.06800014525651932,47
1,1,1695.991943359375,STANDARD,R_A6,0,-1.488153892649502e-12,17,277.3746337890625,277.3746337890625,2018-11-07,1.0,42
2,2,1697.561279296875,STANDARD,R_A6,0,-1.05793867589965e-12,17,277.5205078125,277.5205078125,2018-11-07,1.0,42
3,3,1699.1304931640625,STANDARD,R_A6,0,-6.787652579755277e-13,17,277.66156005859375,277.66156005859375,2018-11-07,1.0,42
4,4,1700.69970703125,STANDARD,R_A6,0,-5.700346336449946e-13,17,277.7966613769531,277.7966613769531,2018-11-07,1.0,42
5,5,1702.26904296875,STANDARD,R_A6,0,-5.739044764592471e-13,17,277.9286804199219,277.9286804199219,2018-11-07,1.0,42
6,6,1703.83837890625,STANDARD,R_A6,0,-5.625208285287009e-11,17,278.06414794921875,278.06414794921875,2018-11-07,1.0,42
7,7,1705.40771484375,STANDARD,R_A6,0,-1.0319755466836611e-10,17,277.9200134277344,277.9200134277344,2018-11-07,1.0,42
8,8,1706.9769287109375,STANDARD,R_A6,0,-9.114631271955886e-11,17,278.0456237792969,278.0456237792969,2018-11-07,1.0,42
